req_idx,send_time,latency_ms
0,1773464216.347326,277.269
1,1773464216.483496,177.752
2,1773464216.788912,15.347
3,1773464216.890073,11.667
4,1773464217.020785,12.276
5,1773464217.103225,12.268
6,1773464217.157331,11.368
7,1773464217.225844,12.388
8,1773464217.293961,15.973
9,1773464217.316019,11.046
10,1773464217.373188,11.904
11,1773464217.683159,11.317
12,1773464217.697612,22.625
13,1773464217.744352,11.726
14,1773464218.168899,12.399
15,1773464218.224529,11.441
16,1773464218.512765,15.401
17,1773464218.561620,11.363
18,1773464218.641118,12.127
19,1773464218.779588,12.305
20,1773464218.866737,11.505
21,1773464219.034092,12.019
22,1773464219.047188,10.875
23,1773464219.300866,11.927
24,1773464219.327876,11.157
25,1773464219.349143,16.555
26,1773464219.491901,12.312
27,1773464219.727865,12.380
28,1773464219.977177,11.963
29,1773464220.011233,11.423
30,1773464220.153539,11.366
31,1773464220.154793,19.494
32,1773464220.294102,16.331
33,1773464220.320520,11.116
34,1773464220.388750,11.913
35,1773464220.468330,11.438
36,1773464220.767716,11.058
37,1773464221.079134,11.093
38,1773464221.299186,12.314
39,1773464221.720634,17.130
40,1773464221.726880,20.317
41,1773464221.821706,12.247
42,1773464221.973780,24.980
43,1773464222.328973,19.115
44,1773464222.347966,10.870
45,1773464222.453949,10.818
46,1773464222.498863,11.591
47,1773464223.136705,12.397
48,1773464223.177361,11.016
49,1773464223.457482,11.353
50,1773464223.486861,10.983
51,1773464223.851555,16.890
52,1773464224.100950,10.973
53,1773464224.141046,11.503
54,1773464224.300230,11.680
55,1773464224.504408,12.716
56,1773464224.697362,12.405
57,1773464224.815147,11.009
58,1773464224.854249,11.458
59,1773464225.002380,11.983
60,1773464225.056464,12.128
61,1773464225.116329,11.368
62,1773464225.347153,11.546
63,1773464225.428222,16.603
64,1773464225.583439,11.741
65,1773464225.648288,11.954
66,1773464225.920019,11.091
67,1773464226.046106,11.374
68,1773464226.140589,11.292
69,1773464226.230056,12.301
70,1773464226.235349,16.384
