req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,device_end_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),pred,true
0,0.0,site2,10.100.40.30:8000,momentbase,ecgclass,1772393434.1995661,1772393434.28563,1772393434.534178,342.1285152435303,239.615726,0.0028480000000000003,8.869269000000001,0.0,0.0
1,0.10002083767451553,site2,10.100.40.30:8000,momentbase,ecgclass,1772393434.2883694,1772393434.5440335,1772393434.5593262,275.7890224456787,14.984574,0.0019039999999999999,0.276707,0.0,0.0
2,0.20004167534903106,site2,10.100.40.30:8000,momentbase,ecgclass,1772393434.3887022,1772393434.5667691,1772393434.5808697,196.48098945617676,13.847342000000001,0.001512,0.230828,0.0,0.0
3,0.3000625130235466,site2,10.100.40.30:8000,momentbase,ecgclass,1772393434.488818,1772393434.587837,1772393434.6026623,117.96975135803223,14.579138,0.001454,0.223728,0.0,0.0
4,0.4000833506980621,site2,10.100.40.30:8000,momentbase,ecgclass,1772393434.5887506,1772393434.609609,1772393434.6224597,38.06948661804199,12.612491,0.001346,0.216266,0.0,0.0
5,0.5001041883725776,site2,10.100.40.30:8000,momentbase,ecgclass,1772393434.6886048,1772393434.6931856,1772393434.720178,36.02910041809082,26.658196,0.001756,0.304981,0.0,0.0
6,0.6001250260470932,site2,10.100.40.30:8000,momentbase,ecgclass,1772393434.7885706,1772393434.793009,1772393434.8143697,30.47466278076172,21.002608,0.0021,0.324466,0.0,0.0
7,0.7001458637216087,site2,10.100.40.30:8000,momentbase,ecgclass,1772393434.8885455,1772393434.8930507,1772393434.9135766,29.529809951782227,20.183678,0.001963,0.309544,0.0,0.0
8,0.8001667013961242,site2,10.100.40.30:8000,momentbase,ecgclass,1772393434.9885688,1772393434.9933279,1772393435.0214512,37.54091262817383,27.771093,0.0020150000000000003,0.318126,0.0,0.0
9,0.9001875390706396,site2,10.100.40.30:8000,momentbase,ecgclass,1772393435.0886643,1772393435.0934732,1772393435.1211634,36.99922561645508,27.228534,0.002477,0.419822,0.0,0.0
10,1.0002083767451553,site2,10.100.40.30:8000,momentbase,ecgclass,1772393435.1885638,1772393435.1933672,1772393435.2203348,36.39650344848633,26.552334000000002,0.002345,0.375955,0.0,0.0
11,1.1002292144196708,site2,10.100.40.30:8000,momentbase,ecgclass,1772393435.288614,1772393435.2932336,1772393435.3201423,36.14997863769531,26.478145,0.002428,0.391849,0.0,0.0
12,1.2002500520941863,site2,10.100.40.30:8000,momentbase,ecgclass,1772393435.3888192,1772393435.3937864,1772393435.4210918,37.018537521362305,26.873088,0.002365,0.393475,0.0,0.0
13,1.3002708897687016,site2,10.100.40.30:8000,momentbase,ecgclass,1772393435.4890032,1772393435.4937127,1772393435.5195477,35.19845008850098,25.460307,0.002146,0.33941,0.0,0.0
