req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,device_end_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),pred,true
0,0.0,site2,10.100.20.53:8000,momentbase,ecgclass,1771442376.2304587,1771442376.2478356,1771442376.5105648,284.9550247192383,239.436907,0.001071,23.057506,0.0,0.0
1,0.1001669449081803,site2,10.100.20.53:8000,momentbase,ecgclass,1771442376.2323704,1771442376.2478356,1771442376.5105648,283.19478034973145,239.436907,0.0006209999999999999,0.183829,0.0,0.0
2,0.2003338898163606,site2,10.100.20.53:8000,momentbase,ecgclass,1771442376.2590127,1771442376.5156775,1771442376.5361037,281.12292289733887,7.480092,0.000451,12.607749,0.0,0.0
3,0.3005008347245409,site2,10.100.20.53:8000,momentbase,ecgclass,1771442376.3596127,1771442376.5156775,1771442376.5361037,180.57608604431152,7.480092,0.00028000000000000003,0.177299,0.0,0.0
4,0.4006677796327212,site2,10.100.20.53:8000,momentbase,ecgclass,1771442376.4604132,1771442376.5156775,1771442376.5361037,79.85544204711914,7.480092,0.00033099999999999997,0.13467500000000002,0.0,0.0
5,0.5008347245409015,site2,10.100.20.53:8000,momentbase,ecgclass,1771442376.5595326,1771442376.5600119,1771442376.5695293,13.886213302612305,7.344447,0.000561,2.152002,0.0,0.0
6,0.6010016694490818,site2,10.100.20.53:8000,momentbase,ecgclass,1771442376.6598685,1771442376.6610487,1771442376.670784,13.920307159423828,7.417498,0.000451,2.294899,0.0,0.0
7,0.7011686143572621,site2,10.100.20.53:8000,momentbase,ecgclass,1771442376.760182,1771442376.761348,1771442376.7710698,14.24860954284668,7.467834,0.00035,2.2320740000000003,0.0,0.0
8,0.8013355592654424,site2,10.100.20.53:8000,momentbase,ecgclass,1771442376.8608453,1771442376.861946,1771442376.8716948,13.79084587097168,7.532472,0.000391,2.193925,0.0,0.0
9,0.9015025041736228,site2,10.100.20.53:8000,momentbase,ecgclass,1771442376.9610693,1771442376.9622202,1771442376.9719765,16.153573989868164,7.389775,0.0008320000000000001,2.3362220000000002,0.0,0.0
10,1.001669449081803,site2,10.100.20.53:8000,momentbase,ecgclass,1771442377.060619,1771442377.0617006,1771442377.0714438,15.641212463378906,7.4819960000000005,0.00058,2.2393650000000003,0.0,0.0
