req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,device_end_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),pred,true
0,0.043478260869565216,site2,10.100.40.30:8000,momentbase,ecgclass,1772388702.3119066,1772388702.3400927,1772388702.6001425,295.3147888183594,251.027769,0.002831,8.963863,0.0,0.0
1,0.08695652173913043,site2,10.100.40.30:8000,momentbase,gestureclass,1772388702.3552861,1772388702.6100135,1772388702.625791,274.98769760131836,15.4572,0.001975,0.291044,4.0,4.0
2,0.13043478260869565,site2,10.100.40.30:8000,momentbase,ecgclass,1772388702.3987663,1772388702.6329434,1772388702.645329,251.03116035461426,12.102968,0.001471,0.258177,0.0,0.0
3,0.17391304347826086,site2,10.100.40.30:8000,momentbase,ecgclass,1772388702.4422064,1772388702.6521142,1772388702.6639314,226.0124683380127,11.558206,0.0013620000000000001,0.23709999999999998,0.0,0.0
4,0.21739130434782608,site2,10.100.40.30:8000,momentbase,gestureclass,1772388702.4857666,1772388702.6708772,1772388702.6836295,202.2233009338379,12.499635,0.001474,0.230602,4.0,4.0
5,0.2608695652173913,site2,10.100.40.30:8000,momentbase,ecgclass,1772388702.5293007,1772388702.6906424,1772388702.703461,178.40027809143066,12.569909,0.001431,0.226862,0.0,0.0
6,0.30434782608695654,site2,10.100.40.30:8000,momentbase,ecgclass,1772388702.5727406,1772388702.7103453,1772388702.7234747,155.32326698303223,12.875684999999999,0.001368,0.23111,0.0,0.0
7,0.34782608695652173,site2,10.100.40.30:8000,momentbase,gestureclass,1772388702.616297,1772388702.7306082,1772388702.7440188,132.28988647460938,13.124328,0.0015910000000000002,0.26089100000000004,4.0,4.0
8,0.3913043478260869,site2,10.100.40.30:8000,momentbase,ecgclass,1772388702.6594958,1772388702.7514098,1772388702.764953,110.38494110107422,13.179672,0.002798,0.31777299999999997,0.0,0.0
9,0.43478260869565216,site2,10.100.40.30:8000,momentbase,ecgclass,1772388702.7029142,1772388702.7727811,1772388702.785229,86.81535720825195,12.137300999999999,0.0017620000000000001,0.28216,0.0,0.0
10,0.4782608695652174,site2,10.100.40.30:8000,momentbase,gestureclass,1772388702.748071,1772388702.792253,1772388702.8046381,60.93120574951172,12.118785,0.001431,0.24344500000000002,4.0,4.0
11,0.5217391304347826,site2,10.100.40.30:8000,momentbase,ecgclass,1772388702.7900903,1772388702.8116233,1772388702.8241415,38.34795951843262,12.264208,0.001348,0.23299799999999998,0.0,0.0
12,0.5652173913043478,site2,10.100.40.30:8000,momentbase,gestureclass,1772388702.8335512,1772388702.8374536,1772388702.8543856,25.270462036132812,16.662478,0.0015069999999999999,0.24598699999999998,4.0,4.0
13,0.6086956521739131,site2,10.100.40.30:8000,momentbase,ecgclass,1772388702.8770695,1772388702.8809528,1772388702.8963678,23.688554763793945,15.127385,0.001531,0.262638,0.0,0.0
14,0.6521739130434783,site2,10.100.40.30:8000,momentbase,ecgclass,1772388702.920646,1772388702.9246807,1772388702.9459224,30.47633171081543,20.781809,0.003602,0.398282,0.0,0.0
15,0.6956521739130435,site2,10.100.40.30:8000,momentbase,gestureclass,1772388702.9640057,1772388702.9682806,1772388702.991631,32.318115234375,23.016592,0.00196,0.303699,4.0,4.0
16,0.7391304347826086,site2,10.100.40.30:8000,momentbase,ecgclass,1772388703.0074866,1772388703.0112684,1772388703.0269926,24.037837982177734,15.411181,0.001464,0.286607,0.0,0.0
17,0.7826086956521738,site2,10.100.40.30:8000,momentbase,ecgclass,1772388703.0510447,1772388703.0549076,1772388703.073432,26.791095733642578,18.233340000000002,0.001595,0.265899,0.0,0.0
18,0.8260869565217391,site2,10.100.40.30:8000,momentbase,gestureclass,1772388703.0945647,1772388703.098654,1772388703.119002,29.781579971313477,19.89942,0.00268,0.398184,4.0,4.0
19,0.8695652173913043,site2,10.100.40.30:8000,momentbase,ecgclass,1772388703.1380484,1772388703.1426156,1772388703.1624742,29.120683670043945,19.535433,0.0020090000000000004,0.292361,0.0,0.0
20,0.9130434782608695,site2,10.100.40.30:8000,momentbase,ecgclass,1772388703.18141,1772388703.1853678,1772388703.2021344,25.352954864501953,16.370164,0.0019089999999999999,0.363336,0.0,0.0
21,0.9565217391304348,site2,10.100.40.30:8000,momentbase,gestureclass,1772388703.224818,1772388703.2286453,1772388703.246461,26.038408279418945,17.513909,0.001586,0.275592,4.0,4.0
22,1.0,site2,10.100.40.30:8000,momentbase,ecgclass,1772388703.2685735,1772388703.2723613,1772388703.288994,25.081157684326172,16.324621,0.001578,0.281529,0.0,0.0
23,1.0434782608695652,site2,10.100.40.30:8000,momentbase,ecgclass,1772388703.311777,1772388703.3164842,1772388703.3356447,28.76758575439453,18.782512,0.002034,0.34129899999999996,0.0,0.0
24,1.0869565217391304,site2,10.100.40.30:8000,momentbase,gestureclass,1772388703.3553312,1772388703.359251,1772388703.379674,28.872251510620117,20.058521,0.001949,0.33355199999999996,4.0,4.0
