req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,device_start_time,device_end_time,end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms),pred,true
0,0.021739130434782608,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.5477233,1772388904.5708764,1772388904.8604686,318.0346488952637,278.466478,0.002851,11.062335,0.0,0.0
1,0.043478260869565216,site2,10.100.40.30:8000,momentbase,gestureclass,1772388904.569376,1772388904.8680778,1772388904.883369,317.5621032714844,14.906094999999999,0.00295,0.33726300000000003,4.0,4.0
2,0.06521739130434782,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.5914512,1772388904.8891537,1772388904.9019222,313.9169216156006,12.397540000000001,0.002663,0.31920800000000005,0.0,0.0
3,0.08695652173913043,site2,10.100.40.30:8000,momentbase,sysbp,1772388904.6131546,1772388904.907975,1772388904.9257128,316.0281181335449,14.002926,0.002699,3.686097,120.67644500732422,98.0
4,0.10869565217391304,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.6350636,1772388904.9313674,1772388904.944399,312.67762184143066,12.692402,0.002288,0.303591,0.0,0.0
5,0.13043478260869565,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.6567638,1772388904.9498198,1772388904.9626179,309.6728324890137,12.425708,0.002755,0.327611,0.0,0.0
6,0.15217391304347827,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.6786213,1772388904.9687448,1772388904.9816859,306.78844451904297,12.558035,0.0030350000000000004,0.33886700000000003,0.0,0.0
7,0.17391304347826086,site2,10.100.40.30:8000,momentbase,gestureclass,1772388904.7001953,1772388904.987537,1772388905.0006852,304.645299911499,12.76725,0.003309,0.33501499999999995,4.0,4.0
8,0.19565217391304346,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.7215323,1772388905.0064664,1772388905.019399,301.3310432434082,12.586471,0.002813,0.307018,0.0,0.0
10,0.2391304347826087,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.765359,1772388905.0248475,1772388905.037273,275.327205657959,12.096214,0.002177,0.29619100000000004,0.0,0.0
11,0.2608695652173913,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.7869165,1772388905.0428095,1772388905.055225,271.68750762939453,12.111709,0.00213,0.274169,0.0,0.0
12,0.2826086956521739,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.808534,1772388905.0606291,1772388905.0731554,267.8985595703125,12.219339,0.002065,0.27864099999999997,0.0,0.0
9,0.21739130434782608,site2,10.100.40.30:8010,chronosbase,sysbp,1772388904.7432961,1772388904.7650254,1772388905.0864599,350.2500057220459,314.71133899999995,0.003303,6.672139,126.78034973144531,98.0
13,0.30434782608695654,site2,10.100.40.30:8000,momentbase,gestureclass,1772388904.83032,1772388905.0785804,1772388905.0912879,263.9334201812744,12.38433,0.002394,0.28857,4.0,4.0
14,0.32608695652173914,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.8520105,1772388905.0964952,1772388905.1089556,260.27894020080566,12.125962000000001,0.002398,0.30196,0.0,0.0
15,0.34782608695652173,site2,10.100.40.30:8000,momentbase,sysbp,1772388904.8737388,1772388905.1140552,1772388905.141705,271.1162567138672,27.217702,0.0020559999999999997,0.396002,121.51470184326172,98.0
16,0.3695652173913043,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.8954818,1772388905.146785,1772388905.1620417,269.8338031768799,14.942663,0.001866,0.284653,0.0,0.0
17,0.3913043478260869,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.9171355,1772388905.1675396,1772388905.179745,266.05772972106934,11.909279999999999,0.00176,0.268319,0.0,0.0
18,0.41304347826086957,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.938905,1772388905.1852386,1772388905.1973033,261.68179512023926,11.769595,0.0018,0.267758,0.0,0.0
19,0.43478260869565216,site2,10.100.40.30:8000,momentbase,gestureclass,1772388904.960769,1772388905.2026794,1772388905.2147675,257.4021816253662,11.797004999999999,0.001813,0.26520200000000005,4.0,4.0
20,0.45652173913043476,site2,10.100.40.30:8000,momentbase,ecgclass,1772388904.9824135,1772388905.220444,1772388905.232399,253.24082374572754,11.670845,0.0020320000000000004,0.25849500000000003,0.0,0.0
21,0.4782608695652174,site2,10.100.40.30:8000,momentbase,sysbp,1772388905.0043304,1772388905.2376568,1772388905.2548065,253.93128395080566,12.093357000000001,0.001702,5.027989,122.6331787109375,98.0
22,0.5,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.0262651,1772388905.2603602,1772388905.2725136,250.93889236450195,11.861269,0.0017310000000000001,0.265275,0.0,0.0
23,0.5217391304347826,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.0477815,1772388905.277972,1772388905.2902722,245.78475952148438,12.012994,0.0027760000000000003,0.2592,0.0,0.0
24,0.5434782608695652,site2,10.100.40.30:8000,momentbase,gestureclass,1772388905.0694969,1772388905.2957273,1772388905.3077407,242.8264617919922,11.72839,0.001657,0.258952,4.0,4.0
25,0.5652173913043478,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.0912142,1772388905.3144865,1772388905.3268101,239.4239902496338,12.02538,0.001671,0.27113000000000004,0.0,0.0
26,0.5869565217391304,site2,10.100.40.30:8000,momentbase,sysbp,1772388905.1128397,1772388905.3321738,1772388905.3487895,239.69578742980957,11.998864,0.001676,4.589849,121.86304473876953,98.0
27,0.6086956521739131,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.1345274,1772388905.3541589,1772388905.366269,234.98010635375977,11.820422,0.0022819999999999997,0.262871,0.0,0.0
28,0.6304347826086957,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.1562748,1772388905.3716738,1772388905.3835232,230.49616813659668,11.559135999999999,0.002176,0.263527,0.0,0.0
29,0.6521739130434783,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.1781244,1772388905.3888354,1772388905.4007695,225.80838203430176,11.650720999999999,0.002192,0.257319,0.0,0.0
30,0.6739130434782609,site2,10.100.40.30:8000,momentbase,gestureclass,1772388905.2000196,1772388905.4060912,1772388905.4182231,221.42720222473145,11.840598,0.0018369999999999999,0.265449,4.0,4.0
31,0.6956521739130435,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.2215948,1772388905.423528,1772388905.4354272,217.17119216918945,11.610222,0.0019360000000000002,0.262542,0.0,0.0
32,0.717391304347826,site2,10.100.40.30:8000,momentbase,sysbp,1772388905.2433074,1772388905.4407027,1772388905.457444,217.74911880493164,12.693159000000001,0.002141,4.019823,121.1879653930664,98.0
33,0.7391304347826086,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.2650383,1772388905.4635656,1772388905.4756227,215.1780128479004,11.769973,0.002562,0.259751,0.0,0.0
34,0.7608695652173912,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.2868505,1772388905.4829047,1772388905.4967911,214.524507522583,13.583285,0.001872,0.275718,0.0,0.0
35,0.7826086956521738,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.308549,1772388905.5039268,1772388905.5166533,212.5413417816162,12.432812,0.001834,0.265204,0.0,0.0
36,0.8043478260869565,site2,10.100.40.30:8000,momentbase,gestureclass,1772388905.330244,1772388905.5233278,1772388905.5361457,209.1977596282959,12.516526,0.002062,0.273305,4.0,4.0
37,0.8260869565217391,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.3521733,1772388905.5414581,1772388905.553511,204.55360412597656,11.759416,0.00219,0.266738,0.0,0.0
38,0.8478260869565217,site2,10.100.40.30:8000,momentbase,sysbp,1772388905.373783,1772388905.5587447,1772388905.5752814,204.63013648986816,12.269007,0.001373,4.244266,121.09429931640625,98.0
39,0.8695652173913043,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.3953986,1772388905.5804474,1772388905.592135,199.6915340423584,11.402647,0.001735,0.26242000000000004,0.0,0.0
40,0.8913043478260869,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.4171371,1772388905.5970712,1772388905.608547,194.58484649658203,11.232508000000001,0.001474,0.222479,0.0,0.0
41,0.9130434782608695,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.4390554,1772388905.613608,1772388905.6252174,189.345121383667,11.351185,0.0014240000000000001,0.236979,0.0,0.0
42,0.9347826086956521,site2,10.100.40.30:8000,momentbase,gestureclass,1772388905.4606478,1772388905.6302972,1772388905.6421223,184.56149101257324,11.566164,0.00139,0.23793999999999998,4.0,4.0
43,0.9565217391304348,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.4826117,1772388905.6471522,1772388905.6589725,179.61907386779785,11.556640999999999,0.0012720000000000001,0.242729,0.0,0.0
44,0.9782608695652174,site2,10.100.40.30:8000,momentbase,sysbp,1772388905.5041125,1772388905.664014,1772388905.6804743,179.60858345031738,12.026112,0.0014479999999999999,4.411022,122.48690795898438,98.0
45,1.0,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.5258412,1772388905.6857297,1772388905.6976025,174.84807968139648,11.606323,0.001512,0.242919,0.0,0.0
46,1.0217391304347825,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.5475688,1772388905.7027934,1772388905.7145693,170.0146198272705,11.514185,0.001361,0.240424,0.0,0.0
47,1.0434782608695652,site2,10.100.40.30:8000,momentbase,gestureclass,1772388905.5695417,1772388905.7196767,1772388905.7314343,164.99567031860352,11.491908,0.001535,0.24320599999999998,4.0,4.0
48,1.065217391304348,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.5910792,1772388905.7365365,1772388905.7488823,161.32783889770508,11.961969,0.0027630000000000003,0.34717800000000004,0.0,0.0
49,1.0869565217391304,site2,10.100.40.30:8000,momentbase,sysbp,1772388905.612883,1772388905.7545109,1772388905.7712953,161.8187427520752,12.639718,0.0019939999999999997,4.114135,120.95635223388672,98.0
50,1.108695652173913,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.6346157,1772388905.776632,1772388905.7886598,157.09590911865234,11.713370000000001,0.001593,0.29098399999999996,0.0,0.0
51,1.1304347826086956,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.6563685,1772388905.7937741,1772388905.8056016,152.6193618774414,11.582444,0.00134,0.224053,0.0,0.0
52,1.1521739130434783,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.6781654,1772388905.8105733,1772388905.8223577,147.16792106628418,11.533616,0.001483,0.23017,0.0,0.0
55,1.2173913043478262,site2,10.100.40.30:8010,chronosbase,sysbp,1772388905.7431812,1772388905.747962,1772388905.8253183,86.81845664978027,76.460014,0.003529,0.860194,126.78034973144531,98.0
53,1.1739130434782608,site2,10.100.40.30:8000,momentbase,gestureclass,1772388905.6999042,1772388905.827366,1772388905.8393347,142.38834381103516,11.698978,0.001519,0.237132,4.0,4.0
54,1.1956521739130435,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.7214828,1772388905.8442035,1772388905.8558745,137.4666690826416,11.427308,0.001338,0.22261199999999998,0.0,0.0
56,1.2391304347826086,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.7649286,1772388905.86078,1772388905.8725731,110.73446273803711,11.555417,0.0013260000000000001,0.217154,0.0,0.0
57,1.2608695652173914,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.786716,1772388905.8775196,1772388905.8890636,105.49163818359375,11.307086,0.001248,0.21728599999999998,0.0,0.0
58,1.2826086956521738,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.808513,1772388905.8940873,1772388905.9057214,100.30531883239746,11.379609,0.001368,0.233966,0.0,0.0
59,1.3043478260869565,site2,10.100.40.30:8000,momentbase,gestureclass,1772388905.8304014,1772388905.910801,1772388905.922666,95.47948837280273,11.608146,0.0014089999999999999,0.23398,4.0,4.0
60,1.326086956521739,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.8524716,1772388905.9279149,1772388905.9396665,90.74616432189941,11.481290999999999,0.0015910000000000002,0.247186,0.0,0.0
61,1.3478260869565217,site2,10.100.40.30:8000,momentbase,sysbp,1772388905.8743312,1772388905.944886,1772388905.961452,90.1334285736084,12.050225,0.001443,4.492757,120.36653137207031,98.0
62,1.3695652173913042,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.8955336,1772388905.9665096,1772388905.9783554,85.92414855957031,11.587646,0.001402,0.23602399999999998,0.0,0.0
63,1.391304347826087,site2,10.100.40.30:8000,momentbase,ecgclass,1772388905.917241,1772388905.9833968,1772388905.9952238,81.07614517211914,11.580928,0.001285,0.224827,0.0,0.0
