task,condition,elapsed_sec,latency_ms
ecgclass,single_ecgclass,0.0,256.3539
ecgclass,single_ecgclass,0.2417,24.7633
ecgclass,single_ecgclass,0.4758,11.3969
ecgclass,single_ecgclass,0.7135,11.3072
ecgclass,single_ecgclass,0.7409,10.4887
ecgclass,single_ecgclass,0.7512,10.2267
ecgclass,single_ecgclass,0.8946,11.3337
ecgclass,single_ecgclass,1.0362,11.2319
ecgclass,single_ecgclass,1.3488,11.3418
ecgclass,single_ecgclass,1.3562,13.5517
ecgclass,single_ecgclass,1.4609,11.2898
ecgclass,single_ecgclass,1.4682,13.5186
ecgclass,single_ecgclass,1.5769,11.5402
ecgclass,single_ecgclass,1.7507,11.2326
ecgclass,single_ecgclass,1.789,10.4103
ecgclass,single_ecgclass,1.9116,11.2212
ecgclass,single_ecgclass,1.9269,10.1421
ecgclass,single_ecgclass,1.9369,10.0024
ecgclass,single_ecgclass,1.968,10.3154
ecgclass,single_ecgclass,2.0585,11.2522
ecgclass,single_ecgclass,2.0998,10.5345
ecgclass,single_ecgclass,2.2245,11.3025
ecgclass,single_ecgclass,2.2469,10.4425
ecgclass,single_ecgclass,2.4306,11.4293
ecgclass,single_ecgclass,2.5532,11.4794
ecgclass,single_ecgclass,2.6188,11.0495
ecgclass,single_ecgclass,2.66,10.6411
ecgclass,single_ecgclass,2.7057,10.6142
ecgclass,single_ecgclass,2.713,12.9509
ecgclass,single_ecgclass,2.731,10.1945
ecgclass,single_ecgclass,2.8013,11.066
ecgclass,single_ecgclass,2.8395,10.6256
ecgclass,single_ecgclass,2.9653,11.7173
ecgclass,single_ecgclass,3.0371,11.2104
ecgclass,single_ecgclass,3.0594,10.38
ecgclass,single_ecgclass,3.1069,10.6907
ecgclass,single_ecgclass,3.1707,10.9756
ecgclass,single_ecgclass,3.2047,10.3953
ecgclass,single_ecgclass,3.2362,10.4055
ecgclass,single_ecgclass,3.3247,11.2472
ecgclass,single_ecgclass,3.3551,10.3698
ecgclass,single_ecgclass,3.4876,11.3578
ecgclass,single_ecgclass,3.6272,11.5702
ecgclass,single_ecgclass,3.7349,11.2386
ecgclass,single_ecgclass,3.7423,13.5455
ecgclass,single_ecgclass,3.856,11.2455
ecgclass,single_ecgclass,3.9914,11.2648
ecgclass,single_ecgclass,4.1038,11.2214
ecgclass,single_ecgclass,4.1311,10.2274
ecgclass,single_ecgclass,4.1634,10.4029
ecgclass,single_ecgclass,4.1799,10.1771
ecgclass,single_ecgclass,4.2151,10.4415
