task,condition,elapsed_sec,latency_ms
ecgclass,no_sharing,0.0,301.8441
ecgclass,no_sharing,0.0209,439.6784
ecgclass,no_sharing,0.04,420.6467
ecgclass,no_sharing,0.0597,400.9044
ecgclass,no_sharing,0.0621,398.5634
ecgclass,no_sharing,0.0634,397.2027
ecgclass,no_sharing,0.0751,385.5743
ecgclass,no_sharing,0.0866,374.0542
ecgclass,no_sharing,0.113,347.6002
ecgclass,no_sharing,0.1131,347.5895
ecgclass,no_sharing,0.1223,338.3694
ecgclass,no_sharing,0.1223,338.3603
ecgclass,no_sharing,0.1323,328.3672
ecgclass,no_sharing,0.146,314.6579
ecgclass,no_sharing,0.1495,311.126
ecgclass,no_sharing,0.1599,300.7467
ecgclass,no_sharing,0.1613,299.3379
ecgclass,no_sharing,0.1614,299.3309
ecgclass,no_sharing,0.1642,296.5109
ecgclass,no_sharing,0.172,288.7015
ecgclass,no_sharing,0.1753,285.3487
ecgclass,no_sharing,0.1861,274.5893
ecgclass,no_sharing,0.1876,273.0792
ecgclass,no_sharing,0.203,257.6995
ecgclass,no_sharing,0.2136,247.1204
ecgclass,no_sharing,0.2189,241.7915
ecgclass,no_sharing,0.2223,238.4627
ecgclass,no_sharing,0.2259,234.7994
ecgclass,no_sharing,0.2262,234.5693
ecgclass,no_sharing,0.2277,233.0379
ecgclass,no_sharing,0.2343,226.3873
ecgclass,no_sharing,0.237,223.7184
ecgclass,no_sharing,0.2476,213.1412
ecgclass,no_sharing,0.2539,206.82
ecgclass,no_sharing,0.2553,205.4539
ecgclass,no_sharing,0.2598,200.9718
ecgclass,no_sharing,0.2651,195.6475
ecgclass,no_sharing,0.268,192.7903
ecgclass,no_sharing,0.2703,190.4993
ecgclass,no_sharing,0.278,182.8101
ecgclass,no_sharing,0.2797,181.0343
ecgclass,no_sharing,0.291,169.7347
ecgclass,no_sharing,0.3031,227.2892
ecgclass,no_sharing,0.3114,219.3737
ecgclass,no_sharing,0.3128,217.9992
ecgclass,no_sharing,0.3214,209.3284
ecgclass,no_sharing,0.3327,198.0364
ecgclass,no_sharing,0.3423,188.9448
ecgclass,no_sharing,0.3446,186.6457
ecgclass,no_sharing,0.3479,183.358
ecgclass,no_sharing,0.3484,182.9319
ecgclass,no_sharing,0.3522,179.1201
ecgclass,no_sharing,0.3522,179.1122
ecgclass,no_sharing,0.3536,177.6776
ecgclass,no_sharing,0.364,167.9728
ecgclass,no_sharing,0.3979,134.0475
ecgclass,no_sharing,0.4025,129.4155
ecgclass,no_sharing,0.4048,127.1255
ecgclass,no_sharing,0.4082,123.7922
ecgclass,no_sharing,0.4106,121.3398
ecgclass,no_sharing,0.412,119.9932
ecgclass,no_sharing,0.4216,110.7378
ecgclass,no_sharing,0.4322,100.1501
ecgclass,no_sharing,0.4448,87.5423
ecgclass,no_sharing,0.4899,65.9537
ecgclass,no_sharing,0.5066,49.464
ecgclass,no_sharing,0.5202,35.8703
ecgclass,no_sharing,0.5298,49.5937
ecgclass,no_sharing,0.5344,45.0685
ecgclass,no_sharing,0.5344,45.4776
ecgclass,no_sharing,0.5423,37.575
ecgclass,no_sharing,0.5482,31.7798
ecgclass,no_sharing,0.5602,37.2238
ecgclass,no_sharing,0.578,19.4955
ecgclass,no_sharing,0.5796,31.7478
ecgclass,no_sharing,0.58,31.4097
ecgclass,no_sharing,0.5887,23.1147
ecgclass,no_sharing,0.6092,15.224
ecgclass,no_sharing,0.6164,21.1806
ecgclass,no_sharing,0.6339,16.6981
ecgclass,no_sharing,0.6407,28.5878
ecgclass,no_sharing,0.6517,40.0405
ecgclass,no_sharing,0.654,38.1331
ecgclass,no_sharing,0.6543,37.8435
ecgclass,no_sharing,0.6557,36.4575
ecgclass,no_sharing,0.6571,35.1048
ecgclass,no_sharing,0.6571,35.2669
ecgclass,no_sharing,0.6713,42.4912
ecgclass,no_sharing,0.6759,38.0368
ecgclass,no_sharing,0.6792,34.853
ecgclass,no_sharing,0.6876,26.5794
ecgclass,no_sharing,0.6863,27.8523
ecgclass,no_sharing,0.7038,25.9209
ecgclass,no_sharing,0.7153,33.4892
ecgclass,no_sharing,0.718,31.0583
ecgclass,no_sharing,0.7194,29.7019
ecgclass,no_sharing,0.7235,26.0303
ecgclass,no_sharing,0.7258,23.6814
ecgclass,no_sharing,0.7272,22.3374
ecgclass,no_sharing,0.7309,32.0482
ecgclass,no_sharing,0.7494,28.3747
ecgclass,no_sharing,0.7579,19.9487
ecgclass,no_sharing,0.784,13.721
ecgclass,no_sharing,0.8008,13.7763
ecgclass,no_sharing,0.8105,17.7221
ecgclass,no_sharing,0.8256,16.537
ecgclass,no_sharing,0.8318,24.1768
ecgclass,no_sharing,0.8405,15.6999
ecgclass,no_sharing,0.8443,25.7647
ecgclass,no_sharing,0.8456,24.4093
ecgclass,no_sharing,0.8631,20.9823
ecgclass,no_sharing,0.8645,19.7904
ecgclass,no_sharing,0.8667,17.6249
ecgclass,no_sharing,0.869,15.4076
ecgclass,no_sharing,0.8772,22.6579
ecgclass,no_sharing,0.8799,20.0763
ecgclass,no_sharing,0.8865,31.5108
ecgclass,no_sharing,0.9041,27.9615
ecgclass,no_sharing,0.917,15.0509
ecgclass,no_sharing,0.9263,19.7487
ecgclass,no_sharing,0.9278,18.2438
ecgclass,no_sharing,0.9382,22.0456
ecgclass,no_sharing,0.9418,18.4424
ecgclass,no_sharing,0.9432,17.0619
ecgclass,no_sharing,0.9458,28.3058
ecgclass,no_sharing,0.9462,27.9112
ecgclass,no_sharing,0.9544,19.8388
ecgclass,no_sharing,0.9627,24.3874
ecgclass,no_sharing,0.9651,22.1379
ecgclass,no_sharing,0.9651,22.2013
ecgclass,no_sharing,0.9884,13.8049
ecgclass,no_sharing,0.995,21.0786
ecgclass,no_sharing,1.0074,23.7865
ecgclass,no_sharing,1.0101,21.0717
ecgclass,no_sharing,1.024,20.1845
ecgclass,no_sharing,1.0381,18.9257
ecgclass,no_sharing,1.0381,18.9157
ecgclass,no_sharing,1.0838,13.8245
ecgclass,no_sharing,1.089,22.0785
ecgclass,no_sharing,1.1009,23.1631
ecgclass,no_sharing,1.1033,21.0717
ecgclass,no_sharing,1.1108,27.6184
ecgclass,no_sharing,1.1134,25.0788
ecgclass,no_sharing,1.1275,23.9079
ecgclass,no_sharing,1.1308,20.6618
ecgclass,no_sharing,1.1377,27.1189
ecgclass,no_sharing,1.1416,23.2277
ecgclass,no_sharing,1.148,16.9995
ecgclass,no_sharing,1.1515,26.531
ecgclass,no_sharing,1.1571,20.9546
ecgclass,no_sharing,1.1571,21.183
ecgclass,no_sharing,1.1707,20.602
ecgclass,no_sharing,1.1911,16.3748
ecgclass,no_sharing,1.1964,21.4729
ecgclass,no_sharing,1.225,14.0884
ecgclass,no_sharing,1.2264,33.8774
ecgclass,no_sharing,1.2505,23.1793
ecgclass,no_sharing,1.252,21.6959
ecgclass,no_sharing,1.2582,15.6646
ecgclass,no_sharing,1.278,13.8357
ecgclass,no_sharing,1.2796,32.6133
ecgclass,no_sharing,1.281,31.2812
ecgclass,no_sharing,1.2916,35.9514
ecgclass,no_sharing,1.3004,27.1814
ecgclass,no_sharing,1.3027,24.8852
ecgclass,no_sharing,1.306,21.6267
ecgclass,no_sharing,1.3123,28.6624
ecgclass,no_sharing,1.3287,26.1328
ecgclass,no_sharing,1.3311,24.1508
ecgclass,no_sharing,1.3373,17.9453
ecgclass,no_sharing,1.3407,28.5299
ecgclass,no_sharing,1.3431,26.1309
ecgclass,no_sharing,1.3613,22.4423
ecgclass,no_sharing,1.3657,18.1065
ecgclass,no_sharing,1.3767,24.914
ecgclass,no_sharing,1.3791,22.6247
ecgclass,no_sharing,1.3814,20.5832
ecgclass,no_sharing,1.3903,32.8863
ecgclass,no_sharing,1.4018,35.9931
ecgclass,no_sharing,1.4105,27.3755
ecgclass,no_sharing,1.4203,17.5776
ecgclass,no_sharing,1.4285,21.7216
ecgclass,no_sharing,1.4375,25.4841
