task,condition,elapsed_sec,latency_ms
ecgclass,sharing,0.0,284.2269
ecgclass,sharing,0.1212,184.3817
ecgclass,sharing,0.2377,68.023
ecgclass,sharing,0.3572,12.6069
ecgclass,sharing,0.3709,15.9843
ecgclass,sharing,0.3752,24.1458
ecgclass,sharing,0.4475,12.347
ecgclass,sharing,0.518,12.0616
ecgclass,sharing,0.6751,13.1695
ecgclass,sharing,0.6787,20.8359
ecgclass,sharing,0.7307,20.9363
ecgclass,sharing,0.7344,17.2634
ecgclass,sharing,0.7884,15.4383
ecgclass,sharing,0.8752,12.7234
ecgclass,sharing,0.8951,12.6452
ecgclass,sharing,0.9559,12.7883
ecgclass,sharing,0.9644,16.1281
ecgclass,sharing,0.9685,24.3943
ecgclass,sharing,0.9846,19.7847
ecgclass,sharing,1.029,16.459
ecgclass,sharing,1.0496,11.7981
ecgclass,sharing,1.1125,13.9349
ecgclass,sharing,1.1237,14.2179
ecgclass,sharing,1.2151,13.2725
ecgclass,sharing,1.2771,12.4347
ecgclass,sharing,1.3097,12.495
ecgclass,sharing,1.3303,13.1226
ecgclass,sharing,1.3535,14.1938
ecgclass,sharing,1.3568,23.6633
ecgclass,sharing,1.3673,24.9984
ecgclass,sharing,1.4004,15.6679
ecgclass,sharing,1.4192,21.2119
ecgclass,sharing,1.4826,12.5861
ecgclass,sharing,1.5183,13.3805
ecgclass,sharing,1.5301,13.9847
ecgclass,sharing,1.5543,12.2483
ecgclass,sharing,1.5857,13.0973
ecgclass,sharing,1.6029,20.3595
ecgclass,sharing,1.6182,16.6752
ecgclass,sharing,1.6632,12.4028
ecgclass,sharing,1.6777,22.5184
ecgclass,sharing,1.7438,12.218
ecgclass,sharing,1.8132,18.836
ecgclass,sharing,1.8692,12.9504
ecgclass,sharing,1.8717,22.0413
ecgclass,sharing,1.9284,20.4551
ecgclass,sharing,1.9963,12.8019
ecgclass,sharing,2.0519,12.4505
ecgclass,sharing,2.0665,11.9295
ecgclass,sharing,2.0825,12.8515
ecgclass,sharing,2.0902,18.3382
