task,condition,elapsed_sec,latency_ms
ecgclass,single_ecgclass,0.0,284.368
ecgclass,single_ecgclass,0.1206,184.1524
ecgclass,single_ecgclass,0.2373,67.4505
ecgclass,single_ecgclass,0.3578,13.2792
ecgclass,single_ecgclass,0.3709,13.0291
ecgclass,single_ecgclass,0.3753,20.4275
ecgclass,single_ecgclass,0.4489,13.5934
ecgclass,single_ecgclass,0.5186,13.7501
ecgclass,single_ecgclass,0.6756,13.5536
ecgclass,single_ecgclass,0.6782,22.783
ecgclass,single_ecgclass,0.7312,15.9664
ecgclass,single_ecgclass,0.7347,24.436
ecgclass,single_ecgclass,0.7892,12.7885
ecgclass,single_ecgclass,0.8752,12.9132
ecgclass,single_ecgclass,0.8942,12.5608
ecgclass,single_ecgclass,0.9559,13.3064
ecgclass,single_ecgclass,0.9644,16.7525
ecgclass,single_ecgclass,0.9687,24.6255
ecgclass,single_ecgclass,0.9843,21.0843
ecgclass,single_ecgclass,1.0295,12.8412
ecgclass,single_ecgclass,1.0505,12.5499
ecgclass,single_ecgclass,1.1121,13.1783
ecgclass,single_ecgclass,1.1237,13.4959
ecgclass,single_ecgclass,1.2154,12.948
ecgclass,single_ecgclass,1.2765,12.9306
ecgclass,single_ecgclass,1.3096,13.1402
ecgclass,single_ecgclass,1.3308,12.8219
ecgclass,single_ecgclass,1.3538,13.6828
ecgclass,single_ecgclass,1.3574,21.9378
ecgclass,single_ecgclass,1.3658,25.2237
ecgclass,single_ecgclass,1.4011,12.6672
ecgclass,single_ecgclass,1.4199,12.5406
ecgclass,single_ecgclass,1.4826,13.0799
ecgclass,single_ecgclass,1.5188,13.8526
ecgclass,single_ecgclass,1.5304,15.907
ecgclass,single_ecgclass,1.5535,12.5377
ecgclass,single_ecgclass,1.5851,12.769
ecgclass,single_ecgclass,1.603,12.2128
ecgclass,single_ecgclass,1.6183,12.4142
ecgclass,single_ecgclass,1.6629,12.8272
ecgclass,single_ecgclass,1.6778,12.4297
ecgclass,single_ecgclass,1.7444,12.8276
ecgclass,single_ecgclass,1.8134,12.852
ecgclass,single_ecgclass,1.8674,13.4094
ecgclass,single_ecgclass,1.8719,20.4856
ecgclass,single_ecgclass,1.9295,12.8672
ecgclass,single_ecgclass,1.9956,13.0401
ecgclass,single_ecgclass,2.0518,12.9416
ecgclass,single_ecgclass,2.0658,12.3465
ecgclass,single_ecgclass,2.0822,12.7108
ecgclass,single_ecgclass,2.0905,16.1021
ecgclass,single_ecgclass,2.1077,13.057
ecgclass,single_ecgclass,2.109,23.9067
ecgclass,single_ecgclass,2.1174,15.6112
ecgclass,single_ecgclass,2.1832,13.0477
ecgclass,single_ecgclass,2.3835,12.7902
ecgclass,single_ecgclass,2.4114,12.4054
ecgclass,single_ecgclass,2.4249,12.1765
ecgclass,single_ecgclass,2.4452,12.4514
ecgclass,single_ecgclass,2.4637,12.7747
ecgclass,single_ecgclass,2.47,18.2247
ecgclass,single_ecgclass,2.5254,12.5823
ecgclass,single_ecgclass,2.5931,12.6617
ecgclass,single_ecgclass,2.668,12.8589
ecgclass,single_ecgclass,2.9342,13.0818
ecgclass,single_ecgclass,3.0394,12.9035
ecgclass,single_ecgclass,3.1215,12.6286
ecgclass,single_ecgclass,3.1733,12.6531
ecgclass,single_ecgclass,3.2031,13.2601
ecgclass,single_ecgclass,3.2056,22.5844
ecgclass,single_ecgclass,3.2534,12.8214
ecgclass,single_ecgclass,3.2853,12.6848
ecgclass,single_ecgclass,3.3591,12.7649
ecgclass,single_ecgclass,3.4611,12.7535
ecgclass,single_ecgclass,3.478,13.1705
ecgclass,single_ecgclass,3.4803,22.449
ecgclass,single_ecgclass,3.5259,12.5396
ecgclass,single_ecgclass,3.6537,12.9113
ecgclass,single_ecgclass,3.6947,12.8498
ecgclass,single_ecgclass,3.8017,12.9483
ecgclass,single_ecgclass,3.8388,12.7606
ecgclass,single_ecgclass,3.9047,12.9118
ecgclass,single_ecgclass,3.9198,13.3147
ecgclass,single_ecgclass,3.9262,19.4073
ecgclass,single_ecgclass,3.9328,25.4858
ecgclass,single_ecgclass,3.9393,19.0833
ecgclass,single_ecgclass,3.9416,16.8331
ecgclass,single_ecgclass,4.0276,13.0711
ecgclass,single_ecgclass,4.0509,12.3034
ecgclass,single_ecgclass,4.0693,12.696
ecgclass,single_ecgclass,4.1161,13.0603
ecgclass,single_ecgclass,4.1267,14.3905
ecgclass,single_ecgclass,4.2212,12.7032
ecgclass,single_ecgclass,4.287,12.3312
ecgclass,single_ecgclass,4.3025,12.7707
ecgclass,single_ecgclass,4.3128,14.2567
ecgclass,single_ecgclass,4.3392,12.7971
ecgclass,single_ecgclass,4.3541,13.2604
ecgclass,single_ecgclass,4.3585,20.7646
ecgclass,single_ecgclass,4.3833,12.2461
ecgclass,single_ecgclass,4.4958,13.0296
ecgclass,single_ecgclass,4.5459,12.7866
ecgclass,single_ecgclass,4.702,12.8648
ecgclass,single_ecgclass,4.803,12.9683
ecgclass,single_ecgclass,4.8591,12.8093
ecgclass,single_ecgclass,4.9511,12.8536
ecgclass,single_ecgclass,4.9871,12.8057
ecgclass,single_ecgclass,5.041,13.0618
ecgclass,single_ecgclass,5.0602,12.9919
ecgclass,single_ecgclass,5.0706,14.4241
ecgclass,single_ecgclass,5.1782,13.1435
ecgclass,single_ecgclass,5.1856,17.8065
ecgclass,single_ecgclass,5.1945,20.9682
ecgclass,single_ecgclass,5.2105,16.5601
ecgclass,single_ecgclass,5.2582,12.4884
ecgclass,single_ecgclass,5.2788,12.8729
ecgclass,single_ecgclass,5.3138,12.6228
ecgclass,single_ecgclass,5.4216,13.0196
ecgclass,single_ecgclass,5.4988,13.8333
ecgclass,single_ecgclass,5.5568,13.942
ecgclass,single_ecgclass,5.5654,17.3249
ecgclass,single_ecgclass,5.6249,13.0014
ecgclass,single_ecgclass,5.6481,13.1161
ecgclass,single_ecgclass,5.6535,19.4838
ecgclass,single_ecgclass,5.674,12.6104
ecgclass,single_ecgclass,5.6773,20.9908
ecgclass,single_ecgclass,5.7234,12.5978
ecgclass,single_ecgclass,5.7732,12.9197
ecgclass,single_ecgclass,5.7859,13.1128
ecgclass,single_ecgclass,5.7883,22.543
ecgclass,single_ecgclass,5.925,12.7494
ecgclass,single_ecgclass,5.9659,12.8407
ecgclass,single_ecgclass,6.0399,13.0231
ecgclass,single_ecgclass,6.0581,12.5189
ecgclass,single_ecgclass,6.1427,12.4881
ecgclass,single_ecgclass,6.2234,13.0751
ecgclass,single_ecgclass,6.2279,20.3049
ecgclass,single_ecgclass,6.4995,12.6407
ecgclass,single_ecgclass,6.5333,13.7997
ecgclass,single_ecgclass,6.6032,12.9845
ecgclass,single_ecgclass,6.6158,12.7375
ecgclass,single_ecgclass,6.6656,12.6903
ecgclass,single_ecgclass,6.6794,12.5163
ecgclass,single_ecgclass,6.7601,13.0947
ecgclass,single_ecgclass,6.7833,12.8639
ecgclass,single_ecgclass,6.8233,12.9066
ecgclass,single_ecgclass,6.8484,12.8002
ecgclass,single_ecgclass,6.8863,12.8102
ecgclass,single_ecgclass,6.9093,13.1447
ecgclass,single_ecgclass,6.9416,13.1674
ecgclass,single_ecgclass,6.9416,25.0235
ecgclass,single_ecgclass,7.0208,13.1376
ecgclass,single_ecgclass,7.1461,12.8546
ecgclass,single_ecgclass,7.1751,13.0708
ecgclass,single_ecgclass,7.3454,13.3851
ecgclass,single_ecgclass,7.354,16.6066
ecgclass,single_ecgclass,7.4938,13.2105
ecgclass,single_ecgclass,7.5111,12.5873
ecgclass,single_ecgclass,7.5448,13.1693
ecgclass,single_ecgclass,7.6672,13.5961
ecgclass,single_ecgclass,7.6727,20.2944
ecgclass,single_ecgclass,7.6829,22.1772
ecgclass,single_ecgclass,7.7502,12.8403
ecgclass,single_ecgclass,7.8002,12.9361
ecgclass,single_ecgclass,7.813,12.4121
ecgclass,single_ecgclass,7.8355,12.6169
ecgclass,single_ecgclass,7.8733,12.8856
ecgclass,single_ecgclass,7.9683,12.867
ecgclass,single_ecgclass,7.9863,12.2802
ecgclass,single_ecgclass,8.0257,12.7771
ecgclass,single_ecgclass,8.0416,12.3587
ecgclass,single_ecgclass,8.057,12.5487
ecgclass,single_ecgclass,8.1637,13.0899
ecgclass,single_ecgclass,8.192,12.8567
ecgclass,single_ecgclass,8.259,12.8143
ecgclass,single_ecgclass,8.2739,12.6359
ecgclass,single_ecgclass,8.2842,13.9997
ecgclass,single_ecgclass,8.3403,12.3413
ecgclass,single_ecgclass,8.4108,12.9614
ecgclass,single_ecgclass,8.4589,13.1066
ecgclass,single_ecgclass,8.5182,12.8052
ecgclass,single_ecgclass,8.5691,12.8558
ecgclass,single_ecgclass,8.6231,12.8694
ecgclass,single_ecgclass,8.7362,12.795
ecgclass,single_ecgclass,8.8772,12.8491
ecgclass,single_ecgclass,8.9102,13.2456
ecgclass,single_ecgclass,8.9147,20.4122
ecgclass,single_ecgclass,8.9852,12.9442
ecgclass,single_ecgclass,9.0273,12.8729
ecgclass,single_ecgclass,9.1494,12.9251
ecgclass,single_ecgclass,9.2015,13.2997
ecgclass,single_ecgclass,9.209,17.5409
ecgclass,single_ecgclass,9.2617,12.579
ecgclass,single_ecgclass,9.2904,12.9786
ecgclass,single_ecgclass,9.2959,19.4643
ecgclass,single_ecgclass,9.3095,17.6976
ecgclass,single_ecgclass,9.4834,12.964
ecgclass,single_ecgclass,9.5035,12.4462
ecgclass,single_ecgclass,9.5158,12.3003
ecgclass,single_ecgclass,9.5382,12.8634
ecgclass,single_ecgclass,9.6422,13.1235
ecgclass,single_ecgclass,9.6965,13.4919
ecgclass,single_ecgclass,9.7071,15.1005
ecgclass,single_ecgclass,9.7071,15.1386
ecgclass,single_ecgclass,9.7284,13.0026
ecgclass,single_ecgclass,9.7359,17.2234
ecgclass,single_ecgclass,9.8393,13.2303
ecgclass,single_ecgclass,9.8448,19.4979
ecgclass,single_ecgclass,9.8785,12.9228
ecgclass,single_ecgclass,9.9295,12.8448
ecgclass,single_ecgclass,10.0736,12.948
ecgclass,single_ecgclass,10.0876,12.6665
ecgclass,single_ecgclass,10.1745,13.0184
ecgclass,single_ecgclass,10.2126,13.0372
ecgclass,single_ecgclass,10.2988,13.3333
ecgclass,single_ecgclass,10.3172,12.7158
ecgclass,single_ecgclass,10.334,12.5508
ecgclass,single_ecgclass,10.3463,12.7137
ecgclass,single_ecgclass,10.3991,13.0246
ecgclass,single_ecgclass,10.4313,12.867
ecgclass,single_ecgclass,10.4743,12.9602
ecgclass,single_ecgclass,10.5384,12.872
ecgclass,single_ecgclass,10.5964,13.2844
ecgclass,single_ecgclass,10.6488,13.1373
ecgclass,single_ecgclass,10.7181,13.2921
ecgclass,single_ecgclass,10.7206,22.5158
ecgclass,single_ecgclass,10.7963,12.7678
ecgclass,single_ecgclass,10.8602,12.8355
ecgclass,single_ecgclass,10.8832,12.9359
ecgclass,single_ecgclass,10.8947,13.0732
ecgclass,single_ecgclass,10.9299,12.8462
ecgclass,single_ecgclass,11.031,12.8481
ecgclass,single_ecgclass,11.0479,12.8753
ecgclass,single_ecgclass,11.119,12.9406
ecgclass,single_ecgclass,11.2681,12.9411
ecgclass,single_ecgclass,11.2872,12.3391
ecgclass,single_ecgclass,11.5028,13.2284
ecgclass,single_ecgclass,11.5052,23.0014
ecgclass,single_ecgclass,11.5075,20.7965
