task,condition,elapsed_sec,latency_ms
ecgclass,single_ecgclass,0.0,240.8092
ecgclass,single_ecgclass,0.0606,190.4016
ecgclass,single_ecgclass,0.119,165.1077
ecgclass,single_ecgclass,0.1794,104.7053
ecgclass,single_ecgclass,0.1857,98.3417
ecgclass,single_ecgclass,0.188,96.1163
ecgclass,single_ecgclass,0.2252,58.8608
ecgclass,single_ecgclass,0.2591,35.4526
ecgclass,single_ecgclass,0.3376,11.0536
ecgclass,single_ecgclass,0.3404,18.0805
ecgclass,single_ecgclass,0.3656,10.3974
ecgclass,single_ecgclass,0.3692,16.6023
ecgclass,single_ecgclass,0.3959,10.4473
ecgclass,single_ecgclass,0.4384,11.3277
ecgclass,single_ecgclass,0.4488,10.86
ecgclass,single_ecgclass,0.4787,10.7174
ecgclass,single_ecgclass,0.4832,16.016
ecgclass,single_ecgclass,0.4845,24.478
ecgclass,single_ecgclass,0.4925,26.1011
ecgclass,single_ecgclass,0.515,13.3035
ecgclass,single_ecgclass,0.5257,12.3036
ecgclass,single_ecgclass,0.5571,10.6432
ecgclass,single_ecgclass,0.5624,15.264
ecgclass,single_ecgclass,0.6077,10.5896
ecgclass,single_ecgclass,0.6384,10.4594
ecgclass,single_ecgclass,0.6549,10.2234
ecgclass,single_ecgclass,0.665,10.0648
ecgclass,single_ecgclass,0.6772,10.4878
ecgclass,single_ecgclass,0.6784,18.9531
ecgclass,single_ecgclass,0.6836,23.4957
ecgclass,single_ecgclass,0.7004,16.3794
ecgclass,single_ecgclass,0.7101,16.3131
ecgclass,single_ecgclass,0.7415,10.597
ecgclass,single_ecgclass,0.7592,10.1104
ecgclass,single_ecgclass,0.7654,13.5505
ecgclass,single_ecgclass,0.7774,11.2658
ecgclass,single_ecgclass,0.7927,10.1588
ecgclass,single_ecgclass,0.8028,10.0305
ecgclass,single_ecgclass,0.81,12.3794
ecgclass,single_ecgclass,0.8325,10.1833
ecgclass,single_ecgclass,0.8387,13.6318
ecgclass,single_ecgclass,0.8724,10.5221
ecgclass,single_ecgclass,0.907,10.7884
ecgclass,single_ecgclass,0.9339,10.3567
ecgclass,single_ecgclass,0.9362,17.7646
ecgclass,single_ecgclass,0.964,10.2417
ecgclass,single_ecgclass,0.9983,10.4032
ecgclass,single_ecgclass,1.0258,10.2642
