task,condition,elapsed_sec,latency_ms
ecgclass,no_sharing,0.0001,265.3632
ecgclass,no_sharing,0.0303,246.176
ecgclass,no_sharing,0.0601,292.5925
ecgclass,no_sharing,0.0894,263.3104
ecgclass,no_sharing,0.0927,260.0741
ecgclass,no_sharing,0.0939,258.8685
ecgclass,no_sharing,0.1123,240.427
ecgclass,no_sharing,0.1296,295.0583
ecgclass,no_sharing,0.1688,255.9063
ecgclass,no_sharing,0.1701,254.5986
ecgclass,no_sharing,0.1828,241.9078
ecgclass,no_sharing,0.184,240.6819
ecgclass,no_sharing,0.1975,299.0098
ecgclass,no_sharing,0.219,277.5486
ecgclass,no_sharing,0.2242,272.2769
ecgclass,no_sharing,0.2395,257.0479
ecgclass,no_sharing,0.2418,254.735
ecgclass,no_sharing,0.243,325.2223
ecgclass,no_sharing,0.2464,321.8231
ecgclass,no_sharing,0.2578,310.3864
ecgclass,no_sharing,0.2631,305.1763
ecgclass,no_sharing,0.2786,289.6504
ecgclass,no_sharing,0.2809,359.0109
ecgclass,no_sharing,0.3042,335.676
ecgclass,no_sharing,0.3192,320.6632
ecgclass,no_sharing,0.3274,312.4454
ecgclass,no_sharing,0.3327,307.2228
ecgclass,no_sharing,0.3391,373.153
ecgclass,no_sharing,0.3391,373.1494
ecgclass,no_sharing,0.3415,370.7674
ecgclass,no_sharing,0.3509,361.3498
ecgclass,no_sharing,0.3558,356.4634
ecgclass,no_sharing,0.3711,413.1646
ecgclass,no_sharing,0.3814,402.9162
ecgclass,no_sharing,0.3827,401.5789
ecgclass,no_sharing,0.3889,395.3917
ecgclass,no_sharing,0.3971,387.1603
ecgclass,no_sharing,0.4008,456.0747
ecgclass,no_sharing,0.405,451.8666
ecgclass,no_sharing,0.4164,440.4042
ecgclass,no_sharing,0.4197,437.1066
ecgclass,no_sharing,0.4361,420.7366
ecgclass,no_sharing,0.4539,475.6246
ecgclass,no_sharing,0.4681,461.4122
ecgclass,no_sharing,0.4681,461.4077
ecgclass,no_sharing,0.4825,447.0308
ecgclass,no_sharing,0.4997,429.8751
ecgclass,no_sharing,0.5131,488.7631
ecgclass,no_sharing,0.5173,484.5557
ecgclass,no_sharing,0.5205,481.36
ecgclass,no_sharing,0.5228,479.1374
ecgclass,no_sharing,0.5273,474.5917
ecgclass,no_sharing,0.5273,548.1238
ecgclass,no_sharing,0.5296,545.866
ecgclass,no_sharing,0.5458,529.6574
ecgclass,no_sharing,0.5959,480.0956
ecgclass,no_sharing,0.6033,472.6796
ecgclass,no_sharing,0.6066,544.5974
ecgclass,no_sharing,0.612,539.1839
ecgclass,no_sharing,0.6162,534.9767
ecgclass,no_sharing,0.6174,533.7744
ecgclass,no_sharing,0.6318,519.3582
ecgclass,no_sharing,0.65,578.3172
ecgclass,no_sharing,0.6675,561.4474
ecgclass,no_sharing,0.7339,495.018
ecgclass,no_sharing,0.7606,468.344
ecgclass,no_sharing,0.7811,452.208
ecgclass,no_sharing,0.7947,506.9561
ecgclass,no_sharing,0.8009,501.1933
ecgclass,no_sharing,0.8021,499.9635
ecgclass,no_sharing,0.8133,488.76
ecgclass,no_sharing,0.8218,480.3035
ecgclass,no_sharing,0.8403,533.7896
ecgclass,no_sharing,0.867,507.1559
ecgclass,no_sharing,0.8702,503.9163
ecgclass,no_sharing,0.8702,503.9117
ecgclass,no_sharing,0.8817,492.4161
ecgclass,no_sharing,0.9142,532.2542
ecgclass,no_sharing,0.9245,522.1922
ecgclass,no_sharing,0.9509,495.949
ecgclass,no_sharing,0.9603,486.5153
ecgclass,no_sharing,0.9768,470.1877
ecgclass,no_sharing,0.98,539.5956
ecgclass,no_sharing,0.9822,537.4587
ecgclass,no_sharing,0.9834,536.319
ecgclass,no_sharing,0.9856,534.1272
ecgclass,no_sharing,0.9856,534.1227
ecgclass,no_sharing,1.0071,585.3209
ecgclass,no_sharing,1.0124,580.091
ecgclass,no_sharing,1.0176,575.1417
ecgclass,no_sharing,1.029,563.7238
ecgclass,no_sharing,1.0322,560.6296
ecgclass,no_sharing,1.0559,609.7264
ecgclass,no_sharing,1.0724,593.2593
ecgclass,no_sharing,1.0757,590.0693
ecgclass,no_sharing,1.0782,587.6875
ecgclass,no_sharing,1.0854,580.6444
ecgclass,no_sharing,1.0886,650.3706
ecgclass,no_sharing,1.0898,649.2519
ecgclass,no_sharing,1.0962,642.9701
ecgclass,no_sharing,1.1259,613.3206
ecgclass,no_sharing,1.1372,602.1957
ecgclass,no_sharing,1.1754,635.2813
ecgclass,no_sharing,1.2009,609.9293
ecgclass,no_sharing,1.2154,595.6278
ecgclass,no_sharing,1.2384,572.6116
ecgclass,no_sharing,1.2469,564.2078
ecgclass,no_sharing,1.2604,622.571
ecgclass,no_sharing,1.2656,617.4068
ecgclass,no_sharing,1.2679,615.7806
ecgclass,no_sharing,1.2951,588.5782
ecgclass,no_sharing,1.2963,587.3194
ecgclass,no_sharing,1.2995,656.23
ecgclass,no_sharing,1.3032,652.5834
ecgclass,no_sharing,1.3154,640.4827
ecgclass,no_sharing,1.3198,636.1871
ecgclass,no_sharing,1.33,626.0149
ecgclass,no_sharing,1.3557,673.5301
ecgclass,no_sharing,1.3752,653.9817
ecgclass,no_sharing,1.3895,639.7436
ecgclass,no_sharing,1.3918,637.4416
ecgclass,no_sharing,1.407,622.2301
ecgclass,no_sharing,1.4122,689.6698
ecgclass,no_sharing,1.4144,687.5145
ecgclass,no_sharing,1.4187,683.2867
ecgclass,no_sharing,1.4199,682.1291
ecgclass,no_sharing,1.4311,671.0148
ecgclass,no_sharing,1.4435,733.9566
ecgclass,no_sharing,1.4465,730.9859
ecgclass,no_sharing,1.448,729.676
ecgclass,no_sharing,1.4822,695.5287
ecgclass,no_sharing,1.4918,686.0495
ecgclass,no_sharing,1.5105,741.997
ecgclass,no_sharing,1.5148,737.7737
ecgclass,no_sharing,1.5363,716.2719
ecgclass,no_sharing,1.5567,696.6114
ecgclass,no_sharing,1.5579,695.3635
ecgclass,no_sharing,1.6252,701.273
ecgclass,no_sharing,1.6339,692.5833
ecgclass,no_sharing,1.6511,675.3755
ecgclass,no_sharing,1.6543,672.138
ecgclass,no_sharing,1.6661,660.4302
ecgclass,no_sharing,1.6703,728.6134
ecgclass,no_sharing,1.6907,708.4136
ecgclass,no_sharing,1.6959,703.1827
ecgclass,no_sharing,1.7063,692.7886
ecgclass,no_sharing,1.7125,686.5718
ecgclass,no_sharing,1.7228,749.2759
ecgclass,no_sharing,1.728,744.051
ecgclass,no_sharing,1.7354,736.649
ecgclass,no_sharing,1.7354,736.6457
ecgclass,no_sharing,1.7555,716.5852
ecgclass,no_sharing,1.7875,757.3016
ecgclass,no_sharing,1.7942,750.613
ecgclass,no_sharing,1.8364,708.9822
ecgclass,no_sharing,1.8387,706.7323
ecgclass,no_sharing,1.8745,670.9056
ecgclass,no_sharing,1.8779,740.1783
ecgclass,no_sharing,1.8868,731.2593
ecgclass,no_sharing,1.9173,700.8028
ecgclass,no_sharing,1.9187,699.5058
ecgclass,no_sharing,1.9209,697.3188
ecgclass,no_sharing,1.9374,753.5436
ecgclass,no_sharing,1.9498,741.1458
ecgclass,no_sharing,1.9536,737.8035
ecgclass,no_sharing,1.9591,732.3413
ecgclass,no_sharing,1.9693,722.1251
ecgclass,no_sharing,1.9924,772.361
ecgclass,no_sharing,1.9966,768.1561
ecgclass,no_sharing,2.0062,758.5502
ecgclass,no_sharing,2.0106,754.1513
ecgclass,no_sharing,2.0148,749.959
ecgclass,no_sharing,2.0416,796.488
ecgclass,no_sharing,2.0488,789.2959
ecgclass,no_sharing,2.0655,772.7051
ecgclass,no_sharing,2.0687,769.5246
ecgclass,no_sharing,2.0709,767.3471
ecgclass,no_sharing,2.0853,826.3788
ecgclass,no_sharing,2.1027,808.9757
ecgclass,no_sharing,2.1154,796.2778
ecgclass,no_sharing,2.1296,782.0823
ecgclass,no_sharing,2.1431,768.6064
ecgclass,no_sharing,2.1573,826.9
ecgclass,no_sharing,2.1849,799.3102
ecgclass,no_sharing,2.2197,764.5326
ecgclass,no_sharing,2.228,756.2351
ecgclass,no_sharing,2.2293,755.0519
ecgclass,no_sharing,2.2465,809.7484
ecgclass,no_sharing,2.2578,798.4774
ecgclass,no_sharing,2.2876,768.6179
ecgclass,no_sharing,2.3007,755.5273
ecgclass,no_sharing,2.3029,753.5887
ecgclass,no_sharing,2.3154,814.656
ecgclass,no_sharing,2.3226,807.4057
ecgclass,no_sharing,2.3239,806.1769
ecgclass,no_sharing,2.3281,802.5978
ecgclass,no_sharing,2.371,759.7697
ecgclass,no_sharing,2.3762,828.1569
ecgclass,no_sharing,2.3794,824.9457
ecgclass,no_sharing,2.3846,819.7441
ecgclass,no_sharing,2.4105,793.8836
ecgclass,no_sharing,2.4249,779.4874
