task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0001,414.8276,388.9178,319.6032,0.0031,68.8392,7.6196,25.9098,1775579443374898675
nyudepth,no_sharing,0.1609,381.4459,120.3443,29.1843,0.0028,45.4038,244.9794,261.1016,1775579443773039545
nyudepth,no_sharing,0.3166,232.2683,120.3443,29.1843,0.0028,45.4038,89.2792,111.9241,1775579443773039545
nyudepth,no_sharing,0.476,336.5026,258.8093,67.6785,0.0027,63.6101,63.5324,77.6933,1775579443906668526
nyudepth,no_sharing,0.4948,327.9321,258.8093,67.6785,0.0027,63.6101,44.6968,69.1229,1775579443906668526
nyudepth,no_sharing,0.5006,329.8919,258.8093,67.6785,0.0027,63.6101,38.9152,71.0827,1775579443906668526
nyudepth,no_sharing,0.5971,341.6557,107.5513,14.3513,0.0019,46.4589,217.6504,234.1045,1775579444181884560
nyudepth,no_sharing,0.6914,257.0622,107.5513,14.3513,0.0019,46.4589,123.3249,149.5109,1775579444181884560
nyudepth,no_sharing,0.8995,124.5112,54.9853,13.992,0.0018,20.3472,33.1903,69.526,1775579444299873532
nyudepth,no_sharing,0.9042,119.7937,54.9853,13.992,0.0018,20.3472,28.4579,64.8084,1775579444299873532
nyudepth,no_sharing,0.9831,74.0848,40.2682,14.7263,0.0018,25.2231,22.0773,33.8166,1775579444372358646
nyudepth,no_sharing,0.9831,142.9305,61.4041,14.7247,0.002,46.4012,67.9576,81.5264,1775579444418261515
nyudepth,no_sharing,1.0513,145.4031,61.9702,13.5566,0.0014,48.177,66.7326,83.433,1775579444485196853
nyudepth,no_sharing,1.1673,80.2681,45.34,14.5901,0.0016,30.4683,18.3182,34.9281,1775579444552759579
nyudepth,no_sharing,1.1967,91.9962,28.8215,13.6008,0.0015,14.9831,39.5761,63.1746,1775579444603466343
nyudepth,no_sharing,1.2885,87.9099,64.4189,14.5666,0.0027,49.5628,6.047,23.491,1775579444661730349
nyudepth,no_sharing,1.2885,251.9636,160.765,15.8876,0.0018,48.1938,77.0195,91.1986,1775579444732730079
nyudepth,no_sharing,1.291,260.4489,160.765,15.8876,0.0018,48.1938,74.5275,99.6839,1775579444732730079
nyudepth,no_sharing,1.3123,247.5016,160.765,15.8876,0.0018,48.1938,53.2804,86.7366,1775579444732730079
nyudepth,no_sharing,1.3765,433.9046,224.0052,33.529,0.0049,47.5261,168.268,209.8994,1775579444911886680
nyudepth,no_sharing,1.4002,410.1584,224.0052,33.529,0.0049,47.5261,144.4831,186.1532,1775579444911886680
nyudepth,no_sharing,1.4835,352.8125,224.0052,33.529,0.0049,47.5261,61.2454,128.8073,1775579444911886680
nyudepth,no_sharing,1.4992,337.1241,224.0052,33.529,0.0049,47.5261,45.5375,113.1189,1775579444911886680
nyudepth,no_sharing,1.6203,343.7641,157.209,15.7949,0.0019,47.0277,172.4713,186.5551,1775579445159909923
nyudepth,no_sharing,1.7031,271.9045,157.209,15.7949,0.0019,47.0277,89.6509,114.6955,1775579445159909923
nyudepth,no_sharing,1.7459,246.2232,157.209,15.7949,0.0019,47.0277,46.8643,89.0142,1775579445159909923
nyudepth,no_sharing,1.7805,528.0995,313.3887,36.7636,0.0027,46.0469,189.0724,214.7108,1775579445336690552
nyudepth,no_sharing,1.836,504.9264,313.3887,36.7636,0.0027,46.0469,133.4763,191.5377,1775579445336690552
nyudepth,no_sharing,1.8361,504.9393,313.3887,36.7636,0.0027,46.0469,133.4653,191.5506,1775579445336690552
nyudepth,no_sharing,1.8361,504.9458,313.3887,36.7636,0.0027,46.0469,133.4577,191.5571,1775579445336690552
nyudepth,no_sharing,1.8669,485.5499,313.3887,36.7636,0.0027,46.0469,102.6363,172.1612,1775579445336690552
nyudepth,no_sharing,1.8939,458.5867,313.3887,36.7636,0.0027,46.0469,75.6547,145.198,1775579445336690552
nyudepth,no_sharing,1.9928,858.743,514.927,90.8739,0.0027,47.0649,326.5533,343.8159,1775579445686494722
nyudepth,no_sharing,2.0244,844.1465,514.927,90.8739,0.0027,47.0649,294.9529,329.2195,1775579445686494722
nyudepth,no_sharing,2.0402,828.3491,514.927,90.8739,0.0027,47.0649,279.1293,313.4221,1775579445686494722
