task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
gestureclass,single_gestureclass,0.0002,341.0552,337.6012,321.1294,0.0033,15.7064,2.2843,3.4539,1775592754974794080
gestureclass,single_gestureclass,0.0122,385.443,55.7306,24.93,0.0019,3.676,328.8341,329.7124,1775592755313352564
gestureclass,single_gestureclass,0.017,380.62,55.7306,24.93,0.0019,3.676,323.9968,324.8894,1775592755313352564
gestureclass,single_gestureclass,0.0208,377.1563,55.7306,24.93,0.0019,3.676,320.1699,321.4257,1775592755313352564
gestureclass,single_gestureclass,0.1008,297.7295,55.7306,24.93,0.0019,3.676,240.2143,241.9989,1775592755313352564
gestureclass,single_gestureclass,0.204,194.5188,55.7306,24.93,0.0019,3.676,136.9834,138.7882,1775592755313352564
gestureclass,single_gestureclass,0.2325,166.2598,55.7306,24.93,0.0019,3.676,108.5119,110.5292,1775592755313352564
gestureclass,single_gestureclass,0.3216,77.2305,55.7306,24.93,0.0019,3.676,19.4421,21.4999,1775592755313352564
gestureclass,single_gestureclass,0.3286,70.1885,55.7306,24.93,0.0019,3.676,12.3873,14.4579,1775592755313352564
gestureclass,single_gestureclass,0.4,25.9883,23.6396,22.6353,0.0018,0.6584,1.478,2.3488,1775592755373818845
gestureclass,single_gestureclass,0.4362,27.2443,24.8601,23.7301,0.002,0.8212,1.4887,2.3842,1775592755410026328
gestureclass,single_gestureclass,0.5056,27.6747,25.2188,24.2671,0.0018,0.6561,1.5442,2.4559,1775592755479535002
gestureclass,single_gestureclass,0.7337,32.8822,30.257,29.1769,0.0022,0.7451,1.6522,2.6252,1775592755707674713
gestureclass,single_gestureclass,0.7818,31.8406,29.2624,28.2086,0.0022,0.7174,1.606,2.5782,1775592755755729657
gestureclass,single_gestureclass,0.8648,32.9144,30.2217,29.091,0.0026,0.7584,1.6828,2.6927,1775592755838865476
gestureclass,single_gestureclass,0.936,41.0476,37.3827,36.021,0.0027,0.9365,2.2457,3.6649,1775592755910562506
gestureclass,single_gestureclass,0.936,75.4457,33.9792,32.5803,0.002,0.4925,40.3628,41.4664,1775592755948714859
gestureclass,single_gestureclass,0.9511,60.3507,33.9792,32.5803,0.002,0.4925,25.244,26.3714,1775592755948714859
gestureclass,single_gestureclass,0.9765,61.7943,26.2813,25.1763,0.0026,0.705,34.7803,35.5129,1775592755983585969
gestureclass,single_gestureclass,1.0394,27.2038,24.7737,23.85,0.0017,0.6294,1.5125,2.4301,1775592756013279269
gestureclass,single_gestureclass,1.0859,26.6228,24.2899,23.3523,0.0017,0.6334,1.4422,2.3328,1775592756059649958
gestureclass,single_gestureclass,1.3019,33.0603,30.3744,29.2914,0.0021,0.747,1.6971,2.6859,1775592756275930850
gestureclass,single_gestureclass,1.3622,32.9101,30.2125,29.1379,0.0023,0.743,1.7121,2.6976,1775592756336228364
gestureclass,single_gestureclass,1.4683,33.6766,30.9856,29.8033,0.0023,0.7751,1.7266,2.691,1775592756442396722
gestureclass,single_gestureclass,1.4831,49.0024,29.3975,28.2645,0.002,0.7158,18.6293,19.6049,1775592756474080969
gestureclass,single_gestureclass,1.6214,33.7448,31.0187,29.5598,0.0023,0.7534,1.7221,2.7261,1775592756595432785
gestureclass,single_gestureclass,1.6231,63.7393,31.1359,30.0205,0.002,0.7034,31.6699,32.6034,1775592756627145109
gestureclass,single_gestureclass,1.6613,53.5181,27.1672,26.1596,0.0018,0.3206,25.2419,26.3509,1775592756658905559
gestureclass,single_gestureclass,1.6831,31.8179,27.1672,26.1596,0.0018,0.3206,3.4978,4.6507,1775592756658905559
gestureclass,single_gestureclass,1.7871,32.1455,29.5519,28.4903,0.0021,0.7281,1.5874,2.5936,1775592756761071075
gestureclass,single_gestureclass,1.8099,37.7684,27.8285,26.7799,0.0019,0.66,8.9872,9.9398,1775592756791232945
gestureclass,single_gestureclass,1.8489,27.8523,25.3805,24.4053,0.0018,0.6388,1.5602,2.4718,1775592756822798618
gestureclass,single_gestureclass,1.883,31.251,28.833,27.8096,0.0017,0.7079,1.4913,2.418,1775592756856793206
gestureclass,single_gestureclass,1.8947,44.131,23.9329,22.9267,0.0017,0.6477,19.3043,20.1981,1775592756886309099
gestureclass,single_gestureclass,2.035,32.8918,30.3779,29.1904,0.0022,0.7956,1.7021,2.5138,1775592757009099232
gestureclass,single_gestureclass,2.1282,33.922,31.293,29.6524,0.0022,1.2397,1.6544,2.629,1775592757102162511
gestureclass,single_gestureclass,2.1299,61.6391,28.7755,27.6769,0.0021,0.6903,31.8878,32.8635,1775592757134159971
gestureclass,single_gestureclass,2.1813,36.8838,25.7816,24.761,0.0018,0.6674,9.9213,11.1022,1775592757163560033
gestureclass,single_gestureclass,2.2177,27.5912,25.0855,23.7511,0.0019,0.9735,1.5802,2.5057,1775592757191582618
gestureclass,single_gestureclass,2.2426,27.0691,23.8297,22.8769,0.0018,0.6138,2.3222,3.2394,1775592757217234521
gestureclass,single_gestureclass,2.2839,26.4995,24.1792,23.2585,0.002,0.6173,1.456,2.3203,1775592757257662548
gestureclass,single_gestureclass,2.2876,47.0366,23.6455,22.6969,0.0018,0.6134,22.5205,23.3911,1775592757282425927
gestureclass,single_gestureclass,2.3468,26.5622,24.2095,23.2854,0.0018,0.618,1.5254,2.3527,1775592757320670969
gestureclass,single_gestureclass,2.3495,48.1389,23.6096,22.6511,0.0018,0.6144,23.6015,24.5293,1775592757345464016
gestureclass,single_gestureclass,2.4099,26.0937,23.6978,22.7613,0.0018,0.6416,1.487,2.3959,1775592757383719727
gestureclass,single_gestureclass,2.5633,33.8731,31.1809,30.0389,0.0023,0.7697,1.6973,2.6922,1775592757537319366
gestureclass,single_gestureclass,2.574,57.44,33.5144,32.4313,0.0019,0.3433,22.8417,23.9256,1775592757569240358
gestureclass,single_gestureclass,2.5798,51.7001,33.5144,32.4313,0.0019,0.3433,17.0777,18.1857,1775592757569240358
gestureclass,single_gestureclass,2.6094,48.5501,25.7138,24.6714,0.0019,0.6528,21.9328,22.8364,1775592757603638415
gestureclass,single_gestureclass,2.6971,28.9223,26.4596,25.4757,0.0019,0.6752,1.5173,2.4627,1775592757670992575
gestureclass,single_gestureclass,2.7843,32.6653,30.0666,29.0082,0.0022,0.7258,1.6212,2.5987,1775592757758234555
gestureclass,single_gestureclass,2.796,50.3166,28.5622,27.5269,0.0019,0.3251,20.6447,21.7543,1775592757789001053
gestureclass,single_gestureclass,2.796,50.3037,28.5622,27.5269,0.0019,0.3251,20.6099,21.7415,1775592757789001053
gestureclass,single_gestureclass,3.0537,44.0242,41.2461,39.6601,0.003,1.0764,1.7664,2.7782,1775592758027844981
gestureclass,single_gestureclass,3.145,33.4463,30.7294,29.5528,0.0022,0.762,1.7252,2.717,1775592758119050825
gestureclass,single_gestureclass,3.2066,34.673,32.07,30.9042,0.0022,0.8005,1.6594,2.603,1775592758180652508
gestureclass,single_gestureclass,3.2575,33.4821,30.8236,29.6977,0.0023,0.7624,1.673,2.6585,1775592758231558265
