task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,single_ecgclass,0.0001,317.9765,314.7136,301.1191,0.0024,13.0163,2.1234,3.2629,1775595945489083058
ecgclass,single_ecgclass,0.097,326.3254,104.3099,34.798,0.0015,13.8275,220.9456,222.0155,1775595945804776802
ecgclass,single_ecgclass,0.1901,233.6447,104.3099,34.798,0.0015,13.8275,127.7609,129.3349,1775595945804776802
ecgclass,single_ecgclass,0.2854,138.4649,104.3099,34.798,0.0015,13.8275,32.5603,34.1551,1775595945804776802
ecgclass,single_ecgclass,0.2974,126.5738,104.3099,34.798,0.0015,13.8275,20.5414,22.2639,1775595945804776802
ecgclass,single_ecgclass,0.3001,123.8294,104.3099,34.798,0.0015,13.8275,17.7619,19.5195,1775595945804776802
ecgclass,single_ecgclass,0.3583,111.5112,45.4,33.788,0.0015,5.6165,65.0465,66.1112,1775595945910186953
ecgclass,single_ecgclass,0.415,54.8306,45.4,33.788,0.0015,5.6165,8.3251,9.4305,1775595945910186953
ecgclass,single_ecgclass,0.5401,38.3377,35.9519,35.0265,0.0015,0.6756,1.5371,2.3858,1775595946028466346
ecgclass,single_ecgclass,0.5428,70.725,34.4989,33.7095,0.0014,0.5183,35.3322,36.2261,1775595946064983235
ecgclass,single_ecgclass,0.5846,73.889,44.3572,33.7862,0.0014,5.1474,28.5923,29.5318,1775595946100058487
ecgclass,single_ecgclass,0.5873,71.3465,44.3572,33.7862,0.0014,5.1474,25.8965,26.9893,1775595946100058487
ecgclass,single_ecgclass,0.6327,59.4339,32.9211,32.1568,0.0014,0.4742,25.6228,26.5129,1775595946145198260
ecgclass,single_ecgclass,0.7004,35.7516,33.4035,32.6671,0.0014,0.4989,1.4627,2.3481,1775595946188708279
ecgclass,single_ecgclass,0.7161,53.9765,33.2934,32.4905,0.0015,0.511,19.7685,20.6832,1775595946222715499
