task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
gestureclass,single_gestureclass,0.0001,312.7086,309.6285,292.8578,0.0031,16.1607,1.9112,3.0801,1775592738465682792
gestureclass,single_gestureclass,0.0088,498.0547,193.1783,44.7493,0.0017,16.3359,303.8957,304.8765,1775592738776324478
gestureclass,single_gestureclass,0.0134,493.9432,193.1783,44.7493,0.0017,16.3359,299.3057,300.7649,1775592738776324478
gestureclass,single_gestureclass,0.0159,491.4196,193.1783,44.7493,0.0017,16.3359,296.7613,298.2413,1775592738776324478
gestureclass,single_gestureclass,0.0767,431.2861,193.1783,44.7493,0.0017,16.3359,235.9438,238.1078,1775592738776324478
gestureclass,single_gestureclass,0.1528,355.2113,193.1783,44.7493,0.0017,16.3359,159.847,162.033,1775592738776324478
gestureclass,single_gestureclass,0.1732,334.7929,193.1783,44.7493,0.0017,16.3359,139.4145,141.6146,1775592738776324478
gestureclass,single_gestureclass,0.2402,267.9338,193.1783,44.7493,0.0017,16.3359,72.4618,74.7556,1775592738776324478
gestureclass,single_gestureclass,0.2462,262.2159,193.1783,44.7493,0.0017,16.3359,66.4692,69.0376,1775592738776324478
gestureclass,single_gestureclass,0.2999,208.4959,193.1783,44.7493,0.0017,16.3359,12.7075,15.3176,1775592738776324478
gestureclass,single_gestureclass,0.327,228.8868,46.8867,33.8171,0.0012,6.3319,181.1295,182.0001,1775592738971772972
gestureclass,single_gestureclass,0.3805,175.5188,46.8867,33.8171,0.0012,6.3319,127.6007,128.632,1775592738971772972
gestureclass,single_gestureclass,0.5497,40.4983,33.6755,32.82,0.0013,0.5343,6.0101,6.8227,1775592739019341073
gestureclass,single_gestureclass,0.5862,37.3926,32.8874,32.1312,0.0013,0.4817,3.6333,4.5052,1775592739053518587
gestureclass,single_gestureclass,0.6488,35.3439,33.0575,32.3183,0.0014,0.5031,1.4217,2.2863,1775592739113921804
gestureclass,single_gestureclass,0.7034,36.8576,34.0311,33.1174,0.0014,0.6714,1.945,2.8265,1775592739168981041
gestureclass,single_gestureclass,0.7034,103.2076,65.4473,35.4005,0.0014,9.903,36.5477,37.7603,1775592739203615555
gestureclass,single_gestureclass,0.7144,92.2761,65.4473,35.4005,0.0014,9.903,25.5928,26.8288,1775592739203615555
gestureclass,single_gestureclass,0.734,72.6259,65.4473,35.4005,0.0014,9.903,5.9087,7.1786,1775592739203615555
gestureclass,single_gestureclass,0.7794,65.6772,38.0573,37.1639,0.0015,0.5618,26.7677,27.6198,1775592739269858773
gestureclass,single_gestureclass,0.8139,69.401,37.6554,36.7814,0.0015,0.5686,30.9162,31.7456,1775592739308443541
gestureclass,single_gestureclass,0.9765,38.5923,36.2492,35.4916,0.0014,0.5081,1.5242,2.3431,1775592739441703973
gestureclass,single_gestureclass,1.0223,36.7908,34.5362,33.7737,0.0014,0.5111,1.4758,2.2547,1775592739487458601
gestureclass,single_gestureclass,1.1013,37.755,35.4254,34.657,0.0015,0.5125,1.4958,2.3296,1775592739566486631
gestureclass,single_gestureclass,1.112,61.2435,33.6005,32.616,0.0014,0.7027,26.7837,27.6431,1775592739602457108
gestureclass,single_gestureclass,1.2165,36.6356,34.1633,33.3579,0.0013,0.5068,1.6017,2.4723,1775592739681764679
gestureclass,single_gestureclass,1.2171,81.8682,45.0933,36.9067,0.0014,3.9383,35.7647,36.7749,1775592739716484397
gestureclass,single_gestureclass,1.2457,53.2656,45.0933,36.9067,0.0014,3.9383,7.1394,8.1723,1775592739716484397
gestureclass,single_gestureclass,1.2633,73.6611,37.5915,36.7053,0.0015,0.5625,35.2514,36.0696,1775592739762246982
gestureclass,single_gestureclass,1.3402,35.3642,33.1219,32.4154,0.0013,0.4781,1.4212,2.2423,1775592739805285516
gestureclass,single_gestureclass,1.3578,51.7263,33.3318,32.5657,0.0013,0.4852,17.4963,18.3945,1775592739838999968
gestureclass,single_gestureclass,1.3868,57.138,33.8133,33.0307,0.0013,0.4777,22.4981,23.3247,1775592739872920812
gestureclass,single_gestureclass,1.4118,78.4571,45.587,33.1517,0.0013,6.0672,31.8556,32.8701,1775592739907277226
gestureclass,single_gestureclass,1.4224,67.8182,45.587,33.1517,0.0013,6.0672,21.1833,22.2312,1775592739907277226
gestureclass,single_gestureclass,1.5274,35.9592,33.6709,32.9091,0.0013,0.5119,1.4241,2.2884,1775592739992536429
gestureclass,single_gestureclass,1.5956,36.5732,34.2885,33.27,0.0013,0.4827,1.4338,2.2847,1775592740060705110
gestureclass,single_gestureclass,1.5973,68.7351,33.1949,32.2446,0.0013,0.6686,34.626,35.5402,1775592740095592275
gestureclass,single_gestureclass,1.6354,64.6741,33.3162,32.5415,0.0013,0.4807,30.494,31.3579,1775592740129531177
gestureclass,single_gestureclass,1.664,82.1249,45.4403,33.9567,0.0013,5.5954,35.6874,36.6847,1775592740163400563
gestureclass,single_gestureclass,1.6822,63.9629,45.4403,33.9567,0.0013,5.5954,17.5025,18.5227,1775592740163400563
gestureclass,single_gestureclass,1.7122,81.7838,47.1409,36.4565,0.0014,5.1732,33.6504,34.6429,1775592740209559281
