task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing,0.0001,60.6823,58.616,57.5602,0.0019,0.5846,1.4825,0.0,2.0663,1777620621542040130
ecgclass,no_sharing,0.1206,53.3946,51.5109,50.2712,0.0018,0.7901,1.1737,0.0,1.8836,1777620621662218419
ecgclass,no_sharing,0.2374,61.3072,59.2947,56.7627,0.0019,2.0702,1.1837,0.0,2.0125,1777620621779086269
ecgclass,no_sharing,0.3566,60.1223,58.129,55.5997,0.0021,2.0605,1.2398,0.0,1.9932,1777620621898359307
ecgclass,no_sharing,0.3705,143.6977,96.7963,85.1527,0.0019,5.5622,46.0265,0.0,46.9014,1777620621957036721
ecgclass,no_sharing,0.3751,139.1349,96.7963,85.1527,0.0019,5.5622,41.4352,0.0,42.3386,1777620621957036721
ecgclass,no_sharing,0.4488,127.4776,61.4912,58.8765,0.0019,2.0829,65.2225,0.0,65.9865,1777620622054511788
ecgclass,no_sharing,0.5185,123.1935,64.9822,62.4332,0.0018,2.0485,57.4524,0.0,58.2113,1777620622116478160
ecgclass,no_sharing,0.6749,66.5908,64.4879,61.9549,0.002,2.0619,1.3154,0.0,2.1029,1777620622216660628
ecgclass,no_sharing,0.6785,195.0905,131.5547,128.957,0.002,0.6871,62.7329,0.0,63.5358,1777620622281678608
ecgclass,no_sharing,0.7321,141.4785,131.5547,128.957,0.002,0.6871,9.1016,0.0,9.9238,1777620622281678608
ecgclass,no_sharing,0.7347,139.0595,131.5547,128.957,0.002,0.6871,6.4883,0.0,7.5048,1777620622281678608
ecgclass,no_sharing,0.7885,149.8742,64.0771,61.4255,0.0018,2.0676,84.9829,0.0,85.7971,1777620622414140422
ecgclass,no_sharing,0.875,168.731,96.1026,95.0747,0.0018,0.2702,63.2901,0.0,72.6283,1777620622478731947
ecgclass,no_sharing,0.8944,149.4329,96.1026,95.0747,0.0018,0.2702,43.8325,0.0,53.3303,1777620622478731947
ecgclass,no_sharing,0.9578,300.1583,219.8403,217.0122,0.0024,0.4142,78.7394,0.0,80.3179,1777620622577017870
ecgclass,no_sharing,0.9644,293.5746,219.8403,217.0122,0.0024,0.4142,72.1269,0.0,73.7342,1777620622577017870
ecgclass,no_sharing,0.969,288.9767,219.8403,217.0122,0.0024,0.4142,67.512,0.0,69.1363,1777620622577017870
