task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,sharing,0.0001,41.409,39.1572,36.8762,0.0041,1.0916,1.4145,0.0,2.2518,1777621989491464258
ecgclass,sharing,0.1208,84.784,47.2554,44.7634,0.0048,1.388,36.5753,0.0,37.5286,1777621989647243301
ecgclass,sharing,0.2375,47.5082,40.8364,38.6651,0.0044,1.103,5.8577,0.0,6.6718,1777621989733173898
ecgclass,sharing,0.3583,47.2653,44.2676,42.2347,0.0046,1.1267,2.1093,0.0,2.9977,1777621989850263787
ecgclass,sharing,0.3713,118.3851,84.8997,82.2951,0.0042,0.8336,32.3417,0.0,33.4853,1777621989893492302
ecgclass,sharing,0.3748,115.0341,84.8997,82.2951,0.0042,0.8336,28.7805,0.0,30.1344,1777621989893492302
ecgclass,sharing,0.4478,91.0137,50.7806,46.735,0.0038,2.2021,39.4998,0.0,40.2331,1777621989977206042
ecgclass,sharing,0.5182,59.4492,41.4707,39.4624,0.004,1.216,17.1514,0.0,17.9785,1777621990025240502
ecgclass,sharing,0.6748,140.9872,90.1365,84.2146,0.0037,2.2965,49.9384,0.0,50.8506,1777621990214636929
ecgclass,sharing,0.6785,137.5151,90.1365,84.2146,0.0037,2.2965,46.3114,0.0,47.3785,1777621990214636929
ecgclass,sharing,0.7309,231.3528,150.7789,143.508,0.0059,0.6818,79.5076,0.0,80.5739,1777621990300259825
ecgclass,sharing,0.7345,227.8459,150.7789,143.508,0.0059,0.6818,75.8967,0.0,77.067,1777621990300259825
ecgclass,sharing,0.7887,173.6853,150.7789,143.508,0.0059,0.6818,21.5294,0.0,22.9064,1777621990300259825
ecgclass,sharing,0.8756,257.1526,172.0424,169.2344,0.0113,0.525,84.0447,0.0,85.1102,1777621990449466168
ecgclass,sharing,0.8946,238.1802,172.0424,169.2344,0.0113,0.525,65.0203,0.0,66.1378,1777621990449466168
ecgclass,sharing,0.9569,175.9021,172.0424,169.2344,0.0113,0.525,2.7258,0.0,3.8597,1777621990449466168
ecgclass,sharing,0.9642,397.8491,230.3625,226.209,0.0049,0.4516,166.4989,0.0,167.4866,1777621990620592031
ecgclass,sharing,0.9688,393.3265,230.3625,226.209,0.0049,0.4516,161.8795,0.0,162.964,1777621990620592031
ecgclass,sharing,0.9844,377.7666,230.3625,226.209,0.0049,0.4516,146.3003,0.0,147.4041,1777621990620592031
ecgclass,sharing,1.0291,333.3189,230.3625,226.209,0.0049,0.4516,101.6405,0.0,102.9565,1777621990620592031
ecgclass,sharing,1.0499,312.5651,230.3625,226.209,0.0049,0.4516,80.8656,0.0,82.2026,1777621990620592031
ecgclass,sharing,1.1123,250.3016,230.3625,226.209,0.0049,0.4516,18.4188,0.0,19.9391,1777621990620592031
ecgclass,sharing,1.1236,239.0327,230.3625,226.209,0.0049,0.4516,7.1297,0.0,8.6703,1777621990620592031
ecgclass,sharing,1.216,435.4193,290.4019,285.0792,0.0035,0.652,144.0434,0.0,145.0174,1777621990849924732
ecgclass,sharing,1.2765,374.9866,290.4019,285.0792,0.0035,0.652,83.5836,0.0,84.5847,1777621990849924732
ecgclass,sharing,1.3098,341.7981,290.4019,285.0792,0.0035,0.652,50.2596,0.0,51.3961,1777621990849924732
ecgclass,sharing,1.3307,320.961,290.4019,285.0792,0.0035,0.652,29.4025,0.0,30.5591,1777621990849924732
ecgclass,sharing,1.3539,297.8528,290.4019,285.0792,0.0035,0.652,6.1755,0.0,7.4508,1777621990849924732
ecgclass,sharing,1.3569,691.6103,399.8229,396.6583,0.0042,0.1756,290.5879,0.0,291.7874,1777621991137302834
ecgclass,sharing,1.3663,682.1964,399.8229,396.6583,0.0042,0.1756,281.1463,0.0,282.3735,1777621991137302834
ecgclass,sharing,1.4004,648.1802,399.8229,396.6583,0.0042,0.1756,247.0019,0.0,248.3573,1777621991137302834
ecgclass,sharing,1.42,628.7248,399.8229,396.6583,0.0042,0.1756,227.4218,0.0,228.9019,1777621991137302834
ecgclass,sharing,1.4832,565.6385,399.8229,396.6583,0.0042,0.1756,164.2122,0.0,165.8156,1777621991137302834
ecgclass,sharing,1.5184,530.5872,399.8229,396.6583,0.0042,0.1756,129.039,0.0,130.7643,1777621991137302834
ecgclass,sharing,1.5306,518.5452,399.8229,396.6583,0.0042,0.1756,116.8594,0.0,118.7222,1777621991137302834
ecgclass,sharing,1.5536,495.625,399.8229,396.6583,0.0042,0.1756,93.8101,0.0,95.8021,1777621991137302834
ecgclass,sharing,1.5869,462.508,399.8229,396.6583,0.0042,0.1756,60.5805,0.0,62.685,1777621991137302834
ecgclass,sharing,1.6037,445.7476,399.8229,396.6583,0.0042,0.1756,43.7536,0.0,45.9247,1777621991137302834
ecgclass,sharing,1.6183,431.1728,399.8229,396.6583,0.0042,0.1756,29.1469,0.0,31.3499,1777621991137302834
ecgclass,sharing,1.663,690.3443,305.9913,302.807,0.0032,0.1561,383.1823,0.0,384.3531,1777621991536060666
ecgclass,sharing,1.6776,675.7677,305.9913,302.807,0.0032,0.1561,368.5791,0.0,369.7764,1777621991536060666
ecgclass,sharing,1.7438,609.6241,305.9913,302.807,0.0032,0.1561,302.4194,0.0,303.6329,1777621991536060666
ecgclass,sharing,1.8135,540.1497,305.9913,302.807,0.0032,0.1561,232.7168,0.0,234.1584,1777621991536060666
ecgclass,sharing,1.8677,486.0742,305.9913,302.807,0.0032,0.1561,178.5243,0.0,180.0829,1777621991536060666
ecgclass,sharing,1.8713,482.5649,305.9913,302.807,0.0032,0.1561,174.9353,0.0,176.5737,1777621991536060666
ecgclass,sharing,1.9284,425.4491,305.9913,302.807,0.0032,0.1561,117.7614,0.0,119.4579,1777621991536060666
ecgclass,sharing,1.9962,357.8818,305.9913,302.807,0.0032,0.1561,49.9611,0.0,51.8905,1777621991536060666
ecgclass,sharing,2.0525,528.8503,229.7803,226.6616,0.0043,0.2226,297.9801,0.0,299.07,1777621991840340095
ecgclass,sharing,2.0671,514.2908,229.7803,226.6616,0.0043,0.2226,283.3929,0.0,284.5105,1777621991840340095
ecgclass,sharing,2.0817,499.826,229.7803,226.6616,0.0043,0.2226,268.8,0.0,270.0456,1777621991840340095
ecgclass,sharing,2.0903,491.37,229.7803,226.6616,0.0043,0.2226,260.2153,0.0,261.5896,1777621991840340095
ecgclass,sharing,2.1094,472.302,229.7803,226.6616,0.0043,0.2226,241.0231,0.0,242.5216,1777621991840340095
ecgclass,sharing,2.1095,472.2531,229.7803,226.6616,0.0043,0.2226,240.8876,0.0,242.4728,1777621991840340095
ecgclass,sharing,2.1173,464.6304,229.7803,226.6616,0.0043,0.2226,233.1946,0.0,234.85,1777621991840340095
ecgclass,sharing,2.1829,399.1015,229.7803,226.6616,0.0043,0.2226,167.594,0.0,169.3212,1777621991840340095
ecgclass,sharing,2.3828,520.7658,323.598,320.2688,0.0032,0.2667,196.085,0.0,197.1678,1777621992068763553
ecgclass,sharing,2.411,492.6257,323.598,320.2688,0.0032,0.2667,167.9177,0.0,169.0277,1777621992068763553
ecgclass,sharing,2.4256,478.1601,323.598,320.2688,0.0032,0.2667,153.3477,0.0,154.5622,1777621992068763553
ecgclass,sharing,2.4451,458.6642,323.598,320.2688,0.0032,0.2667,133.7442,0.0,135.0662,1777621992068763553
ecgclass,sharing,2.4639,439.9722,323.598,320.2688,0.0032,0.2667,115.0339,0.0,116.3742,1777621992068763553
ecgclass,sharing,2.4695,434.7804,323.598,320.2688,0.0032,0.2667,109.4303,0.0,111.1824,1777621992068763553
ecgclass,sharing,2.5252,379.0283,323.598,320.2688,0.0032,0.2667,53.6561,0.0,55.4303,1777621992068763553
ecgclass,sharing,2.5934,460.6762,152.2809,148.2116,0.0041,1.4514,307.4336,0.0,308.3953,1777621992390651514
ecgclass,sharing,2.6685,385.5143,152.2809,148.2116,0.0041,1.4514,232.2438,0.0,233.2334,1777621992390651514
ecgclass,sharing,2.9336,248.4102,130.2682,127.4796,0.0048,0.941,117.0359,0.0,118.142,1777621992540526202
ecgclass,sharing,3.039,143.0361,130.2682,127.4796,0.0048,0.941,11.6303,0.0,12.7679,1777621992540526202
ecgclass,sharing,3.1224,127.7237,69.3513,66.3921,0.0053,0.6614,57.271,0.0,58.3724,1777621992669489248
ecgclass,sharing,3.1736,76.5629,69.3513,66.3921,0.0053,0.6614,6.0668,0.0,7.2116,1777621992669489248
ecgclass,sharing,3.2029,94.0187,48.8221,46.6706,0.004,0.6673,44.2765,0.0,45.1966,1777621992737016759
ecgclass,sharing,3.2054,91.4905,48.8221,46.6706,0.004,0.6673,41.7209,0.0,42.6684,1777621992737016759
ecgclass,sharing,3.2534,110.5864,68.3848,65.1121,0.0034,0.809,41.5277,0.0,42.2016,1777621992784821606
ecgclass,sharing,3.284,80.1373,68.3848,65.1121,0.0034,0.809,10.9317,0.0,11.7524,1777621992784821606
ecgclass,sharing,3.3598,86.9894,47.39,44.8575,0.0032,1.2439,38.7394,0.0,39.5994,1777621992888370752
ecgclass,sharing,3.4608,101.0752,65.2071,62.9707,0.0039,0.4941,34.8194,0.0,35.8681,1777621992985505010
ecgclass,sharing,3.4774,84.5149,65.2071,62.9707,0.0039,0.4941,18.2321,0.0,19.3077,1777621992985505010
ecgclass,sharing,3.48,81.9645,65.2071,62.9707,0.0039,0.4941,15.6493,0.0,16.7574,1777621992985505010
ecgclass,sharing,3.5267,82.788,48.7671,46.4172,0.0028,1.2214,33.0615,0.0,34.0209,1777621993049598560
ecgclass,sharing,3.6544,69.9899,47.3856,44.6151,0.0036,1.3635,21.6351,0.0,22.6043,1777621993165878596
ecgclass,sharing,3.6953,114.9783,87.4885,84.502,0.0034,1.4124,26.1862,0.0,27.4898,1777621993211387163
ecgclass,sharing,3.802,55.8887,49.8083,47.1443,0.0041,1.6214,5.1606,0.0,6.0803,1777621993297039340
ecgclass,sharing,3.8395,87.5082,70.1879,66.4912,0.0031,1.2857,16.1769,0.0,17.3203,1777621993345502036
ecgclass,sharing,3.9049,69.8369,49.7909,47.486,0.0047,0.6132,19.0716,0.0,20.0459,1777621993413869334
ecgclass,sharing,3.9196,55.2335,49.7909,47.486,0.0047,0.6132,4.4394,0.0,5.4426,1777621993413869334
ecgclass,sharing,3.9262,153.4338,105.9465,102.7182,0.0037,0.4212,46.4208,0.0,47.4873,1777621993462450173
ecgclass,sharing,3.9333,146.4889,105.9465,102.7182,0.0037,0.4212,39.3293,0.0,40.5424,1777621993462450173
ecgclass,sharing,3.9389,141.0296,105.9465,102.7182,0.0037,0.4212,33.7305,0.0,35.0831,1777621993462450173
ecgclass,sharing,3.9414,138.5319,105.9465,102.7182,0.0037,0.4212,31.1539,0.0,32.5854,1777621993462450173
ecgclass,sharing,4.0277,157.321,107.2433,103.8463,0.0018,0.5246,49.0346,0.0,50.0777,1777621993566599611
ecgclass,sharing,4.0499,135.1445,107.2433,103.8463,0.0018,0.5246,26.83,0.0,27.9012,1777621993566599611
ecgclass,sharing,4.0695,115.5453,107.2433,103.8463,0.0018,0.5246,7.1964,0.0,8.302,1777621993566599611
ecgclass,sharing,4.1159,197.7541,129.9869,126.2995,0.0032,0.9354,66.1585,0.0,67.7673,1777621993671888787
ecgclass,sharing,4.1265,187.3622,129.9869,126.2995,0.0032,0.9354,55.5418,0.0,57.3753,1777621993671888787
ecgclass,sharing,4.2217,261.1105,171.4805,168.7544,0.0043,0.5544,88.5663,0.0,89.63,1777621993800089731
ecgclass,sharing,4.2857,196.8937,171.4805,168.7544,0.0043,0.5544,24.3211,0.0,25.4132,1777621993800089731
ecgclass,sharing,4.3025,180.3555,171.4805,168.7544,0.0043,0.5544,7.7493,0.0,8.875,1777621993800089731
ecgclass,sharing,4.3131,360.081,191.4619,188.972,0.0044,0.324,167.4931,0.0,168.619,1777621993970517137
ecgclass,sharing,4.3392,334.0998,191.4619,188.972,0.0044,0.324,141.484,0.0,142.6378,1777621993970517137
ecgclass,sharing,4.3548,318.6228,191.4619,188.972,0.0044,0.324,125.8857,0.0,127.1609,1777621993970517137
ecgclass,sharing,4.3584,315.0823,191.4619,188.972,0.0044,0.324,122.273,0.0,123.6204,1777621993970517137
ecgclass,sharing,4.384,289.3429,191.4619,188.972,0.0044,0.324,96.5006,0.0,97.881,1777621993970517137
ecgclass,sharing,4.4957,373.3709,197.249,188.4874,0.0064,2.9381,175.3428,0.0,176.1219,1777621994160867160
ecgclass,sharing,4.5465,322.5923,197.249,188.4874,0.0064,2.9381,124.5351,0.0,125.3433,1777621994160867160
ecgclass,sharing,4.7004,301.2197,137.6091,133.0986,0.0056,1.2071,162.4913,0.0,163.6106,1777621994352769370
ecgclass,sharing,4.8025,199.1744,137.6091,133.0986,0.0056,1.2071,60.4165,0.0,61.5653,1777621994352769370
ecgclass,sharing,4.8586,229.5847,89.4476,86.0441,0.004,0.7472,138.9956,0.0,140.1371,1777621994487464781
ecgclass,sharing,4.9514,136.8425,89.4476,86.0441,0.004,0.7472,46.2251,0.0,47.3949,1777621994487464781
ecgclass,sharing,4.989,99.2634,89.4476,86.0441,0.004,0.7472,8.6124,0.0,9.8158,1777621994487464781
ecgclass,sharing,5.0414,151.3262,106.7627,103.6124,0.0054,0.7771,43.6125,0.0,44.5635,1777621994574865726
ecgclass,sharing,5.061,131.7596,106.7627,103.6124,0.0054,0.7771,24.0178,0.0,24.9969,1777621994574865726
ecgclass,sharing,5.0716,121.2704,106.7627,103.6124,0.0054,0.7771,13.401,0.0,14.5077,1777621994574865726
ecgclass,sharing,5.1778,102.0439,89.2302,84.7716,0.0053,1.3101,11.8403,0.0,12.8136,1777621994679512205
ecgclass,sharing,5.1854,94.4726,89.2302,84.7716,0.0053,1.3101,4.2419,0.0,5.2424,1777621994679512205
ecgclass,sharing,5.1942,170.7113,88.4328,84.9452,0.0033,0.7153,81.3096,0.0,82.2784,1777621994765461860
ecgclass,sharing,5.21,155.2505,88.4328,84.9452,0.0033,0.7153,65.6273,0.0,66.8177,1777621994765461860
ecgclass,sharing,5.2581,107.1153,88.4328,84.9452,0.0033,0.7153,17.4701,0.0,18.6824,1777621994765461860
ecgclass,sharing,5.2787,156.3301,72.4305,68.4542,0.0049,0.9987,82.942,0.0,83.8996,1777621994851504072
ecgclass,sharing,5.3132,121.8824,72.4305,68.4542,0.0049,0.9987,48.466,0.0,49.452,1777621994851504072
ecgclass,sharing,5.4211,61.3248,50.0447,47.7565,0.0026,1.2023,10.3464,0.0,11.2802,1777621994921270277
ecgclass,sharing,5.4987,37.8017,35.7556,34.1439,0.0042,0.9156,1.2248,0.0,2.0461,1777621994989755871
ecgclass,sharing,5.5568,39.0103,36.921,34.8454,0.0041,1.1028,1.2286,0.0,2.0893,1777621995047847795
ecgclass,sharing,5.5653,68.5465,39.5084,37.3728,0.0038,1.054,28.2044,0.0,29.0381,1777621995083409889
ecgclass,sharing,5.6246,74.6145,66.4597,63.7951,0.0033,1.5036,7.1976,0.0,8.1549,1777621995121689553
ecgclass,sharing,5.6474,219.6939,168.6941,165.6652,0.0036,0.5359,49.8366,0.0,50.9998,1777621995187063553
ecgclass,sharing,5.654,213.2683,168.6941,165.6652,0.0036,0.5359,43.2374,0.0,44.5742,1777621995187063553
ecgclass,sharing,5.6744,192.858,168.6941,165.6652,0.0036,0.5359,22.804,0.0,24.1639,1777621995187063553
ecgclass,sharing,5.6772,190.1722,168.6941,165.6652,0.0036,0.5359,19.9673,0.0,21.4781,1777621995187063553
ecgclass,sharing,5.7231,331.5699,189.0355,184.8086,0.0039,0.6153,141.6059,0.0,142.5344,1777621995354608742
ecgclass,sharing,5.7719,282.8286,189.0355,184.8086,0.0039,0.6153,92.8369,0.0,93.793,1777621995354608742
ecgclass,sharing,5.7861,268.7802,189.0355,184.8086,0.0039,0.6153,78.5935,0.0,79.7447,1777621995354608742
ecgclass,sharing,5.7887,266.2325,189.0355,184.8086,0.0039,0.6153,76.0226,0.0,77.1969,1777621995354608742
ecgclass,sharing,5.9249,275.7096,149.0058,145.2113,0.003,0.7011,125.9396,0.0,126.7038,1777621995540717533
ecgclass,sharing,5.9661,234.7171,149.0058,145.2113,0.003,0.7011,84.7433,0.0,85.7113,1777621995540717533
ecgclass,sharing,6.0399,160.9533,149.0058,145.2113,0.003,0.7011,10.9565,0.0,11.9475,1777621995540717533
ecgclass,sharing,6.0582,247.8325,107.8481,104.3069,0.0233,1.0336,139.1537,0.0,139.9845,1777621995687250441
ecgclass,sharing,6.142,164.1421,107.8481,104.3069,0.0233,1.0336,55.4204,0.0,56.294,1777621995687250441
ecgclass,sharing,6.2233,210.2907,130.0157,127.4482,0.0045,0.7537,79.3989,0.0,80.275,1777621995792651478
ecgclass,sharing,6.2281,205.6525,130.0157,127.4482,0.0045,0.7537,74.7333,0.0,75.6368,1777621995792651478
ecgclass,sharing,6.501,33.9136,31.7643,30.064,0.0036,1.0164,1.2944,0.0,2.1493,1777621995992150014
ecgclass,sharing,6.5336,33.7319,31.4801,29.7672,0.0035,1.0268,1.4505,0.0,2.2519,1777621996024873768
ecgclass,sharing,6.6046,35.2664,33.1408,30.9765,0.0043,1.1117,1.3058,0.0,2.1256,1777621996095758159
ecgclass,sharing,6.6152,56.9911,33.6975,31.314,0.0034,1.2169,22.4669,0.0,23.2936,1777621996127530965
ecgclass,sharing,6.6647,53.8185,47.9917,44.5568,0.0039,1.7823,5.0793,0.0,5.8268,1777621996159637644
ecgclass,sharing,6.6795,105.912,69.2319,65.6785,0.0032,2.1343,35.8365,0.0,36.6801,1777621996205175523
ecgclass,sharing,6.76,91.9104,68.9155,65.7237,0.0036,2.4671,21.9421,0.0,22.9949,1777621996271774161
ecgclass,sharing,6.7825,153.405,86.2274,83.8264,0.0045,0.719,66.1936,0.0,67.1776,1777621996338580536
ecgclass,sharing,6.8228,113.0576,86.2274,83.8264,0.0045,0.719,25.8193,0.0,26.8303,1777621996338580536
ecgclass,sharing,6.8486,191.951,106.0039,103.4813,0.0018,0.4546,84.9564,0.0,85.9471,1777621996423382343
ecgclass,sharing,6.8861,154.3813,106.0039,103.4813,0.0018,0.4546,47.3597,0.0,48.3774,1777621996423382343
ecgclass,sharing,6.9097,130.8389,106.0039,103.4813,0.0018,0.4546,23.7832,0.0,24.835,1777621996423382343
ecgclass,sharing,6.9399,248.4474,148.421,144.6743,0.0037,0.7445,98.3031,0.0,100.0265,1777621996528092793
ecgclass,sharing,6.9415,247.0808,148.421,144.6743,0.0037,0.7445,96.7529,0.0,98.6598,1777621996528092793
ecgclass,sharing,7.0214,167.166,148.421,144.6743,0.0037,0.7445,16.8161,0.0,18.745,1777621996528092793
ecgclass,sharing,7.147,187.227,148.4245,145.3165,0.0057,1.0069,37.8871,0.0,38.8025,1777621996674757268
ecgclass,sharing,7.1752,159.0364,148.4245,145.3165,0.0057,1.0069,9.6703,0.0,10.6119,1777621996674757268
ecgclass,sharing,7.3461,142.863,88.579,84.8824,0.0054,0.8511,53.4136,0.0,54.284,1777621996889424254
