task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0001,113.539,111.5905,110.0465,0.0018,1.1039,1.1923,0.0,1.9485,1777611389571265295
ecgclass,no_sharing_tpc,0.4821,57.8413,55.8904,54.897,0.0018,0.5257,1.2577,0.0,1.9509,1777611390053337946
ecgclass,no_sharing_tpc,0.9491,82.0186,79.8548,77.1927,0.0019,2.0744,1.385,0.0,2.1638,1777611390520528793
ecgclass,no_sharing_tpc,1.4258,97.1212,94.9737,92.239,0.0048,1.8271,1.3065,0.0,2.1476,1777611390997071367
ecgclass,no_sharing_tpc,1.4818,233.768,192.0138,177.1418,0.0037,6.9423,40.8161,0.0,41.7542,1777611391092643922
ecgclass,no_sharing_tpc,1.4985,217.1729,192.0138,177.1418,0.0037,6.9423,24.1287,0.0,25.1591,1777611391092643922
ecgclass,no_sharing_tpc,1.79,91.9895,89.506,86.7574,0.0037,1.7861,1.4348,0.0,2.4836,1777611391361475009
ecgclass,no_sharing_tpc,2.0718,87.0333,84.6116,81.8898,0.0039,1.815,1.4462,0.0,2.4217,1777611391643266738
ecgclass,no_sharing_tpc,2.6966,119.9636,117.7488,115.1368,0.0018,2.0673,1.5268,0.0,2.2149,1777611392268181191
ecgclass,no_sharing_tpc,2.7123,164.9191,60.1194,59.1303,0.0016,0.4964,104.0673,0.0,104.7997,1777611392386411943
ecgclass,no_sharing_tpc,2.9215,57.8704,55.9224,54.4663,0.0018,0.4936,1.2326,0.0,1.948,1777611392492792339
ecgclass,no_sharing_tpc,2.9361,99.1259,55.2427,54.2504,0.0018,0.5057,43.1583,0.0,43.8831,1777611392549231692
ecgclass,no_sharing_tpc,3.1529,112.6947,110.6649,109.6492,0.0016,0.5545,1.2841,0.0,2.0299,1777611392724197129
ecgclass,no_sharing_tpc,3.4993,107.2853,105.0846,102.4187,0.0019,2.0758,1.4133,0.0,2.2007,1777611393070730555
ecgclass,no_sharing_tpc,3.5771,147.7144,117.8143,115.2486,0.0019,2.0377,29.2273,0.0,29.9,1777611393176329472
ecgclass,no_sharing_tpc,3.8242,57.5588,55.7255,54.6578,0.0021,0.5767,1.1628,0.0,1.8332,1777611393395297020
ecgclass,no_sharing_tpc,3.8545,118.3231,90.4867,89.3927,0.002,0.273,27.0345,0.0,27.8363,1777611393451537057
ecgclass,no_sharing_tpc,3.8719,100.9567,90.4867,89.3927,0.002,0.273,9.6521,0.0,10.4699,1777611393451537057
ecgclass,no_sharing_tpc,3.9359,104.8646,67.2843,64.672,0.0018,2.0738,36.8297,0.0,37.5803,1777611393542715645
ecgclass,no_sharing_tpc,4.1156,112.334,110.3856,109.3795,0.002,0.5301,1.251,0.0,1.9484,1777611393686814360
ecgclass,no_sharing_tpc,4.1981,104.2316,73.852,71.2801,0.0018,2.0746,29.624,0.0,30.3796,1777611393797704237
ecgclass,no_sharing_tpc,4.4476,89.6134,87.5728,85.0045,0.0019,2.0652,1.2994,0.0,2.0406,1777611394018927981
ecgclass,no_sharing_tpc,4.4926,123.533,78.515,77.4858,0.0018,0.5122,44.4026,0.0,45.018,1777611394107003292
ecgclass,no_sharing_tpc,4.8601,101.0461,98.9639,96.3976,0.0019,2.0648,1.2999,0.0,2.0822,1777611394431371564
ecgclass,no_sharing_tpc,5.1053,73.4777,71.561,70.5353,0.0019,0.5513,1.2341,0.0,1.9168,1777611394676574166
ecgclass,no_sharing_tpc,5.2366,109.0581,106.974,104.3054,0.003,1.9042,1.2767,0.0,2.0842,1777611394807865318
ecgclass,no_sharing_tpc,5.3202,137.3546,111.472,108.7996,0.0029,1.9025,25.1367,0.0,25.8826,1777611394915395704
ecgclass,no_sharing_tpc,5.4111,225.0071,177.8281,176.1302,0.0031,0.442,46.2821,0.0,47.179,1777611395027444263
ecgclass,no_sharing_tpc,5.4263,210.0246,177.8281,176.1302,0.0031,0.442,31.1646,0.0,32.1965,1777611395027444263
ecgclass,no_sharing_tpc,5.4618,322.2363,147.1173,145.8713,0.0023,0.2887,174.1581,0.0,175.119,1777611395206015866
ecgclass,no_sharing_tpc,5.5994,184.674,147.1173,145.8713,0.0023,0.2887,36.5689,0.0,37.5567,1777611395206015866
ecgclass,no_sharing_tpc,5.6765,164.3236,56.251,55.0261,0.002,0.6206,107.2474,0.0,108.0726,1777611395353791834
