task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
gestureclass,single_gestureclass,0.0001,41.3573,39.5491,38.5906,0.0014,0.4978,1.1024,0.0,1.8082,1777619963295954847
gestureclass,single_gestureclass,0.0716,42.4817,40.4478,39.4974,0.0015,0.507,1.1544,0.0,2.0339,1777619963367559283
gestureclass,single_gestureclass,0.0791,74.8951,39.4162,38.4288,0.0014,0.496,34.626,0.0,35.479,1777619963408516673
gestureclass,single_gestureclass,0.1393,54.8978,39.8235,38.1935,0.0015,0.6277,14.2255,0.0,15.0743,1777619963448404560
gestureclass,single_gestureclass,0.1702,63.081,38.6018,37.6115,0.0014,0.5074,23.6111,0.0,24.4792,1777619963488669831
gestureclass,single_gestureclass,0.2456,41.9114,39.778,38.8273,0.0015,0.5096,1.2541,0.0,2.1333,1777619963541693076
gestureclass,single_gestureclass,0.2492,89.6742,50.7613,43.9311,0.0016,3.1668,37.9272,0.0,38.9129,1777619963581998386
gestureclass,single_gestureclass,0.2689,70.0862,50.7613,43.9311,0.0016,3.1668,18.3101,0.0,19.3249,1777619963581998386
gestureclass,single_gestureclass,0.3683,42.4204,40.3153,39.3766,0.0014,0.4931,1.2841,0.0,2.1051,1777619963664374348
gestureclass,single_gestureclass,0.3939,55.9931,38.6969,37.7269,0.0014,0.4921,16.4397,0.0,17.2961,1777619963705175698
gestureclass,single_gestureclass,0.4612,40.8475,38.7232,37.7855,0.0014,0.5045,1.2698,0.0,2.1243,1777619963757317744
gestureclass,single_gestureclass,0.5344,43.7806,40.4863,39.3758,0.0013,0.5059,2.4126,0.0,3.2942,1777619963831624756
gestureclass,single_gestureclass,0.5344,88.9018,44.7142,43.7431,0.0015,0.2436,43.2463,0.0,44.1875,1777619963872617397
gestureclass,single_gestureclass,0.5693,54.1751,44.7142,43.7431,0.0015,0.2436,8.4906,0.0,9.4609,1777619963872617397
gestureclass,single_gestureclass,0.6025,67.1029,45.4434,44.4691,0.0013,0.2333,20.7655,0.0,21.6595,1777619963918048436
gestureclass,single_gestureclass,0.6051,64.5089,45.4434,44.4691,0.0013,0.2333,18.1425,0.0,19.0655,1777619963918048436
gestureclass,single_gestureclass,0.6268,125.8833,82.0758,81.0331,0.0014,0.133,42.6176,0.0,43.8075,1777619963964201255
gestureclass,single_gestureclass,0.6374,115.298,82.0758,81.0331,0.0014,0.133,32.0034,0.0,33.2222,1777619963964201255
gestureclass,single_gestureclass,0.646,106.7629,82.0758,81.0331,0.0014,0.133,23.3855,0.0,24.6871,1777619963964201255
gestureclass,single_gestureclass,0.6621,90.6065,82.0758,81.0331,0.0014,0.133,7.1905,0.0,8.5307,1777619963964201255
gestureclass,single_gestureclass,0.7631,42.3903,39.9791,38.8794,0.0016,0.4984,1.5864,0.0,2.4112,1777619964059523700
gestureclass,single_gestureclass,0.7631,106.5319,63.6679,62.632,0.0015,0.178,41.9011,0.0,42.8639,1777619964100010429
gestureclass,single_gestureclass,0.774,95.9301,63.6679,62.632,0.0015,0.178,31.1615,0.0,32.2622,1777619964100010429
gestureclass,single_gestureclass,0.7887,81.3053,63.6679,62.632,0.0015,0.178,16.5141,0.0,17.6373,1777619964100010429
gestureclass,single_gestureclass,0.8448,66.0384,40.1707,39.1442,0.0015,0.5048,24.9975,0.0,25.8677,1777619964164585907
gestureclass,single_gestureclass,0.8713,103.4029,63.1367,62.1546,0.0016,0.1611,39.1884,0.0,40.2661,1777619964205289102
gestureclass,single_gestureclass,0.8819,92.8133,63.1367,62.1546,0.0016,0.1611,28.5692,0.0,29.6765,1777619964205289102
gestureclass,single_gestureclass,0.8895,85.1896,63.1367,62.1546,0.0016,0.1611,20.9286,0.0,22.0529,1777619964205289102
gestureclass,single_gestureclass,0.9231,91.5525,39.2653,38.2504,0.0013,0.4974,51.3275,0.0,52.2872,1777619964269245387
gestureclass,single_gestureclass,1.003,52.1953,40.1859,39.2543,0.0014,0.5067,11.1561,0.0,12.0094,1777619964308988993
gestureclass,single_gestureclass,1.0289,65.8705,39.155,38.1787,0.0014,0.4953,25.8617,0.0,26.7155,1777619964349620687
gestureclass,single_gestureclass,1.0655,68.7802,38.9649,37.9655,0.0014,0.507,28.9528,0.0,29.8152,1777619964389269831
gestureclass,single_gestureclass,1.1181,56.7377,40.0718,38.5948,0.0015,0.4936,15.8048,0.0,16.6659,1777619964428724390
gestureclass,single_gestureclass,1.1566,63.8051,44.9996,43.6422,0.0016,0.4311,17.9079,0.0,18.8055,1777619964469295522
gestureclass,single_gestureclass,1.1582,62.2063,44.9996,43.6422,0.0016,0.4311,16.2799,0.0,17.2066,1777619964469295522
gestureclass,single_gestureclass,1.2181,42.3634,39.5796,38.5694,0.0014,0.5046,1.9195,0.0,2.7838,1777619964514867874
gestureclass,single_gestureclass,1.2517,54.147,44.7847,43.8123,0.0016,0.2344,8.4198,0.0,9.3623,1777619964554924775
gestureclass,single_gestureclass,1.2553,50.6237,44.7847,43.8123,0.0016,0.2344,4.796,0.0,5.8389,1777619964554924775
gestureclass,single_gestureclass,1.3028,43.3788,39.6947,38.6995,0.0015,0.5036,2.8195,0.0,3.6842,1777619964600422127
gestureclass,single_gestureclass,1.3102,81.3465,44.8458,43.8761,0.0015,0.2383,35.5439,0.0,36.5007,1777619964640597788
gestureclass,single_gestureclass,1.3348,56.7608,44.8458,43.8761,0.0015,0.2383,10.9286,0.0,11.915,1777619964640597788
gestureclass,single_gestureclass,1.3544,83.353,45.4692,44.4845,0.0014,0.2342,36.9382,0.0,37.8838,1777619964686209215
gestureclass,single_gestureclass,1.3791,58.7626,45.4692,44.4845,0.0014,0.2342,12.3186,0.0,13.2933,1777619964686209215
gestureclass,single_gestureclass,1.4651,42.5773,40.4105,39.4631,0.0015,0.4921,1.3008,0.0,2.1668,1777619964761240260
gestureclass,single_gestureclass,1.5028,46.3994,40.9534,39.9552,0.0013,0.5093,4.5748,0.0,5.446,1777619964802162243
gestureclass,single_gestureclass,1.525,88.2335,63.4053,62.4138,0.0015,0.1597,23.7975,0.0,24.8281,1777619964843605327
gestureclass,single_gestureclass,1.5326,80.6203,63.4053,62.4138,0.0015,0.1597,16.155,0.0,17.215,1777619964843605327
gestureclass,single_gestureclass,1.5413,72.125,63.4053,62.4138,0.0015,0.1597,7.5142,0.0,8.7196,1777619964843605327
gestureclass,single_gestureclass,1.5765,102.3145,64.5329,63.5283,0.0014,0.1565,36.701,0.0,37.7816,1777619964907982871
gestureclass,single_gestureclass,1.5911,87.7213,64.5329,63.5283,0.0014,0.1565,22.0788,0.0,23.1884,1777619964907982871
gestureclass,single_gestureclass,1.5937,85.108,64.5329,63.5283,0.0014,0.1565,19.4309,0.0,20.5751,1777619964907982871
gestureclass,single_gestureclass,1.7321,44.9114,42.7083,41.7178,0.0015,0.5276,1.3068,0.0,2.2031,1777619965028291427
gestureclass,single_gestureclass,1.7468,75.6283,44.7839,43.8038,0.0014,0.2391,29.8438,0.0,30.8444,1777619965071493499
gestureclass,single_gestureclass,1.7695,53.0,44.7839,43.8038,0.0014,0.2391,7.1867,0.0,8.2161,1777619965071493499
gestureclass,single_gestureclass,1.8368,41.1599,39.0386,38.0928,0.0014,0.4951,1.2529,0.0,2.1212,1777619965132853279
gestureclass,single_gestureclass,1.8972,41.8053,39.7111,38.7659,0.0015,0.5045,1.2424,0.0,2.0942,1777619965193313784
gestureclass,single_gestureclass,1.9349,43.4372,38.7729,37.7762,0.0014,0.5111,3.8011,0.0,4.6643,1777619965233493660
gestureclass,single_gestureclass,1.9796,40.7543,38.6768,37.7357,0.0014,0.5063,1.2321,0.0,2.0776,1777619965275618799
gestureclass,single_gestureclass,2.0986,46.0558,43.8551,42.8314,0.0016,0.5369,1.3177,0.0,2.2007,1777619965394793300
gestureclass,single_gestureclass,2.2681,50.4501,48.0114,46.926,0.0016,0.5815,1.5218,0.0,2.4387,1777619965564446662
gestureclass,single_gestureclass,2.3459,48.1822,45.8814,44.8235,0.0016,0.5607,1.4193,0.0,2.3008,1777619965642104721
gestureclass,single_gestureclass,2.3735,66.5762,45.4635,43.9339,0.0014,0.2383,20.1249,0.0,21.1127,1777619965688486379
gestureclass,single_gestureclass,2.3892,50.9508,45.4635,43.9339,0.0014,0.2383,4.452,0.0,5.4872,1777619965688486379
gestureclass,single_gestureclass,2.4474,41.9185,39.7317,38.7766,0.0015,0.5141,1.3344,0.0,2.1868,1777619965743602718
gestureclass,single_gestureclass,2.4621,72.4297,44.6088,43.6127,0.0014,0.2432,26.8898,0.0,27.8209,1777619965783816274
gestureclass,single_gestureclass,2.4737,60.8258,44.6088,43.6127,0.0014,0.2432,15.2543,0.0,16.2171,1777619965783816274
gestureclass,single_gestureclass,2.5057,76.1418,46.5786,45.5208,0.0017,0.2557,28.6024,0.0,29.5633,1777619965829082020
gestureclass,single_gestureclass,2.5273,54.5251,46.5786,45.5208,0.0017,0.2557,6.9561,0.0,7.9466,1777619965829082020
gestureclass,single_gestureclass,2.5428,85.2289,45.6441,44.5794,0.0014,0.2532,38.6584,0.0,39.5848,1777619965876328556
gestureclass,single_gestureclass,2.5585,69.5987,45.6441,44.5794,0.0014,0.2532,22.9986,0.0,23.9545,1777619965876328556
gestureclass,single_gestureclass,2.6121,58.8467,42.3245,41.2532,0.0015,0.5371,15.6877,0.0,16.5222,1777619965922627282
gestureclass,single_gestureclass,2.7944,53.0648,50.7078,49.5775,0.0016,0.6043,1.4181,0.0,2.357,1777619966090606298
gestureclass,single_gestureclass,2.822,72.3372,46.4187,45.3705,0.0016,0.2679,24.9724,0.0,25.9185,1777619966141835419
gestureclass,single_gestureclass,2.8397,54.6811,46.4187,45.3705,0.0016,0.2679,7.287,0.0,8.2624,1777619966141835419
gestureclass,single_gestureclass,2.8747,62.9718,42.7462,41.6503,0.0015,0.5379,19.3436,0.0,20.2257,1777619966188897525
gestureclass,single_gestureclass,2.9007,80.3597,42.914,41.8355,0.0016,0.5523,36.6235,0.0,37.4457,1777619966232140360
gestureclass,single_gestureclass,2.952,74.7836,45.0867,44.0482,0.0015,0.2518,28.7077,0.0,29.6968,1777619966275545712
gestureclass,single_gestureclass,2.952,74.6362,45.0867,44.0482,0.0015,0.2518,28.5304,0.0,29.5495,1777619966275545712
gestureclass,single_gestureclass,3.0321,42.1166,40.004,39.0654,0.0014,0.5009,1.2729,0.0,2.1126,1777619966328208608
gestureclass,single_gestureclass,3.1356,44.8644,42.6705,41.6641,0.0016,0.5403,1.3132,0.0,2.1939,1777619966431697235
gestureclass,single_gestureclass,3.2888,50.2689,47.9344,46.8588,0.0017,0.575,1.4412,0.0,2.3345,1777619966585079869
gestureclass,single_gestureclass,3.3514,46.32,44.0467,43.0334,0.0014,0.5245,1.38,0.0,2.2733,1777619966647597105
gestureclass,single_gestureclass,3.38,58.3253,40.1853,39.1927,0.0014,0.5087,17.313,0.0,18.14,1777619966692168627
gestureclass,single_gestureclass,3.4577,41.4855,39.3499,38.4105,0.0014,0.5075,1.2858,0.0,2.1356,1777619966753778585
gestureclass,single_gestureclass,3.5565,48.8923,46.6683,45.5471,0.0016,0.5928,1.3211,0.0,2.224,1777619966852609667
gestureclass,single_gestureclass,3.6357,49.6447,47.3979,46.2744,0.0017,0.5948,1.3885,0.0,2.2468,1777619966931875208
gestureclass,single_gestureclass,3.6703,63.333,47.7738,45.9712,0.0018,0.6099,14.6477,0.0,15.5592,1777619966979777143
gestureclass,single_gestureclass,3.6956,103.1344,63.905,62.7992,0.0017,0.1903,37.6508,0.0,39.2294,1777619967028096428
gestureclass,single_gestureclass,3.6956,103.0083,63.905,62.7992,0.0017,0.1903,37.4939,0.0,39.1033,1777619967028096428
gestureclass,single_gestureclass,3.7176,81.2378,63.905,62.7992,0.0017,0.1903,15.6851,0.0,17.3328,1777619967028096428
gestureclass,single_gestureclass,3.7981,48.8396,46.6251,45.5197,0.0018,0.5988,1.3728,0.0,2.2145,1777619967094428474
gestureclass,single_gestureclass,3.8141,81.4619,47.8441,46.7439,0.0019,0.2864,32.619,0.0,33.6178,1777619967141559473
gestureclass,single_gestureclass,3.8147,80.9159,47.8441,46.7439,0.0019,0.2864,32.0435,0.0,33.0718,1777619967141559473
gestureclass,single_gestureclass,3.9439,47.7762,45.4416,44.3888,0.0016,0.5366,1.4341,0.0,2.3346,1777619967240173086
gestureclass,single_gestureclass,3.9816,51.8305,40.7878,39.7593,0.0014,0.5207,9.7089,0.0,11.0427,1777619967286137582
gestureclass,single_gestureclass,4.0329,41.5747,39.4761,38.5471,0.0013,0.4893,1.2798,0.0,2.0986,1777619967329110397
gestureclass,single_gestureclass,4.0909,41.0695,38.959,38.014,0.0014,0.4958,1.2457,0.0,2.1105,1777619967386950665
gestureclass,single_gestureclass,4.1463,41.985,39.8226,38.8721,0.0015,0.5103,1.2906,0.0,2.1624,1777619967442384512
gestureclass,single_gestureclass,4.1509,82.7203,44.7392,43.7586,0.0015,0.2422,37.009,0.0,37.9811,1777619967482692410
gestureclass,single_gestureclass,4.1705,63.1118,44.7392,43.7586,0.0015,0.2422,17.3709,0.0,18.3726,1777619967482692410
gestureclass,single_gestureclass,4.1925,87.1453,45.4997,44.5162,0.0016,0.234,40.7262,0.0,41.6456,1777619967528093343
gestureclass,single_gestureclass,4.1962,83.5371,45.4997,44.5162,0.0016,0.234,37.0891,0.0,38.0374,1777619967528093343
gestureclass,single_gestureclass,4.2419,83.9946,45.4751,44.491,0.0015,0.2341,37.5383,0.0,38.5195,1777619967574256797
gestureclass,single_gestureclass,4.2575,68.3601,45.4751,44.491,0.0015,0.2341,21.8744,0.0,22.885,1777619967574256797
gestureclass,single_gestureclass,4.285,80.7941,39.3697,38.3509,0.0014,0.5011,40.5748,0.0,41.4244,1777619967620399869
gestureclass,single_gestureclass,4.3342,71.0905,38.9963,38.0618,0.0014,0.5081,31.22,0.0,32.0942,1777619967660263115
gestureclass,single_gestureclass,4.3831,62.2742,39.6167,38.6312,0.0014,0.5081,21.826,0.0,22.6575,1777619967699733311
gestureclass,single_gestureclass,4.4216,69.1526,44.7401,43.7568,0.0015,0.2335,23.4146,0.0,24.4125,1777619967739836876
gestureclass,single_gestureclass,4.4232,67.5406,44.7401,43.7568,0.0015,0.2335,21.7736,0.0,22.8006,1777619967739836876
gestureclass,single_gestureclass,4.5051,42.4452,40.3582,39.4053,0.0015,0.4983,1.2753,0.0,2.087,1777619967801175315
gestureclass,single_gestureclass,4.5197,68.0261,39.672,38.6626,0.0015,0.5005,27.4909,0.0,28.3541,1777619967842031015
gestureclass,single_gestureclass,4.5588,74.2047,44.7134,43.75,0.0014,0.233,28.5714,0.0,29.4913,1777619967882204465
gestureclass,single_gestureclass,4.5734,59.5968,44.7134,43.75,0.0014,0.233,13.9337,0.0,14.8834,1777619967882204465
gestureclass,single_gestureclass,4.598,75.2926,39.7731,38.6749,0.0014,0.5038,34.7018,0.0,35.5195,1777619967927557783
gestureclass,single_gestureclass,4.6503,69.2866,45.6511,44.6521,0.0016,0.2381,22.6662,0.0,23.6355,1777619967967815785
gestureclass,single_gestureclass,4.6579,61.7006,45.6511,44.6521,0.0016,0.2381,15.0514,0.0,16.0495,1777619967967815785
gestureclass,single_gestureclass,4.6766,89.0093,45.3849,44.3941,0.0015,0.2368,42.6881,0.0,43.6244,1777619968014127392
gestureclass,single_gestureclass,4.6842,81.4033,45.3849,44.3941,0.0015,0.2368,35.0535,0.0,36.0184,1777619968014127392
gestureclass,single_gestureclass,4.8029,42.5982,40.4418,39.4875,0.0015,0.4974,1.3189,0.0,2.1564,1777619968099084357
gestureclass,single_gestureclass,4.8156,69.2859,38.8396,37.8476,0.0014,0.4963,29.593,0.0,30.4463,1777619968140013394
gestureclass,single_gestureclass,4.9953,51.6703,49.3585,48.296,0.0017,0.5635,1.4224,0.0,2.3118,1777619968291540669
gestureclass,single_gestureclass,5.019,73.7629,45.1801,44.1513,0.0016,0.2502,27.6272,0.0,28.5828,1777619968341435449
gestureclass,single_gestureclass,5.0297,63.0853,45.1801,44.1513,0.0016,0.2502,16.9206,0.0,17.9053,1777619968341435449
gestureclass,single_gestureclass,5.1531,46.3581,44.1065,43.0927,0.0015,0.5394,1.3528,0.0,2.2516,1777619968449265866
gestureclass,single_gestureclass,5.1678,72.4442,40.3231,39.3024,0.0014,0.5065,31.2722,0.0,32.1211,1777619968493883185
gestureclass,single_gestureclass,5.2367,42.8061,38.8676,37.8744,0.0015,0.4956,3.0863,0.0,3.9385,1777619968534648967
gestureclass,single_gestureclass,5.3338,44.2135,42.0416,41.0416,0.0015,0.5253,1.308,0.0,2.172,1777619968629946034
gestureclass,single_gestureclass,5.3725,45.4314,39.411,38.4273,0.0014,0.494,5.1794,0.0,6.0204,1777619968672465096
gestureclass,single_gestureclass,5.6224,52.4738,50.1792,49.0263,0.0017,0.5693,1.4346,0.0,2.2946,1777619968918626157
gestureclass,single_gestureclass,5.629,128.4623,81.8397,80.7833,0.0015,0.1204,45.4829,0.0,46.6226,1777619968969355384
