task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,single_ecgclass,0.0001,40.8409,38.8127,37.8733,0.0019,0.4922,1.2634,0.0,2.0282,1777609420663827413
ecgclass,single_ecgclass,0.4817,49.8903,47.5858,46.5207,0.0021,0.5718,1.4336,0.0,2.3044,1777609421145573220
ecgclass,single_ecgclass,0.9492,50.4458,48.0583,46.9026,0.0019,0.5677,1.5357,0.0,2.3875,1777609421613240804
ecgclass,single_ecgclass,1.4264,83.0331,80.6291,78.6873,0.0036,1.033,1.5309,0.0,2.404,1777609422090372290
ecgclass,single_ecgclass,1.4821,124.7036,96.5364,83.5008,0.0039,6.0376,27.0946,0.0,28.1672,1777609422171631626
ecgclass,single_ecgclass,1.4987,108.068,96.5364,83.5008,0.0039,6.0376,10.4291,0.0,11.5316,1777609422171631626
ecgclass,single_ecgclass,1.7892,83.324,80.8711,77.913,0.0039,1.0115,1.5295,0.0,2.4528,1777609422453241174
ecgclass,single_ecgclass,2.072,83.0431,79.7377,77.8229,0.0035,1.0123,2.4014,0.0,3.3054,1777609422736896530
ecgclass,single_ecgclass,2.6969,82.6485,80.3168,78.3694,0.0036,1.0179,1.44,0.0,2.3317,1777609423360779515
ecgclass,single_ecgclass,2.7125,147.9042,80.3127,78.282,0.0038,1.0638,66.6947,0.0,67.5914,1777609423441712554
ecgclass,single_ecgclass,2.9218,82.7646,80.3751,78.439,0.0036,1.0105,1.4977,0.0,2.3895,1777609423585753042
ecgclass,single_ecgclass,2.9364,149.8072,81.0604,79.0996,0.0035,1.0098,67.8294,0.0,68.7468,1777609423666725355
ecgclass,single_ecgclass,3.1546,82.1831,79.8595,77.9549,0.0034,1.0082,1.4076,0.0,2.3237,1777609423818474723
ecgclass,single_ecgclass,3.5003,83.9109,81.57,79.6613,0.0039,1.0192,1.4513,0.0,2.341,1777609424164223107
ecgclass,single_ecgclass,3.577,88.0449,80.1888,78.2226,0.0035,1.0174,6.9492,0.0,7.856,1777609424246430084
ecgclass,single_ecgclass,3.8235,83.4079,80.9996,79.06,0.0039,1.0207,1.471,0.0,2.4083,1777609424487419393
ecgclass,single_ecgclass,3.8541,137.3832,83.9168,81.9796,0.004,0.4743,52.4459,0.0,53.4664,1777609424569069832
ecgclass,single_ecgclass,3.8738,117.7392,83.9168,81.9796,0.004,0.4743,32.7709,0.0,33.8224,1777609424569069832
ecgclass,single_ecgclass,3.9352,136.8535,79.8703,77.8974,0.0036,1.0082,56.1039,0.0,56.9831,1777609424653763041
ecgclass,single_ecgclass,4.1154,78.0752,75.7391,73.9266,0.0035,0.9551,1.4396,0.0,2.3361,1777609424779270005
ecgclass,single_ecgclass,4.1987,78.1281,75.7789,73.9504,0.0034,0.9724,1.4193,0.0,2.3492,1777609424862639525
ecgclass,single_ecgclass,4.4483,78.5902,76.21,74.3849,0.0035,0.9681,1.4467,0.0,2.3802,1777609425112214493
ecgclass,single_ecgclass,4.4929,113.1353,78.6294,76.6936,0.0036,1.019,33.6185,0.0,34.5059,1777609425189040069
ecgclass,single_ecgclass,4.8606,82.3677,80.09,78.1206,0.0036,1.0608,1.3773,0.0,2.2777,1777609425524474794
ecgclass,single_ecgclass,5.1054,82.2515,79.8883,77.9533,0.0036,1.0203,1.4677,0.0,2.3633,1777609425769343585
ecgclass,single_ecgclass,5.237,82.2058,79.8713,77.9083,0.0036,1.0219,1.4074,0.0,2.3345,1777609425900845994
ecgclass,single_ecgclass,5.3205,82.5045,80.2106,78.2786,0.0035,1.0175,1.4198,0.0,2.2939,1777609425984371299
ecgclass,single_ecgclass,5.4113,84.3809,82.0039,78.99,0.0039,1.0288,1.4541,0.0,2.377,1777609426075208006
ecgclass,single_ecgclass,5.4259,153.8715,83.6102,81.9666,0.0031,0.4013,69.3855,0.0,70.2614,1777609426157813337
ecgclass,single_ecgclass,5.4636,116.3516,83.6102,81.9666,0.0031,0.4013,31.7078,0.0,32.7415,1777609426157813337
ecgclass,single_ecgclass,5.5993,66.4828,64.0926,62.5438,0.003,0.8272,1.4615,0.0,2.3902,1777609426263226252
ecgclass,single_ecgclass,5.6771,66.6437,64.3662,62.8072,0.003,0.8259,1.3561,0.0,2.2776,1777609426340907666
ecgclass,single_ecgclass,5.9302,66.2415,63.9418,62.3983,0.0029,0.8041,1.3907,0.0,2.2997,1777609426594031752
ecgclass,single_ecgclass,6.0717,83.5536,81.1559,79.2881,0.0039,1.0195,1.4324,0.0,2.3977,1777609426735654758
ecgclass,single_ecgclass,6.1194,117.2473,80.7525,78.7511,0.0036,1.0218,35.5647,0.0,36.4948,1777609426817433908
ecgclass,single_ecgclass,6.2116,105.2649,79.7241,77.7393,0.0038,1.0133,24.6644,0.0,25.5408,1777609426898767344
ecgclass,single_ecgclass,6.3392,82.9165,80.5614,78.6561,0.0035,1.0203,1.4324,0.0,2.3551,1777609427003112364
ecgclass,single_ecgclass,6.4079,95.3472,80.4994,78.5486,0.0037,1.0247,13.9346,0.0,14.8478,1777609427084299409
ecgclass,single_ecgclass,6.4724,110.286,78.797,77.2998,0.0025,0.7717,30.5347,0.0,31.489,1777609427165435386
ecgclass,single_ecgclass,6.649,59.1071,56.4148,55.1046,0.0023,0.6857,1.3883,0.0,2.6922,1777609427312904079
ecgclass,single_ecgclass,6.7077,55.4132,53.2042,51.9432,0.0024,0.6671,1.3437,0.0,2.2091,1777609427371575269
ecgclass,single_ecgclass,6.9747,58.4188,56.1898,54.8978,0.0025,0.6717,1.394,0.0,2.229,1777609427638533913
ecgclass,single_ecgclass,7.2526,82.3228,79.9814,78.0419,0.0035,1.0249,1.4107,0.0,2.3414,1777609427916475495
ecgclass,single_ecgclass,7.4703,82.8419,80.5083,78.6028,0.0035,1.0226,1.4117,0.0,2.3335,1777609428134191910
ecgclass,single_ecgclass,7.485,149.3783,80.8441,78.8641,0.0036,1.007,67.6086,0.0,68.5342,1777609428215408208
ecgclass,single_ecgclass,7.711,82.4702,80.1253,78.1619,0.004,1.0223,1.4172,0.0,2.3448,1777609428374933668
ecgclass,single_ecgclass,7.982,82.2895,79.9632,78.0201,0.0035,1.0213,1.3862,0.0,2.3263,1777609428645822308
ecgclass,single_ecgclass,8.2077,82.9833,80.5654,78.6535,0.0039,1.0099,1.4083,0.0,2.4178,1777609428871554763
ecgclass,single_ecgclass,8.2623,111.4254,82.5081,80.4541,0.004,1.0217,27.9996,0.0,28.9173,1777609428952813451
ecgclass,single_ecgclass,8.328,130.8992,84.3851,82.3707,0.0036,0.4832,45.5089,0.0,46.5141,1777609429035941113
ecgclass,single_ecgclass,8.3596,99.2591,84.3851,82.3707,0.0036,0.4832,13.8383,0.0,14.8741,1777609429035941113
ecgclass,single_ecgclass,8.4301,113.6076,83.9504,81.9926,0.0036,0.4807,28.635,0.0,29.6572,1777609429121183690
ecgclass,single_ecgclass,8.4347,108.9938,83.9504,81.9926,0.0036,0.4807,23.9899,0.0,25.0434,1777609429121183690
ecgclass,single_ecgclass,8.4692,148.7396,73.5536,71.8511,0.0032,0.8509,74.244,0.0,75.186,1777609429205903159
ecgclass,single_ecgclass,8.7313,70.4639,68.1138,66.4667,0.003,0.882,1.4353,0.0,2.3501,1777609429395215483
ecgclass,single_ecgclass,9.5308,83.4632,81.083,79.1848,0.0037,1.0108,1.4529,0.0,2.3802,1777609430194689022
ecgclass,single_ecgclass,9.6435,82.8848,80.5367,78.6184,0.0037,1.0171,1.4265,0.0,2.3481,1777609430307461273
ecgclass,single_ecgclass,9.7002,107.5056,80.6648,78.6835,0.0037,1.0205,25.9123,0.0,26.8408,1777609430388606223
ecgclass,single_ecgclass,9.7797,109.3745,80.8465,78.8893,0.0037,1.016,27.6394,0.0,28.5281,1777609430469865131
ecgclass,single_ecgclass,9.852,121.6006,83.7698,81.8547,0.0037,0.4769,36.8385,0.0,37.8308,1777609430551340732
ecgclass,single_ecgclass,9.8777,95.9888,83.7698,81.8547,0.0037,0.4769,11.1969,0.0,12.2189,1777609430551340732
ecgclass,single_ecgclass,10.094,70.4079,68.117,66.4447,0.003,0.8788,1.3921,0.0,2.2909,1777609430757900190
