task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0001,360.965,335.1801,292.4933,0.0019,41.9448,7.1397,25.7849,1776365874899043774
nyudepth,no_sharing,2.4061,51.1568,29.124,27.9326,0.0021,0.6243,6.4135,22.0327,1776365877304317366
nyudepth,no_sharing,4.7427,48.3191,28.9005,27.6749,0.0021,0.6136,4.7555,19.4186,1776365879639290655
nyudepth,no_sharing,7.126,49.2005,29.0149,27.6946,0.0023,0.6933,4.7295,20.1857,1776365882022565316
nyudepth,no_sharing,7.4057,47.5852,29.2388,27.3961,0.0026,1.0252,3.9432,18.3465,1776365882301394287
nyudepth,no_sharing,7.4925,46.8774,28.759,27.5197,0.002,0.6849,4.0534,18.1184,1776365882388319430
nyudepth,no_sharing,8.9457,48.439,29.0966,27.7065,0.0023,0.7297,4.9531,19.3424,1776365883842456109
nyudepth,no_sharing,10.3557,47.3752,29.1866,27.5852,0.0019,0.7174,4.0407,18.1886,1776365885251525342
nyudepth,no_sharing,13.4799,48.3272,29.3409,27.8012,0.0027,0.8211,4.4861,18.9863,1776365888376141441
nyudepth,no_sharing,13.5584,47.3979,29.0053,27.6097,0.0022,0.7805,3.9413,18.3926,1776365888454154677
nyudepth,no_sharing,14.6047,53.853,29.5315,27.872,0.0029,0.8442,4.4446,24.3215,1776365889500928743
nyudepth,no_sharing,14.6758,50.0567,29.7907,28.1237,0.0034,0.8802,5.2037,20.266,1776365889572759076
nyudepth,no_sharing,15.7644,48.7652,29.7092,27.8938,0.0031,0.9628,4.5135,19.056,1776365890660741884
nyudepth,no_sharing,17.4964,48.9302,29.7526,27.91,0.0031,0.9732,4.5969,19.1776,1776365892392770805
nyudepth,no_sharing,17.8828,47.8046,29.6232,27.7873,0.003,1.0188,3.9139,18.1814,1776365892778531342
nyudepth,no_sharing,19.115,47.343,29.5463,27.8048,0.0032,0.9713,3.5894,17.7968,1776365894010373086
nyudepth,no_sharing,19.2676,47.7171,29.7076,27.8829,0.0029,1.0225,3.5479,18.0095,1776365894162957296
nyudepth,no_sharing,19.3596,48.079,29.8043,27.9393,0.0028,1.0584,3.9215,18.2747,1776365894255276808
nyudepth,no_sharing,19.6751,48.671,30.0272,28.042,0.0034,1.0856,4.329,18.6438,1776365894571211649
nyudepth,no_sharing,20.576,49.1872,30.6912,28.7362,0.0032,1.0682,4.0863,18.496,1776365895471925779
nyudepth,no_sharing,20.9888,47.6508,29.7311,27.8858,0.0032,1.0217,3.732,17.9197,1776365895884307244
nyudepth,no_sharing,22.2361,65.5193,42.6212,40.6068,0.0036,1.0338,7.565,22.8981,1776365897135433843
