task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,sharing,0.0001,466.064,439.3737,307.5157,0.0046,130.3286,8.2765,26.6902,1776367131970611755
nyudepth,sharing,2.406,52.6116,30.7829,28.6213,0.0026,0.9958,7.0105,21.8287,1776367134375256231
nyudepth,sharing,4.7422,51.2578,29.9458,27.9825,0.0044,0.8458,6.6273,21.312,1776367136711093791
nyudepth,sharing,7.1265,52.5141,31.2645,29.2002,0.0036,0.8998,6.5837,21.2496,1776367139095333976
nyudepth,sharing,7.4054,51.7781,30.5054,27.9244,0.0028,0.9184,6.4995,21.2727,1776367139374162413
nyudepth,sharing,7.4924,51.0881,30.2439,27.9769,0.0034,1.095,6.0592,20.8442,1776367139460722362
nyudepth,sharing,8.9464,51.7633,30.3278,28.0001,0.0034,1.1539,6.6078,21.4355,1776367140915275442
nyudepth,sharing,10.3557,50.7572,30.2412,27.9632,0.0035,1.0938,5.9087,20.516,1776367142323874906
nyudepth,sharing,13.4797,51.7035,30.3107,27.9671,0.0035,1.1392,6.5744,21.3927,1776367145448460203
nyudepth,sharing,13.5586,52.0222,30.2181,27.9232,0.0037,1.1356,6.1271,21.8041,1776367145526938222
nyudepth,sharing,14.6054,54.1885,29.9892,27.7058,0.0041,1.1504,5.9412,24.1993,1776367146573614778
nyudepth,sharing,14.6748,61.7936,40.5411,33.8149,0.0064,1.6697,5.8644,21.2525,1776367146642939354
nyudepth,sharing,15.7647,51.4188,29.9673,27.7821,0.0038,1.1183,6.7031,21.4514,1776367147733588535
nyudepth,sharing,17.4971,50.9675,30.1068,27.8615,0.0037,1.1261,6.3004,20.8606,1776367149465678905
nyudepth,sharing,17.8826,50.9241,30.1766,27.9018,0.0034,1.1292,6.2091,20.7475,1776367149851062385
nyudepth,sharing,19.1149,51.2681,30.2263,27.9495,0.0036,1.1331,6.4609,21.0418,1776367151083594113
nyudepth,sharing,19.2684,50.6065,30.192,27.9224,0.0033,1.108,5.9166,20.4145,1776367151236594945
nyudepth,sharing,19.3593,51.1546,30.189,27.9361,0.0035,1.1007,6.5341,20.9656,1776367151328044941
nyudepth,sharing,19.6744,50.4797,30.2039,27.936,0.0036,1.1182,5.8618,20.2757,1776367151642514482
nyudepth,sharing,20.5755,50.7913,30.2644,27.9678,0.0036,1.1473,5.9698,20.5269,1776367152543690701
