task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,sharing,0.0001,43.4542,31.2058,28.9737,0.0035,1.0352,2.8908,0.0,12.2483,1777615196491452592
nyudepth,sharing,0.2426,38.574,29.9536,27.8614,0.0029,1.331,2.996,0.0,8.6204,1777615196734072968
nyudepth,sharing,0.4744,40.8893,30.4909,27.8591,0.0037,1.6895,2.9302,0.0,10.3984,1777615196965821348
nyudepth,sharing,0.7137,41.069,31.7116,28.6169,0.0035,2.0693,2.6536,0.0,9.3574,1777615197204831712
nyudepth,sharing,0.7418,46.3634,36.4537,34.272,0.003,1.353,4.0827,0.0,9.9096,1777615197234304570
nyudepth,sharing,0.7498,101.1703,59.0053,56.6809,0.0034,1.2134,31.4715,0.0,42.165,1777615197269776844
nyudepth,sharing,0.8953,38.6441,29.4087,27.8156,0.0038,0.9356,3.4897,0.0,9.2353,1777615197387271422
nyudepth,sharing,1.0363,38.4207,29.6699,27.8785,0.003,1.0051,2.9852,0.0,8.7508,1777615197527767977
nyudepth,sharing,1.3486,40.8087,30.8311,27.963,0.0041,1.6173,3.0222,0.0,9.9776,1777615197840068848
nyudepth,sharing,1.3567,67.5943,36.2482,33.9514,0.0033,1.4351,23.8268,0.0,31.3461,1777615197868983753
nyudepth,sharing,1.4607,210.2861,188.0469,117.1155,0.004,34.8853,16.2821,0.0,22.2393,1777615197965497850
nyudepth,sharing,1.468,208.3342,188.0469,117.1155,0.004,34.8853,9.0249,0.0,20.2873,1777615197965497850
nyudepth,sharing,1.5768,110.5072,85.2375,59.7135,0.0024,16.3847,19.685,0.0,25.2698,1777615198084957611
nyudepth,sharing,1.7501,40.1306,29.4929,27.7931,0.003,0.9455,3.9632,0.0,10.6377,1777615198242585253
nyudepth,sharing,1.7892,38.9597,30.4662,28.8097,0.0028,0.921,2.8236,0.0,8.4936,1777615198280560472
nyudepth,sharing,1.9126,43.0329,30.6306,27.8349,0.0042,1.7182,3.2012,0.0,12.4023,1777615198404253768
nyudepth,sharing,1.9278,87.0457,62.4014,59.0102,0.0035,0.8151,17.2322,0.0,24.6443,1777615198433508343
nyudepth,sharing,1.9361,83.6301,62.4014,59.0102,0.0035,0.8151,8.9061,0.0,21.2287,1777615198433508343
nyudepth,sharing,1.9678,111.0678,65.5351,62.5423,0.0037,1.8232,38.2504,0.0,45.5326,1777615198494579464
nyudepth,sharing,2.0581,88.1293,64.3153,61.1024,0.004,1.6552,12.1984,0.0,23.814,1777615198558773110
nyudepth,sharing,2.0998,78.5835,39.9013,38.3729,0.0031,0.9139,32.6862,0.0,38.6821,1777615198620944408
nyudepth,sharing,2.2242,80.2615,64.4375,55.0439,0.0035,2.0817,9.7511,0.0,15.824,1777615198722403087
nyudepth,sharing,2.2468,89.2658,40.5093,38.9376,0.0033,0.9504,43.1986,0.0,48.7565,1777615198778507684
nyudepth,sharing,2.4304,41.9765,30.9394,28.5851,0.0031,1.4666,3.3495,0.0,11.0371,1777615198922261812
nyudepth,sharing,2.553,77.5573,60.4826,56.1939,0.0035,3.1569,9.7253,0.0,17.0747,1777615199051199223
nyudepth,sharing,2.6186,49.4273,40.269,38.7267,0.0034,0.9189,3.4773,0.0,9.1583,1777615199110545620
nyudepth,sharing,2.6604,48.1813,31.1912,28.9193,0.0033,1.4018,8.5196,0.0,16.9901,1777615199157374149
nyudepth,sharing,2.7056,123.5909,89.7243,79.6593,0.0033,4.2582,28.2738,0.0,33.8666,1777615199222336612
nyudepth,sharing,2.714,120.0905,89.7243,79.6593,0.0033,4.2582,19.8224,0.0,30.3662,1777615199222336612
nyudepth,sharing,2.7317,187.2864,91.0926,88.2474,0.0035,0.8397,83.3597,0.0,96.1938,1777615199303594708
nyudepth,sharing,2.8009,123.3778,91.0926,88.2474,0.0035,0.8397,14.2074,0.0,32.2852,1777615199303594708
nyudepth,sharing,2.8384,176.8224,93.1803,89.3321,0.0031,2.2879,67.1322,0.0,83.6421,1777615199394015568
nyudepth,sharing,2.9656,82.9668,45.1011,42.8041,0.0037,1.4458,30.5562,0.0,37.8657,1777615199484610975
nyudepth,sharing,3.0365,46.8366,35.8973,33.7717,0.0029,1.3209,3.4599,0.0,10.9393,1777615199528470636
nyudepth,sharing,3.0602,82.2077,60.468,56.8979,0.0033,1.6277,14.7631,0.0,21.7396,1777615199563413512
nyudepth,sharing,3.1056,76.5736,41.0473,38.8718,0.0033,1.5075,27.8444,0.0,35.5263,1777615199621975001
nyudepth,sharing,3.17,45.9025,35.0633,32.8509,0.003,1.3929,3.3307,0.0,10.8392,1777615199661843623
nyudepth,sharing,3.205,133.2297,64.7197,60.9132,0.0034,1.389,61.6906,0.0,68.51,1777615199755151587
nyudepth,sharing,3.2362,106.7576,64.7197,60.9132,0.0034,1.389,30.4494,0.0,42.0379,1777615199755151587
nyudepth,sharing,3.325,81.5334,72.1569,62.1565,0.0037,7.2572,3.7806,0.0,9.3766,1777615199817317128
nyudepth,sharing,3.3543,144.8557,89.5881,85.6179,0.0028,2.6264,38.552,0.0,55.2676,1777615199881302312
nyudepth,sharing,3.4876,152.2665,85.3373,82.245,0.0038,1.9569,59.8025,0.0,66.9292,1777615200035856269
nyudepth,sharing,3.6271,77.3628,67.1661,65.1525,0.0031,1.2244,3.8989,0.0,10.1966,1777615200119523566
nyudepth,sharing,3.7349,42.0277,30.4404,28.0237,0.003,1.576,4.3776,0.0,11.5873,1777615200227819490
nyudepth,sharing,3.7425,66.2138,34.4026,32.8093,0.0028,0.9038,25.728,0.0,31.8113,1777615200256751061
nyudepth,sharing,3.8555,123.9593,83.6521,79.2814,0.0032,3.3172,24.1566,0.0,40.3072,1777615200368145610
nyudepth,sharing,3.9917,52.5846,34.9449,33.2895,0.0029,0.9239,11.4977,0.0,17.6398,1777615200491734125
nyudepth,sharing,4.1048,40.4344,30.4379,28.0559,0.0028,1.5539,2.9171,0.0,9.9965,1777615200596202337
nyudepth,sharing,4.1311,49.9098,35.2094,32.7614,0.0034,1.4153,5.559,0.0,14.7005,1777615200625135077
nyudepth,sharing,4.1645,49.9921,36.3314,33.2912,0.0033,1.4029,5.6844,0.0,13.6607,1777615200658701235
nyudepth,sharing,4.1799,137.5248,103.6836,100.3285,0.0038,2.1727,25.8632,0.0,33.8412,1777615200694310254
nyudepth,sharing,4.2158,228.3871,129.3255,92.2553,0.0033,12.0967,93.0493,0.0,99.0616,1777615200797350941
nyudepth,sharing,4.2171,231.9365,129.3255,92.2553,0.0033,12.0967,91.7709,0.0,102.6109,1777615200797350941
nyudepth,sharing,4.234,221.0631,129.3255,92.2553,0.0033,12.0967,74.8966,0.0,91.7376,1777615200797350941
nyudepth,sharing,4.3658,95.4206,52.3814,30.2649,0.0029,15.9549,36.1297,0.0,43.0392,1777615200890460979
nyudepth,sharing,4.7665,38.7721,29.5909,27.8493,0.0029,0.9995,3.3572,0.0,9.1812,1777615201258352179
nyudepth,sharing,4.8219,62.9232,36.6692,34.3389,0.0031,1.5207,19.0969,0.0,26.254,1777615201329530835
nyudepth,sharing,4.85,68.8117,35.1217,33.0547,0.0031,1.3224,26.1993,0.0,33.69,1777615201364717951
nyudepth,sharing,4.8904,87.5766,60.6331,57.376,0.0032,1.9142,19.9711,0.0,26.9435,1777615201398855047
nyudepth,sharing,4.9261,114.2526,63.1114,60.5488,0.0031,0.8088,43.0052,0.0,51.1411,1777615201457624341
