task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0001,67.9839,59.6207,58.5186,0.0018,0.6184,2.5129,0.0,8.3632,1777617116770352376
nyudepth,no_sharing,0.1616,44.9755,34.3733,32.993,0.0018,0.8549,2.9685,0.0,10.6022,1777617116932274404
nyudepth,no_sharing,0.3172,55.1937,46.3347,43.6739,0.0017,1.5418,3.0711,0.0,8.859,1777617117087910286
nyudepth,no_sharing,0.476,47.1206,38.3642,35.769,0.0026,2.0378,2.6433,0.0,8.7564,1777617117246324335
nyudepth,no_sharing,0.4943,160.7683,124.9076,76.2269,0.0017,24.1311,29.7163,0.0,35.8607,1777617117291718266
nyudepth,no_sharing,0.4996,160.7039,124.9076,76.2269,0.0017,24.1311,24.4253,0.0,35.7963,1777617117291718266
nyudepth,no_sharing,0.5967,98.804,28.9405,27.9564,0.0015,0.5503,63.4141,0.0,69.8635,1777617117427786438
nyudepth,no_sharing,0.6906,39.9659,28.5413,27.5609,0.0013,0.5758,5.8379,0.0,11.4245,1777617117464128236
nyudepth,no_sharing,0.8991,40.597,28.5564,27.5392,0.0017,0.5523,2.7122,0.0,12.0406,1777617117669438634
nyudepth,no_sharing,0.9048,93.1532,56.2138,53.6735,0.0021,2.0254,30.9346,0.0,36.9394,1777617117703435504
nyudepth,no_sharing,0.9748,135.9479,107.0446,104.4368,0.0023,1.0482,23.0005,0.0,28.9034,1777617117765411940
nyudepth,no_sharing,0.98,135.5009,107.0446,104.4368,0.0023,1.0482,17.7541,0.0,28.4564,1777617117765411940
nyudepth,no_sharing,1.0511,114.6717,42.6092,41.5792,0.0016,0.6281,64.1706,0.0,72.0625,1777617117882936692
nyudepth,no_sharing,1.1671,71.6989,63.2285,60.675,0.0018,2.1019,2.7153,0.0,8.4704,1777617117937442652
nyudepth,no_sharing,1.1924,85.1564,32.5532,31.6682,0.0014,0.5157,46.0,0.0,52.6033,1777617118006054620
nyudepth,no_sharing,1.2747,40.6032,29.764,28.341,0.0022,0.9283,3.5787,0.0,10.8391,1777617118045963358
nyudepth,no_sharing,1.2849,137.4674,100.8974,98.3007,0.0025,1.0465,30.2823,0.0,36.57,1777617118082798936
nyudepth,no_sharing,1.2911,136.4374,100.8974,98.3007,0.0025,1.0465,24.0269,0.0,35.54,1777617118082798936
nyudepth,no_sharing,1.3121,275.6374,152.8526,124.7548,0.0026,9.181,117.0385,0.0,122.7848,1777617118196821742
nyudepth,no_sharing,1.3723,220.2024,152.8526,124.7548,0.0026,9.181,56.844,0.0,67.3498,1777617118196821742
nyudepth,no_sharing,1.4006,196.6226,152.8526,124.7548,0.0026,9.181,28.5578,0.0,43.77,1777617118196821742
nyudepth,no_sharing,1.4834,199.9817,78.1292,75.5277,0.0026,1.0305,114.8155,0.0,121.8525,1777617118365964778
nyudepth,no_sharing,1.4976,190.0771,78.1292,75.5277,0.0026,1.0305,100.678,0.0,111.9479,1777617118365964778
nyudepth,no_sharing,1.6205,136.5945,63.8458,61.241,0.0019,2.0888,66.4887,0.0,72.7487,1777617118454667198
nyudepth,no_sharing,1.702,156.5261,95.5549,92.9388,0.0029,1.0067,54.9951,0.0,60.9712,1777617118524644708
nyudepth,no_sharing,1.7463,117.4831,95.5549,92.9388,0.0029,1.0067,10.7088,0.0,21.9282,1777617118524644708
nyudepth,no_sharing,1.7734,346.446,247.1147,237.0601,0.0018,2.365,91.4178,0.0,99.3313,1777617118632482656
nyudepth,no_sharing,1.8045,320.8821,247.1147,237.0601,0.0018,2.365,60.3576,0.0,73.7674,1777617118632482656
nyudepth,no_sharing,1.8095,322.8514,247.1147,237.0601,0.0018,2.365,55.2673,0.0,75.7367,1777617118632482656
nyudepth,no_sharing,1.8223,316.3495,247.1147,237.0601,0.0018,2.365,42.5088,0.0,69.2348,1777617118632482656
nyudepth,no_sharing,1.8671,592.7322,311.2128,299.0429,0.0022,1.9188,275.2929,0.0,281.5194,1777617118910040786
nyudepth,no_sharing,1.8926,572.2921,311.2128,299.0429,0.0022,1.9188,249.8283,0.0,261.0793,1777617118910040786
nyudepth,no_sharing,1.9769,493.109,311.2128,299.0429,0.0022,1.9188,165.4155,0.0,181.8962,1777617118910040786
nyudepth,no_sharing,2.0253,450.0861,311.2128,299.0429,0.0022,1.9188,117.0681,0.0,138.8734,1777617118910040786
nyudepth,no_sharing,2.04,440.4044,311.2128,299.0429,0.0022,1.9188,102.3803,0.0,129.1917,1777617118910040786
nyudepth,no_sharing,2.0713,413.7437,311.2128,299.0429,0.0022,1.9188,71.0578,0.0,102.531,1777617118910040786
nyudepth,no_sharing,2.1141,748.2185,367.5259,309.6749,0.0029,8.1642,373.74,0.0,380.6926,1777617119255584855
nyudepth,no_sharing,2.1367,730.9077,367.5259,309.6749,0.0029,8.1642,351.2101,0.0,363.3818,1777617119255584855
nyudepth,no_sharing,2.1577,715.1229,367.5259,309.6749,0.0029,8.1642,330.2245,0.0,347.597,1777617119255584855
nyudepth,no_sharing,2.2164,661.6583,367.5259,309.6749,0.0029,8.1642,271.4965,0.0,294.1324,1777617119255584855
nyudepth,no_sharing,2.2365,646.8201,367.5259,309.6749,0.0029,8.1642,251.4369,0.0,279.2942,1777617119255584855
nyudepth,no_sharing,2.3256,562.9492,367.5259,309.6749,0.0029,8.1642,162.3354,0.0,195.4233,1777617119255584855
nyudepth,no_sharing,2.4176,476.1424,367.5259,309.6749,0.0029,8.1642,70.3108,0.0,108.6165,1777617119255584855
nyudepth,no_sharing,2.4903,960.1631,544.2587,497.3957,0.0142,4.1559,407.9785,0.0,415.9044,1777617119665987084
nyudepth,no_sharing,2.4956,959.7993,544.2587,497.3957,0.0142,4.1559,402.7095,0.0,415.5406,1777617119665987084
nyudepth,no_sharing,2.5711,889.097,544.2587,497.3957,0.0142,4.1559,327.2145,0.0,344.8382,1777617119665987084
nyudepth,no_sharing,2.6612,803.7853,544.2587,497.3957,0.0142,4.1559,237.1662,0.0,259.5266,1777617119665987084
nyudepth,no_sharing,2.736,733.7227,544.2587,497.3957,0.0142,4.1559,162.2481,0.0,189.464,1777617119665987084
nyudepth,no_sharing,2.7543,720.3994,544.2587,497.3957,0.0142,4.1559,143.9798,0.0,176.1406,1777617119665987084
nyudepth,no_sharing,2.7763,703.0509,544.2587,497.3957,0.0142,4.1559,122.0117,0.0,158.7921,1777617119665987084
nyudepth,no_sharing,2.7869,697.211,544.2587,497.3957,0.0142,4.1559,111.3226,0.0,152.9523,1777617119665987084
nyudepth,no_sharing,2.8102,678.5097,544.2587,497.3957,0.0142,4.1559,88.1102,0.0,134.251,1777617119665987084
nyudepth,no_sharing,2.8125,680.5573,544.2587,497.3957,0.0142,4.1559,85.8035,0.0,136.2985,1777617119665987084
nyudepth,no_sharing,2.8234,674.0792,544.2587,497.3957,0.0142,4.1559,74.9574,0.0,129.8204,1777617119665987084
nyudepth,no_sharing,2.9111,989.9712,392.2073,378.7524,0.0048,1.5713,589.8337,0.0,597.7639,1777617120268599065
nyudepth,no_sharing,3.1776,728.4107,392.2073,378.7524,0.0048,1.5713,323.2977,0.0,336.2034,1777617120268599065
