task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,single_nyudepth,0.0001,36.6137,28.5603,27.7912,0.0013,0.4377,2.4042,0.0,8.0534,1777612582863612978
nyudepth,single_nyudepth,0.2412,37.2102,28.2966,27.2802,0.0018,0.5875,3.027,0.0,8.9136,1777612583105324447
nyudepth,single_nyudepth,0.4749,37.2248,28.4394,27.3029,0.002,0.6717,2.9216,0.0,8.7854,1777612583338887140
nyudepth,single_nyudepth,0.7135,40.7376,28.9674,27.3431,0.0021,0.9103,3.3021,0.0,11.7702,1777612583577953569
nyudepth,single_nyudepth,0.742,47.9188,29.636,28.3088,0.0024,0.7652,12.5647,0.0,18.2828,1777612583615674087
nyudepth,single_nyudepth,0.7503,73.9686,28.4417,27.297,0.0018,0.6422,39.2575,0.0,45.5269,1777612583650677729
nyudepth,single_nyudepth,0.8966,39.4869,29.4344,27.2938,0.002,1.6283,4.2174,0.0,10.0524,1777612583761954812
nyudepth,single_nyudepth,1.0365,38.3201,29.1751,27.3772,0.0031,1.0605,3.2301,0.0,9.1449,1777612583900815827
nyudepth,single_nyudepth,1.3483,38.3627,29.0672,27.3723,0.0033,0.9993,3.3512,0.0,9.2955,1777612584212794417
nyudepth,single_nyudepth,1.3567,65.1915,29.386,27.696,0.0027,0.9733,29.6328,0.0,35.8055,1777612584247488764
nyudepth,single_nyudepth,1.4612,38.9469,29.1606,27.6779,0.0027,0.8499,3.9804,0.0,9.7863,1777612584326337369
nyudepth,single_nyudepth,1.4678,67.6396,29.4219,27.9453,0.0024,0.8527,32.0234,0.0,38.2177,1777612584360952693
nyudepth,single_nyudepth,1.5768,38.9285,28.7622,27.4079,0.0026,0.7648,4.2977,0.0,10.1663,1777612584442184019
nyudepth,single_nyudepth,1.7511,40.1967,29.4067,27.4146,0.0028,1.0351,3.1512,0.0,10.79,1777612584615377580
nyudepth,single_nyudepth,1.7898,38.6357,28.9024,27.4774,0.0024,0.8032,3.8507,0.0,9.7333,1777612584654836582
nyudepth,single_nyudepth,1.9119,39.0217,28.881,27.4181,0.0025,0.8382,3.3429,0.0,10.1407,1777612584776332847
nyudepth,single_nyudepth,1.9273,174.7391,141.8912,66.6726,0.0021,37.3306,24.6015,0.0,32.8479,1777612584813010202
nyudepth,single_nyudepth,1.937,169.07,141.8912,66.6726,0.0021,37.3306,14.8971,0.0,27.1788,1777612584813010202
nyudepth,single_nyudepth,1.9682,195.3642,50.7957,49.5449,0.0023,0.3362,138.8555,0.0,144.5685,1777612584968178204
nyudepth,single_nyudepth,2.0587,109.8356,50.7957,49.5449,0.0023,0.3362,48.4054,0.0,59.0399,1777612584968178204
nyudepth,single_nyudepth,2.0999,103.5748,29.0748,28.1111,0.0015,0.5559,68.2194,0.0,74.5,1777612585029288671
nyudepth,single_nyudepth,2.2238,37.761,28.3704,27.3754,0.0016,0.5742,3.6528,0.0,9.3906,1777612585088620731
nyudepth,single_nyudepth,2.2463,49.324,28.2711,27.3159,0.0016,0.5434,15.0583,0.0,21.0529,1777612585122423151
nyudepth,single_nyudepth,2.431,38.3623,28.4473,27.3274,0.0019,0.6512,4.0271,0.0,9.915,1777612585296117654
nyudepth,single_nyudepth,2.5527,37.8611,28.7859,27.3017,0.0025,0.8763,3.2215,0.0,9.0752,1777612585417033268
nyudepth,single_nyudepth,2.6189,38.1632,28.8013,27.4455,0.0024,0.7657,3.5102,0.0,9.3619,1777612585483489204
nyudepth,single_nyudepth,2.6603,37.5447,28.9767,27.6418,0.0024,0.7635,2.7425,0.0,8.5681,1777612585524148510
nyudepth,single_nyudepth,2.7061,38.7869,30.0654,27.8993,0.0023,0.7233,2.7833,0.0,8.7215,1777612585570033186
nyudepth,single_nyudepth,2.7135,88.0411,50.092,49.0325,0.0019,0.3165,31.2021,0.0,37.9491,1777612585605831664
nyudepth,single_nyudepth,2.7314,74.2986,50.092,49.0325,0.0019,0.3165,13.2949,0.0,24.2066,1777612585605831664
nyudepth,single_nyudepth,2.8002,41.4803,29.018,28.0647,0.0018,0.5534,6.2864,0.0,12.4623,1777612585667614593
nyudepth,single_nyudepth,2.839,38.3327,28.6142,27.6759,0.0016,0.5433,3.7794,0.0,9.7185,1777612585703902725
nyudepth,single_nyudepth,2.9657,38.0852,28.3586,27.2863,0.0019,0.6302,3.9625,0.0,9.7266,1777612585830762455
nyudepth,single_nyudepth,3.0361,37.6465,28.6113,27.3099,0.0021,0.7615,3.1848,0.0,9.0352,1777612585900372720
nyudepth,single_nyudepth,3.0594,48.3551,28.3347,27.2665,0.0018,0.615,13.9155,0.0,20.0204,1777612585934420213
nyudepth,single_nyudepth,3.106,37.4212,28.1957,27.1968,0.0015,0.5814,3.2406,0.0,9.2255,1777612585970373575
nyudepth,single_nyudepth,3.1707,38.5637,28.3744,27.3446,0.0016,0.5978,4.4184,0.0,10.1893,1777612586036265970
nyudepth,single_nyudepth,3.2041,40.6611,29.0702,27.1783,0.0018,1.4565,5.9044,0.0,11.5909,1777612586071129844
nyudepth,single_nyudepth,3.2366,42.3012,28.5186,27.5519,0.0017,0.5498,7.8712,0.0,13.7826,1777612586105566636
nyudepth,single_nyudepth,3.3242,37.9951,28.4376,27.377,0.002,0.5862,3.875,0.0,9.5575,1777612586189169305
nyudepth,single_nyudepth,3.3546,42.5823,28.359,27.3655,0.0017,0.5645,8.3277,0.0,14.2233,1777612586223993676
nyudepth,single_nyudepth,3.4875,38.3861,28.4518,27.3152,0.0018,0.6705,4.1544,0.0,9.9343,1777612586352746424
nyudepth,single_nyudepth,3.6272,37.3917,28.4687,27.3048,0.0026,0.6625,3.051,0.0,8.9229,1777612586491383078
nyudepth,single_nyudepth,3.7349,37.6799,28.5333,27.3365,0.0019,0.6966,3.2794,0.0,9.1466,1777612586599323937
nyudepth,single_nyudepth,3.7423,64.4679,28.5436,27.3663,0.0021,0.6651,29.9516,0.0,35.9243,1777612586633345649
nyudepth,single_nyudepth,3.8561,38.3656,28.6102,27.3334,0.0027,0.7292,3.9353,0.0,9.7554,1777612586721103630
nyudepth,single_nyudepth,3.9918,37.2353,28.6738,27.4022,0.0021,0.7349,2.7249,0.0,8.5615,1777612586855602718
nyudepth,single_nyudepth,4.1033,39.1221,30.0855,27.4998,0.0026,1.8924,3.2666,0.0,9.0367,1777612586967707304
nyudepth,single_nyudepth,4.1317,46.7865,30.6052,27.8472,0.0027,0.9237,10.3679,0.0,16.1813,1777612587003203262
nyudepth,single_nyudepth,4.1638,49.9609,29.6907,28.3554,0.0023,0.7625,14.4181,0.0,20.2702,1777612587039280599
nyudepth,single_nyudepth,4.1798,68.0153,28.7331,27.5385,0.0023,0.6785,33.4871,0.0,39.2822,1777612587074448188
nyudepth,single_nyudepth,4.216,134.1774,95.7872,85.915,0.0036,3.1047,31.9421,0.0,38.3903,1777612587109070844
nyudepth,single_nyudepth,4.2172,138.2375,95.7872,85.915,0.0036,3.1047,30.8039,0.0,42.4503,1777612587109070844
nyudepth,single_nyudepth,4.234,127.0657,95.7872,85.915,0.0036,3.1047,13.9408,0.0,31.2785,1777612587109070844
nyudepth,single_nyudepth,4.3664,40.3626,29.0421,28.0276,0.0018,0.5803,5.2431,0.0,11.3205,1777612587232722764
nyudepth,single_nyudepth,4.7663,38.2397,28.8362,27.4405,0.0027,0.7972,3.2287,0.0,9.4035,1777612587630681592
nyudepth,single_nyudepth,4.8219,40.1547,30.2121,27.362,0.0022,2.3461,3.6197,0.0,9.9426,1777612587686612613
nyudepth,single_nyudepth,4.8502,45.9559,28.71,27.6077,0.002,0.6334,11.5123,0.0,17.2459,1777612587722851687
nyudepth,single_nyudepth,4.8903,41.2865,28.8656,27.8536,0.0019,0.5856,6.701,0.0,12.4209,1777612587758141278
