task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,client_pre_rpc_ms,non_server_exec_overhead_ms,server_start_ns
vocseg,single_vocseg,0.0001,38.9469,29.8187,28.4756,0.0025,0.857,2.8653,0.0,9.1282,1777613222372643257
vocseg,single_vocseg,0.0172,105.1016,76.6463,61.9201,0.0023,7.1438,22.4965,0.0,28.4553,1777613222409427940
vocseg,single_vocseg,0.0257,101.7776,76.6463,61.9201,0.0023,7.1438,14.0626,0.0,25.1312,1777613222409427940
vocseg,single_vocseg,0.0315,131.8491,29.0322,27.7737,0.0023,0.8243,96.1814,0.0,102.8169,1777613222497364557
vocseg,single_vocseg,0.1508,45.9795,28.7481,27.5674,0.0021,0.7814,11.4093,0.0,17.2314,1777613222531860453
vocseg,single_vocseg,0.3061,38.944,28.9582,27.3907,0.0078,1.0182,3.1869,0.0,9.9858,1777613222679001669
vocseg,single_vocseg,0.3464,39.8726,29.1087,27.8172,0.002,0.8397,4.1041,0.0,10.7639,1777613222720162880
vocseg,single_vocseg,0.4806,38.1653,28.7031,27.3636,0.0027,0.868,3.2518,0.0,9.4622,1777613222853536697
vocseg,single_vocseg,0.492,61.9972,29.2675,27.7972,0.0017,1.007,26.8779,0.0,32.7297,1777613222888588683
vocseg,single_vocseg,0.5994,38.5151,29.1835,27.6877,0.0026,0.9438,3.3476,0.0,9.3316,1777613222972398687
vocseg,single_vocseg,0.6532,37.4713,28.7811,27.4304,0.0022,0.8749,2.8064,0.0,8.6902,1777613223025695016
vocseg,single_vocseg,0.759,37.9183,28.879,27.4293,0.0022,0.9502,2.9361,0.0,9.0393,1777613223131621502
vocseg,single_vocseg,1.0995,41.0314,30.7465,27.9322,0.0023,0.9939,3.1052,0.0,10.2849,1777613223472264795
vocseg,single_vocseg,1.1718,38.5256,29.0395,27.5999,0.0023,0.9278,3.1164,0.0,9.4861,1777613223544616278
vocseg,single_vocseg,1.2967,38.1751,28.9993,27.495,0.0023,0.9269,3.1302,0.0,9.1758,1777613223669506108
vocseg,single_vocseg,1.4042,40.1804,30.1427,28.5384,0.0027,0.9867,3.381,0.0,10.0377,1777613223777277312
vocseg,single_vocseg,1.4042,99.0109,52.2065,49.6427,0.0053,0.8298,40.5598,0.0,46.8044,1777613223814619396
vocseg,single_vocseg,1.4268,81.8784,52.2065,49.6427,0.0053,0.8298,18.1634,0.0,29.6719,1777613223814619396
vocseg,single_vocseg,1.4647,79.2439,29.4543,28.0989,0.0022,0.8736,43.7543,0.0,49.7896,1777613223878151068
vocseg,single_vocseg,1.5583,40.5898,30.1461,28.2116,0.0034,1.1504,4.2725,0.0,10.4438,1777613223932224035
vocseg,single_vocseg,1.6262,37.9884,28.8175,27.422,0.0024,0.8896,3.1095,0.0,9.1709,1777613223998970080
vocseg,single_vocseg,1.9527,37.9868,28.8568,27.4563,0.0025,0.8995,3.176,0.0,9.13,1777613224325603386
