task,condition,elapsed_sec,latency_ms
ecgclass,no_sharing,0.0,323.5748
ecgclass,no_sharing,0.1207,235.3244
ecgclass,no_sharing,0.2378,118.3112
ecgclass,no_sharing,0.3572,16.1247
ecgclass,no_sharing,0.3709,21.0707
ecgclass,no_sharing,0.3754,16.5939
ecgclass,no_sharing,0.4482,16.669
ecgclass,no_sharing,0.518,14.9038
ecgclass,no_sharing,0.6742,16.3395
ecgclass,no_sharing,0.6786,32.4693
ecgclass,no_sharing,0.7315,18.8801
ecgclass,no_sharing,0.7344,34.3072
ecgclass,no_sharing,0.7903,14.1537
ecgclass,no_sharing,0.8757,16.6073
ecgclass,no_sharing,0.8944,18.8539
ecgclass,no_sharing,0.9564,20.0837
ecgclass,no_sharing,0.9639,36.1216
ecgclass,no_sharing,0.9683,31.8258
ecgclass,no_sharing,0.9846,29.9339
ecgclass,no_sharing,1.0291,18.3527
ecgclass,no_sharing,1.0496,19.1967
ecgclass,no_sharing,1.112,20.2045
ecgclass,no_sharing,1.124,31.4014
ecgclass,no_sharing,1.2156,14.5788
ecgclass,no_sharing,1.2764,18.2347
ecgclass,no_sharing,1.3097,16.185
ecgclass,no_sharing,1.33,17.4649
ecgclass,no_sharing,1.3536,17.369
ecgclass,no_sharing,1.3573,33.1068
ecgclass,no_sharing,1.3658,24.7283
ecgclass,no_sharing,1.4006,15.9369
ecgclass,no_sharing,1.4196,13.6788
ecgclass,no_sharing,1.4825,14.0409
ecgclass,no_sharing,1.5186,14.7662
ecgclass,no_sharing,1.5306,14.7967
ecgclass,no_sharing,1.5535,14.5984
ecgclass,no_sharing,1.5852,14.555
ecgclass,no_sharing,1.6029,18.1594
ecgclass,no_sharing,1.6184,24.8623
ecgclass,no_sharing,1.6624,17.1561
ecgclass,no_sharing,1.6769,22.5117
ecgclass,no_sharing,1.744,13.3505
ecgclass,no_sharing,1.814,13.9995
ecgclass,no_sharing,1.8681,17.7197
ecgclass,no_sharing,1.8716,28.7273
ecgclass,no_sharing,1.9279,21.1887
ecgclass,no_sharing,1.9961,16.6717
ecgclass,no_sharing,2.052,14.2522
ecgclass,no_sharing,2.066,16.9823
ecgclass,no_sharing,2.0825,29.7155
ecgclass,no_sharing,2.0904,35.6638
ecgclass,no_sharing,2.1083,17.8354
ecgclass,no_sharing,2.1096,16.6574
ecgclass,no_sharing,2.1173,22.8522
ecgclass,no_sharing,2.1833,13.9666
ecgclass,no_sharing,2.3835,16.7758
ecgclass,no_sharing,2.4107,17.7042
ecgclass,no_sharing,2.425,24.9257
ecgclass,no_sharing,2.4451,22.8853
ecgclass,no_sharing,2.4635,22.0175
ecgclass,no_sharing,2.4701,39.9544
ecgclass,no_sharing,2.5238,12.5806
ecgclass,no_sharing,2.5927,17.576
ecgclass,no_sharing,2.6685,17.453
ecgclass,no_sharing,2.9333,19.804
ecgclass,no_sharing,3.0387,17.5803
ecgclass,no_sharing,3.1209,22.1198
ecgclass,no_sharing,3.1731,15.8174
ecgclass,no_sharing,3.203,18.9958
ecgclass,no_sharing,3.2054,38.3396
ecgclass,no_sharing,3.2538,17.0219
ecgclass,no_sharing,3.2838,13.6771
ecgclass,no_sharing,3.3594,16.6411
ecgclass,no_sharing,3.4613,17.7505
ecgclass,no_sharing,3.4778,23.3176
ecgclass,no_sharing,3.4801,21.0822
ecgclass,no_sharing,3.5267,13.5975
ecgclass,no_sharing,3.6538,17.4136
ecgclass,no_sharing,3.6953,17.8621
ecgclass,no_sharing,3.8016,20.6716
ecgclass,no_sharing,3.839,16.9194
ecgclass,no_sharing,3.9046,17.0648
ecgclass,no_sharing,3.9191,20.4613
ecgclass,no_sharing,3.9258,33.7508
ecgclass,no_sharing,3.9331,26.3958
ecgclass,no_sharing,3.9393,38.868
ecgclass,no_sharing,3.9417,36.5026
ecgclass,no_sharing,4.0274,18.1639
ecgclass,no_sharing,4.0501,21.5816
ecgclass,no_sharing,4.0694,16.9234
ecgclass,no_sharing,4.116,17.4191
ecgclass,no_sharing,4.1252,30.3612
ecgclass,no_sharing,4.221,17.7884
ecgclass,no_sharing,4.2857,16.3331
ecgclass,no_sharing,4.302,18.8498
ecgclass,no_sharing,4.3121,27.5235
ecgclass,no_sharing,4.3394,20.0317
ecgclass,no_sharing,4.3539,24.2894
ecgclass,no_sharing,4.3583,19.8257
ecgclass,no_sharing,4.3833,19.0275
ecgclass,no_sharing,4.4955,16.844
ecgclass,no_sharing,4.5458,17.6597
ecgclass,no_sharing,4.702,20.282
ecgclass,no_sharing,4.8034,14.7183
ecgclass,no_sharing,4.8588,21.6565
ecgclass,no_sharing,4.9518,16.4454
ecgclass,no_sharing,4.9871,13.901
ecgclass,no_sharing,5.0423,14.2043
ecgclass,no_sharing,5.0596,20.7484
ecgclass,no_sharing,5.0711,28.1777
ecgclass,no_sharing,5.1784,14.221
ecgclass,no_sharing,5.185,27.6725
ecgclass,no_sharing,5.1948,35.7783
ecgclass,no_sharing,5.2102,20.3986
ecgclass,no_sharing,5.2587,20.5419
ecgclass,no_sharing,5.279,19.3205
ecgclass,no_sharing,5.3135,17.3793
ecgclass,no_sharing,5.4215,25.9709
ecgclass,no_sharing,5.4985,13.4678
ecgclass,no_sharing,5.5572,14.8258
ecgclass,no_sharing,5.5659,18.2352
ecgclass,no_sharing,5.6253,16.7198
ecgclass,no_sharing,5.6482,14.5476
ecgclass,no_sharing,5.6536,21.9963
ecgclass,no_sharing,5.6743,13.6833
ecgclass,no_sharing,5.6777,29.274
ecgclass,no_sharing,5.7231,17.5872
ecgclass,no_sharing,5.7724,19.7954
ecgclass,no_sharing,5.7862,18.3239
ecgclass,no_sharing,5.7886,15.9247
ecgclass,no_sharing,5.9258,16.7606
ecgclass,no_sharing,5.9653,21.5802
ecgclass,no_sharing,6.0398,14.3414
ecgclass,no_sharing,6.0573,26.8202
ecgclass,no_sharing,6.1411,16.9742
ecgclass,no_sharing,6.2241,17.1492
ecgclass,no_sharing,6.2286,37.4784
ecgclass,no_sharing,6.5001,17.8881
ecgclass,no_sharing,6.533,21.7676
ecgclass,no_sharing,6.603,14.0734
ecgclass,no_sharing,6.6155,27.0975
ecgclass,no_sharing,6.6647,16.9027
ecgclass,no_sharing,6.6792,23.0489
ecgclass,no_sharing,6.7593,16.8986
ecgclass,no_sharing,6.7833,13.5374
ecgclass,no_sharing,6.8218,16.4716
ecgclass,no_sharing,6.8484,18.1427
ecgclass,no_sharing,6.8857,16.3391
ecgclass,no_sharing,6.9092,17.6229
ecgclass,no_sharing,6.9406,21.23
ecgclass,no_sharing,6.942,39.1517
ecgclass,no_sharing,7.0213,14.7047
ecgclass,no_sharing,7.1474,17.5576
ecgclass,no_sharing,7.1752,13.3164
ecgclass,no_sharing,7.3458,17.0441
ecgclass,no_sharing,7.3543,27.2579
ecgclass,no_sharing,7.4936,18.3866
ecgclass,no_sharing,7.5115,21.2753
ecgclass,no_sharing,7.5448,12.3959
ecgclass,no_sharing,7.6677,17.1688
ecgclass,no_sharing,7.6735,23.7005
ecgclass,no_sharing,7.6839,13.3562
ecgclass,no_sharing,7.75,18.564
ecgclass,no_sharing,7.7986,18.1847
ecgclass,no_sharing,7.813,24.6887
ecgclass,no_sharing,7.8359,19.63
ecgclass,no_sharing,7.8726,13.1676
ecgclass,no_sharing,7.9684,17.9482
ecgclass,no_sharing,7.9858,21.3902
ecgclass,no_sharing,8.0247,21.6446
ecgclass,no_sharing,8.0423,24.8606
ecgclass,no_sharing,8.0575,22.2845
ecgclass,no_sharing,8.1652,17.1347
ecgclass,no_sharing,8.1925,16.3295
ecgclass,no_sharing,8.2584,19.8932
ecgclass,no_sharing,8.2738,33.885
ecgclass,no_sharing,8.2834,49.6848
ecgclass,no_sharing,8.3402,24.8075
ecgclass,no_sharing,8.4112,22.4864
ecgclass,no_sharing,8.4585,22.4569
ecgclass,no_sharing,8.5182,18.0042
ecgclass,no_sharing,8.5688,17.9093
ecgclass,no_sharing,8.6239,14.878
ecgclass,no_sharing,8.7369,18.3029
ecgclass,no_sharing,8.877,13.9165
ecgclass,no_sharing,8.9101,17.2381
ecgclass,no_sharing,8.9155,36.5157
ecgclass,no_sharing,8.9852,17.5588
ecgclass,no_sharing,9.0284,18.9712
ecgclass,no_sharing,9.151,14.4768
ecgclass,no_sharing,9.2018,21.8873
ecgclass,no_sharing,9.2091,34.4441
ecgclass,no_sharing,9.2627,16.7174
ecgclass,no_sharing,9.2895,13.284
ecgclass,no_sharing,9.2959,35.1272
ecgclass,no_sharing,9.3093,41.2033
ecgclass,no_sharing,9.4832,16.6097
ecgclass,no_sharing,9.5029,17.9417
ecgclass,no_sharing,9.5173,24.241
ecgclass,no_sharing,9.538,23.3126
ecgclass,no_sharing,9.6423,14.061
ecgclass,no_sharing,9.6959,18.9059
ecgclass,no_sharing,9.7063,28.1739
ecgclass,no_sharing,9.7063,28.3442
ecgclass,no_sharing,9.7283,29.2213
ecgclass,no_sharing,9.7358,39.9351
ecgclass,no_sharing,9.8402,17.1926
ecgclass,no_sharing,9.8447,35.1954
ecgclass,no_sharing,9.8786,20.6172
ecgclass,no_sharing,9.9298,13.7141
ecgclass,no_sharing,10.0737,18.6739
ecgclass,no_sharing,10.0883,22.6579
ecgclass,no_sharing,10.1759,16.5608
