task,condition,elapsed_sec,latency_ms
ecgclass,no_sharing_tpc,0.0,333.0421
ecgclass,no_sharing_tpc,0.0603,303.8554
ecgclass,no_sharing_tpc,0.1189,245.3132
ecgclass,no_sharing_tpc,0.1793,184.9513
ecgclass,no_sharing_tpc,0.1859,178.8297
ecgclass,no_sharing_tpc,0.1884,176.3091
ecgclass,no_sharing_tpc,0.2248,139.924
ecgclass,no_sharing_tpc,0.2595,105.2215
ecgclass,no_sharing_tpc,0.3372,48.5082
ecgclass,no_sharing_tpc,0.3401,45.5852
ecgclass,no_sharing_tpc,0.3658,42.1765
ecgclass,no_sharing_tpc,0.3676,40.504
ecgclass,no_sharing_tpc,0.3943,30.915
ecgclass,no_sharing_tpc,0.4393,21.5514
ecgclass,no_sharing_tpc,0.4474,31.2603
ecgclass,no_sharing_tpc,0.478,20.8077
ecgclass,no_sharing_tpc,0.4828,37.2264
ecgclass,no_sharing_tpc,0.4842,35.8326
ecgclass,no_sharing_tpc,0.4929,27.3602
ecgclass,no_sharing_tpc,0.5155,26.3329
ecgclass,no_sharing_tpc,0.5253,37.6585
ecgclass,no_sharing_tpc,0.5566,19.2754
ecgclass,no_sharing_tpc,0.5622,31.7576
ecgclass,no_sharing_tpc,0.6081,24.7324
ecgclass,no_sharing_tpc,0.6389,13.824
ecgclass,no_sharing_tpc,0.6549,15.7788
ecgclass,no_sharing_tpc,0.6652,22.023
ecgclass,no_sharing_tpc,0.6769,30.4825
ecgclass,no_sharing_tpc,0.6793,28.0483
ecgclass,no_sharing_tpc,0.6829,24.4708
ecgclass,no_sharing_tpc,0.7007,23.983
ecgclass,no_sharing_tpc,0.7105,26.5751
ecgclass,no_sharing_tpc,0.7419,12.4693
ecgclass,no_sharing_tpc,0.7595,23.3705
ecgclass,no_sharing_tpc,0.7652,35.5508
ecgclass,no_sharing_tpc,0.7766,24.2269
ecgclass,no_sharing_tpc,0.7928,26.8612
ecgclass,no_sharing_tpc,0.8019,33.4029
ecgclass,no_sharing_tpc,0.8092,26.2032
ecgclass,no_sharing_tpc,0.832,16.3333
ecgclass,no_sharing_tpc,0.8395,30.1759
ecgclass,no_sharing_tpc,0.8728,15.7299
ecgclass,no_sharing_tpc,0.9069,21.7609
ecgclass,no_sharing_tpc,0.9341,12.9414
ecgclass,no_sharing_tpc,0.9365,28.3599
ecgclass,no_sharing_tpc,0.9646,13.268
ecgclass,no_sharing_tpc,0.9979,13.6185
ecgclass,no_sharing_tpc,1.0262,13.166
ecgclass,no_sharing_tpc,1.0336,19.1514
ecgclass,no_sharing_tpc,1.0415,30.8034
ecgclass,no_sharing_tpc,1.045,27.257
ecgclass,no_sharing_tpc,1.0538,18.5428
ecgclass,no_sharing_tpc,1.0551,30.6957
ecgclass,no_sharing_tpc,1.0594,26.3662
ecgclass,no_sharing_tpc,1.0919,15.259
ecgclass,no_sharing_tpc,1.1915,19.2926
ecgclass,no_sharing_tpc,1.2058,24.3974
ecgclass,no_sharing_tpc,1.2129,30.441
ecgclass,no_sharing_tpc,1.2234,19.9256
ecgclass,no_sharing_tpc,1.2323,29.474
ecgclass,no_sharing_tpc,1.2357,26.1102
ecgclass,no_sharing_tpc,1.2618,19.1681
ecgclass,no_sharing_tpc,1.2966,12.9035
ecgclass,no_sharing_tpc,1.3347,20.7026
ecgclass,no_sharing_tpc,1.467,20.5791
ecgclass,no_sharing_tpc,1.5204,18.8973
ecgclass,no_sharing_tpc,1.5608,21.3816
ecgclass,no_sharing_tpc,1.5873,14.0009
ecgclass,no_sharing_tpc,1.6013,17.221
ecgclass,no_sharing_tpc,1.6026,34.2975
ecgclass,no_sharing_tpc,1.6266,22.9042
ecgclass,no_sharing_tpc,1.642,30.0453
