task,condition,elapsed_sec,latency_ms,server_exec_ms,server_start_ns
ecgclass,single_ecgclass,0.0001,285.8906,284.3897,1775516271267744533
ecgclass,single_ecgclass,0.0305,296.9561,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.0601,267.7288,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.0896,238.3702,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.0932,234.8094,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.0946,233.4402,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.1139,214.2091,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.1304,198.1969,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.1688,159.7962,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.1704,158.268,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.1827,145.8998,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.1841,144.5091,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.1984,130.399,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.2188,110.0321,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.2242,104.7533,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.2395,89.4144,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.2419,87.0714,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.2421,86.8096,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.2465,82.526,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.2579,71.1462,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.2632,65.886,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.2785,50.5865,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.2818,47.302,31.2065,1775516271562367375
ecgclass,single_ecgclass,0.3051,46.0703,16.1895,1775516271601105985
ecgclass,single_ecgclass,0.3194,31.7192,16.1895,1775516271601105985
ecgclass,single_ecgclass,0.3274,23.8454,16.1895,1775516271601105985
ecgclass,single_ecgclass,0.3333,36.1855,12.1509,1775516271623496369
ecgclass,single_ecgclass,0.3389,30.6332,12.1509,1775516271623496369
ecgclass,single_ecgclass,0.3391,30.5083,12.1509,1775516271623496369
ecgclass,single_ecgclass,0.3424,27.288,12.1509,1775516271623496369
ecgclass,single_ecgclass,0.3507,18.9888,12.1509,1775516271623496369
ecgclass,single_ecgclass,0.3553,31.9521,12.9493,1775516271640623449
ecgclass,single_ecgclass,0.3708,16.6893,12.9493,1775516271640623449
ecgclass,single_ecgclass,0.3811,26.5532,13.2396,1775516271660538673
ecgclass,single_ecgclass,0.3834,24.2109,13.2396,1775516271660538673
ecgclass,single_ecgclass,0.3886,19.021,13.2396,1775516271660538673
ecgclass,single_ecgclass,0.3969,29.53,12.1264,1775516271680443987
ecgclass,single_ecgclass,0.4013,25.1722,12.1264,1775516271680443987
ecgclass,single_ecgclass,0.4056,20.9153,12.1264,1775516271680443987
ecgclass,single_ecgclass,0.4157,31.8611,12.2156,1775516271701672120
ecgclass,single_ecgclass,0.4201,27.6196,12.2156,1775516271701672120
ecgclass,single_ecgclass,0.4366,27.559,11.2886,1775516271719167096
ecgclass,single_ecgclass,0.4538,28.0468,10.9765,1775516271737132904
ecgclass,single_ecgclass,0.4673,32.7079,11.4993,1775516271754695864
ecgclass,single_ecgclass,0.4688,31.1956,11.4993,1775516271754695864
ecgclass,single_ecgclass,0.4829,34.127,11.9509,1775516271771300811
ecgclass,single_ecgclass,0.4992,37.1947,13.4995,1775516271789183515
ecgclass,single_ecgclass,0.5141,22.4226,13.4995,1775516271789183515
ecgclass,single_ecgclass,0.5169,19.6733,13.4995,1775516271789183515
ecgclass,single_ecgclass,0.5212,32.2299,12.058,1775516271807680186
ecgclass,single_ecgclass,0.5235,30.1237,12.058,1775516271807680186
ecgclass,single_ecgclass,0.5278,25.7909,12.058,1775516271807680186
ecgclass,single_ecgclass,0.5279,26.047,12.058,1775516271807680186
ecgclass,single_ecgclass,0.5294,24.507,12.058,1775516271807680186
ecgclass,single_ecgclass,0.5466,22.6574,11.0742,1775516271824537135
ecgclass,single_ecgclass,0.5965,12.7726,11.5024,1775516271864052149
ecgclass,single_ecgclass,0.603,23.7124,12.4202,1775516271880530461
ecgclass,single_ecgclass,0.6063,20.4582,12.4202,1775516271880530461
ecgclass,single_ecgclass,0.6114,32.8126,11.9539,1775516271898394344
ecgclass,single_ecgclass,0.6168,27.3983,11.9539,1775516271898394344
ecgclass,single_ecgclass,0.6181,26.1576,11.9539,1775516271898394344
ecgclass,single_ecgclass,0.6319,28.5666,11.4864,1775516271915286174
ecgclass,single_ecgclass,0.6484,31.3919,11.548,1775516271934543429
ecgclass,single_ecgclass,0.6676,28.7478,11.1199,1775516271951464420
