task,condition,elapsed_sec,latency_ms
gestureclass,single_gestureclass,0.0,293.3593
gestureclass,single_gestureclass,0.0025,334.1417
gestureclass,single_gestureclass,0.0038,332.7854
gestureclass,single_gestureclass,0.0038,332.7777
gestureclass,single_gestureclass,0.0194,317.3978
gestureclass,single_gestureclass,0.039,297.8168
gestureclass,single_gestureclass,0.0435,293.4468
gestureclass,single_gestureclass,0.061,275.8775
gestureclass,single_gestureclass,0.0615,275.3909
gestureclass,single_gestureclass,0.076,261.0972
gestureclass,single_gestureclass,0.0825,254.6995
gestureclass,single_gestureclass,0.095,242.1536
gestureclass,single_gestureclass,0.1377,199.5065
gestureclass,single_gestureclass,0.1483,188.93
gestureclass,single_gestureclass,0.1629,174.3436
gestureclass,single_gestureclass,0.1775,160.4908
gestureclass,single_gestureclass,0.1775,160.4469
gestureclass,single_gestureclass,0.1792,158.8132
gestureclass,single_gestureclass,0.1835,154.4421
gestureclass,single_gestureclass,0.195,143.0068
gestureclass,single_gestureclass,0.2034,134.5868
gestureclass,single_gestureclass,0.2449,93.0285
gestureclass,single_gestureclass,0.2555,82.4621
gestureclass,single_gestureclass,0.276,61.9781
gestureclass,single_gestureclass,0.2785,59.4459
gestureclass,single_gestureclass,0.3045,63.5715
gestureclass,single_gestureclass,0.3046,63.5524
gestureclass,single_gestureclass,0.3122,55.9354
gestureclass,single_gestureclass,0.3156,52.5451
gestureclass,single_gestureclass,0.3351,51.5125
gestureclass,single_gestureclass,0.3401,46.6027
gestureclass,single_gestureclass,0.3475,39.2838
gestureclass,single_gestureclass,0.3538,33.0427
gestureclass,single_gestureclass,0.3561,30.7112
gestureclass,single_gestureclass,0.3823,23.5143
gestureclass,single_gestureclass,0.399,26.7076
gestureclass,single_gestureclass,0.3993,26.4218
gestureclass,single_gestureclass,0.4089,37.5152
gestureclass,single_gestureclass,0.4163,30.169
gestureclass,single_gestureclass,0.4207,25.8873
gestureclass,single_gestureclass,0.4289,36.9489
gestureclass,single_gestureclass,0.4289,37.1442
gestureclass,single_gestureclass,0.4403,25.6815
gestureclass,single_gestureclass,0.4404,25.7332
gestureclass,single_gestureclass,0.4527,30.7286
gestureclass,single_gestureclass,0.4813,19.5138
gestureclass,single_gestureclass,0.4827,41.4188
gestureclass,single_gestureclass,0.4845,39.9623
gestureclass,single_gestureclass,0.4898,34.8759
gestureclass,single_gestureclass,0.5059,36.1488
gestureclass,single_gestureclass,0.5223,19.9099
gestureclass,single_gestureclass,0.5242,17.9906
gestureclass,single_gestureclass,0.5242,18.0387
gestureclass,single_gestureclass,0.5724,18.3752
gestureclass,single_gestureclass,0.59,19.053
gestureclass,single_gestureclass,0.6019,23.5703
gestureclass,single_gestureclass,0.6112,34.0462
gestureclass,single_gestureclass,0.6276,36.5634
gestureclass,single_gestureclass,0.639,25.2202
gestureclass,single_gestureclass,0.6593,25.3758
gestureclass,single_gestureclass,0.6693,33.9696
gestureclass,single_gestureclass,0.6693,34.0834
gestureclass,single_gestureclass,0.6708,32.5627
gestureclass,single_gestureclass,0.6918,31.7087
gestureclass,single_gestureclass,0.7034,20.1354
gestureclass,single_gestureclass,0.7228,21.0922
gestureclass,single_gestureclass,0.7266,37.5626
gestureclass,single_gestureclass,0.748,37.3724
gestureclass,single_gestureclass,0.7505,34.9422
gestureclass,single_gestureclass,0.7754,31.8975
gestureclass,single_gestureclass,0.7819,25.3315
gestureclass,single_gestureclass,0.8174,14.1847
gestureclass,single_gestureclass,0.8219,28.0797
gestureclass,single_gestureclass,0.8337,34.8954
