task,condition,elapsed_sec,latency_ms
ecgclass,single_ecgclass,0.0,586.9656
ecgclass,single_ecgclass,0.0305,650.8272
ecgclass,single_ecgclass,0.06,621.5062
ecgclass,single_ecgclass,0.0894,592.1884
ecgclass,single_ecgclass,0.0929,588.8739
ecgclass,single_ecgclass,0.0941,587.5981
ecgclass,single_ecgclass,0.1134,568.5036
ecgclass,single_ecgclass,0.1299,552.0399
ecgclass,single_ecgclass,0.1693,512.7659
ecgclass,single_ecgclass,0.1698,513.449
ecgclass,single_ecgclass,0.1841,499.1326
ecgclass,single_ecgclass,0.1842,499.1174
ecgclass,single_ecgclass,0.1987,484.5629
ecgclass,single_ecgclass,0.2192,464.0658
ecgclass,single_ecgclass,0.2238,459.5249
ecgclass,single_ecgclass,0.2392,444.067
ecgclass,single_ecgclass,0.2416,441.6518
ecgclass,single_ecgclass,0.2429,440.3741
ecgclass,single_ecgclass,0.2462,437.0832
ecgclass,single_ecgclass,0.2576,425.6938
ecgclass,single_ecgclass,0.2629,420.4023
ecgclass,single_ecgclass,0.2782,405.0722
ecgclass,single_ecgclass,0.2816,402.6058
ecgclass,single_ecgclass,0.3712,313.0329
ecgclass,single_ecgclass,0.3042,380.0404
ecgclass,single_ecgclass,0.3195,364.7554
ecgclass,single_ecgclass,0.3278,356.4301
ecgclass,single_ecgclass,0.3331,351.1012
ecgclass,single_ecgclass,0.3384,345.8285
ecgclass,single_ecgclass,0.3397,344.4881
ecgclass,single_ecgclass,0.3421,342.1369
ecgclass,single_ecgclass,0.3505,333.7209
ecgclass,single_ecgclass,0.3549,329.3424
ecgclass,single_ecgclass,0.3818,305.2099
ecgclass,single_ecgclass,0.3833,303.638
ecgclass,single_ecgclass,0.3887,298.3148
ecgclass,single_ecgclass,0.397,289.9947
ecgclass,single_ecgclass,0.4013,285.6827
ecgclass,single_ecgclass,0.4056,281.4069
ecgclass,single_ecgclass,0.4159,271.0681
ecgclass,single_ecgclass,0.4202,266.7792
ecgclass,single_ecgclass,0.4365,250.4616
ecgclass,single_ecgclass,0.4541,232.9271
ecgclass,single_ecgclass,0.4688,218.1747
ecgclass,single_ecgclass,0.4688,218.1633
ecgclass,single_ecgclass,0.4834,203.5761
ecgclass,single_ecgclass,0.4998,187.2115
ecgclass,single_ecgclass,0.5141,172.8785
ecgclass,single_ecgclass,0.5175,169.5461
ecgclass,single_ecgclass,0.5208,166.2226
ecgclass,single_ecgclass,0.5231,163.9113
ecgclass,single_ecgclass,0.5274,159.6112
ecgclass,single_ecgclass,0.5274,159.6014
ecgclass,single_ecgclass,0.5299,157.1281
ecgclass,single_ecgclass,0.5462,140.8174
ecgclass,single_ecgclass,0.5971,120.7066
ecgclass,single_ecgclass,0.6035,114.3317
ecgclass,single_ecgclass,0.6069,111.0129
ecgclass,single_ecgclass,0.6122,109.0026
ecgclass,single_ecgclass,0.6165,104.7001
ecgclass,single_ecgclass,0.6178,103.3931
ecgclass,single_ecgclass,0.6321,89.0965
ecgclass,single_ecgclass,0.6484,72.8054
ecgclass,single_ecgclass,0.6677,53.4894
ecgclass,single_ecgclass,0.7356,16.9783
ecgclass,single_ecgclass,0.7607,13.0217
ecgclass,single_ecgclass,0.7809,12.2378
ecgclass,single_ecgclass,0.7942,15.8143
ecgclass,single_ecgclass,0.8015,36.0055
ecgclass,single_ecgclass,0.8015,36.072
ecgclass,single_ecgclass,0.8141,41.8944
ecgclass,single_ecgclass,0.8215,34.5516
ecgclass,single_ecgclass,0.8407,35.6326
ecgclass,single_ecgclass,0.8662,29.4044
ecgclass,single_ecgclass,0.8695,26.2282
ecgclass,single_ecgclass,0.8708,24.945
ecgclass,single_ecgclass,0.8825,27.6415
ecgclass,single_ecgclass,0.9143,13.4881
ecgclass,single_ecgclass,0.9248,20.8561
ecgclass,single_ecgclass,0.9508,12.5043
ecgclass,single_ecgclass,0.9611,18.9626
ecgclass,single_ecgclass,0.9774,20.4804
ecgclass,single_ecgclass,0.9799,39.7635
ecgclass,single_ecgclass,0.9822,37.5223
