task,condition,elapsed_sec,latency_ms
gestureclass,single_gestureclass,0.0,283.4558
gestureclass,single_gestureclass,0.0025,324.2805
gestureclass,single_gestureclass,0.0039,323.1375
gestureclass,single_gestureclass,0.0039,323.1263
gestureclass,single_gestureclass,0.0194,307.7731
gestureclass,single_gestureclass,0.0388,288.5382
gestureclass,single_gestureclass,0.0442,283.1008
gestureclass,single_gestureclass,0.0607,266.7296
gestureclass,single_gestureclass,0.0621,265.5294
gestureclass,single_gestureclass,0.0764,251.1981
gestureclass,single_gestureclass,0.0818,246.0763
gestureclass,single_gestureclass,0.0962,231.7283
gestureclass,single_gestureclass,0.1376,190.4373
gestureclass,single_gestureclass,0.1482,179.9645
gestureclass,single_gestureclass,0.1626,165.6802
gestureclass,single_gestureclass,0.1771,151.2661
gestureclass,single_gestureclass,0.1771,151.3855
gestureclass,single_gestureclass,0.1786,149.8411
gestureclass,single_gestureclass,0.184,144.6228
gestureclass,single_gestureclass,0.1954,133.2128
gestureclass,single_gestureclass,0.2037,125.026
gestureclass,single_gestureclass,0.2441,84.6348
gestureclass,single_gestureclass,0.2555,73.2269
gestureclass,single_gestureclass,0.2759,52.8405
gestureclass,single_gestureclass,0.2783,50.4992
gestureclass,single_gestureclass,0.3046,47.446
gestureclass,single_gestureclass,0.3046,47.5731
gestureclass,single_gestureclass,0.3121,40.184
gestureclass,single_gestureclass,0.3164,35.8765
gestureclass,single_gestureclass,0.3359,33.958
gestureclass,single_gestureclass,0.3402,29.7332
gestureclass,single_gestureclass,0.3475,22.4245
gestureclass,single_gestureclass,0.3533,34.7426
gestureclass,single_gestureclass,0.3556,32.4905
gestureclass,single_gestureclass,0.3821,22.8772
gestureclass,single_gestureclass,0.3991,25.0444
gestureclass,single_gestureclass,0.3991,25.0974
gestureclass,single_gestureclass,0.409,33.7493
gestureclass,single_gestureclass,0.4164,26.448
gestureclass,single_gestureclass,0.4207,22.1601
gestureclass,single_gestureclass,0.4283,31.3849
gestureclass,single_gestureclass,0.4296,30.2517
gestureclass,single_gestureclass,0.4409,19.0473
gestureclass,single_gestureclass,0.4409,19.0368
gestureclass,single_gestureclass,0.4529,25.4493
gestureclass,single_gestureclass,0.4815,13.3703
gestureclass,single_gestureclass,0.4828,29.3355
gestureclass,single_gestureclass,0.4842,27.9307
gestureclass,single_gestureclass,0.4895,22.6889
gestureclass,single_gestureclass,0.5059,24.6172
gestureclass,single_gestureclass,0.5223,24.3134
gestureclass,single_gestureclass,0.5245,22.063
gestureclass,single_gestureclass,0.5245,22.2597
gestureclass,single_gestureclass,0.5739,16.6461
gestureclass,single_gestureclass,0.5904,18.1274
gestureclass,single_gestureclass,0.6018,22.6035
gestureclass,single_gestureclass,0.6116,29.1967
gestureclass,single_gestureclass,0.6275,31.9049
gestureclass,single_gestureclass,0.6389,20.6165
gestureclass,single_gestureclass,0.6592,14.457
gestureclass,single_gestureclass,0.6697,18.5854
gestureclass,single_gestureclass,0.6697,18.5771
gestureclass,single_gestureclass,0.6711,17.2181
gestureclass,single_gestureclass,0.6924,17.1478
gestureclass,single_gestureclass,0.7036,22.7695
gestureclass,single_gestureclass,0.7237,18.9698
gestureclass,single_gestureclass,0.7275,32.3336
gestureclass,single_gestureclass,0.7478,31.5018
gestureclass,single_gestureclass,0.7503,28.9497
gestureclass,single_gestureclass,0.7759,17.7441
gestureclass,single_gestureclass,0.7814,29.4585
gestureclass,single_gestureclass,0.817,13.3016
gestureclass,single_gestureclass,0.8215,25.3716
gestureclass,single_gestureclass,0.8334,31.3022
gestureclass,single_gestureclass,0.8808,12.3651
gestureclass,single_gestureclass,0.8911,21.2979
gestureclass,single_gestureclass,0.9446,13.2329
gestureclass,single_gestureclass,0.9532,22.6781
gestureclass,single_gestureclass,0.9679,25.6193
gestureclass,single_gestureclass,0.988,26.6156
gestureclass,single_gestureclass,1.0126,18.9364
gestureclass,single_gestureclass,1.0266,24.3032
gestureclass,single_gestureclass,1.0417,28.3504
gestureclass,single_gestureclass,1.046,24.1089
gestureclass,single_gestureclass,1.067,21.6999
gestureclass,single_gestureclass,1.0742,32.7156
gestureclass,single_gestureclass,1.0949,29.4392
gestureclass,single_gestureclass,1.0971,27.205
gestureclass,single_gestureclass,1.111,30.4713
gestureclass,single_gestureclass,1.1243,34.6799
gestureclass,single_gestureclass,1.1346,24.4431
gestureclass,single_gestureclass,1.138,21.1213
gestureclass,single_gestureclass,1.1437,33.6132
gestureclass,single_gestureclass,1.1481,29.1381
gestureclass,single_gestureclass,1.1524,24.8907
gestureclass,single_gestureclass,1.1784,16.2978
gestureclass,single_gestureclass,1.2139,13.0017
gestureclass,single_gestureclass,1.231,12.0249
gestureclass,single_gestureclass,1.2441,15.8546
gestureclass,single_gestureclass,1.2473,32.5553
gestureclass,single_gestureclass,1.2556,24.338
gestureclass,single_gestureclass,1.3181,12.6991
gestureclass,single_gestureclass,1.3349,12.5093
gestureclass,single_gestureclass,1.3412,26.5987
gestureclass,single_gestureclass,1.3575,29.7279
gestureclass,single_gestureclass,1.3699,36.5551
gestureclass,single_gestureclass,1.3904,35.5079
gestureclass,single_gestureclass,1.4146,25.9576
gestureclass,single_gestureclass,1.4405,17.5002
gestureclass,single_gestureclass,1.4891,15.8324
gestureclass,single_gestureclass,1.4916,32.2597
gestureclass,single_gestureclass,1.4989,25.0421
gestureclass,single_gestureclass,1.5022,21.7848
gestureclass,single_gestureclass,1.5161,26.7074
gestureclass,single_gestureclass,1.5214,21.4012
gestureclass,single_gestureclass,1.5311,28.0082
gestureclass,single_gestureclass,1.5374,21.7805
gestureclass,single_gestureclass,1.5863,16.1235
gestureclass,single_gestureclass,1.5928,29.8789
gestureclass,single_gestureclass,1.5971,25.5861
gestureclass,single_gestureclass,1.6278,17.2839
gestureclass,single_gestureclass,1.6324,33.3719
gestureclass,single_gestureclass,1.6758,15.8396
gestureclass,single_gestureclass,1.6988,17.7908
gestureclass,single_gestureclass,1.7307,16.989
gestureclass,single_gestureclass,1.7558,12.8894
gestureclass,single_gestureclass,1.7683,19.3715
gestureclass,single_gestureclass,1.7708,33.2124
gestureclass,single_gestureclass,1.7753,28.9094
