task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,sharing,0.0001,343.4296,339.5151,323.1891,0.0034,15.4504,2.5318,3.9144,1776023247952804811
ecgclass,sharing,2.406,87.2252,84.4044,82.2752,0.0032,1.3986,1.7924,2.8208,1776023250357981737
ecgclass,sharing,4.7422,55.2323,52.707,51.4934,0.002,0.8057,1.7414,2.5253,1776023252694164928
ecgclass,sharing,7.1278,52.2206,49.6825,48.524,0.0017,0.7095,1.6081,2.5381,1776023255079612969
ecgclass,sharing,7.4052,47.863,44.7637,43.7781,0.0015,0.6377,2.1887,3.0993,1776023255357545909
ecgclass,sharing,7.4923,39.254,36.8639,35.9621,0.0014,0.6004,1.4801,2.39,1776023255443914136
ecgclass,sharing,8.9463,50.6971,48.0488,46.5967,0.0017,0.6933,1.6792,2.6483,1776023256898165600
ecgclass,sharing,10.3558,51.9392,49.1695,47.9864,0.0054,0.7352,1.7233,2.7697,1776023258307721723
ecgclass,sharing,13.4787,88.0871,85.3552,83.2445,0.0034,1.402,1.72,2.7319,1776023261430628233
ecgclass,sharing,13.5586,67.2684,58.2694,57.0136,0.0019,0.749,8.1148,8.999,1776023261516849534
ecgclass,sharing,14.606,54.0242,51.4559,50.2186,0.0018,0.7759,1.6685,2.5683,1776023262557824060
ecgclass,sharing,14.6752,46.9208,44.4343,43.4815,0.0016,0.6249,1.6246,2.4865,1776023262627024950
ecgclass,sharing,15.764,85.3372,45.6676,44.0887,0.0017,0.6905,38.8176,39.6695,1776023263753017309
ecgclass,sharing,17.4959,54.3163,51.59,50.4456,0.0017,0.765,1.8394,2.7263,1776023265447947860
ecgclass,sharing,17.8825,58.6605,56.119,54.7839,0.002,0.8995,1.6503,2.5415,1776023265834373925
ecgclass,sharing,19.115,54.1997,51.6622,50.43,0.0018,0.764,1.6961,2.5375,1776023267066843060
ecgclass,sharing,19.2684,54.1596,51.5713,50.3231,0.0019,0.7724,1.6825,2.5883,1776023267220301971
ecgclass,sharing,19.3598,54.0717,51.5748,48.7149,0.003,1.3046,1.6713,2.4969,1776023267311666340
ecgclass,sharing,19.6753,54.0569,51.4889,50.2737,0.0018,0.7568,1.6706,2.568,1776023267627171194
ecgclass,sharing,20.5763,83.8044,45.1904,44.0819,0.0016,0.7052,37.7662,38.614,1776023268564217625
ecgclass,sharing,20.9896,54.2779,51.6796,50.5231,0.0018,0.7724,1.6971,2.5983,1776023268941450392
ecgclass,sharing,22.2372,50.0469,47.5022,46.4824,0.0017,0.6779,1.6322,2.5447,1776023270189021059
ecgclass,sharing,22.4601,50.0019,47.5487,46.4656,0.0018,0.6915,1.5552,2.4532,1776023270411846622
ecgclass,sharing,24.2987,51.1453,48.4935,47.3488,0.0018,0.6951,1.7493,2.6518,1776023272250637948
ecgclass,sharing,25.5253,87.147,84.4562,82.3388,0.0035,1.424,1.7126,2.6908,1776023273477194088
ecgclass,sharing,26.1804,54.2121,51.6527,50.3948,0.0018,0.7679,1.6527,2.5594,1776023274132191515
ecgclass,sharing,26.5976,84.8022,81.5959,79.5411,0.0029,1.3687,1.7288,3.2062,1776023274549468164
ecgclass,sharing,27.0516,54.451,51.7871,50.6267,0.0074,0.7645,1.7152,2.6639,1776023275003462670
ecgclass,sharing,27.1282,69.4263,42.2565,41.1735,0.0015,0.6885,26.2835,27.1698,1776023275104688023
ecgclass,sharing,27.3079,54.0209,51.4962,50.354,0.0018,0.7616,1.6398,2.5247,1776023275259757296
ecgclass,sharing,27.9932,51.7457,49.07,47.976,0.0017,0.6944,1.7452,2.6756,1776023275945107890
ecgclass,sharing,28.3824,68.6634,65.9641,63.9954,0.003,1.3898,1.6713,2.6992,1776023276334291664
ecgclass,sharing,29.6459,50.1549,47.5542,46.427,0.0017,0.7057,1.7037,2.6007,1776023277597737267
ecgclass,sharing,30.3547,53.5557,50.9832,49.8174,0.0019,0.7767,1.6956,2.5725,1776023278306577399
