task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0001,416.822,413.0092,383.5137,0.004,28.4047,2.6021,3.8127,1776027692666172324
ecgclass,no_sharing_tpc,0.241,299.2671,122.66,117.8178,0.0022,4.2611,175.6711,176.6071,1776027693080099540
ecgclass,no_sharing_tpc,0.4752,171.3638,105.5818,100.7522,0.0022,4.2679,64.8315,65.7821,1776027693203438730
ecgclass,no_sharing_tpc,0.7127,124.6021,122.1226,117.3613,0.0016,4.3479,1.5771,2.4795,1776027693377764407
ecgclass,no_sharing_tpc,0.7412,291.7948,194.9496,186.6619,0.0017,3.9372,95.8536,96.8452,1776027693500489222
ecgclass,no_sharing_tpc,0.7499,283.2313,194.9496,186.6619,0.0017,3.9372,87.1384,88.2817,1776027693500489222
ecgclass,no_sharing_tpc,0.8948,250.217,111.3243,110.1273,0.0016,0.7816,137.9769,138.8927,1776027693696191849
ecgclass,no_sharing_tpc,1.0363,227.6149,118.4153,113.6595,0.0015,4.3768,108.3014,109.1996,1776027693808077905
ecgclass,no_sharing_tpc,1.3482,122.2064,119.7235,114.8587,0.0015,4.4779,1.5488,2.4829,1776027694013245557
ecgclass,no_sharing_tpc,1.357,396.9972,282.5156,277.7626,0.0016,1.4525,113.4601,114.4816,1776027694133862154
ecgclass,no_sharing_tpc,1.4617,292.4409,282.5156,277.7626,0.0016,1.4525,8.6727,9.9253,1776027694133862154
ecgclass,no_sharing_tpc,1.4685,285.7232,282.5156,277.7626,0.0016,1.4525,1.9357,3.2076,1776027694133862154
ecgclass,no_sharing_tpc,1.5766,365.6256,187.5296,182.7644,0.0015,2.1679,177.4309,178.096,1776027694417458100
ecgclass,no_sharing_tpc,1.7497,192.6398,187.5296,182.7644,0.0015,2.1679,4.2603,5.1102,1776027694417458100
ecgclass,no_sharing_tpc,1.7899,523.3114,369.8422,365.0799,0.0015,1.009,152.5786,153.4692,1776027694605888712
ecgclass,no_sharing_tpc,1.9119,401.3166,369.8422,365.0799,0.0015,1.009,30.5729,31.4745,1776027694605888712
ecgclass,no_sharing_tpc,1.9273,385.9673,369.8422,365.0799,0.0015,1.009,15.1267,16.1251,1776027694605888712
ecgclass,no_sharing_tpc,1.9378,375.6909,369.8422,365.0799,0.0015,1.009,4.6785,5.8487,1776027694605888712
ecgclass,no_sharing_tpc,1.9695,791.9204,447.1764,442.3641,0.0014,0.8747,344.0037,344.7441,1776027694976984271
ecgclass,no_sharing_tpc,2.058,703.6269,447.1764,442.3641,0.0014,0.8747,255.5802,256.4505,1776027694976984271
ecgclass,no_sharing_tpc,2.0994,662.3085,447.1764,442.3641,0.0014,0.8747,214.1385,215.1321,1776027694976984271
ecgclass,no_sharing_tpc,2.2243,537.5786,447.1764,442.3641,0.0014,0.8747,89.2036,90.4022,1776027694976984271
ecgclass,no_sharing_tpc,2.2462,515.7864,447.1764,442.3641,0.0014,0.8747,67.3077,68.61,1776027694976984271
ecgclass,no_sharing_tpc,2.4303,964.8402,631.6972,623.6089,0.0014,0.6249,331.8145,333.1429,1776027695425542644
