task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
gestureclass,single_gestureclass,0.0002,280.5457,276.876,263.604,0.0028,12.6796,2.3026,3.6697,1776021974442977858
gestureclass,single_gestureclass,1.425,47.9586,44.9259,43.8324,0.0016,0.6755,2.0833,3.0327,1776021975867635191
gestureclass,single_gestureclass,1.5783,46.9127,44.3726,43.3737,0.0016,0.6518,1.5841,2.54,1776021976020371836
gestureclass,single_gestureclass,2.7795,46.9394,44.15,43.1459,0.0014,0.6567,1.8446,2.7893,1776021977221869004
gestureclass,single_gestureclass,3.3892,71.8427,69.041,66.5645,0.0031,1.7517,1.7576,2.8017,1776021977831455577
gestureclass,single_gestureclass,4.9037,80.6446,77.8142,76.6026,0.0019,0.8174,1.8177,2.8304,1776021979345980805
gestureclass,single_gestureclass,4.9774,60.4646,52.8514,51.6843,0.0017,0.7303,6.6934,7.6132,1776021979424650248
gestureclass,single_gestureclass,5.3664,57.297,54.5091,52.5905,0.0032,1.3127,1.7879,2.7879,1776021979808715269
gestureclass,single_gestureclass,7.3568,51.1465,48.4354,47.2497,0.0018,0.7273,1.7738,2.7111,1776021981799107709
gestureclass,single_gestureclass,7.8686,58.9991,56.2706,54.2001,0.003,1.3516,1.7416,2.7285,1776021982310857678
gestureclass,single_gestureclass,9.2121,53.1321,50.64,49.3819,0.0017,0.7647,1.5032,2.4921,1776021983654084114
gestureclass,single_gestureclass,10.6738,85.4001,82.6366,80.0112,0.0032,1.3791,1.7605,2.7635,1776021985116051864
gestureclass,single_gestureclass,10.6885,123.9793,52.5757,51.4537,0.0016,0.7295,70.5187,71.4036,1776021985199574941
gestureclass,single_gestureclass,11.3823,68.4235,65.8089,63.8157,0.0033,1.398,1.5805,2.6146,1776021985824380129
gestureclass,single_gestureclass,12.0415,51.1327,48.3958,47.1908,0.0017,0.732,1.7729,2.7369,1776021986483759797
gestureclass,single_gestureclass,12.0948,46.1984,43.785,42.7371,0.0016,0.6917,1.621,2.4134,1776021986536951845
gestureclass,single_gestureclass,12.5236,50.8876,48.2317,47.0375,0.0016,0.7299,1.7765,2.6559,1776021986965855135
gestureclass,single_gestureclass,12.7128,51.0824,48.4426,47.2261,0.0018,0.7473,1.7321,2.6398,1776021987155011107
gestureclass,single_gestureclass,12.8992,80.0462,77.3601,75.3289,0.0032,1.3955,1.7016,2.6861,1776021987341374464
