task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,single_ecgclass,0.0001,360.6539,357.0584,340.7133,0.0035,15.6137,2.2306,3.5955,1775699495228208798
ecgclass,single_ecgclass,0.4821,56.3297,53.3101,52.21,0.0029,0.7181,2.0483,3.0196,1775699495709990292
ecgclass,single_ecgclass,0.95,55.8584,53.1871,52.1164,0.0026,0.7262,1.7407,2.6712,1775699496177594467
ecgclass,single_ecgclass,1.4264,52.9301,50.1834,49.2239,0.0024,0.6362,1.7633,2.7467,1775699496654068669
ecgclass,single_ecgclass,1.4816,46.4556,43.8968,42.7718,0.0022,0.5891,1.6096,2.5588,1775699496709061146
ecgclass,single_ecgclass,1.4993,68.3606,39.0335,38.1982,0.0019,0.5349,28.4221,29.3271,1775699496753610279
ecgclass,single_ecgclass,1.7901,51.749,49.0661,48.0941,0.0024,0.6207,1.7929,2.6829,1775699497017729874
ecgclass,single_ecgclass,2.0712,51.6932,49.0209,48.1208,0.0024,0.6162,1.7302,2.6723,1775699497298816585
ecgclass,single_ecgclass,2.6977,52.2485,49.5721,48.5741,0.0023,0.6298,1.7712,2.6764,1775699497925298533
ecgclass,single_ecgclass,2.7124,80.3046,42.1247,41.2057,0.0021,0.5712,37.2512,38.18,1775699497975547669
ecgclass,single_ecgclass,2.922,91.4731,88.8117,86.3193,0.0047,1.8517,1.7025,2.6614,1775699498149597202
ecgclass,single_ecgclass,2.9368,132.8409,55.4375,54.3908,0.0025,0.6742,76.5088,77.4033,1775699498239162570
ecgclass,single_ecgclass,3.1539,55.7606,53.1835,52.1431,0.0025,0.7117,1.6515,2.5771,1775699498381409305
ecgclass,single_ecgclass,3.5001,55.7096,53.023,51.944,0.0026,0.6988,1.7123,2.6866,1775699498727704119
ecgclass,single_ecgclass,3.5771,51.502,48.9437,47.966,0.0024,0.669,1.6315,2.5583,1775699498804550741
ecgclass,single_ecgclass,3.8239,56.4947,53.9895,52.9468,0.0025,0.7119,1.6298,2.5052,1775699499051420555
ecgclass,single_ecgclass,3.8537,82.8271,55.3159,49.2292,0.0021,2.8697,26.4978,27.5112,1775699499106047672
ecgclass,single_ecgclass,3.8734,63.2489,55.3159,49.2292,0.0021,2.8697,6.7611,7.933,1775699499106047672
ecgclass,single_ecgclass,3.9356,45.3165,43.0996,42.1587,0.0022,0.638,1.3185,2.2169,1775699499162784560
ecgclass,single_ecgclass,4.1162,56.7377,54.1265,52.6537,0.0024,1.0689,1.6887,2.6112,1775699499343792376
ecgclass,single_ecgclass,4.1982,48.3422,45.8299,44.9821,0.0022,0.573,1.5769,2.5123,1775699499425645308
ecgclass,single_ecgclass,4.4479,52.3024,49.6359,48.6761,0.0022,0.6315,1.7478,2.6665,1775699499675521693
ecgclass,single_ecgclass,4.4927,50.0875,41.8321,40.9504,0.0019,0.5561,7.3104,8.2554,1775699499725832105
ecgclass,single_ecgclass,4.8602,58.6364,55.9304,54.3478,0.0041,1.083,1.6868,2.706,1775699500087791606
ecgclass,single_ecgclass,5.1052,51.6939,49.091,48.1295,0.0023,0.6223,1.658,2.6029,1775699500332758619
ecgclass,single_ecgclass,5.2372,51.4746,48.8889,47.9202,0.0022,0.6097,1.6723,2.5857,1775699500464723471
ecgclass,single_ecgclass,5.3199,48.2078,45.6829,44.8164,0.0021,0.5983,1.6055,2.5248,1775699500547356887
ecgclass,single_ecgclass,5.4103,73.6368,71.0473,69.5439,0.0039,1.0163,1.6198,2.5894,1775699500637788038
ecgclass,single_ecgclass,5.4261,113.3626,54.5526,53.4811,0.0025,0.329,57.7013,58.81,1775699500709621264
ecgclass,single_ecgclass,5.4618,77.6145,54.5526,53.4811,0.0025,0.329,21.9297,23.062,1775699500709621264
ecgclass,single_ecgclass,5.5997,54.585,51.9664,50.4926,0.0023,1.1249,1.6837,2.6186,1775699500827219611
ecgclass,single_ecgclass,5.6765,51.0032,48.4256,47.465,0.0022,0.6514,1.6375,2.5776,1775699500903974406
ecgclass,single_ecgclass,5.9299,70.292,67.659,66.2223,0.0034,0.9759,1.7414,2.633,1775699501157456376
ecgclass,single_ecgclass,6.0724,56.123,53.5172,52.4529,0.0024,0.7119,1.6868,2.6058,1775699501299940638
ecgclass,single_ecgclass,6.1192,58.2981,48.3104,47.3239,0.0024,0.6352,9.1341,9.9877,1775699501354154826
ecgclass,single_ecgclass,6.2117,48.0769,45.576,44.6648,0.0023,0.6148,1.5852,2.5009,1775699501439121870
ecgclass,single_ecgclass,6.34,52.2013,49.6867,48.6676,0.0026,0.6808,1.6038,2.5146,1775699501567463916
ecgclass,single_ecgclass,6.4084,48.7754,46.3892,45.4449,0.0022,0.6338,1.4951,2.3863,1775699501635775252
ecgclass,single_ecgclass,6.4724,46.4375,44.0281,43.0961,0.0022,0.6278,1.5209,2.4094,1775699501699741365
