task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing,0.0002,519.4895,485.9649,356.0949,0.0057,129.0525,8.6424,33.5246,1775691170812276927
nyudepth,no_sharing,2.4059,48.224,28.2389,21.8011,0.0042,5.9902,5.6059,19.985,1775691173214954822
nyudepth,no_sharing,4.7425,51.249,31.8193,29.6703,0.0056,1.5519,4.6313,19.4297,1775691175550581371
nyudepth,no_sharing,7.1263,47.3731,28.1729,20.3683,0.0033,7.416,4.6506,19.2002,1775691177934427910
nyudepth,no_sharing,7.4061,46.2866,27.8421,20.5367,0.0031,6.9873,4.3697,18.4445,1775691178213931336
nyudepth,no_sharing,7.4926,46.1314,27.8556,20.9546,0.0033,6.5681,4.1492,18.2758,1775691178300225256
nyudepth,no_sharing,8.9462,47.7707,28.1142,22.4776,0.0038,5.1933,5.0433,19.6566,1775691179754725800
nyudepth,no_sharing,10.3565,46.366,28.0067,22.9515,0.0034,4.661,4.0121,18.3593,1775691181163996640
nyudepth,no_sharing,13.4793,48.1966,28.7048,25.8828,0.0045,2.2933,4.6599,19.4918,1775691184287429199
nyudepth,no_sharing,13.5587,46.7522,28.1191,25.1354,0.0037,2.5624,4.3781,18.6331,1775691184366577650
nyudepth,no_sharing,14.6048,48.3336,28.4258,25.7434,0.0046,1.7365,4.6756,19.9079,1775691185412919942
nyudepth,no_sharing,14.6753,52.8667,31.1633,29.3932,0.0047,1.2744,7.1037,21.7034,1775691185485872733
nyudepth,no_sharing,15.7642,48.5103,29.883,27.983,0.0055,1.3646,3.8414,18.6273,1775691186571475531
nyudepth,no_sharing,17.4966,50.4255,31.1156,29.1764,0.0048,1.3874,4.2784,19.31,1775691188304346402
nyudepth,no_sharing,17.8825,48.9526,30.7075,28.8598,0.0042,1.3406,3.864,18.2451,1775691188689871320
nyudepth,no_sharing,19.1149,50.0042,32.0517,30.1249,0.0045,1.4149,3.6991,17.9525,1775691189922022714
nyudepth,no_sharing,19.2691,51.9121,33.5609,31.535,0.005,1.486,4.137,18.3512,1775691190076749681
nyudepth,no_sharing,19.3593,51.7859,33.3968,31.4137,0.0048,1.4579,4.0758,18.3891,1775691190166825874
nyudepth,no_sharing,19.6747,55.6386,36.0848,32.3281,0.0055,3.1544,4.663,19.5538,1775691190482821419
nyudepth,no_sharing,20.5758,53.7114,34.3301,32.1792,0.0059,1.5391,4.8366,19.3813,1775691191384140363
nyudepth,no_sharing,20.9891,52.3584,33.9977,31.9694,0.0042,1.4709,4.0569,18.3607,1775691191796624382
nyudepth,no_sharing,22.2358,60.9932,38.6047,33.4642,0.0055,4.5163,7.3624,22.3885,1775691193046674213
nyudepth,no_sharing,22.4602,52.6452,33.8298,31.7697,0.0048,1.5103,4.4961,18.8155,1775691193268141912
nyudepth,no_sharing,24.3008,62.675,44.2087,32.7373,0.0057,10.8599,3.7313,18.4663,1775691195108010170
nyudepth,no_sharing,25.5249,53.1292,32.8607,30.7465,0.0064,1.4744,5.2919,20.2685,1775691196333660722
nyudepth,no_sharing,26.1808,51.6479,33.6754,31.6515,0.005,1.4889,3.7308,17.9725,1775691196988027388
nyudepth,no_sharing,26.598,51.949,33.6838,31.6649,0.0049,1.4603,3.6931,18.2652,1775691197405184854
nyudepth,no_sharing,27.0508,52.851,34.1987,32.0885,0.007,1.5164,4.1125,18.6522,1775691197858345464
nyudepth,no_sharing,27.1278,66.8657,48.0645,31.7285,0.0052,15.7762,4.1401,18.8012,1775691197935446221
nyudepth,no_sharing,27.3074,51.1487,31.3287,29.3539,0.016,1.4338,4.6771,19.8199,1775691198115517903
nyudepth,no_sharing,27.9931,49.4146,28.7432,26.8897,0.0046,1.3222,5.8017,20.6715,1775691198802343448
nyudepth,no_sharing,28.3818,51.0261,29.64,27.7806,0.0053,1.333,4.5881,21.3861,1775691199189901016
nyudepth,no_sharing,29.6472,47.6947,28.7442,24.9651,0.004,3.3667,4.4005,18.9505,1775691200455056597
nyudepth,no_sharing,30.3547,49.1621,30.6065,28.7671,0.0043,1.3445,4.2496,18.5557,1775691201162445424
nyudepth,no_sharing,30.592,51.276,32.5183,30.4809,0.0054,1.4621,4.1399,18.7577,1775691201399628792
nyudepth,no_sharing,31.0549,50.3974,32.0947,30.1865,0.0044,1.384,4.034,18.3027,1775691201862392308
nyudepth,no_sharing,31.6961,52.2814,33.8688,31.8367,0.0045,1.4985,4.1311,18.4126,1775691202503661716
nyudepth,no_sharing,32.0384,53.4577,34.3167,32.189,0.0053,1.5281,4.5128,19.1411,1775691202846396563
nyudepth,no_sharing,32.3613,53.1144,34.5853,31.5038,0.0048,1.5133,4.0796,18.5292,1775691203168871028
nyudepth,no_sharing,33.2405,62.8295,43.959,34.3112,0.0058,9.0361,4.0207,18.8705,1775691204047941777
nyudepth,no_sharing,33.5364,53.2887,34.2707,32.1355,0.0052,1.568,4.3094,19.018,1775691204344164742
nyudepth,no_sharing,34.8705,51.7974,32.9361,30.8592,0.0055,1.4715,4.2279,18.8613,1775691205678209940
nyudepth,no_sharing,36.261,53.7031,34.5454,32.3244,0.0061,1.5546,4.3237,19.1577,1775691207068827824
nyudepth,no_sharing,37.3459,51.64,33.6991,31.6549,0.0049,1.4747,3.6967,17.941,1775691208153110648
nyudepth,no_sharing,37.4188,49.3488,31.3704,29.4038,0.0048,1.4341,3.6583,17.9784,1775691208225925663
nyudepth,no_sharing,38.5523,55.2502,34.5337,32.0835,0.0051,1.8371,4.42,20.7165,1775691209360212246
nyudepth,no_sharing,39.907,53.3013,34.2695,32.1147,0.0057,1.5493,4.3178,19.0318,1775691210714757565
nyudepth,no_sharing,41.0301,53.3779,34.3619,32.2307,0.0053,1.5313,4.2727,19.016,1775691211837809711
nyudepth,no_sharing,41.3089,51.9545,33.5501,31.5231,0.0052,1.4815,3.8071,18.4044,1775691212116130641
nyudepth,no_sharing,41.6303,51.9559,34.0602,31.4593,0.005,0.9904,3.5093,17.8958,1775691212437228809
nyudepth,no_sharing,41.7964,55.4619,34.4102,32.3004,0.0059,1.5178,6.5372,21.0517,1775691212606428226
nyudepth,no_sharing,42.15,58.583,36.3405,34.1369,0.0057,1.5921,4.5111,22.2426,1775691212957961112
nyudepth,no_sharing,42.1712,74.3456,32.8514,31.0931,0.0038,1.2492,26.8004,41.4942,1775691213001464849
nyudepth,no_sharing,42.3388,46.3698,28.0969,25.9444,0.0038,1.7255,3.974,18.2729,1775691213146253079
nyudepth,no_sharing,43.6546,46.1709,28.1708,22.2728,0.0039,5.5542,3.8702,18.0002,1775691214461962095
nyudepth,no_sharing,47.6498,46.4933,28.2608,23.0308,0.0038,4.8394,3.9654,18.2325,1775691218457237436
nyudepth,no_sharing,48.2123,48.9519,29.3883,27.5277,0.0053,1.3407,4.2713,19.5635,1775691219020018496
nyudepth,no_sharing,48.4966,48.4934,30.4055,28.5689,0.0046,1.3259,3.8311,18.0879,1775691219303938134
nyudepth,no_sharing,48.9,51.2774,32.4379,30.3814,0.0055,1.4794,4.1184,18.8395,1775691219707592272
nyudepth,no_sharing,49.2558,51.5685,33.5175,29.9427,0.0048,1.3914,3.7174,18.051,1775691220062960172
nyudepth,no_sharing,49.3856,51.3637,33.4392,31.4389,0.0049,1.4722,3.6242,17.9245,1775691220192686123
nyudepth,no_sharing,50.4689,53.2382,34.4226,32.2899,0.007,1.5232,4.3929,18.8156,1775691221276761023
nyudepth,no_sharing,51.8449,53.0508,34.2427,32.1002,0.0058,1.5418,4.426,18.808,1775691222652789183
nyudepth,no_sharing,53.3534,56.3717,37.6101,35.1174,0.0058,1.852,4.3132,18.7616,1775691224161183354
nyudepth,no_sharing,58.6624,48.2159,28.6965,25.8651,0.0062,2.1819,4.8079,19.5194,1775691229470704455
nyudepth,no_sharing,60.7698,52.4163,32.6799,30.621,0.0056,1.4694,4.1926,19.7364,1775691231577484561
nyudepth,no_sharing,62.4145,52.7797,34.1768,32.0633,0.0056,1.5232,4.0596,18.6028,1775691233221977565
nyudepth,no_sharing,63.4583,52.6884,34.1025,31.9828,0.0054,1.5235,4.0898,18.5859,1775691234265882004
nyudepth,no_sharing,64.0507,51.5862,33.4945,31.4908,0.0049,1.4678,3.664,18.0917,1775691234857855035
nyudepth,no_sharing,64.1022,52.4032,34.1548,31.4197,0.0042,2.2412,3.8688,18.2484,1775691234909551991
nyudepth,no_sharing,65.0517,48.5446,30.4915,28.6752,0.0051,1.3404,3.8631,18.0532,1775691235859017763
nyudepth,no_sharing,65.6726,51.6906,32.6849,30.639,0.0059,1.4763,4.138,19.0056,1775691236480237697
nyudepth,no_sharing,67.1806,51.5537,32.7589,30.7089,0.0057,1.4615,4.1308,18.7948,1775691237988150989
nyudepth,no_sharing,69.2103,52.8152,33.5516,31.5387,0.0047,1.4677,3.9785,19.2636,1775691240017706142
nyudepth,no_sharing,69.5405,55.4833,36.2082,33.8879,0.0172,1.6537,3.6035,19.2752,1775691240347599755
nyudepth,no_sharing,69.596,48.2299,29.0273,27.1394,0.0047,1.3397,4.2627,19.2026,1775691240403768164
nyudepth,no_sharing,70.5151,47.3256,28.3269,25.8664,0.0054,1.8394,4.3926,18.9987,1775691241322999730
nyudepth,no_sharing,73.0699,48.3549,29.2417,27.1141,0.0058,1.5139,4.5304,19.1131,1775691243877936941
nyudepth,no_sharing,73.8902,46.8905,28.5024,26.572,0.0049,1.3582,3.9873,18.3881,1775691244697694550
nyudepth,no_sharing,76.0212,49.7689,30.7022,27.4252,0.005,2.6222,4.5407,19.0667,1775691246829194266
nyudepth,no_sharing,76.7735,48.2905,29.3236,27.3051,0.0055,1.3961,4.3914,18.9669,1775691247581309356
nyudepth,no_sharing,78.0877,47.8396,29.1982,27.2162,0.0048,1.3725,4.1788,18.6415,1775691248895350847
nyudepth,no_sharing,78.3759,47.3788,28.7559,26.8837,0.005,1.3406,4.1785,18.6229,1775691249183557335
nyudepth,no_sharing,78.5116,47.1461,28.6386,26.7595,0.0048,1.3413,4.0793,18.5075,1775691249319097728
nyudepth,no_sharing,78.653,46.7792,28.5808,26.7099,0.0047,1.3431,3.8817,18.1983,1775691249460317631
nyudepth,no_sharing,78.772,46.6475,28.5332,26.6939,0.0048,1.3125,3.7606,18.1143,1775691249579221451
nyudepth,no_sharing,78.8259,47.493,29.589,26.8857,0.0054,2.1551,3.5493,17.904,1775691249632869315
nyudepth,no_sharing,80.5449,48.1052,29.5556,27.5376,0.005,1.4266,4.1766,18.5496,1775691251352580707
nyudepth,no_sharing,80.9909,47.8506,29.1696,27.1989,0.0056,1.3913,4.189,18.681,1775691251798529863
nyudepth,no_sharing,81.3772,47.1172,28.8794,26.9279,0.005,1.4028,4.0269,18.2378,1775691252184735180
nyudepth,no_sharing,82.3133,49.1579,30.3241,27.2649,0.0054,1.3589,4.2725,18.8338,1775691253121057028
nyudepth,no_sharing,82.4988,46.8478,28.6244,26.8068,0.005,1.3067,3.8755,18.2235,1775691253306132277
nyudepth,no_sharing,84.418,48.6374,29.5446,27.531,0.0058,1.4019,4.4,19.0928,1775691255225851425
nyudepth,no_sharing,85.7095,49.2458,29.4187,27.4454,0.0054,1.3666,4.3778,19.8272,1775691256517384700
nyudepth,no_sharing,86.0386,48.1818,29.1461,27.1105,0.0054,1.4334,4.4794,19.0356,1775691256846502712
nyudepth,no_sharing,86.2391,48.2056,29.7161,27.832,0.0047,1.3451,4.0195,18.4895,1775691257046556113
nyudepth,no_sharing,86.7709,46.9396,28.5725,26.715,0.0052,1.327,3.9587,18.3671,1775691257578357843
nyudepth,no_sharing,87.0753,46.8349,28.7093,26.8626,0.0052,1.3192,3.9008,18.1257,1775691257882673172
nyudepth,no_sharing,87.1504,46.9251,28.7892,26.8777,0.0048,1.3533,3.7489,18.1359,1775691257957581629
nyudepth,no_sharing,87.6539,51.7948,32.9803,30.335,0.0107,1.7911,4.0441,18.8144,1775691258461362034
nyudepth,no_sharing,89.9068,54.2579,30.9413,27.807,0.0051,1.4015,4.6537,23.3166,1775691260714911378
nyudepth,no_sharing,90.9147,48.3863,29.4414,27.4472,0.0059,1.386,4.3499,18.9449,1775691261722522542
nyudepth,no_sharing,93.9995,48.7916,29.6252,27.6014,0.0057,1.4061,4.6735,19.1664,1775691264807664603
