task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing_mps,0.0001,319.206,292.4294,243.6318,0.0036,48.3361,7.118,26.7766,1775691831581006296
nyudepth,no_sharing_mps,2.4058,48.0227,27.8935,17.2395,0.0029,10.2885,5.5799,20.1293,1775691833985166439
nyudepth,no_sharing_mps,4.7418,47.2491,27.702,15.3476,0.0024,12.0266,4.9479,19.5471,1775691836320535015
nyudepth,no_sharing_mps,7.1262,47.1187,27.831,17.4817,0.0027,9.9735,4.5791,19.2877,1775691838704523129
nyudepth,no_sharing_mps,7.4056,46.0641,27.5575,16.1243,0.0023,11.1727,4.0472,18.5067,1775691838983461549
nyudepth,no_sharing_mps,7.4919,45.7261,27.6353,17.0472,0.0026,10.2769,3.5944,18.0908,1775691839069287375
nyudepth,no_sharing_mps,8.9465,47.7593,27.8636,18.1137,0.0026,9.3293,4.4341,19.8957,1775691840524675403
nyudepth,no_sharing_mps,10.3558,46.207,27.7384,18.3999,0.0025,8.9759,4.2586,18.4686,1775691841933798466
nyudepth,no_sharing_mps,13.4793,47.327,27.9741,25.9788,0.004,1.4079,4.5967,19.3529,1775691845057635990
nyudepth,no_sharing_mps,13.5588,46.2801,27.8317,20.836,0.0028,6.6039,3.9053,18.4485,1775691845136499282
nyudepth,no_sharing_mps,14.6051,54.0905,28.1142,22.2779,0.0034,4.8276,4.4119,25.9763,1775691846183336523
nyudepth,no_sharing_mps,14.6754,49.3472,28.1035,26.3436,0.0035,1.2384,5.3384,21.2436,1775691846254576531
nyudepth,no_sharing_mps,15.7646,47.1337,28.0854,22.8382,0.0036,4.7347,4.4398,19.0483,1775691847342837298
nyudepth,no_sharing_mps,17.4963,47.1003,28.0476,23.9944,0.0036,3.5112,4.5123,19.0527,1775691849074623713
nyudepth,no_sharing_mps,17.8829,46.3228,28.0063,25.0395,0.0032,2.4754,3.9184,18.3165,1775691849460649673
nyudepth,no_sharing_mps,19.1156,47.0102,28.2741,26.3828,0.0035,1.3581,4.1962,18.7361,1775691850693626143
nyudepth,no_sharing_mps,19.2679,46.3974,28.0568,26.1629,0.0039,1.3616,3.9849,18.3407,1775691850845706469
nyudepth,no_sharing_mps,19.3596,46.762,28.1579,26.2992,0.0036,1.3402,4.1392,18.6041,1775691850937479194
nyudepth,no_sharing_mps,19.675,48.4991,29.3137,26.5818,0.0038,2.1689,4.498,19.1854,1775691851253246790
nyudepth,no_sharing_mps,20.5756,47.9078,28.5835,26.5728,0.0043,1.3936,4.6444,19.3244,1775691852154081943
nyudepth,no_sharing_mps,20.989,47.5478,28.0825,26.0762,0.0037,1.4814,5.0058,19.4653,1775691852567842763
nyudepth,no_sharing_mps,22.2377,53.02,30.6186,26.7638,0.0039,3.2428,7.7713,22.4014,1775691853819239619
nyudepth,no_sharing_mps,22.46,48.5804,29.2646,27.3568,0.0035,1.3668,4.5779,19.3158,1775691854038415375
nyudepth,no_sharing_mps,24.3006,58.7308,39.5771,26.47,0.0045,12.5158,4.2129,19.1538,1775691855878616091
nyudepth,no_sharing_mps,25.5247,48.1045,28.8709,26.842,0.0043,1.4001,4.3659,19.2336,1775691857102868633
nyudepth,no_sharing_mps,26.1816,46.6185,28.1027,26.2272,0.0038,1.3439,4.0305,18.5157,1775691857759435080
nyudepth,no_sharing_mps,26.5978,46.1419,28.0131,26.0783,0.0035,1.3987,3.7894,18.1288,1775691858175367558
nyudepth,no_sharing_mps,27.0516,47.4792,28.3709,26.3977,0.0041,1.3957,4.5037,19.1083,1775691858629846206
