task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,no_sharing_tpc,0.0002,506.9625,479.984,402.4978,0.0162,76.6852,9.2435,26.9785,1776027565440203139
nyudepth,no_sharing_tpc,0.2413,607.815,332.7327,220.6749,0.0042,55.7642,258.7066,275.0823,1776027565930770004
nyudepth,no_sharing_tpc,0.4747,383.1263,332.7327,220.6749,0.0042,55.7642,25.2547,50.3935,1776027565930770004
nyudepth,no_sharing_tpc,0.7135,588.613,440.4899,397.8555,0.0045,14.0558,133.173,148.1231,1776027566277458582
nyudepth,no_sharing_tpc,0.7411,572.9084,440.4899,397.8555,0.0045,14.0558,105.541,132.4185,1776027566277458582
nyudepth,no_sharing_tpc,0.7497,573.8733,440.4899,397.8555,0.0045,14.0558,96.9436,133.3834,1776027566277458582
nyudepth,no_sharing_tpc,0.8951,571.7854,148.1227,145.9117,0.0042,0.7201,409.0912,423.6627,1776027566734937581
nyudepth,no_sharing_tpc,1.0362,438.5846,148.1227,145.9117,0.0042,0.7201,267.9753,290.4618,1776027566734937581
nyudepth,no_sharing_tpc,1.3567,353.8742,230.0356,227.1843,0.0042,1.1976,106.6329,123.8386,1776027566894143711
nyudepth,no_sharing_tpc,1.3568,362.437,230.0356,227.1843,0.0042,1.1976,106.5955,132.4014,1776027566894143711
nyudepth,no_sharing_tpc,1.4671,586.8051,333.4552,330.5448,0.004,0.8069,237.6792,253.3499,1776027567135539078
nyudepth,no_sharing_tpc,1.4763,589.8795,333.4552,330.5448,0.004,0.8069,228.4048,256.4243,1776027567135539078
nyudepth,no_sharing_tpc,1.5766,498.1174,333.4552,330.5448,0.004,0.8069,128.0992,164.6623,1776027567135539078
nyudepth,no_sharing_tpc,1.7504,1051.857,728.9347,669.7065,0.0046,9.7263,308.1834,322.9223,1776027567489389275
nyudepth,no_sharing_tpc,1.7893,1022.4791,728.9347,669.7065,0.0046,9.7263,269.258,293.5444,1776027567489389275
nyudepth,no_sharing_tpc,1.9123,919.8089,728.9347,669.7065,0.0046,9.7263,146.3404,190.8742,1776027567489389275
nyudepth,no_sharing_tpc,1.9286,903.4469,728.9347,669.7065,0.0046,9.7263,129.9512,174.5122,1776027567489389275
nyudepth,no_sharing_tpc,1.9365,909.9309,728.9347,669.7065,0.0046,9.7263,122.0965,180.9963,1776027567489389275
nyudepth,no_sharing_tpc,1.9676,878.804,728.9347,669.7065,0.0046,9.7263,90.951,149.8693,1776027567489389275
nyudepth,no_sharing_tpc,2.0746,1990.1447,1222.5747,1161.7341,0.014,5.4463,749.764,767.5701,1776027568255135300
nyudepth,no_sharing_tpc,2.1076,1974.6718,1222.5747,1161.7341,0.014,5.4463,716.7768,752.0972,1776027568255135300
nyudepth,no_sharing_tpc,2.2239,1858.3922,1222.5747,1161.7341,0.014,5.4463,600.4703,635.8176,1776027568255135300
nyudepth,no_sharing_tpc,2.2464,1879.4603,1222.5747,1161.7341,0.014,5.4463,577.9831,656.8857,1776027568255135300
nyudepth,no_sharing_tpc,2.4302,1695.6198,1222.5747,1161.7341,0.014,5.4463,394.1054,473.0452,1776027568255135300
nyudepth,no_sharing_tpc,2.5535,1572.3937,1222.5747,1161.7341,0.014,5.4463,270.854,349.819,1776027568255135300
nyudepth,no_sharing_tpc,2.6191,1556.3338,1222.5747,1161.7341,0.014,5.4463,205.2939,333.7591,1776027568255135300
nyudepth,no_sharing_tpc,2.6606,1514.7972,1222.5747,1161.7341,0.014,5.4463,163.7256,292.2226,1776027568255135300
nyudepth,no_sharing_tpc,2.7057,1469.7249,1222.5747,1161.7341,0.014,5.4463,118.6378,247.1502,1776027568255135300
nyudepth,no_sharing_tpc,2.7133,1462.1763,1222.5747,1161.7341,0.014,5.4463,111.0754,239.6017,1776027568255135300
nyudepth,no_sharing_tpc,2.7322,1443.2669,1222.5747,1161.7341,0.014,5.4463,92.1535,220.6922,1776027568255135300
nyudepth,no_sharing_tpc,2.8025,3242.0967,1916.4495,1873.5753,0.0181,2.4647,1308.9688,1325.6472,1776027569542296402
nyudepth,no_sharing_tpc,2.8473,3206.1827,1916.4495,1873.5753,0.0181,2.4647,1264.1556,1289.7333,1776027569542296402
nyudepth,no_sharing_tpc,2.9648,3106.0865,1916.4495,1873.5753,0.0181,2.4647,1146.6582,1189.637,1776027569542296402
nyudepth,no_sharing_tpc,3.0364,3034.5197,1916.4495,1873.5753,0.0181,2.4647,1075.0649,1118.0702,1776027569542296402
nyudepth,no_sharing_tpc,3.0597,3071.172,1916.4495,1873.5753,0.0181,2.4647,1051.8436,1154.7225,1776027569542296402
nyudepth,no_sharing_tpc,3.1055,3025.3549,1916.4495,1873.5753,0.0181,2.4647,1006.0031,1108.9054,1776027569542296402
nyudepth,no_sharing_tpc,3.1703,2960.5672,1916.4495,1873.5753,0.0181,2.4647,941.195,1044.1178,1776027569542296402
nyudepth,no_sharing_tpc,3.2058,2997.4318,1916.4495,1873.5753,0.0181,2.4647,905.6735,1080.9823,1776027569542296402
nyudepth,no_sharing_tpc,3.2367,2982.0025,1916.4495,1873.5753,0.0181,2.4647,874.8341,1065.553,1776027569542296402
nyudepth,no_sharing_tpc,3.3246,2894.0837,1916.4495,1873.5753,0.0181,2.4647,786.8936,977.6343,1776027569542296402
nyudepth,no_sharing_tpc,3.3539,2864.7792,1916.4495,1873.5753,0.0181,2.4647,757.5762,948.3298,1776027569542296402
nyudepth,no_sharing_tpc,3.4881,2730.6662,1916.4495,1873.5753,0.0181,2.4647,623.45,814.2167,1776027569542296402
nyudepth,no_sharing_tpc,3.6263,2592.4501,1916.4495,1873.5753,0.0181,2.4647,485.2273,676.0007,1776027569542296402
nyudepth,no_sharing_tpc,3.7359,2482.8751,1916.4495,1873.5753,0.0181,2.4647,375.6397,566.4257,1776027569542296402
nyudepth,no_sharing_tpc,3.7424,2476.3682,1916.4495,1873.5753,0.0181,2.4647,369.1204,559.9187,1776027569542296402
nyudepth,no_sharing_tpc,3.8557,2363.0433,1916.4495,1873.5753,0.0181,2.4647,255.7838,446.5939,1776027569542296402
nyudepth,no_sharing_tpc,3.9912,2227.536,1916.4495,1873.5753,0.0181,2.4647,120.2705,311.0865,1776027569542296402
nyudepth,no_sharing_tpc,4.1751,4011.4474,2056.1137,1987.9384,0.0106,3.7489,1940.2437,1955.3338,1776027571546125862
nyudepth,no_sharing_tpc,4.1751,4020.0877,2056.1137,1987.9384,0.0106,3.7489,1940.1886,1963.9741,1776027571546125862
nyudepth,no_sharing_tpc,4.1752,4037.2651,2056.1137,1987.9384,0.0106,3.7489,1940.1784,1981.1514,1776027571546125862
nyudepth,no_sharing_tpc,4.1816,4030.8623,2056.1137,1987.9384,0.0106,3.7489,1933.7506,1974.7487,1776027571546125862
nyudepth,no_sharing_tpc,4.2163,4025.8379,2056.1137,1987.9384,0.0106,3.7489,1899.0738,1969.7242,1776027571546125862
nyudepth,no_sharing_tpc,4.2184,4023.6933,2056.1137,1987.9384,0.0106,3.7489,1896.91,1967.5797,1776027571546125862
nyudepth,no_sharing_tpc,4.2345,4007.6118,2056.1137,1987.9384,0.0106,3.7489,1880.8167,1951.4981,1776027571546125862
nyudepth,no_sharing_tpc,4.3657,3876.4579,2056.1137,1987.9384,0.0106,3.7489,1749.6531,1820.3443,1776027571546125862
nyudepth,no_sharing_tpc,4.7659,3518.3232,2056.1137,1987.9384,0.0106,3.7489,1349.4036,1462.2095,1776027571546125862
nyudepth,no_sharing_tpc,4.8222,3462.0965,2056.1137,1987.9384,0.0106,3.7489,1293.1597,1405.9828,1776027571546125862
nyudepth,no_sharing_tpc,4.8499,3434.3317,2056.1137,1987.9384,0.0106,3.7489,1265.3863,1378.218,1776027571546125862
nyudepth,no_sharing_tpc,4.8905,3393.7964,2056.1137,1987.9384,0.0106,3.7489,1224.8437,1337.6828,1776027571546125862
nyudepth,no_sharing_tpc,4.9262,3358.057,2056.1137,1987.9384,0.0106,3.7489,1189.0883,1301.9434,1776027571546125862
nyudepth,no_sharing_tpc,4.94,3344.2883,2056.1137,1987.9384,0.0106,3.7489,1175.3123,1288.1747,1776027571546125862
nyudepth,no_sharing_tpc,5.0477,3236.5749,2056.1137,1987.9384,0.0106,3.7489,1067.585,1180.4612,1776027571546125862
nyudepth,no_sharing_tpc,5.1857,3149.6546,2056.1137,1987.9384,0.0106,3.7489,929.6603,1093.541,1776027571546125862
nyudepth,no_sharing_tpc,5.3365,2998.8735,2056.1137,1987.9384,0.0106,3.7489,778.8498,942.7598,1776027571546125862
nyudepth,no_sharing_tpc,5.8664,2469.0053,2056.1137,1987.9384,0.0106,3.7489,248.9634,412.8917,1776027571546125862
nyudepth,no_sharing_tpc,6.2031,4754.8454,2686.2924,2604.519,0.0177,3.2298,2052.6285,2068.5529,1776027573686568027
nyudepth,no_sharing_tpc,6.2423,4725.2064,2686.2924,2604.519,0.0177,3.2298,2013.4995,2038.9139,1776027573686568027
nyudepth,no_sharing_tpc,6.3461,4639.5233,2686.2924,2604.519,0.0177,3.2298,1909.6415,1953.2308,1776027573686568027
nyudepth,no_sharing_tpc,6.4051,4580.5731,2686.2924,2604.519,0.0177,3.2298,1850.6651,1894.2806,1776027573686568027
nyudepth,no_sharing_tpc,6.4105,4604.321,2686.2924,2604.519,0.0177,3.2298,1845.2544,1918.0286,1776027573686568027
nyudepth,no_sharing_tpc,6.5061,4508.7411,2686.2924,2604.519,0.0177,3.2298,1749.6555,1822.4487,1776027573686568027
nyudepth,no_sharing_tpc,6.5681,4446.8148,2686.2924,2604.519,0.0177,3.2298,1687.7186,1760.5223,1776027573686568027
nyudepth,no_sharing_tpc,6.7201,4294.7628,2686.2924,2604.519,0.0177,3.2298,1535.6569,1608.4704,1776027573686568027
nyudepth,no_sharing_tpc,6.9218,4125.0629,2686.2924,2604.519,0.0177,3.2298,1334.0132,1438.7705,1776027573686568027
nyudepth,no_sharing_tpc,6.9542,4092.6383,2686.2924,2604.519,0.0177,3.2298,1301.5699,1406.3458,1776027573686568027
nyudepth,no_sharing_tpc,6.9599,4086.9188,2686.2924,2604.519,0.0177,3.2298,1295.8407,1400.6264,1776027573686568027
nyudepth,no_sharing_tpc,7.0522,3994.6282,2686.2924,2604.519,0.0177,3.2298,1203.542,1308.3358,1776027573686568027
nyudepth,no_sharing_tpc,7.308,3738.9071,2686.2924,2604.519,0.0177,3.2298,947.8087,1052.6147,1776027573686568027
nyudepth,no_sharing_tpc,7.3898,3657.1133,2686.2924,2604.519,0.0177,3.2298,866.0069,970.8209,1776027573686568027
nyudepth,no_sharing_tpc,7.6026,3444.3381,2686.2924,2604.519,0.0177,3.2298,653.224,758.0456,1776027573686568027
nyudepth,no_sharing_tpc,7.6778,3411.8361,2686.2924,2604.519,0.0177,3.2298,577.9352,725.5437,1776027573686568027
nyudepth,no_sharing_tpc,7.8092,3280.54,2686.2924,2604.519,0.0177,3.2298,446.619,594.2476,1776027573686568027
nyudepth,no_sharing_tpc,7.8378,3251.9331,2686.2924,2604.519,0.0177,3.2298,418.004,565.6407,1776027573686568027
nyudepth,no_sharing_tpc,7.8514,3238.3161,2686.2924,2604.519,0.0177,3.2298,404.3803,552.0236,1776027573686568027
nyudepth,no_sharing_tpc,7.8659,3223.7928,2686.2924,2604.519,0.0177,3.2298,389.8501,537.5004,1776027573686568027
nyudepth,no_sharing_tpc,7.8773,3212.4619,2686.2924,2604.519,0.0177,3.2298,378.5126,526.1695,1776027573686568027
nyudepth,no_sharing_tpc,7.8828,3206.9702,2686.2924,2604.519,0.0177,3.2298,373.0142,520.6778,1776027573686568027
nyudepth,no_sharing_tpc,8.0549,3034.8792,2686.2924,2604.519,0.0177,3.2298,200.9168,348.5868,1776027573686568027
nyudepth,no_sharing_tpc,8.0998,2989.9232,2686.2924,2604.519,0.0177,3.2298,155.9544,303.6308,1776027573686568027
nyudepth,no_sharing_tpc,8.1383,2951.4508,2686.2924,2604.519,0.0177,3.2298,117.4753,265.1584,1776027573686568027
nyudepth,no_sharing_tpc,8.2824,5705.7564,2922.4214,2844.7894,0.0172,2.7362,2767.5052,2783.3351,1776027576480662377
nyudepth,no_sharing_tpc,8.2824,5714.401,2922.4214,2844.7894,0.0172,2.7362,2767.4775,2791.9797,1776027576480662377
nyudepth,no_sharing_tpc,8.4428,5571.1687,2922.4214,2844.7894,0.0172,2.7362,2607.0218,2648.7473,1776027576480662377
nyudepth,no_sharing_tpc,8.5715,5442.4994,2922.4214,2844.7894,0.0172,2.7362,2478.3235,2520.078,1776027576480662377
nyudepth,no_sharing_tpc,8.6052,5438.1444,2922.4214,2844.7894,0.0172,2.7362,2444.6912,2515.7231,1776027576480662377
nyudepth,no_sharing_tpc,8.6258,5417.5673,2922.4214,2844.7894,0.0172,2.7362,2424.0952,2495.1459,1776027576480662377
nyudepth,no_sharing_tpc,8.6775,5365.8402,2922.4214,2844.7894,0.0172,2.7362,2372.3567,2443.4188,1776027576480662377
nyudepth,no_sharing_tpc,8.7082,5358.2878,2922.4214,2844.7894,0.0172,2.7362,2341.6433,2435.8665,1776027576480662377
nyudepth,no_sharing_tpc,8.7159,5359.8084,2922.4214,2844.7894,0.0172,2.7362,2333.9548,2437.3871,1776027576480662377
nyudepth,no_sharing_tpc,8.7674,5308.3613,2922.4214,2844.7894,0.0172,2.7362,2282.4914,2385.9399,1776027576480662377
nyudepth,no_sharing_tpc,8.9917,5084.0087,2922.4214,2844.7894,0.0172,2.7362,2058.1284,2161.5873,1776027576480662377
nyudepth,no_sharing_tpc,9.0919,4983.8145,2922.4214,2844.7894,0.0172,2.7362,1957.9251,2061.3931,1776027576480662377
nyudepth,no_sharing_tpc,9.4008,4674.9325,2922.4214,2844.7894,0.0172,2.7362,1649.0331,1752.5111,1776027576480662377
nyudepth,no_sharing_tpc,9.6055,4515.0177,2922.4214,2844.7894,0.0172,2.7362,1444.3829,1592.5964,1776027576480662377
nyudepth,no_sharing_tpc,9.7171,4403.4247,2922.4214,2844.7894,0.0172,2.7362,1332.7584,1481.0034,1776027576480662377
nyudepth,no_sharing_tpc,9.902,4237.2286,2922.4214,2844.7894,0.0172,2.7362,1147.8775,1314.8073,1776027576480662377
nyudepth,no_sharing_tpc,9.9743,4164.917,2922.4214,2844.7894,0.0172,2.7362,1075.547,1242.4956,1776027576480662377
