task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,single_nyudepth,0.0001,359.2818,332.2029,282.256,0.0029,49.3836,6.6886,27.0788,1776021304913728732
nyudepth,single_nyudepth,2.4066,54.4233,29.4112,28.1212,0.0023,0.8525,8.8899,25.0122,1776021307322443164
nyudepth,single_nyudepth,4.7445,50.5083,28.5811,27.4693,0.0018,0.7706,6.9959,21.9272,1776021309658432815
nyudepth,single_nyudepth,7.1286,50.6546,28.7077,27.5224,0.0019,0.7915,7.0951,21.947,1776021312042553306
nyudepth,single_nyudepth,7.4056,50.853,28.6679,27.4253,0.0022,0.8385,7.308,22.1851,1776021312319828909
nyudepth,single_nyudepth,7.4917,50.4518,28.7529,27.459,0.0021,0.8694,6.9222,21.6989,1776021312405532308
nyudepth,single_nyudepth,8.9467,50.4687,28.8671,27.5243,0.002,0.8985,6.7227,21.6016,1776021313860371954
nyudepth,single_nyudepth,10.3558,51.5726,28.8771,27.5161,0.0024,0.9479,7.7972,22.6955,1776021315270455355
nyudepth,single_nyudepth,13.4816,51.1138,29.0043,27.5323,0.0023,0.9912,7.0882,22.1095,1776021318395574182
nyudepth,single_nyudepth,13.5579,50.7886,29.1101,27.5751,0.0027,1.0495,6.7108,21.6786,1776021318471531344
nyudepth,single_nyudepth,14.6059,60.4568,29.5574,27.613,0.0024,1.0527,6.7811,30.8994,1776021319519569055
nyudepth,single_nyudepth,14.6766,53.8073,30.4391,28.4525,0.0026,1.3755,7.9195,23.3682,1776021319591397908
nyudepth,single_nyudepth,15.7656,50.9999,29.3198,27.7038,0.0026,1.1112,6.86,21.6801,1776021320679363685
nyudepth,single_nyudepth,17.4975,51.0538,29.5812,27.7457,0.0029,1.2729,6.6352,21.4726,1776021322410998690
nyudepth,single_nyudepth,17.883,51.2052,29.6817,27.7698,0.0029,1.3363,6.6903,21.5235,1776021322796626757
nyudepth,single_nyudepth,19.1156,50.844,29.762,27.8339,0.0031,1.3292,6.258,21.082,1776021324028784477
nyudepth,single_nyudepth,19.2677,51.2085,29.7746,27.7908,0.0035,1.3906,6.618,21.4339,1776021324181272374
nyudepth,single_nyudepth,19.3596,51.6963,29.936,27.849,0.0033,1.4686,6.8216,21.7603,1776021324273314409
nyudepth,single_nyudepth,19.6747,52.0682,30.7266,27.8463,0.0033,2.2305,6.4406,21.3416,1776021324588091047
nyudepth,single_nyudepth,20.5768,51.3592,29.9454,27.8581,0.0034,1.4734,6.5963,21.4138,1776021325490346206
nyudepth,single_nyudepth,20.9887,51.0502,29.981,27.8839,0.0033,1.4715,6.315,21.0692,1776021325901968820
nyudepth,single_nyudepth,22.2372,51.9707,30.0318,27.8566,0.0033,1.4672,7.0009,21.9389,1776021327151083422
nyudepth,single_nyudepth,22.4595,51.1558,29.9758,27.8718,0.0034,1.4611,6.3519,21.18,1776021327372759055
nyudepth,single_nyudepth,24.3006,52.0668,30.5128,28.3369,0.0033,1.5298,6.7477,21.554,1776021329214280160
nyudepth,single_nyudepth,25.5261,51.887,30.1135,28.0148,0.0034,1.4613,6.7346,21.7736,1776021330439691079
nyudepth,single_nyudepth,26.1817,50.8506,29.9538,27.8608,0.0034,1.4617,6.1173,20.8968,1776021331094746747
nyudepth,single_nyudepth,26.5981,51.4569,29.9841,27.8773,0.0034,1.4835,6.5503,21.4728,1776021331511572643
nyudepth,single_nyudepth,27.0512,51.9111,30.0625,27.9587,0.0035,1.4677,6.7387,21.8486,1776021331964804513
nyudepth,single_nyudepth,27.1283,52.052,30.8541,27.8491,0.0033,2.3913,6.1963,21.198,1776021332041415648
nyudepth,single_nyudepth,27.3077,51.9569,29.9514,27.898,0.0036,1.4371,6.2373,22.0055,1776021332220816650
nyudepth,single_nyudepth,27.9934,51.1696,29.9655,27.877,0.0033,1.4723,6.1967,21.2041,1776021332906549429
nyudepth,single_nyudepth,28.3821,51.2779,29.9407,27.8404,0.0035,1.4818,6.4228,21.3371,1776021333295465656
nyudepth,single_nyudepth,29.6468,51.1389,29.9513,27.8723,0.0033,1.4528,6.2742,21.1876,1776021334559994208
nyudepth,single_nyudepth,30.3548,52.1328,29.9613,27.8448,0.0034,1.4554,7.3874,22.1715,1776021335269083479
nyudepth,single_nyudepth,30.5923,50.7481,29.9248,27.8459,0.0035,1.4698,6.1371,20.8234,1776021335505351561
