task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
vocseg,single_vocseg,0.0001,374.7683,348.4323,272.6211,0.002,75.0931,7.2787,26.336,1776369277507988998
vocseg,single_vocseg,0.0339,470.3467,126.8231,106.7754,0.002,4.8756,333.5059,343.5236,1776369277868037280
vocseg,single_vocseg,0.0522,459.8868,126.8231,106.7754,0.002,4.8756,315.2349,333.0637,1776369277868037280
vocseg,single_vocseg,0.062,455.3118,126.8231,106.7754,0.002,4.8756,305.4869,328.4887,1776369277868037280
vocseg,single_vocseg,0.2999,224.0181,126.8231,106.7754,0.002,4.8756,67.4944,97.195,1776369277868037280
vocseg,single_vocseg,0.6122,48.4586,29.7442,28.0609,0.0022,1.0661,6.5124,18.7144,1776369278119360448
vocseg,single_vocseg,0.6919,47.8373,29.1876,27.5572,0.0022,1.033,4.0329,18.6496,1776369278196553671
vocseg,single_vocseg,0.9602,44.3673,29.0031,27.4966,0.0022,0.9454,4.1606,15.3642,1776369278464918731
vocseg,single_vocseg,0.9838,55.4018,29.1146,27.7806,0.0018,0.8643,14.0452,26.2872,1776369278498487138
vocseg,single_vocseg,1.1976,45.6312,28.8827,27.4466,0.0017,0.909,4.7848,16.7485,1776369278702960083
vocseg,single_vocseg,1.3054,48.3053,29.8286,27.4771,0.003,1.2108,4.0073,18.4766,1776369278810044089
vocseg,single_vocseg,1.5161,47.3523,29.0982,27.5399,0.0021,0.989,4.0364,18.2542,1776369279020711203
vocseg,single_vocseg,2.1992,47.9102,29.3019,27.6914,0.0021,0.9964,4.2269,18.6084,1776369279704073522
vocseg,single_vocseg,2.3434,47.8837,29.3598,27.6521,0.0023,1.0495,4.1871,18.524,1776369279848217162
vocseg,single_vocseg,2.5937,47.8539,29.3891,27.664,0.0022,1.0628,4.0774,18.4649,1776369280098369954
vocseg,single_vocseg,2.8079,53.4308,30.5142,28.4091,0.0029,1.2522,5.3649,22.9166,1776369280313855969
vocseg,single_vocseg,2.8108,86.9656,30.2233,28.1099,0.0029,1.2689,39.1791,56.7423,1776369280350596002
vocseg,single_vocseg,2.8614,69.0293,29.7238,27.9545,0.0023,1.0962,24.7149,39.3055,1776369280386671229
vocseg,single_vocseg,2.9304,47.8611,29.2498,27.6172,0.0022,1.0356,4.1533,18.6113,1776369280435164582
vocseg,single_vocseg,3.1156,47.2322,29.2169,27.625,0.002,1.0151,3.8354,18.0153,1776369280620028139
vocseg,single_vocseg,3.2521,47.7662,29.2883,27.6186,0.0024,1.0308,4.1413,18.4779,1776369280756832922
vocseg,single_vocseg,3.9036,48.0762,29.8636,27.6887,0.0023,1.5142,3.978,18.2126,1776369281408206244
vocseg,single_vocseg,4.087,48.5737,29.5326,27.7194,0.0026,1.1242,3.7327,19.0411,1776369281591352445
vocseg,single_vocseg,4.402,48.6183,30.3068,28.1832,0.0029,1.2259,3.6612,18.3116,1776369281906294755
vocseg,single_vocseg,4.4507,48.8131,29.8349,27.8759,0.0027,1.1909,4.4405,18.9782,1776369281955716814
vocseg,single_vocseg,4.864,50.601,29.7819,27.7853,0.0027,1.2077,3.4807,20.8191,1776369282368112123
vocseg,single_vocseg,4.869,79.1504,29.8178,27.9086,0.0026,1.1759,34.332,49.3326,1776369282403963425
vocseg,single_vocseg,4.9814,49.5381,29.6068,27.7527,0.0026,1.1421,5.5749,19.9314,1776369282487590487
vocseg,single_vocseg,5.0462,48.1448,29.5583,27.7141,0.0025,1.1275,3.9732,18.5865,1776369282550759096
vocseg,single_vocseg,5.3578,47.9507,29.5506,27.7056,0.0025,1.1254,3.6285,18.4002,1776369282862024218
vocseg,single_vocseg,5.428,48.2404,29.6666,27.747,0.0024,1.1543,4.1099,18.5738,1776369282932683221
vocseg,single_vocseg,5.5445,47.4548,29.6743,27.7645,0.0027,1.1561,3.5214,17.7805,1776369283048580814
vocseg,single_vocseg,5.6472,52.2544,29.755,27.7987,0.0027,1.194,3.7706,22.4995,1776369283151524245
vocseg,single_vocseg,5.6831,51.6613,29.7561,27.8526,0.0028,1.1647,6.8631,21.9052,1776369283190586803
vocseg,single_vocseg,6.1033,49.3755,29.5428,27.7258,0.0023,1.1298,5.3685,19.8327,1776369283609305859
vocseg,single_vocseg,6.3791,50.498,29.6744,27.7162,0.0027,1.1961,3.5887,20.8236,1776369283883308966
vocseg,single_vocseg,6.3871,76.5269,30.4171,27.8601,0.0031,1.1674,31.2829,46.1098,1776369283918945153
vocseg,single_vocseg,6.5389,49.2477,29.5304,27.707,0.0025,1.1205,5.1887,19.7173,1776369284044643077
vocseg,single_vocseg,6.6523,47.7726,29.9241,27.8771,0.0031,1.2353,3.4308,17.8486,1776369284156333020
vocseg,single_vocseg,6.7253,47.8921,29.8549,27.8196,0.0031,1.2373,3.5915,18.0372,1776369284229497935
vocseg,single_vocseg,6.8485,51.3358,30.0535,27.9348,0.0031,1.2741,4.0336,21.2823,1776369284353085936
vocseg,single_vocseg,6.8604,72.8247,29.7372,27.85,0.0026,1.1543,28.1994,43.0875,1776369284389187019
vocseg,single_vocseg,7.0385,52.1395,29.6473,27.7287,0.0027,1.1675,5.2063,22.4922,1776369284544310890
vocseg,single_vocseg,7.0469,77.1163,29.8162,27.981,0.0026,1.13,32.3093,47.3001,1776369284579814516
vocseg,single_vocseg,7.2293,49.0108,29.3576,27.6565,0.0021,1.0561,5.4302,19.6532,1776369284735343793
