task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0001,287.2283,283.0805,264.7875,0.0041,17.5199,2.821,4.1479,1775593086709709097
ecgclass,no_sharing_tpc,0.1614,152.5056,25.9913,24.7167,0.0022,0.7744,125.459,126.5143,1775593086993675955
ecgclass,no_sharing_tpc,0.3172,29.7341,27.2393,25.8108,0.0026,0.982,1.8029,2.4948,1775593087025731543
ecgclass,no_sharing_tpc,0.4758,20.9837,18.4293,17.5012,0.0017,0.5634,1.6716,2.5544,1775593087184210730
ecgclass,no_sharing_tpc,0.4955,23.6518,21.1869,19.9709,0.002,0.8832,1.5905,2.465,1775593087203843594
ecgclass,no_sharing_tpc,0.5,47.5957,27.7795,26.792,0.0014,0.6163,18.8999,19.8162,1775593087225622110
ecgclass,no_sharing_tpc,0.5968,24.8985,22.4724,21.4799,0.0019,0.6543,1.4682,2.4262,1775593087304994350
ecgclass,no_sharing_tpc,0.6909,29.0489,26.3658,25.28,0.0023,0.7177,1.6572,2.6831,1775593087399308537
ecgclass,no_sharing_tpc,0.8993,32.1958,29.651,28.3902,0.0024,0.8224,1.6265,2.5448,1775593087607695573
ecgclass,no_sharing_tpc,0.9041,58.352,30.2669,28.6917,0.002,1.056,27.1165,28.0851,1775593087638021318
ecgclass,no_sharing_tpc,0.9739,30.7643,28.3547,27.1225,0.0023,0.7855,1.5068,2.4096,1775593087682142094
ecgclass,no_sharing_tpc,0.9793,53.9,27.9029,26.5359,0.0017,0.9268,25.0547,25.9971,1775593087711163507
ecgclass,no_sharing_tpc,1.0512,24.9369,22.5101,21.5054,0.002,0.6532,1.4958,2.4268,1775593087759456493
ecgclass,no_sharing_tpc,1.168,27.4429,24.9651,23.5542,0.0021,1.0487,1.5328,2.4779,1775593087876264323
ecgclass,no_sharing_tpc,1.1927,30.6969,27.4691,26.3126,0.0023,0.7314,2.3212,3.2277,1775593087901805304
ecgclass,no_sharing_tpc,1.2747,43.8414,41.294,39.4506,0.0035,1.2248,1.606,2.5473,1775593087983023753
ecgclass,no_sharing_tpc,1.2854,85.7747,51.6576,33.6078,0.0019,5.8298,32.9888,34.1171,1775593088025164060
ecgclass,no_sharing_tpc,1.2912,80.0109,51.6576,33.6078,0.0019,5.8298,27.2014,28.3533,1775593088025164060
ecgclass,no_sharing_tpc,1.3128,58.625,51.6576,33.6078,0.0019,5.8298,5.6021,6.9674,1775593088025164060
ecgclass,no_sharing_tpc,1.3726,26.4103,23.9761,22.963,0.0022,0.6574,1.5178,2.4343,1775593088080890302
