task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing,0.0002,318.805,314.8562,299.0359,0.0028,15.1719,2.702,3.9487,1775595038264773112
ecgclass,no_sharing,0.1209,235.4376,36.931,23.9254,0.0022,6.3005,197.6337,198.5067,1775595038580415432
ecgclass,no_sharing,0.2381,118.2578,36.931,23.9254,0.0022,6.3005,80.4324,81.3268,1775595038580415432
ecgclass,no_sharing,0.3564,30.7105,28.4131,27.0141,0.002,1.0843,1.3967,2.2973,1775595038619650403
ecgclass,no_sharing,0.3711,49.9175,33.1893,27.1898,0.0019,2.81,15.7979,16.7281,1775595038648728669
ecgclass,no_sharing,0.3748,46.3479,33.1893,27.1898,0.0019,2.81,12.074,13.1585,1775595038648728669
ecgclass,no_sharing,0.4483,26.1383,24.0273,22.8855,0.0018,0.6368,1.291,2.111,1775595038711516942
ecgclass,no_sharing,0.5187,27.2818,25.2382,24.3023,0.0017,0.6331,1.2441,2.0436,1775595038781838516
ecgclass,no_sharing,0.6741,27.735,25.4981,24.5512,0.0019,0.6534,1.3094,2.2369,1775595038937282243
ecgclass,no_sharing,0.6788,48.3022,24.7645,23.6757,0.0019,0.7369,22.675,23.5377,1775595038963372235
ecgclass,no_sharing,0.7314,29.0926,26.4248,23.8949,0.0018,2.2315,1.6313,2.6678,1775595038994865694
ecgclass,no_sharing,0.7339,50.4973,23.7485,22.7235,0.0019,0.6716,25.938,26.7488,1775595039021754871
ecgclass,no_sharing,0.789,26.1598,24.2089,22.9797,0.0017,0.8855,1.3039,1.9508,1775595039052162739
ecgclass,no_sharing,0.8765,28.1408,26.0414,25.0512,0.0019,0.6641,1.3285,2.0993,1775595039139723436
ecgclass,no_sharing,0.8963,35.2111,26.3861,25.3739,0.0018,0.6545,8.0385,8.8249,1775595039166175340
ecgclass,no_sharing,0.9567,28.8475,26.6095,25.4631,0.0019,0.816,1.5495,2.238,1775595039220116500
ecgclass,no_sharing,0.9644,47.5619,25.6904,24.7357,0.0017,0.2792,20.9649,21.8715,1775595039247272278
ecgclass,no_sharing,0.9682,43.9725,25.6904,24.7357,0.0017,0.2792,17.2243,18.2821,1775595039247272278
ecgclass,no_sharing,0.9847,50.1678,22.3087,21.2828,0.0015,0.6823,27.0765,27.8591,1775595039273639102
ecgclass,no_sharing,1.0291,27.3507,21.0629,20.2452,0.0014,0.5238,5.4808,6.2878,1775595039296422115
ecgclass,no_sharing,1.0503,26.0618,19.5908,18.7684,0.0015,0.5171,5.6548,6.471,1775595039317876528
ecgclass,no_sharing,1.1119,23.1521,21.0285,19.9058,0.0015,0.8583,1.2734,2.1236,1775595039375063869
ecgclass,no_sharing,1.1236,32.3279,20.5413,19.7157,0.0015,0.5766,11.1384,11.7866,1775595039396615215
ecgclass,no_sharing,1.2163,31.7543,29.315,28.116,0.0023,0.8118,1.5407,2.4393,1775595039479724327
ecgclass,no_sharing,1.277,27.3051,24.9076,23.9267,0.0016,0.7016,1.6057,2.3975,1775595039540477880
ecgclass,no_sharing,1.3095,26.3388,24.2446,23.3151,0.0018,0.63,1.3666,2.0942,1775595039572760915
ecgclass,no_sharing,1.3314,28.2452,23.1386,22.0224,0.0015,0.8197,4.1864,5.1066,1775595039597423924
ecgclass,no_sharing,1.3528,32.4478,25.0947,21.0386,0.0014,1.8799,6.4631,7.3532,1775595039621126683
ecgclass,no_sharing,1.3576,27.6973,25.0947,21.0386,0.0014,1.8799,1.6909,2.6027,1775595039621126683
ecgclass,no_sharing,1.3658,40.828,20.9217,19.8596,0.0013,0.7618,19.119,19.9063,1775595039646801433
ecgclass,no_sharing,1.4002,26.9375,20.1528,19.1698,0.0014,0.6854,6.0024,6.7847,1775595039668116417
ecgclass,no_sharing,1.4195,27.8962,19.7645,18.693,0.0014,0.7764,7.3605,8.1316,1775595039688707269
ecgclass,no_sharing,1.4833,21.2736,19.3135,18.2391,0.0015,0.8276,1.2023,1.9601,1775595039746344027
ecgclass,no_sharing,1.5187,21.9755,19.9256,18.7045,0.0015,0.9922,1.2474,2.0499,1775595039781871945
ecgclass,no_sharing,1.5301,31.0364,20.1186,19.3249,0.0014,0.5146,10.1972,10.9178,1775595039802215246
ecgclass,no_sharing,1.5531,27.3085,18.7555,17.9786,0.0014,0.506,7.7538,8.553,1775595039822687214
ecgclass,no_sharing,1.5856,21.3921,19.4892,18.6223,0.0013,0.6374,1.1437,1.9029,1775595039848582132
ecgclass,no_sharing,1.6025,24.781,19.8541,19.0879,0.0014,0.4931,4.1494,4.9269,1775595039868482849
ecgclass,no_sharing,1.6192,27.9922,19.4827,18.6008,0.0014,0.5856,7.7209,8.5095,1775595039888751253
ecgclass,no_sharing,1.6624,23.4823,21.4819,20.6302,0.0016,0.5674,1.2491,2.0005,1775595039925480863
ecgclass,no_sharing,1.6776,30.5359,21.8285,20.7968,0.0015,0.7185,7.9246,8.7075,1775595039947370257
ecgclass,no_sharing,1.744,24.3497,22.2729,21.2299,0.0016,0.7482,1.2681,2.0768,1775595040007131010
ecgclass,no_sharing,1.8137,23.1984,21.0971,19.571,0.0015,1.2716,1.3218,2.1012,1775595040076867454
ecgclass,no_sharing,1.8681,23.3762,21.4202,20.6007,0.0015,0.5611,1.1296,1.956,1775595040131078105
ecgclass,no_sharing,1.8718,42.032,22.0332,21.1559,0.0016,0.5654,19.2935,19.9988,1775595040152965001
ecgclass,no_sharing,1.9287,23.0513,20.9552,20.0989,0.0016,0.5855,1.2569,2.0961,1775595040191843762
ecgclass,no_sharing,1.9974,24.4064,22.298,21.4315,0.0016,0.5742,1.3084,2.1084,1775595040260592073
ecgclass,no_sharing,2.0518,25.6031,23.433,22.4876,0.0017,0.6158,1.3514,2.1701,1775595040315035916
ecgclass,no_sharing,2.0665,34.2953,22.9526,21.932,0.0017,0.713,10.5016,11.3428,1775595040338912261
ecgclass,no_sharing,2.0826,41.543,22.6102,21.7375,0.0014,0.2728,17.9896,18.9328,1775595040362476240
