task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
gestureclass,single_gestureclass,0.0001,402.2071,398.3061,374.0906,0.0045,23.3449,2.3701,3.901,1775596270229120053
gestureclass,single_gestureclass,0.0069,626.6239,230.5104,52.241,0.0023,16.0572,395.1445,396.1135,1775596270628630728
gestureclass,single_gestureclass,0.0104,623.5378,230.5104,52.241,0.0023,16.0572,391.6099,393.0274,1775596270628630728
gestureclass,single_gestureclass,0.013,622.0024,230.5104,52.241,0.0023,16.0572,389.0138,391.492,1775596270628630728
gestureclass,single_gestureclass,0.0607,574.322,230.5104,52.241,0.0023,16.0572,341.306,343.8116,1775596270628630728
gestureclass,single_gestureclass,0.1227,512.362,230.5104,52.241,0.0023,16.0572,279.3257,281.8516,1775596270628630728
gestureclass,single_gestureclass,0.1391,495.9574,230.5104,52.241,0.0023,16.0572,262.9039,265.447,1775596270628630728
gestureclass,single_gestureclass,0.193,442.374,230.5104,52.241,0.0023,16.0572,209.0087,211.8636,1775596270628630728
gestureclass,single_gestureclass,0.197,438.379,230.5104,52.241,0.0023,16.0572,205.0004,207.8687,1775596270628630728
gestureclass,single_gestureclass,0.2398,395.6292,230.5104,52.241,0.0023,16.0572,162.2019,165.1188,1775596270628630728
gestureclass,single_gestureclass,0.2618,373.6026,230.5104,52.241,0.0023,16.0572,140.1639,143.0923,1775596270628630728
gestureclass,single_gestureclass,0.3037,331.754,230.5104,52.241,0.0023,16.0572,98.3043,101.2436,1775596270628630728
gestureclass,single_gestureclass,0.4405,365.3796,169.9381,43.6209,0.0016,15.6409,194.0801,195.4415,1775596270861218281
gestureclass,single_gestureclass,0.4692,336.7474,169.9381,43.6209,0.0016,15.6409,165.4251,166.8093,1775596270861218281
gestureclass,single_gestureclass,0.5187,287.1799,169.9381,43.6209,0.0016,15.6409,115.8428,117.2419,1775596270861218281
gestureclass,single_gestureclass,0.5623,244.1401,169.9381,43.6209,0.0016,15.6409,72.2868,74.2021,1775596270861218281
gestureclass,single_gestureclass,0.5623,244.1258,169.9381,43.6209,0.0016,15.6409,72.2537,74.1878,1775596270861218281
gestureclass,single_gestureclass,0.5714,235.0564,169.9381,43.6209,0.0016,15.6409,63.1711,65.1183,1775596270861218281
gestureclass,single_gestureclass,0.5862,220.4614,169.9381,43.6209,0.0016,15.6409,48.4135,50.5233,1775596270861218281
gestureclass,single_gestureclass,0.6239,182.7652,169.9381,43.6209,0.0016,15.6409,10.6735,12.8272,1775596270861218281
gestureclass,single_gestureclass,0.6507,204.02,47.3725,44.1468,0.0017,1.3916,155.544,156.6475,1775596271032834661
gestureclass,single_gestureclass,0.7813,73.4038,47.3725,44.1468,0.0017,1.3916,24.9052,26.0313,1775596271032834661
gestureclass,single_gestureclass,0.8179,81.1028,43.7077,42.6892,0.0025,0.6586,36.4449,37.3951,1775596271080972571
gestureclass,single_gestureclass,0.8819,63.3678,45.5696,43.2327,0.002,0.9915,16.726,17.7982,1775596271125264148
gestureclass,single_gestureclass,0.8896,55.6607,45.5696,43.2327,0.002,0.9915,8.9953,10.0911,1775596271125264148
gestureclass,single_gestureclass,0.9735,48.7399,45.9961,44.876,0.002,0.6177,1.833,2.7438,1775596271201977909
gestureclass,single_gestureclass,0.9739,114.3844,64.9845,44.0683,0.0017,6.8617,48.1145,49.3999,1775596271248636565
gestureclass,single_gestureclass,0.9968,91.5039,64.9845,44.0683,0.0017,6.8617,25.2113,26.5194,1775596271248636565
gestureclass,single_gestureclass,1.0095,78.8085,64.9845,44.0683,0.0017,6.8617,12.5017,13.8241,1775596271248636565
gestureclass,single_gestureclass,1.0725,58.9588,43.0487,42.1469,0.002,0.6054,15.0666,15.9101,1775596271314159802
gestureclass,single_gestureclass,1.0872,90.5387,46.1061,39.6459,0.0016,3.0723,43.7529,44.4326,1775596271357569817
gestureclass,single_gestureclass,1.1095,68.2981,46.1061,39.6459,0.0016,3.0723,21.4233,22.192,1775596271357569817
gestureclass,single_gestureclass,1.1302,94.96,46.375,42.0625,0.0018,1.9764,47.5571,48.585,1775596271404428841
gestureclass,single_gestureclass,1.1376,87.5912,46.375,42.0625,0.0018,1.9764,40.1552,41.2162,1775596271404428841
gestureclass,single_gestureclass,1.2209,47.5261,42.6721,41.6939,0.0019,0.6187,3.9554,4.854,1775596271451529719
gestureclass,single_gestureclass,1.2767,45.4445,43.2333,42.2818,0.0019,0.6235,1.3833,2.2112,1775596271504700922
gestureclass,single_gestureclass,1.2783,90.008,45.4359,44.2476,0.0017,0.4253,43.6227,44.5721,1775596271548573256
gestureclass,single_gestureclass,1.308,60.4784,45.4359,44.2476,0.0017,0.4253,13.9439,15.0425,1775596271548573256
gestureclass,single_gestureclass,1.3323,84.0285,47.1561,44.5872,0.0018,1.1062,35.8589,36.8724,1775596271594823569
gestureclass,single_gestureclass,1.3471,69.3026,47.1561,44.5872,0.0018,1.1062,21.1098,22.1464,1775596271594823569
gestureclass,single_gestureclass,1.3707,132.0925,85.2737,43.9271,0.0017,10.2448,45.5213,46.8188,1775596271642829478
gestureclass,single_gestureclass,1.3723,130.4724,85.2737,43.9271,0.0017,10.2448,43.8774,45.1987,1775596271642829478
gestureclass,single_gestureclass,1.408,94.9149,85.2737,43.9271,0.0017,10.2448,8.1933,9.6412,1775596271642829478
gestureclass,single_gestureclass,1.4097,93.2705,85.2737,43.9271,0.0017,10.2448,6.5122,7.9968,1775596271642829478
gestureclass,single_gestureclass,1.4466,100.0295,43.28,41.9448,0.0019,0.9352,55.8534,56.7494,1775596271729088387
gestureclass,single_gestureclass,1.5382,55.1054,45.8515,43.7606,0.0017,0.8837,8.1341,9.2539,1775596271772924306
gestureclass,single_gestureclass,1.5439,49.4232,45.8515,43.7606,0.0017,0.8837,2.4292,3.5717,1775596271772924306
gestureclass,single_gestureclass,1.5488,91.3827,46.3869,43.566,0.0017,1.2348,44.1282,44.9959,1775596271819596058
gestureclass,single_gestureclass,1.5655,74.8982,46.3869,43.566,0.0017,1.2348,27.4351,28.5114,1775596271819596058
gestureclass,single_gestureclass,1.6185,66.2611,43.7804,42.8318,0.0021,0.6149,21.6064,22.4807,1775596271866727496
gestureclass,single_gestureclass,1.6707,80.0891,64.957,44.425,0.0019,6.7147,13.8631,15.1321,1775596271911141345
gestureclass,single_gestureclass,1.6774,73.406,64.957,44.425,0.0019,6.7147,7.1573,8.449,1775596271911141345
gestureclass,single_gestureclass,1.6774,73.4079,64.957,44.425,0.0019,6.7147,7.1254,8.4509,1775596271911141345
gestureclass,single_gestureclass,1.8321,51.6844,49.0794,48.0696,0.0022,0.6802,1.6668,2.605,1775596272060345653
gestureclass,single_gestureclass,1.887,47.9298,45.4163,44.0941,0.002,0.6274,1.5633,2.5135,1775596272115142923
gestureclass,single_gestureclass,1.9247,53.5309,42.8146,41.8606,0.0019,0.6001,9.814,10.7163,1775596272161112344
gestureclass,single_gestureclass,1.9551,66.5994,42.8348,41.8884,0.0018,0.6133,22.8481,23.7645,1775596272204560445
gestureclass,single_gestureclass,2.0064,58.6669,42.9149,41.9666,0.0021,0.5985,14.8983,15.7521,1775596272247930369
gestureclass,single_gestureclass,2.0439,63.9544,42.3802,41.4274,0.0017,0.6105,20.7417,21.5742,1775596272291256676
gestureclass,single_gestureclass,2.109,45.5391,43.351,42.4437,0.0019,0.6172,1.3704,2.1881,1775596272337010478
gestureclass,single_gestureclass,2.1387,81.5191,65.0889,43.9753,0.0018,6.9359,15.4188,16.4303,1775596272380757980
gestureclass,single_gestureclass,2.1414,78.8124,65.0889,43.9753,0.0018,6.9359,12.6894,13.7235,1775596272380757980
gestureclass,single_gestureclass,2.1452,75.2788,65.0889,43.9753,0.0018,6.9359,8.9602,10.1899,1775596272380757980
gestureclass,single_gestureclass,2.2148,49.8867,43.7796,42.807,0.0019,0.6205,5.2292,6.1071,1775596272446642544
gestureclass,single_gestureclass,2.2517,56.0451,42.4319,41.4725,0.002,0.6171,12.6786,13.6132,1775596272490974874
gestureclass,single_gestureclass,2.3119,45.2321,42.8295,41.8963,0.0019,0.6216,1.5037,2.4026,1775596272540060413
gestureclass,single_gestureclass,2.3266,74.7838,43.5394,41.9604,0.0019,1.2299,30.1943,31.2444,1775596272583461882
gestureclass,single_gestureclass,2.3924,54.7452,45.1568,42.7689,0.0017,1.0259,8.7175,9.5884,1775596272627709925
gestureclass,single_gestureclass,2.3991,48.2268,45.1568,42.7689,0.0017,1.0259,1.9906,3.0701,1775596272627709925
gestureclass,single_gestureclass,2.4805,46.6805,44.1645,43.2539,0.002,0.6088,1.5795,2.516,1775596272708743807
gestureclass,single_gestureclass,2.5003,69.9084,42.4368,41.4924,0.002,0.6017,26.6402,27.4715,1775596272753547681
gestureclass,single_gestureclass,2.6134,47.4806,45.0746,44.1461,0.002,0.6214,1.5221,2.406,1775596272841555934
gestureclass,single_gestureclass,2.6292,75.6269,43.2298,42.2697,0.0018,0.6121,31.4863,32.397,1775596272887270615
gestureclass,single_gestureclass,2.6661,82.684,43.4527,42.5,0.002,0.6187,38.3325,39.2314,1775596272931049975
gestureclass,single_gestureclass,2.817,49.3407,46.8777,45.96,0.0019,0.6168,1.5726,2.463,1775596273045213779
gestureclass,single_gestureclass,2.8488,61.3546,43.0395,42.0657,0.0018,0.6143,17.3528,18.3151,1775596273092738985
gestureclass,single_gestureclass,3.0224,55.1498,52.5287,51.5353,0.0021,0.6798,1.6572,2.621,1775596273250690329
gestureclass,single_gestureclass,3.0502,74.4236,46.5254,45.0658,0.0019,1.0963,27.0565,27.8982,1775596273303879470
gestureclass,single_gestureclass,3.0918,76.3226,42.8726,41.9249,0.0019,0.605,32.5503,33.45,1775596273350963404
gestureclass,single_gestureclass,3.1598,51.1844,42.3525,41.3994,0.0019,0.6134,8.0016,8.8319,1775596273394451487
gestureclass,single_gestureclass,3.2382,45.8643,43.4008,42.4987,0.0018,0.6127,1.5299,2.4636,1775596273466379403
gestureclass,single_gestureclass,3.2829,44.5726,42.2947,41.3864,0.0018,0.6194,1.3609,2.2779,1775596273510933614
gestureclass,single_gestureclass,3.3287,45.2785,42.874,41.9515,0.0021,0.6328,1.4784,2.4045,1775596273556800605
gestureclass,single_gestureclass,3.3444,73.1385,42.9978,42.0495,0.0018,0.6129,29.222,30.1407,1775596273600242646
gestureclass,single_gestureclass,3.4132,47.9243,42.9607,41.9812,0.0018,0.6317,4.0607,4.9636,1775596273643865430
gestureclass,single_gestureclass,3.4367,67.7619,42.8491,41.922,0.0019,0.6099,24.0278,24.9128,1775596273687389937
gestureclass,single_gestureclass,3.5013,46.5727,42.8874,41.9171,0.002,0.6337,2.8508,3.6853,1775596273730783330
gestureclass,single_gestureclass,3.5097,81.5864,42.7683,41.8008,0.002,0.6246,37.91,38.8181,1775596273774233471
gestureclass,single_gestureclass,3.5531,83.025,44.268,43.3245,0.0019,0.6041,37.8699,38.757,1775596273817576788
gestureclass,single_gestureclass,3.5985,84.1293,45.7211,44.2094,0.0019,0.5894,37.3173,38.4082,1775596273862431427
gestureclass,single_gestureclass,3.6282,54.4314,45.7211,44.2094,0.0019,0.5894,7.5967,8.7103,1775596273862431427
gestureclass,single_gestureclass,3.6413,108.6488,66.4459,44.6194,0.0018,7.1571,40.9329,42.2028,1775596273908869558
gestureclass,single_gestureclass,3.659,90.9553,66.4459,44.6194,0.0018,7.1571,23.2172,24.5093,1775596273908869558
gestureclass,single_gestureclass,3.6737,76.2846,66.4459,44.6194,0.0018,7.1571,8.5087,9.8387,1775596273908869558
gestureclass,single_gestureclass,3.6868,106.5578,42.9007,41.9242,0.0019,0.6056,62.7916,63.6572,1775596273976261262
gestureclass,single_gestureclass,3.7702,66.3335,42.5485,41.5918,0.0018,0.6192,22.8713,23.7851,1775596274019718445
gestureclass,single_gestureclass,3.8808,46.9465,44.4886,43.5544,0.002,0.6363,1.5211,2.4579,1775596274108939232
gestureclass,single_gestureclass,3.9389,45.3451,42.9955,42.1007,0.0017,0.6014,1.452,2.3496,1775596274167026454
gestureclass,single_gestureclass,3.9806,47.6234,43.3402,42.3741,0.0019,0.6099,3.376,4.2832,1775596274210653763
gestureclass,single_gestureclass,3.9895,84.898,45.397,43.0775,0.0018,0.9876,38.5187,39.501,1775596274254641574
gestureclass,single_gestureclass,4.0152,59.2048,45.397,43.0775,0.0018,0.9876,12.8028,13.8078,1775596274254641574
gestureclass,single_gestureclass,4.2157,55.3186,52.6532,51.6469,0.0021,0.6804,1.6665,2.6654,1775596274444027876
