task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
gestureclass,single_gestureclass,0.0002,339.1581,335.5279,319.3278,0.0039,15.5987,2.47,3.6301,1775589380255290316
gestureclass,single_gestureclass,0.017,430.7303,107.7267,42.4555,0.0024,12.9769,322.0339,323.0037,1775589380591649044
gestureclass,single_gestureclass,0.0256,422.7366,107.7267,42.4555,0.0024,12.9769,313.3414,315.01,1775589380591649044
gestureclass,single_gestureclass,0.0314,417.0446,107.7267,42.4555,0.0024,12.9769,307.6282,309.3179,1775589380591649044
gestureclass,single_gestureclass,0.1511,297.4441,107.7267,42.4555,0.0024,12.9769,187.8946,189.7174,1775589380591649044
gestureclass,single_gestureclass,0.3063,142.2548,107.7267,42.4555,0.0024,12.9769,32.6698,34.5281,1775589380591649044
gestureclass,single_gestureclass,0.3465,144.4914,41.8191,40.9228,0.0019,0.6066,101.8097,102.6724,1775589380700991960
gestureclass,single_gestureclass,0.4808,51.7793,40.9473,39.8418,0.0021,0.7781,9.9428,10.832,1775589380743381081
gestureclass,single_gestureclass,0.4922,81.183,40.2817,39.3628,0.002,0.5927,40.024,40.9013,1775589380784892128
gestureclass,single_gestureclass,0.6006,44.1155,41.7513,40.8792,0.002,0.5897,1.446,2.3642,1775589380854703787
gestureclass,single_gestureclass,0.6529,42.9194,40.5342,39.6623,0.0019,0.5869,1.435,2.3852,1775589380907017833
gestureclass,single_gestureclass,0.7581,46.6988,44.2155,43.3117,0.0019,0.614,1.5314,2.4833,1775589381012246574
gestureclass,single_gestureclass,1.1002,51.8687,49.3055,48.2909,0.0023,0.6749,1.5886,2.5632,1775589381354456526
gestureclass,single_gestureclass,1.1723,47.8902,45.5151,44.3322,0.0022,0.8713,1.5111,2.375,1775589381426477928
gestureclass,single_gestureclass,1.2964,51.6474,49.136,48.1757,0.0023,0.6501,1.6296,2.5114,1775589381550722688
gestureclass,single_gestureclass,1.4043,54.5497,51.4043,50.1318,0.0031,0.8663,2.2373,3.1454,1775589381659225932
gestureclass,single_gestureclass,1.4044,101.9943,46.664,45.5796,0.0021,0.3543,54.3387,55.3303,1775589381711362626
gestureclass,single_gestureclass,1.4274,78.9473,46.664,45.5796,0.0021,0.3543,31.2686,32.2833,1775589381711362626
gestureclass,single_gestureclass,1.4651,82.9556,41.0327,40.1188,0.002,0.586,41.0404,41.9229,1775589381758783207
gestureclass,single_gestureclass,1.5583,42.9771,40.756,39.8814,0.0021,0.5939,1.4405,2.2211,1775589381812358136
gestureclass,single_gestureclass,1.6264,43.0276,40.7285,39.9257,0.0018,0.5419,1.5094,2.2992,1775589381880606339
gestureclass,single_gestureclass,1.9519,74.0423,70.3372,68.7244,0.0036,1.0852,2.7509,3.7052,1775589382207325784
gestureclass,single_gestureclass,2.0432,47.7657,45.204,44.0021,0.002,0.8742,1.6341,2.5618,1775589382297467893
