task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0001,393.95,390.0191,315.5346,0.0032,73.6793,2.9979,3.9309,1775593079351905066
ecgclass,no_sharing_tpc,0.1214,737.9184,464.4781,67.2524,0.0021,79.3608,272.5711,273.4403,1775593079742703527
ecgclass,no_sharing_tpc,0.2375,622.0934,464.4781,67.2524,0.0021,79.3608,156.4648,157.6154,1775593079742703527
ecgclass,no_sharing_tpc,0.3568,502.7716,464.4781,67.2524,0.0021,79.3608,37.122,38.2935,1775593079742703527
ecgclass,no_sharing_tpc,0.3715,488.4152,464.4781,67.2524,0.0021,79.3608,22.4116,23.9372,1775593079742703527
ecgclass,no_sharing_tpc,0.3753,484.8232,464.4781,67.2524,0.0021,79.3608,18.6594,20.3452,1775593079742703527
ecgclass,no_sharing_tpc,0.4483,1043.9093,630.5454,91.0668,0.0015,76.6305,411.6836,413.3639,1775593080208742312
ecgclass,no_sharing_tpc,0.518,974.1905,630.5454,91.0668,0.0015,76.6305,341.9249,343.6451,1775593080208742312
ecgclass,no_sharing_tpc,0.6749,817.6591,630.5454,91.0668,0.0015,76.6305,185.0226,187.1138,1775593080208742312
ecgclass,no_sharing_tpc,0.6787,814.369,630.5454,91.0668,0.0015,76.6305,181.3045,183.8236,1775593080208742312
ecgclass,no_sharing_tpc,0.7312,762.0082,630.5454,91.0668,0.0015,76.6305,128.722,131.4628,1775593080208742312
ecgclass,no_sharing_tpc,0.7347,758.6095,630.5454,91.0668,0.0015,76.6305,125.3035,128.0642,1775593080208742312
ecgclass,no_sharing_tpc,0.7902,703.0869,630.5454,91.0668,0.0015,76.6305,69.7477,72.5415,1775593080208742312
ecgclass,no_sharing_tpc,0.8752,2368.3414,1749.2798,172.9586,0.002,78.7763,617.9402,619.0617,1775593080841946543
ecgclass,no_sharing_tpc,0.8948,2348.9807,1749.2798,172.9586,0.002,78.7763,598.3624,599.7009,1775593080841946543
ecgclass,no_sharing_tpc,0.9564,2287.5323,1749.2798,172.9586,0.002,78.7763,536.8028,538.2525,1775593080841946543
ecgclass,no_sharing_tpc,0.9638,2280.2467,1749.2798,172.9586,0.002,78.7763,529.3319,530.9669,1775593080841946543
ecgclass,no_sharing_tpc,0.9683,2275.9292,1749.2798,172.9586,0.002,78.7763,524.859,526.6494,1775593080841946543
ecgclass,no_sharing_tpc,0.9844,2260.0543,1749.2798,172.9586,0.002,78.7763,508.7762,510.7746,1775593080841946543
ecgclass,no_sharing_tpc,1.0291,2215.5135,1749.2798,172.9586,0.002,78.7763,464.0615,466.2337,1775593080841946543
ecgclass,no_sharing_tpc,1.0498,2195.0018,1749.2798,172.9586,0.002,78.7763,443.331,445.722,1775593080841946543
ecgclass,no_sharing_tpc,1.1124,2132.6718,1749.2798,172.9586,0.002,78.7763,380.7783,383.392,1775593080841946543
ecgclass,no_sharing_tpc,1.1234,2121.7937,1749.2798,172.9586,0.002,78.7763,369.7956,372.514,1775593080841946543
ecgclass,no_sharing_tpc,1.2151,2030.2916,1749.2798,172.9586,0.002,78.7763,278.0607,281.0118,1775593080841946543
ecgclass,no_sharing_tpc,1.2768,1968.6832,1749.2798,172.9586,0.002,78.7763,216.3458,219.4034,1775593080841946543
ecgclass,no_sharing_tpc,1.3095,1936.095,1749.2798,172.9586,0.002,78.7763,183.6298,186.8152,1775593080841946543
ecgclass,no_sharing_tpc,1.3303,1915.5426,1749.2798,172.9586,0.002,78.7763,162.914,166.2628,1775593080841946543
ecgclass,no_sharing_tpc,1.353,1892.9977,1749.2798,172.9586,0.002,78.7763,140.1887,143.7179,1775593080841946543
ecgclass,no_sharing_tpc,1.3567,1889.5869,1749.2798,172.9586,0.002,78.7763,136.4896,140.3071,1775593080841946543
ecgclass,no_sharing_tpc,1.3659,1880.4214,1749.2798,172.9586,0.002,78.7763,127.248,131.1416,1775593080841946543
ecgclass,no_sharing_tpc,1.4014,1845.1817,1749.2798,172.9586,0.002,78.7763,91.8047,95.9019,1775593080841946543
ecgclass,no_sharing_tpc,1.4198,1826.8356,1749.2798,172.9586,0.002,78.7763,73.3557,77.5558,1775593080841946543
ecgclass,no_sharing_tpc,1.4833,1763.5825,1749.2798,172.9586,0.002,78.7763,9.9022,14.3027,1775593080841946543
ecgclass,no_sharing_tpc,1.5185,4999.4128,3268.1474,54.1841,0.0018,86.8077,1729.6972,1731.2654,1775593082596969365
ecgclass,no_sharing_tpc,1.5299,4988.0772,3268.1474,54.1841,0.0018,86.8077,1718.3366,1719.9298,1775593082596969365
ecgclass,no_sharing_tpc,1.5535,4964.7343,3268.1474,54.1841,0.0018,86.8077,1694.6504,1696.5869,1775593082596969365
ecgclass,no_sharing_tpc,1.5852,4933.064,3268.1474,54.1841,0.0018,86.8077,1662.9605,1664.9166,1775593082596969365
ecgclass,no_sharing_tpc,1.6024,4916.2509,3268.1474,54.1841,0.0018,86.8077,1645.8259,1648.1036,1775593082596969365
ecgclass,no_sharing_tpc,1.6182,4900.3925,3268.1474,54.1841,0.0018,86.8077,1629.9489,1632.2452,1775593082596969365
ecgclass,no_sharing_tpc,1.6627,4856.2291,3268.1474,54.1841,0.0018,86.8077,1585.4716,1588.0817,1775593082596969365
ecgclass,no_sharing_tpc,1.6775,4841.4631,3268.1474,54.1841,0.0018,86.8077,1570.6863,1573.3157,1775593082596969365
ecgclass,no_sharing_tpc,1.7445,4775.0065,3268.1474,54.1841,0.0018,86.8077,1503.6862,1506.8592,1775593082596969365
ecgclass,no_sharing_tpc,1.8134,4706.1021,3268.1474,54.1841,0.0018,86.8077,1434.7613,1437.9548,1775593082596969365
ecgclass,no_sharing_tpc,1.8678,4651.8955,3268.1474,54.1841,0.0018,86.8077,1380.3468,1383.7482,1775593082596969365
ecgclass,no_sharing_tpc,1.8713,4648.7236,3268.1474,54.1841,0.0018,86.8077,1376.9286,1380.5762,1775593082596969365
ecgclass,no_sharing_tpc,1.9281,4592.0672,3268.1474,54.1841,0.0018,86.8077,1320.0626,1323.9199,1775593082596969365
ecgclass,no_sharing_tpc,1.9961,4524.0738,3268.1474,54.1841,0.0018,86.8077,1252.0502,1255.9265,1775593082596969365
ecgclass,no_sharing_tpc,2.0523,4468.0696,3268.1474,54.1841,0.0018,86.8077,1195.8458,1199.9222,1775593082596969365
ecgclass,no_sharing_tpc,2.0668,4453.8262,3268.1474,54.1841,0.0018,86.8077,1181.3602,1185.6788,1775593082596969365
ecgclass,no_sharing_tpc,2.0823,4438.4937,3268.1474,54.1841,0.0018,86.8077,1165.8478,1170.3464,1775593082596969365
ecgclass,no_sharing_tpc,2.0904,4430.5003,3268.1474,54.1841,0.0018,86.8077,1157.8364,1162.3529,1775593082596969365
ecgclass,no_sharing_tpc,2.1076,4413.398,3268.1474,54.1841,0.0018,86.8077,1140.5606,1145.2507,1775593082596969365
ecgclass,no_sharing_tpc,2.1092,4412.0417,3268.1474,54.1841,0.0018,86.8077,1139.0305,1143.8943,1775593082596969365
ecgclass,no_sharing_tpc,2.1177,4403.7135,3268.1474,54.1841,0.0018,86.8077,1130.5161,1135.5661,1775593082596969365
ecgclass,no_sharing_tpc,2.1832,4338.3703,3268.1474,54.1841,0.0018,86.8077,1064.996,1070.223,1775593082596969365
ecgclass,no_sharing_tpc,2.3828,4138.9594,3268.1474,54.1841,0.0018,86.8077,865.3891,870.812,1775593082596969365
ecgclass,no_sharing_tpc,2.411,4110.9755,3268.1474,54.1841,0.0018,86.8077,837.1727,842.8281,1775593082596969365
ecgclass,no_sharing_tpc,2.4258,4096.391,3268.1474,54.1841,0.0018,86.8077,822.4101,828.2436,1775593082596969365
ecgclass,no_sharing_tpc,2.4453,4076.9241,3268.1474,54.1841,0.0018,86.8077,802.9258,808.7767,1775593082596969365
ecgclass,no_sharing_tpc,2.463,4059.3412,3268.1474,54.1841,0.0018,86.8077,785.1758,791.1938,1775593082596969365
ecgclass,no_sharing_tpc,2.4698,4052.747,3268.1474,54.1841,0.0018,86.8077,778.4166,784.5996,1775593082596969365
ecgclass,no_sharing_tpc,2.5243,3998.3952,3268.1474,54.1841,0.0018,86.8077,723.8948,730.2478,1775593082596969365
ecgclass,no_sharing_tpc,2.5925,3930.3973,3268.1474,54.1841,0.0018,86.8077,655.7162,662.2499,1775593082596969365
ecgclass,no_sharing_tpc,2.6683,3854.7244,3268.1474,54.1841,0.0018,86.8077,579.8573,586.577,1775593082596969365
ecgclass,no_sharing_tpc,2.9335,3589.776,3268.1474,54.1841,0.0018,86.8077,314.7094,321.6287,1775593082596969365
ecgclass,no_sharing_tpc,3.0386,3484.879,3268.1474,54.1841,0.0018,86.8077,209.5463,216.7316,1775593082596969365
ecgclass,no_sharing_tpc,3.1216,3402.1318,3268.1474,54.1841,0.0018,86.8077,126.6201,133.9844,1775593082596969365
ecgclass,no_sharing_tpc,3.1735,3350.2569,3268.1474,54.1841,0.0018,86.8077,74.728,82.1095,1775593082596969365
ecgclass,no_sharing_tpc,3.2029,3320.9403,3268.1474,54.1841,0.0018,86.8077,45.2788,52.7929,1775593082596969365
ecgclass,no_sharing_tpc,3.2054,3318.5353,3268.1474,54.1841,0.0018,86.8077,42.8269,50.388,1775593082596969365
ecgclass,no_sharing_tpc,3.253,3352.0525,77.965,74.0481,0.0017,0.0125,3272.0883,3274.0875,1775593085873840156
ecgclass,no_sharing_tpc,3.2841,3321.0049,77.965,74.0481,0.0017,0.0125,3241.0123,3243.0399,1775593085873840156
ecgclass,no_sharing_tpc,3.3596,3245.7631,77.965,74.0481,0.0017,0.0125,3165.4725,3167.7981,1775593085873840156
ecgclass,no_sharing_tpc,3.4611,3144.2754,77.965,74.0481,0.0017,0.0125,3063.9639,3066.3104,1775593085873840156
ecgclass,no_sharing_tpc,3.4775,3128.1285,77.965,74.0481,0.0017,0.0125,3047.5178,3050.1635,1775593085873840156
ecgclass,no_sharing_tpc,3.48,3125.711,77.965,74.0481,0.0017,0.0125,3045.0799,3047.746,1775593085873840156
ecgclass,no_sharing_tpc,3.5259,3080.0984,77.965,74.0481,0.0017,0.0125,2999.1729,3002.1334,1775593085873840156
ecgclass,no_sharing_tpc,3.6538,2952.1763,77.965,74.0481,0.0017,0.0125,2871.2292,2874.2113,1775593085873840156
ecgclass,no_sharing_tpc,3.6953,2911.0241,77.965,74.0481,0.0017,0.0125,2829.7839,2833.0591,1775593085873840156
ecgclass,no_sharing_tpc,3.8015,2804.7907,77.965,74.0481,0.0017,0.0125,2723.531,2726.8257,1775593085873840156
ecgclass,no_sharing_tpc,3.84,2766.6533,77.965,74.0481,0.0017,0.0125,2685.1025,2688.6883,1775593085873840156
ecgclass,no_sharing_tpc,3.9054,2701.2722,77.965,74.0481,0.0017,0.0125,2619.7016,2623.3073,1775593085873840156
ecgclass,no_sharing_tpc,3.9205,2686.4755,77.965,74.0481,0.0017,0.0125,2604.5969,2608.5105,1775593085873840156
ecgclass,no_sharing_tpc,3.9262,2680.7926,77.965,74.0481,0.0017,0.0125,2598.8948,2602.8276,1775593085873840156
ecgclass,no_sharing_tpc,3.9328,2674.4738,77.965,74.0481,0.0017,0.0125,2592.2158,2596.5088,1775593085873840156
ecgclass,no_sharing_tpc,3.9395,2667.8176,77.965,74.0481,0.0017,0.0125,2585.5398,2589.8526,1775593085873840156
ecgclass,no_sharing_tpc,3.9422,2665.4532,77.965,74.0481,0.0017,0.0125,2582.8602,2587.4882,1775593085873840156
ecgclass,no_sharing_tpc,4.0276,2580.0529,77.965,74.0481,0.0017,0.0125,2497.4396,2502.0879,1775593085873840156
ecgclass,no_sharing_tpc,4.05,2557.7025,77.965,74.0481,0.0017,0.0125,2475.0752,2479.7375,1775593085873840156
ecgclass,no_sharing_tpc,4.0697,2538.3546,77.965,74.0481,0.0017,0.0125,2455.3823,2460.3896,1775593085873840156
ecgclass,no_sharing_tpc,4.1161,2491.9999,77.965,74.0481,0.0017,0.0125,2409.009,2414.0349,1775593085873840156
ecgclass,no_sharing_tpc,4.1268,2481.5946,77.965,74.0481,0.0017,0.0125,2398.2973,2403.6296,1775593085873840156
ecgclass,no_sharing_tpc,4.2218,2386.5428,77.965,74.0481,0.0017,0.0125,2303.2265,2308.5778,1775593085873840156
ecgclass,no_sharing_tpc,4.2862,2322.1843,77.965,74.0481,0.0017,0.0125,2238.8313,2244.2193,1775593085873840156
ecgclass,no_sharing_tpc,4.3028,2305.9144,77.965,74.0481,0.0017,0.0125,2222.2767,2227.9494,1775593085873840156
ecgclass,no_sharing_tpc,4.3135,2295.2173,77.965,74.0481,0.0017,0.0125,2211.5607,2217.2523,1775593085873840156
ecgclass,no_sharing_tpc,4.3392,2269.8481,77.965,74.0481,0.0017,0.0125,2185.8659,2191.8831,1775593085873840156
ecgclass,no_sharing_tpc,4.3549,2254.1711,77.965,74.0481,0.0017,0.0125,2170.1677,2176.2061,1775593085873840156
ecgclass,no_sharing_tpc,4.3586,2250.7954,77.965,74.0481,0.0017,0.0125,2166.4634,2172.8304,1775593085873840156
ecgclass,no_sharing_tpc,4.383,2226.4156,77.965,74.0481,0.0017,0.0125,2142.0639,2148.4506,1775593085873840156
ecgclass,no_sharing_tpc,4.496,2113.8296,77.965,74.0481,0.0017,0.0125,2029.0778,2035.8646,1775593085873840156
ecgclass,no_sharing_tpc,4.5465,2063.3533,77.965,74.0481,0.0017,0.0125,1978.581,1985.3883,1775593085873840156
ecgclass,no_sharing_tpc,4.7009,1909.2495,77.965,74.0481,0.0017,0.0125,1824.1155,1831.2845,1775593085873840156
ecgclass,no_sharing_tpc,4.8033,1806.9217,77.965,74.0481,0.0017,0.0125,1721.7672,1728.9567,1775593085873840156
ecgclass,no_sharing_tpc,4.8586,1751.5948,77.965,74.0481,0.0017,0.0125,1666.4257,1673.6298,1775593085873840156
ecgclass,no_sharing_tpc,4.952,1658.5386,77.965,74.0481,0.0017,0.0125,1573.0529,1580.5736,1775593085873840156
ecgclass,no_sharing_tpc,4.9881,1622.5007,77.965,74.0481,0.0017,0.0125,1536.9823,1544.5357,1775593085873840156
ecgclass,no_sharing_tpc,5.0405,1570.0669,77.965,74.0481,0.0017,0.0125,1484.5345,1492.1019,1775593085873840156
ecgclass,no_sharing_tpc,5.0602,1550.7476,77.965,74.0481,0.0017,0.0125,1464.8345,1472.7826,1775593085873840156
ecgclass,no_sharing_tpc,5.0709,1540.0984,77.965,74.0481,0.0017,0.0125,1454.1442,1462.1334,1775593085873840156
ecgclass,no_sharing_tpc,5.1804,1430.9866,77.965,74.0481,0.0017,0.0125,1344.6546,1353.0216,1775593085873840156
ecgclass,no_sharing_tpc,5.1851,1426.3361,77.965,74.0481,0.0017,0.0125,1339.9844,1348.3711,1775593085873840156
ecgclass,no_sharing_tpc,5.1957,1415.6795,77.965,74.0481,0.0017,0.0125,1329.3145,1337.7145,1775593085873840156
ecgclass,no_sharing_tpc,5.2105,1401.3124,77.965,74.0481,0.0017,0.0125,1314.5916,1323.3474,1775593085873840156
ecgclass,no_sharing_tpc,5.2582,1353.6284,77.965,74.0481,0.0017,0.0125,1266.8884,1275.6634,1775593085873840156
ecgclass,no_sharing_tpc,5.2806,1331.1996,77.965,74.0481,0.0017,0.0125,1244.4463,1253.2346,1775593085873840156
ecgclass,no_sharing_tpc,5.3134,1298.784,77.965,74.0481,0.0017,0.0125,1211.7069,1220.819,1775593085873840156
ecgclass,no_sharing_tpc,5.4215,1190.6359,77.965,74.0481,0.0017,0.0125,1103.5271,1112.6709,1775593085873840156
ecgclass,no_sharing_tpc,5.4988,1113.4207,77.965,74.0481,0.0017,0.0125,1026.2966,1035.4557,1775593085873840156
ecgclass,no_sharing_tpc,5.5577,1054.8911,77.965,74.0481,0.0017,0.0125,967.3364,976.9261,1775593085873840156
ecgclass,no_sharing_tpc,5.5659,1046.7808,77.965,74.0481,0.0017,0.0125,959.2063,968.8158,1775593085873840156
ecgclass,no_sharing_tpc,5.6246,988.353,77.965,74.0481,0.0017,0.0125,900.4598,910.388,1775593085873840156
ecgclass,no_sharing_tpc,5.6473,965.656,77.965,74.0481,0.0017,0.0125,877.7437,887.691,1775593085873840156
ecgclass,no_sharing_tpc,5.654,958.9458,77.965,74.0481,0.0017,0.0125,871.0198,880.9808,1775593085873840156
ecgclass,no_sharing_tpc,5.6735,939.4603,77.965,74.0481,0.0017,0.0125,851.5217,861.4953,1775593085873840156
ecgclass,no_sharing_tpc,5.6773,936.0971,77.965,74.0481,0.0017,0.0125,847.8053,858.1321,1775593085873840156
ecgclass,no_sharing_tpc,5.7229,890.425,77.965,74.0481,0.0017,0.0125,802.1145,812.46,1775593085873840156
ecgclass,no_sharing_tpc,5.7714,842.3824,77.965,74.0481,0.0017,0.0125,753.6945,764.4174,1775593085873840156
ecgclass,no_sharing_tpc,5.7861,827.703,77.965,74.0481,0.0017,0.0125,738.9963,749.738,1775593085873840156
ecgclass,no_sharing_tpc,5.7889,824.9099,77.965,74.0481,0.0017,0.0125,736.1727,746.9449,1775593085873840156
ecgclass,no_sharing_tpc,5.9258,688.3779,77.965,74.0481,0.0017,0.0125,599.2901,610.4129,1775593085873840156
ecgclass,no_sharing_tpc,5.9663,647.8896,77.965,74.0481,0.0017,0.0125,558.7821,569.9246,1775593085873840156
ecgclass,no_sharing_tpc,6.04,574.1687,77.965,74.0481,0.0017,0.0125,485.0473,496.2037,1775593085873840156
ecgclass,no_sharing_tpc,6.0577,556.6816,77.965,74.0481,0.0017,0.0125,467.3436,478.7166,1775593085873840156
ecgclass,no_sharing_tpc,6.1414,473.0091,77.965,74.0481,0.0017,0.0125,383.6522,395.0441,1775593085873840156
ecgclass,no_sharing_tpc,6.2238,390.6381,77.965,74.0481,0.0017,0.0125,301.2676,312.6731,1775593085873840156
ecgclass,no_sharing_tpc,6.2284,386.0438,77.965,74.0481,0.0017,0.0125,296.6189,308.0788,1775593085873840156
ecgclass,no_sharing_tpc,6.4995,114.9876,77.965,74.0481,0.0017,0.0125,25.548,37.0226,1775593085873840156
ecgclass,no_sharing_tpc,6.533,5930.2344,5848.2523,5843.0213,0.0088,2.8996,80.8063,81.9821,1775593085962621534
ecgclass,no_sharing_tpc,6.6037,6033.6885,171.0312,167.2113,0.0012,0.0247,5861.3038,5862.6573,1775593091813828462
ecgclass,no_sharing_tpc,6.615,6022.471,171.0312,167.2113,0.0012,0.0247,5850.0628,5851.4397,1775593091813828462
ecgclass,no_sharing_tpc,6.6648,5973.0773,171.0312,167.2113,0.0012,0.0247,5800.2186,5802.0461,1775593091813828462
ecgclass,no_sharing_tpc,6.6795,5958.4084,171.0312,167.2113,0.0012,0.0247,5785.5289,5787.3771,1775593091813828462
ecgclass,no_sharing_tpc,6.7599,5879.3192,171.0312,167.2113,0.0012,0.0247,5705.152,5708.288,1775593091813828462
ecgclass,no_sharing_tpc,6.7826,5856.6399,171.0312,167.2113,0.0012,0.0247,5682.4508,5685.6087,1775593091813828462
ecgclass,no_sharing_tpc,6.822,5817.2569,171.0312,167.2113,0.0012,0.0247,5643.054,5646.2257,1775593091813828462
ecgclass,no_sharing_tpc,6.8497,5790.019,171.0312,167.2113,0.0012,0.0247,5615.3612,5618.9878,1775593091813828462
ecgclass,no_sharing_tpc,6.8874,5752.7382,171.0312,167.2113,0.0012,0.0247,5577.6703,5581.707,1775593091813828462
