task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0001,313.4871,310.1849,296.7316,0.0026,12.71,1.972,3.3022,1775739770912055966
ecgclass,no_sharing_tpc,2.408,51.9791,48.297,46.9295,0.0022,0.7601,2.5797,3.6821,1775739773320516868
ecgclass,no_sharing_tpc,4.7435,52.5661,49.0571,47.6828,0.0022,0.7704,2.4872,3.509,1775739775655958915
ecgclass,no_sharing_tpc,7.1287,52.7093,48.9751,47.6193,0.0019,0.7469,2.6257,3.7342,1775739778041266902
ecgclass,no_sharing_tpc,7.4058,49.1428,46.4034,45.1317,0.0015,0.6453,1.7557,2.7395,1775739778317510710
ecgclass,no_sharing_tpc,7.4921,47.075,44.3937,43.4536,0.0015,0.6157,1.7121,2.6814,1775739778403835275
ecgclass,no_sharing_tpc,8.9459,45.4588,42.1847,40.8737,0.0018,0.6846,2.2798,3.2741,1775739779858127391
ecgclass,no_sharing_tpc,10.356,52.0213,48.2657,46.7943,0.0021,0.7675,2.6097,3.7556,1775739781268567997
ecgclass,no_sharing_tpc,13.4823,52.4826,48.9148,47.5018,0.0021,0.7617,2.5074,3.5678,1775739784394831634
ecgclass,no_sharing_tpc,13.558,45.357,42.726,41.7448,0.0014,0.6083,1.8208,2.631,1775739784469842629
ecgclass,no_sharing_tpc,14.6067,51.7187,48.1592,46.7481,0.0022,0.751,2.5456,3.5595,1775739785519186244
ecgclass,no_sharing_tpc,14.6756,44.3022,41.6152,40.6081,0.0014,0.6214,1.7333,2.687,1775739785587312846
ecgclass,no_sharing_tpc,15.7652,52.1975,48.497,46.76,0.0022,0.7757,2.5752,3.7004,1775739786677771239
ecgclass,no_sharing_tpc,17.4974,51.6584,48.1445,46.7913,0.0023,0.7646,2.4767,3.5139,1775739788409821466
