task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_mps,0.0001,480.612,476.4611,446.3267,0.0042,29.309,2.5294,4.1509,1775748614936124223
ecgclass,no_sharing_mps,0.482,89.2141,85.8224,82.9475,0.0034,2.1718,2.331,3.3917,1775748615417758863
ecgclass,no_sharing_mps,0.949,66.1755,63.7448,49.6331,0.0018,13.735,1.5759,2.4306,1775748615884026340
ecgclass,no_sharing_mps,1.4256,52.5498,50.3217,48.708,0.0017,1.223,1.4794,2.2282,1775748616360475451
ecgclass,no_sharing_mps,1.4812,61.7371,59.9307,42.9089,0.0016,16.4442,1.0664,1.8064,1775748616415740807
ecgclass,no_sharing_mps,1.4988,99.6792,54.9257,43.562,0.0014,11.0808,43.9501,44.7535,1775748616476153061
ecgclass,no_sharing_mps,1.79,73.9057,71.217,69.5113,0.0026,1.2077,1.7159,2.6887,1775748616725139297
ecgclass,no_sharing_mps,2.0712,82.4442,79.7218,77.6768,0.003,1.4851,1.7154,2.7224,1775748617006367167
ecgclass,no_sharing_mps,2.6962,41.1444,38.8528,37.9414,0.0014,0.5834,1.4114,2.2916,1775748617631095599
ecgclass,no_sharing_mps,2.7119,68.7239,42.6563,41.6844,0.0014,0.6124,25.1849,26.0676,1775748617670559052
ecgclass,no_sharing_mps,2.9215,57.8442,55.49,41.3896,0.0015,13.7474,1.4668,2.3542,1775748617856433591
ecgclass,no_sharing_mps,2.9359,88.5856,44.6182,43.6913,0.0015,0.6033,43.155,43.9674,1775748617912492785
ecgclass,no_sharing_mps,3.1535,70.1573,67.8045,65.7019,0.0022,1.6466,1.4195,2.3528,1775748618088323074
ecgclass,no_sharing_mps,3.5001,53.8075,51.404,42.7752,0.0014,8.3023,1.5607,2.4035,1775748618435073696
ecgclass,no_sharing_mps,3.5778,61.7697,59.3315,53.0243,0.0026,5.8183,1.4384,2.4382,1775748618512642355
ecgclass,no_sharing_mps,3.8232,88.2108,85.5886,83.7834,0.0031,1.2205,1.6308,2.6222,1775748618758243609
ecgclass,no_sharing_mps,3.8539,134.2173,75.8223,58.0379,0.0016,8.6925,57.2667,58.395,1775748618844657691
ecgclass,no_sharing_mps,3.8737,114.4743,75.8223,58.0379,0.0016,8.6925,37.4997,38.652,1775748618844657691
ecgclass,no_sharing_mps,3.9356,99.7813,46.6301,40.4539,0.0014,5.8253,52.2227,53.1511,1775748618921263944
ecgclass,no_sharing_mps,4.1161,71.2323,68.7849,61.9549,0.0023,6.3427,1.569,2.4474,1775748619051103770
ecgclass,no_sharing_mps,4.1985,43.3993,41.0631,40.1936,0.0013,0.5895,1.5216,2.3362,1775748619133499390
ecgclass,no_sharing_mps,4.4475,73.5462,71.4077,41.421,0.0015,29.6877,1.4231,2.1384,1775748619382389650
ecgclass,no_sharing_mps,4.4925,73.0114,43.6964,42.7716,0.0015,0.5934,28.4166,29.315,1775748619454356242
ecgclass,no_sharing_mps,4.8602,85.5157,82.9899,59.1891,0.002,23.3879,1.6091,2.5258,1775748619795276345
ecgclass,no_sharing_mps,5.1057,51.1296,48.7121,47.7534,0.0014,0.6077,1.55,2.4174,1775748620040684064
ecgclass,no_sharing_mps,5.2368,53.8158,51.4547,40.5326,0.0014,10.5726,1.4648,2.3611,1775748620171681901
ecgclass,no_sharing_mps,5.3204,57.1284,55.0123,40.1513,0.0015,14.5758,1.3402,2.1161,1775748620255218007
ecgclass,no_sharing_mps,5.4109,76.4751,74.3544,42.1122,0.0014,31.8709,1.2984,2.1207,1775748620345596916
ecgclass,no_sharing_mps,5.4267,156.652,95.5525,49.1811,0.0014,23.0209,60.2896,61.0994,1775748620420420581
ecgclass,no_sharing_mps,5.4621,121.4175,95.5525,49.1811,0.0014,23.0209,24.9081,25.865,1775748620420420581
ecgclass,no_sharing_mps,5.5996,44.7865,42.7953,41.4392,0.0014,0.9969,1.1482,1.9912,1775748620534222282
ecgclass,no_sharing_mps,5.6772,53.9796,51.7581,40.7436,0.0014,10.7258,1.4613,2.2216,1775748620612153632
ecgclass,no_sharing_mps,5.9296,47.1945,45.2172,44.2835,0.0015,0.6369,1.2531,1.9773,1775748620864324195
ecgclass,no_sharing_mps,6.0719,55.5835,53.387,47.8183,0.0021,5.1573,1.2224,2.1965,1775748621006614046
ecgclass,no_sharing_mps,6.119,88.3973,79.1615,47.7903,0.0015,31.0218,8.3537,9.2358,1775748621060835828
ecgclass,no_sharing_mps,6.2116,58.9428,56.6338,44.1167,0.0014,12.2357,1.4336,2.309,1775748621146496421
ecgclass,no_sharing_mps,6.3395,51.2304,49.0221,40.218,0.0013,8.5219,1.411,2.2083,1775748621274321482
ecgclass,no_sharing_mps,6.4079,87.7368,85.702,46.8504,0.0014,38.521,1.2167,2.0348,1775748621342555195
ecgclass,no_sharing_mps,6.4728,77.8236,54.5638,48.1068,0.0015,6.1238,22.4688,23.2598,1775748621428714148
ecgclass,no_sharing_mps,6.648,58.5473,56.5717,43.4746,0.0016,12.799,1.2319,1.9755,1775748621582717344
ecgclass,no_sharing_mps,6.7078,51.29,49.1889,40.3143,0.0015,8.5751,1.2572,2.1011,1775748621642453020
ecgclass,no_sharing_mps,6.9742,55.4087,53.5063,39.8588,0.0015,13.3657,1.1194,1.9024,1775748621908755461
ecgclass,no_sharing_mps,7.2525,48.7964,46.3808,45.413,0.0018,0.6206,1.6019,2.4156,1775748622187546315
ecgclass,no_sharing_mps,7.4693,43.8228,41.8639,40.9913,0.0015,0.59,1.2469,1.9589,1775748622404031382
ecgclass,no_sharing_mps,7.484,72.0632,42.5461,41.6423,0.0015,0.594,28.8305,29.5171,1775748622446320912
ecgclass,no_sharing_mps,7.7114,73.761,71.3556,45.9631,0.0017,25.0282,1.5965,2.4054,1775748622646428830
ecgclass,no_sharing_mps,7.9826,44.1556,42.0471,41.0913,0.0014,0.6036,1.3564,2.1085,1775748622917358572
ecgclass,no_sharing_mps,8.206,51.6357,49.2679,48.292,0.0016,0.6525,1.5047,2.3678,1775748623140927598
ecgclass,no_sharing_mps,8.2628,42.9933,40.6725,39.8435,0.0013,0.5415,1.4784,2.3208,1775748623197747111
ecgclass,no_sharing_mps,8.326,41.7964,39.5797,37.7572,0.0013,1.5016,1.3282,2.2167,1775748623260798502
ecgclass,no_sharing_mps,8.3594,78.8021,70.0141,36.3182,0.0012,33.4364,8.0423,8.788,1775748623300910841
ecgclass,no_sharing_mps,8.4308,111.3062,103.3268,42.2342,0.0011,30.409,7.0825,7.9794,1775748623371351512
ecgclass,no_sharing_mps,8.4345,107.6365,103.3268,42.2342,0.0011,30.409,3.3872,4.3097,1775748623371351512
ecgclass,no_sharing_mps,8.4684,105.603,31.5821,30.8613,0.0012,0.4542,73.2439,74.0209,1775748623475112296
ecgclass,no_sharing_mps,8.7313,46.304,44.0863,43.1882,0.0016,0.5998,1.3769,2.2177,1775748623666166843
ecgclass,no_sharing_mps,9.5308,78.7213,76.2776,74.5629,0.0028,1.1505,1.497,2.4437,1775748624465741721
ecgclass,no_sharing_mps,9.6444,79.2406,76.9474,75.1871,0.0028,1.1723,1.3204,2.2931,1775748624579152023
ecgclass,no_sharing_mps,9.7005,71.1422,47.4506,46.4917,0.0014,0.6076,22.8066,23.6916,1775748624656777487
ecgclass,no_sharing_mps,9.7799,73.5247,71.2553,41.06,0.0014,29.8834,1.3778,2.2694,1775748624714690620
ecgclass,no_sharing_mps,9.8518,58.1985,55.9527,43.2214,0.0015,12.4495,1.3657,2.2457,1775748624786619682
ecgclass,no_sharing_mps,9.8775,89.5202,56.4286,43.6146,0.0013,12.4861,32.2125,33.0916,1775748624843125033
ecgclass,no_sharing_mps,10.0943,54.9757,52.9993,42.0795,0.0016,10.5648,1.1132,1.9764,1775748625028887978
ecgclass,no_sharing_mps,10.3694,49.371,47.1972,45.7279,0.0016,0.647,1.43,2.1738,1775748625304300605
ecgclass,no_sharing_mps,10.671,59.6039,57.0681,51.8385,0.0017,4.8464,1.6701,2.5358,1775748625606111072
ecgclass,no_sharing_mps,11.7333,47.3711,45.1472,44.0396,0.0082,0.6774,1.3523,2.224,1775748626668054621
ecgclass,no_sharing_mps,12.1544,53.648,51.0456,49.953,0.0016,0.6824,1.6847,2.6024,1775748627089514742
