task,condition,elapsed_sec,latency_ms
gestureclass,single_gestureclass,0.0,285.315
gestureclass,single_gestureclass,0.0045,314.2598
gestureclass,single_gestureclass,0.0068,312.1152
gestureclass,single_gestureclass,0.0081,310.8084
gestureclass,single_gestureclass,0.0385,280.6933
gestureclass,single_gestureclass,0.0771,242.1203
gestureclass,single_gestureclass,0.0877,231.58
gestureclass,single_gestureclass,0.1203,199.1587
gestureclass,single_gestureclass,0.1239,195.6074
gestureclass,single_gestureclass,0.1513,168.1869
gestureclass,single_gestureclass,0.1639,155.612
gestureclass,single_gestureclass,0.1914,129.2372
gestureclass,single_gestureclass,0.275,45.8066
gestureclass,single_gestureclass,0.2935,45.7313
gestureclass,single_gestureclass,0.325,31.4724
gestureclass,single_gestureclass,0.3513,27.8618
gestureclass,single_gestureclass,0.3513,27.9236
gestureclass,single_gestureclass,0.3575,21.79
gestureclass,single_gestureclass,0.3679,28.8525
gestureclass,single_gestureclass,0.3905,27.8599
gestureclass,single_gestureclass,0.4069,29.1474
gestureclass,single_gestureclass,0.4892,17.4699
gestureclass,single_gestureclass,0.5117,17.2994
gestureclass,single_gestureclass,0.5511,18.7824
gestureclass,single_gestureclass,0.5556,32.6653
gestureclass,single_gestureclass,0.6084,17.0758
gestureclass,single_gestureclass,0.6088,36.4714
gestureclass,single_gestureclass,0.6232,22.1376
gestureclass,single_gestureclass,0.6316,30.8599
gestureclass,single_gestureclass,0.6706,13.5355
gestureclass,single_gestureclass,0.6791,27.1583
gestureclass,single_gestureclass,0.6943,31.0013
gestureclass,single_gestureclass,0.706,19.3498
gestureclass,single_gestureclass,0.7114,36.3925
gestureclass,single_gestureclass,0.7629,14.4129
gestureclass,single_gestureclass,0.7975,17.7939
gestureclass,single_gestureclass,0.799,39.0742
gestureclass,single_gestureclass,0.8173,20.7601
gestureclass,single_gestureclass,0.8317,25.5399
gestureclass,single_gestureclass,0.8412,34.2667
gestureclass,single_gestureclass,0.8566,18.8804
gestureclass,single_gestureclass,0.8584,17.1287
gestureclass,single_gestureclass,0.8806,15.8513
gestureclass,single_gestureclass,0.881,33.5841
gestureclass,single_gestureclass,0.9036,32.9878
gestureclass,single_gestureclass,0.9617,19.7132
gestureclass,single_gestureclass,0.9652,33.4446
gestureclass,single_gestureclass,0.9675,31.2195
gestureclass,single_gestureclass,0.9789,19.9172
gestureclass,single_gestureclass,1.0129,15.6479
gestureclass,single_gestureclass,1.0447,16.0871
gestureclass,single_gestureclass,1.0491,30.3764
gestureclass,single_gestureclass,1.0491,30.406
gestureclass,single_gestureclass,1.1447,17.7021
gestureclass,single_gestureclass,1.1795,12.866
gestureclass,single_gestureclass,1.2025,14.3447
gestureclass,single_gestureclass,1.222,13.185
gestureclass,single_gestureclass,1.2543,13.2554
gestureclass,single_gestureclass,1.2776,12.953
gestureclass,single_gestureclass,1.3187,13.6721
gestureclass,single_gestureclass,1.3375,17.4124
gestureclass,single_gestureclass,1.3388,33.3157
gestureclass,single_gestureclass,1.3411,31.0259
gestureclass,single_gestureclass,1.3832,13.5779
gestureclass,single_gestureclass,1.4069,13.2768
gestureclass,single_gestureclass,1.4453,13.6461
gestureclass,single_gestureclass,1.4537,26.1245
gestureclass,single_gestureclass,1.495,16.5496
gestureclass,single_gestureclass,1.4994,29.5727
gestureclass,single_gestureclass,1.5511,14.251
gestureclass,single_gestureclass,1.5625,23.4969
gestureclass,single_gestureclass,1.6332,14.9868
gestureclass,single_gestureclass,1.6438,32.6211
gestureclass,single_gestureclass,1.6674,26.6633
gestureclass,single_gestureclass,1.7622,14.7254
gestureclass,single_gestureclass,1.7811,18.9652
gestureclass,single_gestureclass,1.8892,14.9226
gestureclass,single_gestureclass,1.9063,16.6867
gestureclass,single_gestureclass,1.9331,14.0579
gestureclass,single_gestureclass,1.9753,14.1928
gestureclass,single_gestureclass,2.0236,14.4246
gestureclass,single_gestureclass,2.0522,14.1666
gestureclass,single_gestureclass,2.0805,18.007
gestureclass,single_gestureclass,2.091,25.631
gestureclass,single_gestureclass,2.1338,14.842
gestureclass,single_gestureclass,2.1483,17.4818
gestureclass,single_gestureclass,2.188,19.6073
gestureclass,single_gestureclass,2.1935,32.1071
gestureclass,single_gestureclass,2.2217,22.5999
gestureclass,single_gestureclass,2.2494,15.6939
gestureclass,single_gestureclass,2.2682,17.2825
gestureclass,single_gestureclass,2.2756,33.679
gestureclass,single_gestureclass,2.2866,22.6994
gestureclass,single_gestureclass,2.297,34.6766
gestureclass,single_gestureclass,2.3044,27.323
gestureclass,single_gestureclass,2.3569,18.8046
gestureclass,single_gestureclass,2.4259,14.7502
gestureclass,single_gestureclass,2.4618,18.3635
gestureclass,single_gestureclass,2.4883,17.0825
gestureclass,single_gestureclass,2.4938,30.453
gestureclass,single_gestureclass,2.5095,34.3583
gestureclass,single_gestureclass,2.635,14.8189
gestureclass,single_gestureclass,2.669,15.0805
gestureclass,single_gestureclass,2.6836,21.4732
gestureclass,single_gestureclass,2.7133,17.3912
gestureclass,single_gestureclass,2.7388,23.8507
gestureclass,single_gestureclass,2.7788,18.111
gestureclass,single_gestureclass,2.8281,19.1774
gestureclass,single_gestureclass,2.8814,20.1483
gestureclass,single_gestureclass,2.9788,23.6948
gestureclass,single_gestureclass,2.9833,41.6186
gestureclass,single_gestureclass,2.9978,27.1702
gestureclass,single_gestureclass,3.0046,20.5343
gestureclass,single_gestureclass,3.0302,20.7958
gestureclass,single_gestureclass,3.0427,29.115
gestureclass,single_gestureclass,3.0612,31.512
gestureclass,single_gestureclass,3.0749,40.349
gestureclass,single_gestureclass,3.1724,14.4446
gestureclass,single_gestureclass,3.1866,20.3791
gestureclass,single_gestureclass,3.1941,34.1189
gestureclass,single_gestureclass,3.2554,17.5858
gestureclass,single_gestureclass,3.2659,26.4254
gestureclass,single_gestureclass,3.3525,14.3645
gestureclass,single_gestureclass,3.3971,17.6277
gestureclass,single_gestureclass,3.4619,18.9974
gestureclass,single_gestureclass,3.511,18.8589
gestureclass,single_gestureclass,3.537,14.5047
gestureclass,single_gestureclass,3.5414,29.8052
gestureclass,single_gestureclass,3.5499,21.3854
gestureclass,single_gestureclass,3.5774,17.1673
gestureclass,single_gestureclass,3.5774,37.976
gestureclass,single_gestureclass,3.582,33.3524
gestureclass,single_gestureclass,3.6087,26.3062
gestureclass,single_gestureclass,3.6104,24.6358
gestureclass,single_gestureclass,3.6225,31.9543
gestureclass,single_gestureclass,3.7056,15.5301
gestureclass,single_gestureclass,3.7092,36.2804
gestureclass,single_gestureclass,3.7197,25.8136
gestureclass,single_gestureclass,3.7526,18.0874
gestureclass,single_gestureclass,3.7898,17.1919
gestureclass,single_gestureclass,3.8351,17.0805
gestureclass,single_gestureclass,3.8533,17.3187
gestureclass,single_gestureclass,3.8706,17.3137
gestureclass,single_gestureclass,3.882,24.5826
gestureclass,single_gestureclass,3.9478,18.5258
gestureclass,single_gestureclass,3.9623,22.6226
gestureclass,single_gestureclass,3.9724,33.9193
gestureclass,single_gestureclass,3.9738,32.5701
gestureclass,single_gestureclass,3.996,31.8029
gestureclass,single_gestureclass,4.0084,19.4359
gestureclass,single_gestureclass,4.0138,33.6177
gestureclass,single_gestureclass,4.038,29.3276
gestureclass,single_gestureclass,4.1045,17.8413
gestureclass,single_gestureclass,4.122,18.887
gestureclass,single_gestureclass,4.165,17.7851
gestureclass,single_gestureclass,4.224,17.724
gestureclass,single_gestureclass,4.2758,17.2396
gestureclass,single_gestureclass,4.3232,14.6308
gestureclass,single_gestureclass,4.3278,29.2068
gestureclass,single_gestureclass,4.343,38.2891
gestureclass,single_gestureclass,4.3535,27.7977
gestureclass,single_gestureclass,4.4184,18.9443
gestureclass,single_gestureclass,4.426,35.8038
gestureclass,single_gestureclass,4.4395,22.3503
gestureclass,single_gestureclass,4.509,18.5337
gestureclass,single_gestureclass,4.5326,16.6433
gestureclass,single_gestureclass,4.5381,33.747
gestureclass,single_gestureclass,4.5564,38.3711
gestureclass,single_gestureclass,4.5789,35.044
gestureclass,single_gestureclass,4.5813,32.6633
gestureclass,single_gestureclass,4.5886,25.4927
gestureclass,single_gestureclass,4.593,21.1551
gestureclass,single_gestureclass,4.6152,23.3085
gestureclass,single_gestureclass,4.6546,16.9077
gestureclass,single_gestureclass,4.6727,18.8522
gestureclass,single_gestureclass,4.7116,13.7854
gestureclass,single_gestureclass,4.7756,17.6668
gestureclass,single_gestureclass,4.8154,17.4365
gestureclass,single_gestureclass,4.8154,35.7425
gestureclass,single_gestureclass,4.8359,34.6501
gestureclass,single_gestureclass,4.8613,31.4393
gestureclass,single_gestureclass,4.8677,25.0325
gestureclass,single_gestureclass,4.8747,38.0445
gestureclass,single_gestureclass,4.8901,22.6896
gestureclass,single_gestureclass,4.8924,40.308
gestureclass,single_gestureclass,4.9639,18.3105
gestureclass,single_gestureclass,5.0704,17.5772
gestureclass,single_gestureclass,5.1191,17.3731
gestureclass,single_gestureclass,5.1446,17.6108
gestureclass,single_gestureclass,5.1521,32.5527
gestureclass,single_gestureclass,5.1536,31.1196
gestureclass,single_gestureclass,5.2068,17.488
gestureclass,single_gestureclass,5.2344,18.0779
gestureclass,single_gestureclass,5.2876,18.5683
gestureclass,single_gestureclass,5.3544,17.4794
gestureclass,single_gestureclass,5.3544,34.9567
gestureclass,single_gestureclass,5.3975,17.9987
gestureclass,single_gestureclass,5.4446,18.4386
gestureclass,single_gestureclass,5.4552,28.6486
gestureclass,single_gestureclass,5.4606,23.2241
gestureclass,single_gestureclass,5.4859,13.1748
gestureclass,single_gestureclass,5.5202,13.5815
gestureclass,single_gestureclass,5.5479,16.2752
gestureclass,single_gestureclass,5.5479,35.404
gestureclass,single_gestureclass,5.6305,17.4949
gestureclass,single_gestureclass,5.7051,23.8996
gestureclass,single_gestureclass,5.7117,44.2407
gestureclass,single_gestureclass,5.7181,37.8273
gestureclass,single_gestureclass,5.7371,38.8074
gestureclass,single_gestureclass,5.7546,21.3704
gestureclass,single_gestureclass,5.7559,38.3747
gestureclass,single_gestureclass,5.7733,21.0705
gestureclass,single_gestureclass,5.7841,31.2448
gestureclass,single_gestureclass,5.8135,20.664
gestureclass,single_gestureclass,5.8492,14.0345
gestureclass,single_gestureclass,5.8577,25.5146
gestureclass,single_gestureclass,5.8631,20.2446
gestureclass,single_gestureclass,5.8795,23.0291
gestureclass,single_gestureclass,5.9216,17.9086
