task,condition,elapsed_sec,latency_ms
ecgclass,no_sharing,0.0001,306.1085
ecgclass,no_sharing,0.0312,363.4746
ecgclass,no_sharing,0.0595,335.8068
ecgclass,no_sharing,0.09,305.3782
ecgclass,no_sharing,0.0934,301.9838
ecgclass,no_sharing,0.0937,301.6574
ecgclass,no_sharing,0.1126,282.7928
ecgclass,no_sharing,0.1302,265.1827
ecgclass,no_sharing,0.1692,226.3877
ecgclass,no_sharing,0.1696,227.9639
ecgclass,no_sharing,0.1828,214.7102
ecgclass,no_sharing,0.1837,213.8832
ecgclass,no_sharing,0.198,199.5707
ecgclass,no_sharing,0.2189,178.6706
ecgclass,no_sharing,0.2245,173.0573
ecgclass,no_sharing,0.24,158.2763
ecgclass,no_sharing,0.2415,156.8103
ecgclass,no_sharing,0.2428,155.4177
ecgclass,no_sharing,0.247,151.2988
ecgclass,no_sharing,0.2575,140.7871
ecgclass,no_sharing,0.2631,135.1802
ecgclass,no_sharing,0.2783,120.0039
ecgclass,no_sharing,0.2809,117.353
ecgclass,no_sharing,0.3043,93.9448
ecgclass,no_sharing,0.3198,119.3414
ecgclass,no_sharing,0.3282,111.0301
ecgclass,no_sharing,0.3327,107.0294
ecgclass,no_sharing,0.3383,101.4297
ecgclass,no_sharing,0.3396,100.122
ecgclass,no_sharing,0.3421,97.9524
ecgclass,no_sharing,0.3507,89.3545
ecgclass,no_sharing,0.3553,84.7547
ecgclass,no_sharing,0.3707,69.3266
ecgclass,no_sharing,0.3811,59.8898
ecgclass,no_sharing,0.3825,58.4893
ecgclass,no_sharing,0.3889,52.0558
ecgclass,no_sharing,0.3975,71.7561
ecgclass,no_sharing,0.4014,68.2199
ecgclass,no_sharing,0.4047,64.8856
ecgclass,no_sharing,0.4165,53.0708
ecgclass,no_sharing,0.4201,49.5691
ecgclass,no_sharing,0.4362,33.4592
ecgclass,no_sharing,0.4537,35.4836
ecgclass,no_sharing,0.4681,39.3913
ecgclass,no_sharing,0.4681,39.4835
ecgclass,no_sharing,0.4822,25.3685
ecgclass,no_sharing,0.4991,25.9609
ecgclass,no_sharing,0.5133,32.7625
ecgclass,no_sharing,0.5167,29.7863
ecgclass,no_sharing,0.5208,25.656
ecgclass,no_sharing,0.5234,23.0596
ecgclass,no_sharing,0.5273,33.741
ecgclass,no_sharing,0.5273,33.9985
ecgclass,no_sharing,0.5297,31.5881
ecgclass,no_sharing,0.5458,27.4813
ecgclass,no_sharing,0.5961,20.1387
ecgclass,no_sharing,0.6028,33.9291
ecgclass,no_sharing,0.6071,29.6319
ecgclass,no_sharing,0.6118,24.9441
ecgclass,no_sharing,0.616,36.5665
ecgclass,no_sharing,0.6184,34.3783
ecgclass,no_sharing,0.6312,21.5957
ecgclass,no_sharing,0.6493,15.9945
ecgclass,no_sharing,0.6674,13.7985
