task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
gestureclass,single_gestureclass,0.0001,499.0194,495.1581,463.5714,0.0069,30.7382,2.1489,3.8613,1775742410361626724
gestureclass,single_gestureclass,1.4252,56.2997,53.3183,52.1758,0.0019,0.7101,2.084,2.9814,1775742411786699731
gestureclass,single_gestureclass,1.5768,59.1977,56.6822,54.8888,0.0031,1.202,1.7073,2.5154,1775742411937899718
gestureclass,single_gestureclass,2.7803,57.1549,54.6116,53.5052,0.0018,0.7027,1.76,2.5433,1775742413141464138
gestureclass,single_gestureclass,3.3892,53.1654,50.4494,49.2548,0.0015,0.818,1.7536,2.7161,1775742413750327797
gestureclass,single_gestureclass,4.904,51.729,49.162,48.2077,0.0015,0.6026,1.7776,2.567,1775742415265152911
gestureclass,single_gestureclass,4.9769,46.7772,44.1363,43.2204,0.0014,0.564,1.7095,2.641,1775742415338022548
gestureclass,single_gestureclass,5.3662,46.1729,43.7836,42.8846,0.0015,0.5685,1.5888,2.3893,1775742415727194868
gestureclass,single_gestureclass,7.3575,52.7613,50.1675,49.2398,0.0015,0.6321,1.8082,2.5938,1775742417718694885
gestureclass,single_gestureclass,7.8689,51.7414,49.1593,48.1485,0.0015,0.6417,1.7986,2.582,1775742418230069783
gestureclass,single_gestureclass,9.2121,57.4338,54.8615,53.7446,0.0019,0.7207,1.8013,2.5723,1775742419573267514
gestureclass,single_gestureclass,10.6741,54.0409,51.2865,50.0551,0.0016,0.6124,1.7877,2.7544,1775742421035254493
gestureclass,single_gestureclass,10.6889,81.8379,42.075,41.1346,0.0013,0.6131,38.9693,39.7629,1775742421087221974
gestureclass,single_gestureclass,11.3815,51.5652,48.8625,47.8809,0.0015,0.6292,1.822,2.7027,1775742421742699962
gestureclass,single_gestureclass,12.0409,51.5165,48.8263,47.8732,0.0016,0.6204,1.7581,2.6902,1775742422401983044
gestureclass,single_gestureclass,12.0946,47.0536,44.5451,43.7053,0.0013,0.569,1.5888,2.5085,1775742422455539121
gestureclass,single_gestureclass,12.5242,51.4729,48.805,47.8279,0.0015,0.6152,1.775,2.6679,1775742422885335403
gestureclass,single_gestureclass,12.712,51.5344,48.835,47.8748,0.0016,0.6378,1.7722,2.6994,1775742423073108421
gestureclass,single_gestureclass,12.8988,51.1191,48.5305,47.6065,0.0016,0.6241,1.6654,2.5886,1775742423259863330
gestureclass,single_gestureclass,13.2244,51.8785,49.1827,48.174,0.0015,0.6419,1.7922,2.6958,1775742423585554169
gestureclass,single_gestureclass,15.2445,45.3937,42.8362,41.9432,0.0014,0.5587,1.6809,2.5575,1775742425605497630
gestureclass,single_gestureclass,15.2552,75.9954,40.6436,39.7944,0.0013,0.5338,34.4784,35.3519,1775742425649037600
gestureclass,single_gestureclass,15.4665,51.6632,49.0084,48.0543,0.0014,0.606,1.7223,2.6547,1775742425827587174
gestureclass,single_gestureclass,15.7486,51.3229,48.6551,47.7596,0.0016,0.6135,1.7598,2.6678,1775742426109691448
gestureclass,single_gestureclass,16.8781,51.5323,48.8178,47.8502,0.0016,0.6139,1.7638,2.7145,1775742427239274429
gestureclass,single_gestureclass,17.4083,51.2342,48.4829,47.4979,0.0016,0.6359,1.7505,2.7513,1775742427769439897
gestureclass,single_gestureclass,17.6049,77.1027,74.2547,72.3547,0.003,1.2876,1.7819,2.848,1775742427966023143
gestureclass,single_gestureclass,17.7873,55.6033,52.8995,51.7997,0.0016,0.7059,1.7772,2.7037,1775742428148406993
gestureclass,single_gestureclass,18.4436,55.4984,52.8452,51.7404,0.0017,0.7189,1.7493,2.6532,1775742428804754440
gestureclass,single_gestureclass,20.0569,52.3612,49.5766,48.5983,0.0016,0.624,1.7707,2.7847,1775742430418007691
gestureclass,single_gestureclass,20.5599,52.0868,49.3422,47.95,0.0017,0.6232,1.7924,2.7447,1775742430921013186
gestureclass,single_gestureclass,21.3038,56.1109,53.4408,52.5525,0.0016,0.5868,1.7002,2.67,1775742431664875196
gestureclass,single_gestureclass,22.3521,51.5249,48.825,47.847,0.0015,0.618,1.7931,2.6999,1775742432713242836
gestureclass,single_gestureclass,23.1215,89.3898,86.5959,84.6852,0.0032,1.2826,1.7738,2.7939,1775742433482653245
gestureclass,single_gestureclass,23.1513,116.4587,56.2605,55.2002,0.0016,0.6709,59.3474,60.1982,1775742433570043429
gestureclass,single_gestureclass,24.3571,55.4373,52.737,51.6836,0.0019,0.692,1.7509,2.7003,1775742434718171605
gestureclass,single_gestureclass,25.0113,53.0684,50.4779,49.5131,0.0015,0.6234,1.6863,2.5905,1775742435372315317
gestureclass,single_gestureclass,25.1015,66.1902,63.6158,62.6863,0.0016,0.647,1.6696,2.5745,1775742435462580381
gestureclass,single_gestureclass,26.0338,51.403,48.718,47.8145,0.0015,0.6121,1.7509,2.685,1775742436394892465
gestureclass,single_gestureclass,26.1915,89.5891,86.8672,85.0523,0.0029,1.2218,1.7397,2.7219,1775742436552561303
gestureclass,single_gestureclass,26.6817,56.1299,53.4013,51.8042,0.0018,1.2017,1.7624,2.7286,1775742437042786958
gestureclass,single_gestureclass,27.0773,59.4194,56.7315,54.985,0.0028,1.1988,1.7245,2.6879,1775742437438388089
gestureclass,single_gestureclass,27.5633,55.5902,52.972,51.8801,0.0016,0.7056,1.7276,2.6182,1775742437924409500
gestureclass,single_gestureclass,29.2988,55.5136,52.8763,51.8045,0.0017,0.6956,1.7257,2.6373,1775742439659854595
gestureclass,single_gestureclass,30.0171,55.3222,52.5992,51.5803,0.0017,0.6916,1.8022,2.723,1775742440378279813
gestureclass,single_gestureclass,30.483,55.3389,52.687,51.6246,0.0017,0.6905,1.7362,2.6519,1775742440844120313
gestureclass,single_gestureclass,30.6466,55.4752,52.8494,51.8288,0.0018,0.6889,1.7211,2.6258,1775742441007721356
gestureclass,single_gestureclass,30.8174,55.196,52.5895,51.5678,0.0017,0.6957,1.6711,2.6066,1775742441178428836
gestureclass,single_gestureclass,31.5204,55.5336,52.8527,51.7771,0.0017,0.6897,1.7552,2.681,1775742441881534697
gestureclass,single_gestureclass,31.8063,49.8743,47.3874,46.0274,0.0016,0.992,1.617,2.4869,1775742442167321076
gestureclass,single_gestureclass,31.8531,49.5608,45.7733,44.7845,0.0017,0.6422,2.9063,3.7875,1775742442215353713
gestureclass,single_gestureclass,34.6396,53.2603,50.5652,49.5959,0.0016,0.6125,1.766,2.6951,1775742445000686869
gestureclass,single_gestureclass,34.9202,51.3322,48.6907,47.7042,0.0016,0.6309,1.7526,2.6416,1775742445281332083
gestureclass,single_gestureclass,35.3871,51.2543,48.5931,47.6942,0.0014,0.6071,1.6978,2.6612,1775742445748199367
gestureclass,single_gestureclass,36.7078,51.3957,48.7361,47.8265,0.0016,0.6115,1.7853,2.6595,1775742447068996805
gestureclass,single_gestureclass,37.9296,51.3046,48.6755,47.773,0.0014,0.6167,1.7247,2.629,1775742448290697330
gestureclass,single_gestureclass,38.6558,51.5223,48.9152,47.9334,0.0015,0.6098,1.7116,2.607,1775742449016839657
gestureclass,single_gestureclass,39.5753,46.3915,43.8348,42.9171,0.0014,0.562,1.6327,2.5567,1775742449936315651
gestureclass,single_gestureclass,41.9612,52.3074,49.672,48.7064,0.0016,0.6127,1.74,2.6354,1775742452322327868
gestureclass,single_gestureclass,45.357,51.9712,49.2777,48.3368,0.0016,0.6107,1.7588,2.6935,1775742455718172038
gestureclass,single_gestureclass,46.8897,51.1584,48.5277,47.6152,0.0017,0.6154,1.6954,2.6307,1775742457250735247
gestureclass,single_gestureclass,47.4535,51.9786,49.2322,47.8343,0.0016,0.6234,1.7934,2.7464,1775742457814679674
gestureclass,single_gestureclass,47.7669,51.384,48.7811,47.8148,0.0016,0.608,1.6992,2.6028,1775742458127998319
gestureclass,single_gestureclass,48.9456,51.4209,48.7309,47.8317,0.0016,0.6109,1.7359,2.6901,1775742459306742260
gestureclass,single_gestureclass,49.2084,51.3766,48.7183,47.805,0.0016,0.6202,1.7273,2.6583,1775742459569540252
gestureclass,single_gestureclass,49.4582,45.6803,43.1645,42.2547,0.0014,0.5776,1.6024,2.5157,1775742459819150183
gestureclass,single_gestureclass,50.1097,80.2324,77.5098,75.6425,0.0032,1.2616,1.7023,2.7225,1775742460470735619
gestureclass,single_gestureclass,50.5244,55.249,52.5838,51.5661,0.0018,0.6916,1.7295,2.6652,1775742460885504673
gestureclass,single_gestureclass,50.8351,55.6736,52.9277,51.8368,0.0019,0.7058,1.7545,2.7459,1775742461196202156
gestureclass,single_gestureclass,51.1522,55.3634,52.7432,51.6654,0.0018,0.6947,1.7254,2.6202,1775742461513278445
gestureclass,single_gestureclass,52.2328,55.4345,52.84,51.8216,0.0018,0.6934,1.7145,2.5945,1775742462593831347
gestureclass,single_gestureclass,55.8689,60.7984,58.152,56.5258,0.0017,1.227,1.7667,2.6464,1775742466230070776
gestureclass,single_gestureclass,56.4114,55.4037,52.7041,51.6637,0.0017,0.7019,1.7476,2.6996,1775742466772505386
gestureclass,single_gestureclass,56.7913,55.4433,52.7973,51.6971,0.0019,0.7082,1.7335,2.646,1775742467152397392
gestureclass,single_gestureclass,57.4545,55.5093,52.8475,51.7817,0.0016,0.6794,1.7092,2.6619,1775742467815607878
gestureclass,single_gestureclass,57.9967,55.3899,52.7575,51.7381,0.0018,0.6926,1.7011,2.6324,1775742468357771403
gestureclass,single_gestureclass,59.0022,55.9919,53.282,52.21,0.0018,0.6911,1.7624,2.7099,1775742469363355735
