task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,single_ecgclass,0.0001,321.3677,317.8444,301.8012,0.0036,15.3433,2.1467,3.5233,1775740762011219074
ecgclass,single_ecgclass,0.4818,55.6309,52.6636,51.5381,0.0021,0.749,1.9946,2.9673,1775740762492785743
ecgclass,single_ecgclass,0.95,83.5006,80.8931,79.0032,0.0036,1.3199,1.5585,2.6075,1775740762960571186
ecgclass,single_ecgclass,1.4261,68.7382,65.7519,63.8548,0.0034,1.2785,1.8187,2.9864,1775740763436904963
ecgclass,single_ecgclass,1.4819,66.1352,52.4783,51.1209,0.002,0.6757,12.5668,13.6569,1775740763503441223
ecgclass,single_ecgclass,1.4991,94.4598,45.1465,44.0816,0.0018,0.6208,48.558,49.3133,1775740763556613054
ecgclass,single_ecgclass,1.7899,55.5077,52.9118,51.868,0.002,0.7059,1.6932,2.5959,1775740763800583196
ecgclass,single_ecgclass,2.0718,81.2817,78.4702,76.7821,0.0032,1.1551,1.7836,2.8115,1775740764082582656
ecgclass,single_ecgclass,2.6968,49.2516,46.5933,45.5477,0.0019,0.6652,1.6301,2.6583,1775740764707424425
ecgclass,single_ecgclass,2.7126,79.0272,44.9385,43.8527,0.0017,0.6376,33.2205,34.0887,1775740764754776418
ecgclass,single_ecgclass,2.9219,66.4918,63.6151,61.2837,0.0035,1.7489,1.687,2.8767,1775740764932571408
ecgclass,single_ecgclass,2.9367,102.8731,50.6403,49.5402,0.0018,0.6742,51.3167,52.2328,1775740764996982291
ecgclass,single_ecgclass,3.1538,55.3999,52.7084,51.6199,0.0019,0.7044,1.745,2.6915,1775740765164573723
ecgclass,single_ecgclass,3.4997,55.511,52.7577,51.6764,0.0019,0.6974,1.842,2.7533,1775740765510531876
ecgclass,single_ecgclass,3.5774,51.5385,49.0519,48.0564,0.0018,0.6815,1.543,2.4865,1775740765587916371
ecgclass,single_ecgclass,3.8233,55.531,52.8865,51.9815,0.0017,0.6135,1.7211,2.6445,1775740765834022449
ecgclass,single_ecgclass,3.8541,75.4972,49.9575,43.4056,0.0015,3.1129,24.4601,25.5396,1775740765887551690
ecgclass,single_ecgclass,3.8739,55.7725,49.9575,43.4056,0.0015,3.1129,4.6899,5.815,1775740765887551690
ecgclass,single_ecgclass,3.9358,43.7515,41.3646,40.3272,0.0019,0.7118,1.5123,2.3868,1775740765946357058
ecgclass,single_ecgclass,4.1159,59.8896,57.2521,55.701,0.002,1.1623,1.7138,2.6375,1775740766126622929
ecgclass,single_ecgclass,4.198,60.6494,58.1789,57.0812,0.0019,0.7433,1.5757,2.4705,1775740766208593686
ecgclass,single_ecgclass,4.448,83.2176,80.5369,78.6981,0.0032,1.2704,1.6484,2.6807,1775740766458688881
ecgclass,single_ecgclass,4.4928,93.4718,54.6283,53.5771,0.0019,0.6725,38.156,38.8435,1775740766539997208
ecgclass,single_ecgclass,4.8608,55.3346,52.6251,51.5443,0.0017,0.6938,1.7209,2.7094,1775740766871477481
ecgclass,single_ecgclass,5.1055,55.3048,52.595,51.5591,0.0019,0.6926,1.7226,2.7097,1775740767116176244
ecgclass,single_ecgclass,5.237,54.9629,52.3226,51.3024,0.0021,0.6931,1.6806,2.6403,1775740767247692072
ecgclass,single_ecgclass,5.3202,51.8286,49.2303,48.2385,0.002,0.6733,1.6348,2.5983,1775740767330832951
ecgclass,single_ecgclass,5.4112,51.3804,48.5351,47.547,0.0019,0.6671,1.6255,2.8453,1775740767421869486
ecgclass,single_ecgclass,5.426,87.1992,50.3137,49.2779,0.0017,0.6751,35.9793,36.8855,1775740767470983240
ecgclass,single_ecgclass,5.4618,95.4046,43.4053,42.0222,0.0018,1.0258,51.0631,51.9994,1775740767521850742
ecgclass,single_ecgclass,5.5994,47.0417,44.7882,43.8858,0.0018,0.6144,1.3354,2.2535,1775740767609695842
