task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
sysbp,single_sysbp,0.0001,271.239,268.1045,259.9043,0.0032,7.839,1.7991,3.1345,1775754785288688772
sysbp,single_sysbp,0.153,153.7709,34.9802,34.1682,0.0022,0.5714,117.8319,118.7907,1775754785557564881
sysbp,single_sysbp,0.327,41.3873,38.9434,38.1179,0.002,0.5696,1.5638,2.4439,1775754785615283577
sysbp,single_sysbp,0.6017,54.6973,52.1536,51.1886,0.0024,0.6878,1.6148,2.5437,1775754785890121491
sysbp,single_sysbp,0.6716,50.2601,47.7945,46.6822,0.0024,0.6426,1.5266,2.4656,1775754785959941860
sysbp,single_sysbp,0.9213,89.6738,86.9655,85.1959,0.0043,1.255,1.6508,2.7083,1775754786209687931
sysbp,single_sysbp,0.961,106.4503,55.7427,54.7527,0.0024,0.691,49.7339,50.7076,1775754786297504625
sysbp,single_sysbp,1.0172,104.6743,53.7068,46.3438,0.0022,3.5505,49.9432,50.9676,1775754786353866755
sysbp,single_sysbp,1.0399,81.9695,53.7068,46.3438,0.0022,3.5505,27.215,28.2627,1775754786353866755
sysbp,single_sysbp,1.1167,48.3675,42.5547,41.6826,0.0021,0.6283,4.9312,5.8128,1775754786408352764
sysbp,single_sysbp,1.2603,55.4035,52.8996,51.7468,0.0029,0.8188,1.5697,2.5039,1775754786548635948
sysbp,single_sysbp,1.3429,59.4451,56.9049,55.4425,0.0028,1.1254,1.5841,2.5403,1775754786631270331
sysbp,single_sysbp,1.9791,54.7864,52.1641,51.1807,0.0024,0.681,1.6398,2.6224,1775754787267535153
sysbp,single_sysbp,2.2924,84.8622,82.2032,80.4607,0.0042,1.2572,1.6136,2.6591,1775754787580741284
sysbp,single_sysbp,2.7027,54.8053,52.2502,51.2836,0.0026,0.6772,1.622,2.5551,1775754787991109382
sysbp,single_sysbp,2.8458,54.6508,52.1134,51.1467,0.0023,0.6791,1.6541,2.5374,1775754788134206215
sysbp,single_sysbp,3.32,88.954,86.2864,84.5161,0.0047,1.2534,1.6308,2.6676,1775754788608422550
sysbp,single_sysbp,3.9056,54.6322,51.9827,50.9956,0.0024,0.6894,1.6904,2.6495,1775754789194095152
sysbp,single_sysbp,3.9875,51.5468,48.9787,48.0307,0.0025,0.6616,1.596,2.5681,1775754789275852585
sysbp,single_sysbp,4.0382,47.3258,44.9308,43.722,0.0021,0.9457,1.4486,2.3951,1775754789326439814
sysbp,single_sysbp,4.0692,59.51,42.6296,41.7777,0.0024,0.6109,16.0143,16.8804,1775754789372022279
sysbp,single_sysbp,4.0839,88.3758,42.8479,41.9944,0.0021,0.6097,44.5986,45.5279,1775754789415268580
sysbp,single_sysbp,4.15,65.2072,42.3901,41.53,0.0022,0.6182,21.9202,22.8172,1775754789458642399
sysbp,single_sysbp,4.4526,54.8296,52.3664,51.3885,0.0026,0.6937,1.5619,2.4631,1775754789740922890
sysbp,single_sysbp,4.4653,88.479,45.7636,44.8935,0.0022,0.6196,41.801,42.7154,1775754789793882228
sysbp,single_sysbp,5.3748,89.7436,87.095,85.2971,0.0046,1.2577,1.641,2.6486,1775754790663194709
sysbp,single_sysbp,5.4485,73.4096,56.6217,55.6761,0.0024,0.6627,15.8408,16.7879,1775754790751140482
sysbp,single_sysbp,5.4757,91.7909,45.0495,44.1515,0.0023,0.6442,45.8152,46.7414,1775754790808326383
sysbp,single_sysbp,5.5948,46.0901,43.7305,42.8361,0.0023,0.6313,1.4539,2.3596,1775754790882971464
sysbp,single_sysbp,5.7111,50.8151,48.4232,47.0656,0.0025,1.0874,1.4923,2.3919,1775754790999332331
sysbp,single_sysbp,5.7438,63.7469,44.9045,43.934,0.0023,0.6794,17.9386,18.8424,1775754791048501249
sysbp,single_sysbp,5.9789,57.5259,55.0127,54.0091,0.0027,0.7199,1.5554,2.5132,1775754791267216476
sysbp,single_sysbp,6.0576,49.8283,47.4156,46.504,0.0024,0.6508,1.5166,2.4127,1775754791345915326
sysbp,single_sysbp,6.3689,88.887,86.2716,84.503,0.0046,1.26,1.6325,2.6154,1775754791657286410
sysbp,single_sysbp,6.6962,56.8655,54.3115,53.2754,0.0025,0.7467,1.6766,2.554,1775754791984623473
sysbp,single_sysbp,6.8593,89.5543,86.9273,85.1367,0.0045,1.2553,1.6181,2.627,1775754792147716543
sysbp,single_sysbp,7.3655,54.8825,52.2812,51.3133,0.0027,0.6799,1.6663,2.6013,1775754792653905525
sysbp,single_sysbp,7.4162,51.6191,46.9061,46.0195,0.0023,0.6217,3.8776,4.7129,1775754792706839710
sysbp,single_sysbp,7.4256,85.5,42.6884,41.825,0.0021,0.6224,41.9617,42.8116,1775754792754285803
