task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
diasbp,single_diasbp,0.0001,319.2847,316.0576,305.6971,0.003,9.8207,1.9174,3.2271,1775632086404795450
diasbp,single_diasbp,0.0749,294.8835,49.7422,42.5576,0.0015,3.4626,244.0548,245.1412,1775632086721699513
diasbp,single_diasbp,0.1718,197.9947,49.7422,42.5576,0.0015,3.4626,147.1474,148.2525,1775632086721699513
diasbp,single_diasbp,0.413,46.083,43.5495,42.6514,0.0017,0.6507,1.6618,2.5335,1775632086817378353
diasbp,single_diasbp,0.6284,53.2079,50.5055,49.5013,0.0017,0.6789,1.7087,2.7024,1775632087032845603
diasbp,single_diasbp,0.7428,53.5495,50.9614,49.8232,0.0018,0.6605,1.6477,2.5882,1775632087147230040
diasbp,single_diasbp,0.7606,80.4267,44.0857,43.2246,0.0017,0.6238,35.5127,36.341,1775632087198849163
diasbp,single_diasbp,0.9192,65.9447,63.3554,62.088,0.0025,0.9077,1.6384,2.5892,1775632087323647286
diasbp,single_diasbp,1.2957,52.8166,50.1976,49.2736,0.0018,0.6572,1.6861,2.6191,1775632087700122093
diasbp,single_diasbp,1.5579,52.9847,50.3598,49.3896,0.0018,0.679,1.6775,2.6249,1775632087962299391
diasbp,single_diasbp,1.9043,53.1816,50.5155,49.5529,0.0018,0.6852,1.6725,2.6661,1775632088308740698
diasbp,single_diasbp,1.9847,48.4602,45.9689,44.8725,0.0016,0.8459,1.6019,2.4913,1775632088389062437
diasbp,single_diasbp,2.1254,50.6766,48.1154,47.2492,0.0015,0.633,1.6401,2.5612,1775632088529812355
diasbp,single_diasbp,2.6327,51.0676,48.5011,47.5683,0.0017,0.6374,1.6675,2.5665,1775632089037142290
diasbp,single_diasbp,2.777,51.6148,49.0396,48.158,0.0017,0.6357,1.6673,2.5752,1775632089181420336
diasbp,single_diasbp,2.7817,89.8468,42.3083,41.4915,0.0015,0.6046,46.6473,47.5385,1775632089231147091
diasbp,single_diasbp,3.1841,49.8722,47.21,46.3594,0.0016,0.5963,1.6983,2.6621,1775632089588525069
diasbp,single_diasbp,3.3771,85.7081,83.0225,81.2257,0.0033,1.2529,1.6465,2.6856,1775632089781544857
diasbp,single_diasbp,3.7143,53.3752,50.8009,49.7965,0.0018,0.6948,1.6942,2.5744,1775632090118727611
diasbp,single_diasbp,3.758,55.8276,45.5616,44.3279,0.0015,0.9675,9.4368,10.266,1775632090170210798
diasbp,single_diasbp,3.7988,57.101,41.4824,40.6613,0.0015,0.5918,14.7245,15.6186,1775632090216338853
diasbp,single_diasbp,4.4794,53.3912,50.8224,49.8648,0.0017,0.6691,1.7023,2.5688,1775632090883893617
diasbp,single_diasbp,4.5022,76.2019,44.8665,43.9959,0.0016,0.6065,30.3843,31.3354,1775632090935327689
diasbp,single_diasbp,4.547,73.2796,41.4345,40.5934,0.0015,0.6045,30.9393,31.8451,1775632090980750989
diasbp,single_diasbp,4.6545,45.239,42.9023,42.0559,0.0016,0.5974,1.4448,2.3367,1775632091058748868
diasbp,single_diasbp,4.6822,58.9764,40.8872,40.1267,0.0015,0.5413,17.1993,18.0892,1775632091102208570
diasbp,single_diasbp,4.9496,62.2244,59.6694,58.4905,0.0021,0.8439,1.6274,2.555,1775632091353997996
diasbp,single_diasbp,5.035,47.0583,44.5749,43.6691,0.0015,0.6267,1.5593,2.4834,1775632091439363816
diasbp,single_diasbp,5.5237,50.8864,48.2343,47.2833,0.0018,0.6497,1.6973,2.6521,1775632091928200095
diasbp,single_diasbp,5.6138,49.9065,47.4713,46.0949,0.0016,1.0995,1.5678,2.4351,1775632092018175283
diasbp,single_diasbp,5.693,46.1679,43.6866,42.8587,0.0016,0.6075,1.5609,2.4812,1775632092097285754
