task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
heartrate,single_heartrate,0.0001,542.2657,538.5413,498.6534,0.0053,39.1588,2.1489,3.7244,1775627994705832114
heartrate,single_heartrate,0.0339,598.527,89.2317,55.3515,0.0024,8.3834,507.9424,509.2953,1775627995245413088
heartrate,single_heartrate,0.051,581.5151,89.2317,55.3515,0.0024,8.3834,490.905,492.2834,1775627995245413088
heartrate,single_heartrate,0.0619,570.9572,89.2317,55.3515,0.0024,8.3834,479.9829,481.7255,1775627995245413088
heartrate,single_heartrate,0.301,331.8582,89.2317,55.3515,0.0024,8.3834,240.8628,242.6265,1775627995245413088
heartrate,single_heartrate,0.6106,73.4193,50.7278,49.6932,0.0022,0.7459,21.7118,22.6915,1775627995335913000
heartrate,single_heartrate,0.6913,46.8814,44.4179,43.5359,0.0019,0.6305,1.534,2.4635,1775627995396384704
heartrate,single_heartrate,0.9606,55.6741,52.8913,51.9431,0.0022,0.6806,1.7581,2.7828,1775627995665885486
heartrate,single_heartrate,0.9844,77.9366,45.4573,44.6034,0.002,0.6122,31.5897,32.4793,1775627995719504696
heartrate,single_heartrate,1.1975,53.8449,51.151,50.2214,0.002,0.6576,1.7204,2.6939,1775627995902763817
heartrate,single_heartrate,1.3056,53.8881,51.1561,50.2352,0.002,0.6612,1.7488,2.732,1775627996010860703
heartrate,single_heartrate,1.5158,53.7992,51.0187,50.0642,0.0021,0.6823,1.765,2.7805,1775627996221088676
heartrate,single_heartrate,2.1994,54.3311,51.5921,50.5589,0.0023,0.7198,1.765,2.7389,1775627996904702846
heartrate,single_heartrate,2.344,54.0876,51.3936,50.1292,0.0022,0.9665,1.7676,2.694,1775627997049303250
heartrate,single_heartrate,2.5934,62.5041,59.752,58.1482,0.0035,1.1619,1.7519,2.7521,1775627997298743318
heartrate,single_heartrate,2.8082,54.3513,51.1276,50.0833,0.0022,0.742,2.2497,3.2237,1775627997514023914
heartrate,single_heartrate,2.8083,101.7714,46.6908,44.3283,0.0016,1.0573,54.0514,55.0806,1775627997565861782
heartrate,single_heartrate,2.8534,56.8056,46.6908,44.3283,0.0016,1.0573,8.924,10.1148,1775627997565861782
heartrate,single_heartrate,2.9294,41.3315,38.9475,38.181,0.0016,0.5646,1.4606,2.384,1775627997634435005
heartrate,single_heartrate,3.1161,72.3047,69.4927,68.1268,0.003,0.9802,1.7321,2.812,1775627997821359421
heartrate,single_heartrate,3.2526,50.9434,48.2941,47.4491,0.0019,0.6162,1.6332,2.6493,1775627997957804992
