task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,sharing,0.0002,327.0836,322.5029,306.8263,0.0043,15.0793,3.4401,4.5807,1775671756817218453
ecgclass,sharing,0.4815,54.6801,34.3024,33.3414,0.0016,0.5161,19.4836,20.3777,1775671757314615186
ecgclass,sharing,0.9491,49.9685,47.4616,46.4187,0.0022,0.7591,1.7207,2.5069,1775671757764488067
ecgclass,sharing,1.4256,53.6973,51.1114,49.7826,0.0026,0.6642,1.7085,2.586,1775671758240958813
ecgclass,sharing,1.4815,110.1763,65.6806,41.5693,0.0023,0.3277,43.1275,44.4957,1775671758338284626
ecgclass,sharing,1.4993,92.464,65.6806,41.5693,0.0023,0.3277,25.3778,26.7834,1775671758338284626
ecgclass,sharing,1.79,45.7258,42.7336,41.5975,0.0029,0.6933,1.9939,2.9922,1775671758605577833
ecgclass,sharing,2.0718,82.5937,79.7482,77.9746,0.0043,1.2256,1.7579,2.8455,1775671758887137445
ecgclass,sharing,2.6968,64.7283,45.323,40.769,0.0021,2.1103,18.3733,19.4052,1775671759528757837
ecgclass,sharing,2.7125,49.0301,45.323,40.769,0.0021,2.1103,2.6507,3.707,1775671759528757837
ecgclass,sharing,2.9218,61.2938,46.301,41.1218,0.0022,4.3496,14.0822,14.9928,1775671759749471650
ecgclass,sharing,2.9352,89.3893,40.9649,40.0444,0.002,0.588,47.684,48.4244,1775671759796481389
ecgclass,sharing,3.1533,76.9708,47.6097,40.8456,0.0023,5.8028,28.5017,29.3611,1775671759995444020
ecgclass,sharing,3.4995,79.0672,46.2456,42.7394,0.0023,2.5862,31.5421,32.8216,1775671760344682756
ecgclass,sharing,3.578,83.545,40.4203,39.4909,0.0023,0.592,42.29,43.1247,1775671760433891812
ecgclass,sharing,3.8238,50.4985,47.6618,46.7139,0.0023,0.6329,1.6971,2.8367,1775671760639103541
ecgclass,sharing,3.8545,63.5469,43.0589,42.1409,0.0021,0.5875,19.6235,20.488,1775671760687796243
ecgclass,sharing,3.8723,92.7854,46.2446,41.3767,0.0019,1.0352,45.4941,46.5408,1775671760731417647
ecgclass,sharing,3.9353,70.6,40.3564,39.4411,0.0022,0.5788,29.4673,30.2436,1775671760778389513
ecgclass,sharing,4.1154,62.0174,46.0461,40.7327,0.0018,0.5809,14.9086,15.9713,1775671760943930297
ecgclass,sharing,4.1986,43.2575,40.9215,40.0481,0.0022,0.5832,1.4675,2.336,1775671761013721767
ecgclass,sharing,4.4481,52.587,46.4611,44.1877,0.002,1.4143,5.0919,6.126,1775671761266866339
