task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing,0.0001,522.9206,519.6473,501.4874,0.0033,17.4955,2.2037,3.2733,1775605567445812133
ecgclass,no_sharing,0.4813,93.8532,51.3772,46.9863,0.002,3.9954,41.5814,42.4761,1775605567966373929
ecgclass,no_sharing,0.9493,59.5083,57.0434,52.7018,0.0023,3.9828,1.5876,2.4649,1775605568394346349
ecgclass,no_sharing,1.4258,57.621,55.0077,52.4564,0.0024,2.0626,1.7128,2.6133,1775605568871045223
ecgclass,no_sharing,1.482,53.6947,51.1947,45.8105,0.0021,4.8569,1.7331,2.5,1775605568927204175
ecgclass,no_sharing,1.4986,102.402,64.3763,62.5632,0.0037,1.2273,36.9296,38.0257,1775605568979028264
ecgclass,no_sharing,1.7892,91.115,88.3949,86.4919,0.004,1.2912,1.7781,2.7201,1775605569234427609
ecgclass,no_sharing,2.0728,56.3147,53.5575,52.4342,0.0021,0.7161,1.7991,2.7572,1775605569518101872
ecgclass,no_sharing,2.696,46.6464,44.4466,43.4855,0.0021,0.6518,1.5101,2.1997,1775605570141026554
ecgclass,no_sharing,2.7126,75.4216,44.6257,43.5833,0.002,0.6575,30.0386,30.7959,1775605570186105487
ecgclass,no_sharing,2.9213,56.9155,54.4346,53.0193,0.0022,0.9964,1.6668,2.481,1775605570366450332
ecgclass,no_sharing,2.936,89.1852,46.3325,45.3336,0.0022,0.6304,42.1124,42.8528,1775605570421568488
ecgclass,no_sharing,3.1536,61.204,58.5857,49.3843,0.0021,8.8652,1.8358,2.6182,1775605570598875581
ecgclass,no_sharing,3.4999,52.7337,50.144,48.7514,0.0019,1.0102,1.734,2.5897,1775605570945134624
ecgclass,no_sharing,3.5774,53.9868,51.643,39.2943,0.0017,12.0861,1.5001,2.3437,1775605571022360374
ecgclass,no_sharing,3.8238,52.3696,50.0623,48.6465,0.0023,1.0752,1.5123,2.3073,1775605571268787545
