task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
heartrate,single_heartrate,0.0001,316.3929,312.7871,265.1852,0.0035,47.1862,2.5659,3.6058,1775606223113837035
heartrate,single_heartrate,0.0341,371.6414,88.2042,47.69,0.0016,10.0664,282.1789,283.4372,1775606223427427299
heartrate,single_heartrate,0.0511,354.6355,88.2042,47.69,0.0016,10.0664,265.1501,266.4312,1775606223427427299
heartrate,single_heartrate,0.062,343.9448,88.2042,47.69,0.0016,10.0664,254.3342,255.7405,1775606223427427299
heartrate,single_heartrate,0.301,104.9278,88.2042,47.69,0.0016,10.0664,15.2829,16.7235,1775606223427427299
heartrate,single_heartrate,0.6123,61.4762,58.8349,57.8542,0.0022,0.6847,1.7345,2.6413,1775606223725188274
heartrate,single_heartrate,0.693,54.3897,51.9127,51.0372,0.002,0.6453,1.5378,2.477,1775606223805681219
heartrate,single_heartrate,0.9598,80.4672,77.8043,76.7552,0.0023,0.7689,1.7276,2.663,1775606224072658372
heartrate,single_heartrate,0.9845,110.1444,53.7781,52.9535,0.002,0.6009,55.4161,56.3662,1775606224151098078
heartrate,single_heartrate,1.199,59.0153,56.4593,55.5842,0.0022,0.6476,1.5903,2.556,1775606224311694025
heartrate,single_heartrate,1.3062,57.4288,54.975,54.1006,0.0026,0.6409,1.5452,2.4538,1775606224418880453
heartrate,single_heartrate,1.5159,61.419,58.7307,57.7651,0.0026,0.6943,1.7574,2.6883,1775606224628845462
heartrate,single_heartrate,2.1992,62.0012,59.3313,58.3479,0.0029,0.6998,1.6966,2.6699,1775606225311993456
heartrate,single_heartrate,2.3434,76.5908,73.8585,71.3807,0.0051,1.9238,1.7035,2.7323,1775606225456252044
heartrate,single_heartrate,2.5933,62.8366,60.1966,59.2112,0.0028,0.6986,1.6637,2.64,1775606225706138278
heartrate,single_heartrate,2.8085,70.3475,67.2686,66.2411,0.0029,0.7456,2.1071,3.0789,1775606225921743901
heartrate,single_heartrate,2.8085,130.0297,59.189,58.2133,0.0026,0.3606,69.9515,70.8406,1775606225989623691
heartrate,single_heartrate,2.8536,85.1526,59.189,58.2133,0.0026,0.3606,24.8671,25.9636,1775606225989623691
heartrate,single_heartrate,2.929,63.4758,53.1688,52.2203,0.0028,0.6981,9.3579,10.3071,1775606226049546281
heartrate,single_heartrate,3.1158,66.849,64.2731,63.246,0.0031,0.7451,1.5748,2.5759,1775606226228542816
heartrate,single_heartrate,3.2519,66.8278,64.2029,63.1841,0.0027,0.7564,1.6632,2.6249,1775606226364718701
heartrate,single_heartrate,3.9035,65.8929,63.2654,62.294,0.0028,0.6981,1.6718,2.6275,1775606227016313895
heartrate,single_heartrate,4.0857,61.2559,58.5981,57.6411,0.0029,0.6813,1.698,2.6579,1775606227198520642
