task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,sharing,0.0001,350.9626,346.3057,330.1675,0.0117,15.2862,3.2089,4.6569,1775699166073933852
ecgclass,sharing,2.4061,53.8735,51.1362,50.1332,0.0017,0.6268,1.8198,2.7373,1775699168478554326
ecgclass,sharing,4.7425,56.4668,53.4376,52.3847,0.0019,0.6502,2.0468,3.0292,1775699170815108805
ecgclass,sharing,7.1271,55.0678,52.4375,51.4592,0.0018,0.6258,1.704,2.6303,1775699173199403459
ecgclass,sharing,7.4053,46.591,42.3884,41.4851,0.0017,0.5738,3.257,4.2027,1775699173479146927
ecgclass,sharing,7.4921,43.5045,41.0426,40.1873,0.0017,0.5977,1.5287,2.4619,1775699173564224180
ecgclass,sharing,8.9465,55.1453,51.6196,49.9526,0.0025,1.1589,2.475,3.5256,1775699175019524976
ecgclass,sharing,10.3554,53.0469,50.3398,49.3678,0.0018,0.6195,1.7457,2.7071,1775699176427763162
ecgclass,sharing,13.4791,57.1113,54.3903,53.3035,0.002,0.7021,1.7643,2.721,1775699179551480955
ecgclass,sharing,13.5585,51.9743,49.2125,48.155,0.0021,0.7046,1.6944,2.7618,1775699179630752023
ecgclass,sharing,14.6057,58.7857,55.2874,53.9466,0.0025,0.7997,2.4383,3.4983,1775699180678734369
ecgclass,sharing,14.6757,50.9052,48.2588,47.2221,0.0017,0.6609,1.6725,2.6465,1775699180747976930
ecgclass,sharing,15.7642,118.5739,54.5241,52.8728,0.0018,1.2414,63.1211,64.0498,1775699181897887846
ecgclass,sharing,17.496,50.2865,47.6772,46.7849,0.0016,0.6115,1.6441,2.6093,1775699183568270337
ecgclass,sharing,17.8829,54.3411,51.747,50.7281,0.0019,0.6928,1.6582,2.5941,1775699183955113010
ecgclass,sharing,19.1148,58.0633,54.6026,53.2842,0.0027,0.7455,2.4261,3.4607,1775699185187793850
ecgclass,sharing,19.2681,52.1038,49.433,48.4758,0.0019,0.6453,1.6837,2.6708,1775699185340389974
ecgclass,sharing,19.3594,50.1435,47.4904,46.5468,0.0017,0.6249,1.6861,2.6531,1775699185431717204
ecgclass,sharing,19.675,79.4854,76.705,74.252,0.0031,1.0632,1.7152,2.7804,1775699185747329972
ecgclass,sharing,20.5759,87.8019,46.6909,45.6943,0.0018,0.6501,40.1828,41.111,1775699186686710528
ecgclass,sharing,20.9892,56.2618,53.5396,52.4472,0.002,0.7013,1.7769,2.7222,1775699187061619100
ecgclass,sharing,22.2372,52.0244,49.4052,48.4904,0.0018,0.6272,1.6427,2.6192,1775699188309483426
ecgclass,sharing,22.4596,51.9137,49.3125,48.3633,0.0018,0.6618,1.6453,2.6012,1775699188531888676
ecgclass,sharing,24.2986,54.7678,51.1783,49.912,0.0023,0.7601,2.5265,3.5895,1775699190371711419
ecgclass,sharing,25.5251,76.1395,73.3212,71.4417,0.0038,1.3115,1.7624,2.8183,1775699191597467857
ecgclass,sharing,26.1807,56.7675,54.0965,52.9682,0.0019,0.7191,1.7314,2.671,1775699192253022038
ecgclass,sharing,26.5981,92.0198,89.2359,87.3046,0.0033,1.3102,1.7853,2.7839,1775699192670500036
ecgclass,sharing,27.0515,93.6749,90.8559,88.9469,0.0035,1.3206,1.7908,2.819,1775699193123853423
ecgclass,sharing,27.128,112.2868,94.1308,90.8534,0.0039,1.2994,16.8865,18.156,1775699193215493662
ecgclass,sharing,27.3085,56.4098,53.6781,52.5385,0.002,0.7205,1.7478,2.7318,1775699193380875348
ecgclass,sharing,27.9932,55.9301,53.2823,52.2282,0.0019,0.7232,1.6792,2.6478,1775699194065440656
ecgclass,sharing,28.3816,91.8467,88.8884,86.926,0.0038,1.326,1.874,2.9584,1775699194454083606
