task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_tpc,0.0001,428.2622,424.1658,385.1537,0.0059,37.8819,2.6329,4.0964,1775779198594092635
ecgclass,no_sharing_tpc,0.161,408.6514,140.651,60.3307,0.0033,39.7927,266.9671,268.0004,1775779199019317644
ecgclass,no_sharing_tpc,0.3173,252.4028,140.651,60.3307,0.0033,39.7927,110.7016,111.7518,1775779199019317644
ecgclass,no_sharing_tpc,0.4759,295.9626,201.232,73.8102,0.0029,42.24,93.5688,94.7305,1775779199160833329
ecgclass,no_sharing_tpc,0.4943,277.6258,201.232,73.8102,0.0029,42.24,75.2079,76.3938,1775779199160833329
ecgclass,no_sharing_tpc,0.5,272.0571,201.232,73.8102,0.0029,42.24,69.4859,70.825,1775779199160833329
ecgclass,no_sharing_tpc,0.5968,229.6038,53.6689,52.4486,0.0019,0.3685,174.8221,175.9349,1775779199362991341
ecgclass,no_sharing_tpc,0.691,135.4151,53.6689,52.4486,0.0019,0.3685,80.6088,81.7462,1775779199362991341
ecgclass,no_sharing_tpc,0.8996,51.893,49.4653,48.2408,0.0016,0.8512,1.5361,2.4277,1775779199492490560
ecgclass,no_sharing_tpc,0.9044,132.9808,85.2596,83.7335,0.0015,1.1593,46.8149,47.7213,1775779199542521248
ecgclass,no_sharing_tpc,0.9747,135.3765,72.121,70.9834,0.0017,0.3735,62.3531,63.2554,1775779199628400427
ecgclass,no_sharing_tpc,0.9794,130.671,72.121,70.9834,0.0017,0.3735,57.6253,58.55,1775779199628400427
ecgclass,no_sharing_tpc,1.0519,192.5097,133.837,132.4786,0.0015,0.9604,57.7991,58.6726,1775779199701002729
ecgclass,no_sharing_tpc,1.1667,165.4634,87.1159,86.1211,0.0015,0.3103,77.3113,78.3475,1775779199835385897
ecgclass,no_sharing_tpc,1.1929,139.3375,87.1159,86.1211,0.0015,0.3103,51.1611,52.2216,1775779199835385897
ecgclass,no_sharing_tpc,1.2746,413.1832,354.5147,132.8824,0.0017,55.3047,57.4133,58.6685,1775779199923326898
ecgclass,no_sharing_tpc,1.2853,402.4887,354.5147,132.8824,0.0017,55.3047,46.695,47.974,1775779199923326898
ecgclass,no_sharing_tpc,1.291,396.8976,354.5147,132.8824,0.0017,55.3047,40.9756,42.3829,1775779199923326898
ecgclass,no_sharing_tpc,1.3127,375.2329,354.5147,132.8824,0.0017,55.3047,19.2752,20.7182,1775779199923326898
ecgclass,no_sharing_tpc,1.3729,642.0872,326.2526,46.8329,0.0015,55.7906,314.6851,315.8346,1775779200278880317
ecgclass,no_sharing_tpc,1.4006,614.3937,326.2526,46.8329,0.0015,55.7906,286.9697,288.1411,1775779200278880317
ecgclass,no_sharing_tpc,1.483,532.341,326.2526,46.8329,0.0015,55.7906,204.5612,206.0884,1775779200278880317
ecgclass,no_sharing_tpc,1.4984,516.9253,326.2526,46.8329,0.0015,55.7906,189.1265,190.6727,1775779200278880317
ecgclass,no_sharing_tpc,1.6206,394.7787,326.2526,46.8329,0.0015,55.7906,66.9479,68.5261,1775779200278880317
ecgclass,no_sharing_tpc,1.7021,877.9473,564.0468,79.8799,0.0015,53.4796,313.0398,313.9005,1775779200606517217
ecgclass,no_sharing_tpc,1.7467,833.9591,564.0468,79.8799,0.0015,53.4796,268.4631,269.9123,1775779200606517217
ecgclass,no_sharing_tpc,1.7748,805.8975,564.0468,79.8799,0.0015,53.4796,240.381,241.8506,1775779200606517217
ecgclass,no_sharing_tpc,1.8045,776.4425,564.0468,79.8799,0.0015,53.4796,210.6547,212.3957,1775779200606517217
ecgclass,no_sharing_tpc,1.809,772.2621,564.0468,79.8799,0.0015,53.4796,206.2066,208.2153,1775779200606517217
ecgclass,no_sharing_tpc,1.8207,760.5662,564.0468,79.8799,0.0015,53.4796,194.4861,196.5194,1775779200606517217
ecgclass,no_sharing_tpc,1.8672,714.2963,564.0468,79.8799,0.0015,53.4796,148.0258,150.2495,1775779200606517217
ecgclass,no_sharing_tpc,1.8929,688.5853,564.0468,79.8799,0.0015,53.4796,122.2925,124.5384,1775779200606517217
ecgclass,no_sharing_tpc,1.9774,604.1486,564.0468,79.8799,0.0015,53.4796,37.8022,40.1018,1775779200606517217
ecgclass,no_sharing_tpc,2.0255,1365.6015,809.1718,115.827,0.0015,53.1426,555.5308,556.4297,1775779201172389362
ecgclass,no_sharing_tpc,2.0405,1351.1271,809.1718,115.827,0.0015,53.1426,540.524,541.9553,1775779201172389362
ecgclass,no_sharing_tpc,2.0704,1321.2662,809.1718,115.827,0.0015,53.1426,510.6425,512.0944,1775779201172389362
ecgclass,no_sharing_tpc,2.114,1277.667,809.1718,115.827,0.0015,53.1426,467.0274,468.4952,1775779201172389362
ecgclass,no_sharing_tpc,2.1362,1255.8811,809.1718,115.827,0.0015,53.1426,444.8414,446.7093,1775779201172389362
ecgclass,no_sharing_tpc,2.1579,1234.164,809.1718,115.827,0.0015,53.1426,423.1067,424.9922,1775779201172389362
ecgclass,no_sharing_tpc,2.2167,1175.5764,809.1718,115.827,0.0015,53.1426,364.3763,366.4046,1775779201172389362
ecgclass,no_sharing_tpc,2.2364,1155.9713,809.1718,115.827,0.0015,53.1426,344.6584,346.7995,1775779201172389362
ecgclass,no_sharing_tpc,2.3249,1067.7683,809.1718,115.827,0.0015,53.1426,256.1524,258.5965,1775779201172389362
ecgclass,no_sharing_tpc,2.4181,974.5653,809.1718,115.827,0.0015,53.1426,162.9319,165.3935,1775779201172389362
ecgclass,no_sharing_tpc,2.4907,902.2977,809.1718,115.827,0.0015,53.1426,90.3325,93.1259,1775779201172389362
ecgclass,no_sharing_tpc,2.4954,897.593,809.1718,115.827,0.0015,53.1426,85.6106,88.4212,1775779201172389362
ecgclass,no_sharing_tpc,2.5709,822.1416,809.1718,115.827,0.0015,53.1426,10.1268,12.9698,1775779201172389362
ecgclass,no_sharing_tpc,2.6614,1732.08,999.1848,138.4389,0.0013,53.7594,731.5083,732.8952,1775779201984258530
ecgclass,no_sharing_tpc,2.7362,1657.3486,999.1848,138.4389,0.0013,53.7594,656.754,658.1639,1775779201984258530
ecgclass,no_sharing_tpc,2.7559,1637.9681,999.1848,138.4389,0.0013,53.7594,637.0635,638.7833,1775779201984258530
ecgclass,no_sharing_tpc,2.7755,1618.5594,999.1848,138.4389,0.0013,53.7594,617.3768,619.3746,1775779201984258530
