task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing_mps,0.0001,531.2779,527.5217,496.4445,0.0043,30.1226,2.4667,3.7562,1775700856518729649
ecgclass,no_sharing_mps,0.4811,102.4601,51.3674,48.5785,0.0021,2.43,50.1044,51.0928,1775700857047376586
ecgclass,no_sharing_mps,0.9489,51.3709,48.6676,47.0334,0.0018,1.2677,1.7571,2.7033,1775700857466756147
ecgclass,no_sharing_mps,1.4262,49.0549,46.3649,45.357,0.0019,0.6489,1.7211,2.69,1775700857944058100
ecgclass,no_sharing_mps,1.4815,56.9413,54.3954,40.3733,0.0017,13.5744,1.6253,2.5459,1775700857999223276
ecgclass,no_sharing_mps,1.4992,75.937,35.8376,35.0471,0.0017,0.4963,38.904,40.0995,1775700858054235940
ecgclass,no_sharing_mps,1.79,48.7347,46.0562,45.1807,0.002,0.5789,1.7264,2.6785,1775700858307851928
ecgclass,no_sharing_mps,2.0719,48.4219,45.7251,44.8564,0.0018,0.5792,1.7376,2.6967,1775700858589749846
ecgclass,no_sharing_mps,2.6967,53.4306,50.9879,35.7641,0.0015,14.9685,1.5197,2.4426,1775700859214395983
ecgclass,no_sharing_mps,2.7125,79.026,40.875,39.8431,0.002,0.6161,37.323,38.151,1775700859265945000
ecgclass,no_sharing_mps,2.9218,52.1834,49.5238,48.3055,0.0021,0.9019,1.7447,2.6596,1775700859439710978
ecgclass,no_sharing_mps,2.9366,79.6247,41.5359,40.6109,0.0016,0.601,37.1721,38.0887,1775700859489910289
ecgclass,no_sharing_mps,3.1532,49.778,47.3844,39.3629,0.0018,7.7537,1.5137,2.3936,1775700859670904359
ecgclass,no_sharing_mps,3.4995,53.9107,51.3468,45.6829,0.0018,5.3596,1.6978,2.5639,1775700860017326278
ecgclass,no_sharing_mps,3.5773,50.5903,48.2024,37.8588,0.0017,10.0719,1.5187,2.3879,1775700860094989677
ecgclass,no_sharing_mps,3.8235,49.6147,47.1439,46.2342,0.0018,0.5976,1.6646,2.4708,1775700860341335543
ecgclass,no_sharing_mps,3.8543,61.1227,41.5889,40.6384,0.0018,0.565,18.6875,19.5338,1775700860389123612
ecgclass,no_sharing_mps,3.872,83.3464,39.353,38.3851,0.0018,0.6308,43.1259,43.9934,1775700860431320761
ecgclass,no_sharing_mps,3.9356,56.0577,35.7275,34.9269,0.0015,0.5065,19.4659,20.3302,1775700860471225589
ecgclass,no_sharing_mps,4.1161,61.676,59.1382,57.7649,0.0028,0.9674,1.6162,2.5378,1775700860633875803
ecgclass,no_sharing_mps,4.198,49.4709,46.8337,45.9592,0.0022,0.5945,1.6959,2.6372,1775700860715841882
