task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,single_ecgclass,0.0001,347.5316,344.3615,322.7338,0.004,20.2684,1.8959,3.1701,1776125926777557565
ecgclass,single_ecgclass,2.4069,51.6503,48.5403,45.0299,0.0033,1.5318,2.11,3.11,1776125929184534738
ecgclass,single_ecgclass,4.743,49.1931,46.5212,44.1806,0.0032,1.4137,1.7509,2.672,1776125931520284913
ecgclass,single_ecgclass,7.1277,48.9972,46.3343,44.4031,0.0028,1.0452,1.7164,2.6628,1776125933904951382
ecgclass,single_ecgclass,7.4061,55.8412,53.1691,50.2474,0.0034,1.391,1.6418,2.6721,1776125934183280782
ecgclass,single_ecgclass,7.4921,52.5341,49.9624,47.7216,0.0028,1.4012,1.6251,2.5717,1776125934269327603
ecgclass,single_ecgclass,8.9472,83.204,80.4704,77.7409,0.0036,1.4857,1.61,2.7337,1776125935724423448
ecgclass,single_ecgclass,10.3559,57.5538,54.9299,53.0958,0.0023,0.9069,1.6773,2.6239,1776125937133189235
ecgclass,single_ecgclass,13.4817,59.756,56.9906,54.5448,0.003,1.4531,1.7715,2.7654,1776125940259079469
ecgclass,single_ecgclass,13.5587,52.7184,50.2164,48.3866,0.0157,0.9426,1.5628,2.502,1776125940335869402
ecgclass,single_ecgclass,14.6056,53.2792,50.6245,47.7955,0.0028,1.9014,1.6789,2.6547,1776125941382871104
ecgclass,single_ecgclass,14.6751,50.0743,47.4522,45.3114,0.0029,1.3634,1.6687,2.6221,1776125941452359576
ecgclass,single_ecgclass,15.7654,52.3121,49.6936,47.4968,0.003,1.389,1.6513,2.6185,1776125942542649619
ecgclass,single_ecgclass,17.4976,52.4714,49.7835,47.5466,0.0034,1.4072,1.7157,2.6879,1776125944274877107
ecgclass,single_ecgclass,17.8826,54.5571,51.8532,49.5224,0.0033,1.3899,1.687,2.7039,1776125944659837759
ecgclass,single_ecgclass,19.1155,55.4302,52.7484,50.4944,0.0034,1.2222,1.6999,2.6818,1776125945892758949
ecgclass,single_ecgclass,19.2682,56.5369,53.9304,51.6063,0.0032,1.4244,1.6847,2.6066,1776125946045468951
ecgclass,single_ecgclass,19.36,53.5948,50.8909,48.5752,0.0028,1.4515,1.7223,2.7039,1776125946137264875
ecgclass,single_ecgclass,19.675,53.0725,50.4837,48.5493,0.0031,1.0508,1.636,2.5888,1776125946452218046
ecgclass,single_ecgclass,20.5771,54.4062,51.6983,49.8023,0.0029,1.0499,1.7345,2.7079,1776125947354418846
ecgclass,single_ecgclass,20.9891,71.4254,68.7472,66.3295,0.0029,1.3993,1.6823,2.6782,1776125947766308851
ecgclass,single_ecgclass,22.2378,57.4017,54.8126,52.9382,0.0035,0.9253,1.6944,2.5891,1776125949015095730
ecgclass,single_ecgclass,22.4596,57.9817,55.3433,53.0327,0.003,1.3948,1.6487,2.6384,1776125949236786414
ecgclass,single_ecgclass,24.2995,58.1751,55.4064,52.9826,0.0029,1.3836,1.7416,2.7687,1776125951076817219
ecgclass,single_ecgclass,25.526,58.1295,55.5312,53.1201,0.003,1.4049,1.6432,2.5983,1776125952303233889
ecgclass,single_ecgclass,26.1809,57.8527,55.191,53.1492,0.003,1.0667,1.7252,2.6617,1776125952958212763
ecgclass,single_ecgclass,26.5983,54.7311,52.0419,49.7278,0.0029,1.4064,1.6906,2.6892,1776125953375561829
ecgclass,single_ecgclass,27.0516,56.8068,54.1192,51.6579,0.0029,1.4344,1.6842,2.6876,1776125953828859840
ecgclass,single_ecgclass,27.1286,52.7296,50.16,47.8932,0.0028,1.4371,1.6582,2.5696,1776125953905856463
ecgclass,single_ecgclass,27.3077,52.7027,50.0847,47.3197,0.0034,1.4231,1.6532,2.618,1776125954084899864
ecgclass,single_ecgclass,27.9942,52.8924,50.2841,48.3863,0.0032,1.0677,1.6601,2.6083,1776125954771421970
