task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
nyudepth,single_nyudepth,0.0001,444.7267,421.8038,339.919,0.0041,81.2722,5.9035,22.9229,1775774524067936297
nyudepth,single_nyudepth,0.1614,411.4523,118.8421,33.007,0.0026,42.7192,276.3507,292.6102,1775774524499655002
nyudepth,single_nyudepth,0.3168,265.4817,118.8421,33.007,0.0026,42.7192,120.8942,146.6396,1775774524499655002
nyudepth,single_nyudepth,0.476,200.1283,90.191,32.8463,0.0022,19.0031,95.6872,109.9373,1775774524633669571
nyudepth,single_nyudepth,0.4944,193.0826,90.191,32.8463,0.0022,19.0031,77.3394,102.8915,1775774524633669571
nyudepth,single_nyudepth,0.5002,197.3155,90.191,32.8463,0.0022,19.0031,71.527,107.1244,1775774524633669571
nyudepth,single_nyudepth,0.5965,129.6256,30.6094,18.2234,0.0022,12.0285,82.0425,99.0161,1775774524740504973
nyudepth,single_nyudepth,0.6975,61.3933,31.8943,17.6556,0.002,13.9805,16.1693,29.4989,1775774524775648418
nyudepth,single_nyudepth,0.8991,47.5452,27.7069,19.315,0.0027,8.0476,4.1838,19.8383,1775774524965276750
nyudepth,single_nyudepth,0.9058,78.3987,34.6546,24.9127,0.0021,9.4177,30.7159,43.7441,1775774524998441221
nyudepth,single_nyudepth,0.9739,48.1186,32.6558,21.7803,0.0023,10.5581,3.505,15.4628,1775774525039331127
nyudepth,single_nyudepth,0.9842,76.4401,32.4993,18.6976,0.0016,13.4877,30.4558,43.9408,1775774525076604305
nyudepth,single_nyudepth,1.0512,49.2911,32.7859,18.0368,0.002,14.4663,3.5574,16.5052,1775774525116655820
nyudepth,single_nyudepth,1.1666,45.6133,27.6124,15.7548,0.0021,11.5749,3.7649,18.0008,1775774525232342853
nyudepth,single_nyudepth,1.1923,53.916,31.4805,19.1823,0.0022,11.9763,11.4467,22.4354,1775774525265724185
nyudepth,single_nyudepth,1.2745,45.306,27.9872,16.3593,0.0025,11.2517,3.9465,17.3188,1775774525340357826
nyudepth,single_nyudepth,1.2861,91.8927,51.5829,19.5177,0.0026,15.8676,26.0773,40.3098,1775774525374167061
nyudepth,single_nyudepth,1.2917,94.6569,51.5829,19.5177,0.0026,15.8676,20.5433,43.0741,1775774525374167061
nyudepth,single_nyudepth,1.3124,106.5729,30.8725,19.8639,0.002,10.6891,62.6247,75.7004,1775774525436943939
nyudepth,single_nyudepth,1.3782,96.5853,49.6495,16.1147,0.0019,16.5601,33.531,46.9357,1775774525473725932
nyudepth,single_nyudepth,1.3994,83.9541,49.6495,16.1147,0.0019,16.5601,12.392,34.3046,1775774525473725932
nyudepth,single_nyudepth,1.4834,44.5576,27.5453,14.7635,0.0019,12.5019,3.9973,17.0122,1775774525549306231
nyudepth,single_nyudepth,1.4992,58.3646,27.5741,14.9607,0.0016,11.9713,21.4221,30.7906,1775774525582558530
nyudepth,single_nyudepth,1.6208,43.1333,27.4882,14.9852,0.0019,12.2145,4.1215,15.645,1775774525686844198
nyudepth,single_nyudepth,1.7021,43.0086,27.4943,16.005,0.0019,11.2002,3.6483,15.5143,1775774525767684837
nyudepth,single_nyudepth,1.7463,44.5237,27.5753,15.5616,0.0018,11.731,3.3705,16.9484,1775774525811625561
nyudepth,single_nyudepth,1.7748,53.4763,30.9128,17.2164,0.0021,13.406,9.0449,22.5635,1775774525845790195
nyudepth,single_nyudepth,1.805,81.9652,50.2966,16.2038,0.0021,16.8825,15.5566,31.6686,1775774525882504217
nyudepth,single_nyudepth,1.8096,83.4734,50.2966,16.2038,0.0021,16.8825,10.9837,33.1769,1775774525882504217
nyudepth,single_nyudepth,1.8282,123.7574,49.5778,14.4783,0.0023,17.392,54.3835,74.1796,1775774525944529647
nyudepth,single_nyudepth,1.8669,93.7047,49.5778,14.4783,0.0023,17.392,15.6825,44.1269,1775774525944529647
nyudepth,single_nyudepth,1.8931,100.2531,28.0269,13.0291,0.0017,14.7483,52.4187,72.2262,1775774526007428323
nyudepth,single_nyudepth,1.9768,47.744,27.5285,12.8186,0.0016,14.4447,6.4602,20.2155,1775774526045226749
nyudepth,single_nyudepth,2.0246,47.9801,27.4294,12.8853,0.0021,14.2868,3.7932,20.5507,1775774526090326768
nyudepth,single_nyudepth,2.0404,65.0439,27.5282,13.2564,0.0018,14.022,20.8957,37.5157,1775774526123223710
nyudepth,single_nyudepth,2.0726,66.3474,27.8366,12.5993,0.0017,14.9961,21.7767,38.5107,1775774526156314058
nyudepth,single_nyudepth,2.1136,62.0234,27.7856,12.8394,0.0025,14.6797,14.0374,34.2378,1775774526189617847
nyudepth,single_nyudepth,2.139,70.8501,30.5723,15.1935,0.002,15.0477,24.3671,40.2778,1775774526225275248
nyudepth,single_nyudepth,2.1577,80.8177,27.342,12.4518,0.0017,14.6423,39.0854,53.4757,1775774526258773376
nyudepth,single_nyudepth,2.2172,51.7974,28.2676,12.4704,0.0019,15.5353,9.625,23.5298,1775774526288785564
nyudepth,single_nyudepth,2.2386,58.3143,27.6395,12.248,0.0018,15.1316,19.2261,30.6748,1775774526319755589
nyudepth,single_nyudepth,2.3251,42.2945,27.5999,13.144,0.0018,14.1878,3.0775,14.6946,1775774526390139221
nyudepth,single_nyudepth,2.4176,42.361,27.4021,14.0698,0.0019,13.0516,3.31,14.9589,1775774526482901848
nyudepth,single_nyudepth,2.4902,45.5763,27.4299,18.1538,0.0028,8.9414,3.2468,18.1464,1775774526555416092
nyudepth,single_nyudepth,2.4951,73.355,27.8539,19.2379,0.0022,8.2567,31.5616,45.5011,1775774526588578496
nyudepth,single_nyudepth,2.5706,45.4702,27.4766,15.4609,0.0021,11.7337,3.9682,17.9937,1775774526636557596
nyudepth,single_nyudepth,2.6613,46.5462,27.5852,16.9934,0.0023,10.2802,3.7613,18.961,1775774526727004587
nyudepth,single_nyudepth,2.7361,48.5225,27.6769,20.5436,0.0027,6.7573,4.0381,20.8455,1775774526802049181
nyudepth,single_nyudepth,2.7549,65.8152,30.9198,27.3878,0.0036,3.0795,18.5151,34.8955,1775774526835386160
nyudepth,single_nyudepth,2.7846,89.1259,49.5931,27.9169,0.0033,10.6113,25.7454,39.5327,1775774526872310778
nyudepth,single_nyudepth,2.7867,93.9593,49.5931,27.9169,0.0033,10.6113,23.6971,44.3662,1775774526872310778
nyudepth,single_nyudepth,2.8204,133.6632,70.8308,17.8447,0.0109,17.552,50.8873,62.8323,1775774526933241054
nyudepth,single_nyudepth,2.8205,138.8142,70.8308,17.8447,0.0109,17.552,50.8428,67.9834,1775774526933241054
nyudepth,single_nyudepth,2.8268,140.5201,70.8308,17.8447,0.0109,17.552,44.4713,69.6892,1775774526933241054
nyudepth,single_nyudepth,2.9108,88.068,28.5857,15.8524,0.0018,12.447,46.618,59.4823,1775774527019359387
nyudepth,single_nyudepth,3.1772,43.2227,27.5398,18.6734,0.0185,8.4556,3.7904,15.6829,1775774527242964230
nyudepth,single_nyudepth,3.2204,46.1593,27.5274,18.0288,0.0024,9.1959,3.7091,18.6319,1775774527286032442
nyudepth,single_nyudepth,3.2339,65.623,27.8761,21.4303,0.0025,6.0691,24.0011,37.747,1775774527319824494
nyudepth,single_nyudepth,3.2666,67.1568,29.4003,20.3981,0.0024,8.6549,25.0413,37.7564,1775774527353552268
nyudepth,single_nyudepth,3.2844,101.042,49.1752,15.2132,0.0016,16.8376,42.3405,51.8669,1775774527388735008
nyudepth,single_nyudepth,3.2995,93.3831,49.1752,15.2132,0.0016,16.8376,27.262,44.2079,1775774527388735008
nyudepth,single_nyudepth,3.3649,58.867,28.1264,14.6786,0.002,13.1571,21.3659,30.7406,1775774527448173811
nyudepth,single_nyudepth,3.4569,40.6232,27.3552,13.8453,0.0018,13.2169,3.2427,13.268,1775774527522093708
nyudepth,single_nyudepth,3.5577,42.593,27.5091,15.4286,0.0021,11.7761,3.4235,15.0839,1775774527623116479
nyudepth,single_nyudepth,3.9118,44.8673,27.9695,17.834,0.0025,9.8184,3.6874,16.8978,1775774527977454031
nyudepth,single_nyudepth,4.052,44.8246,27.943,18.2387,0.0029,9.3749,4.0584,16.8816,1775774528117958757
nyudepth,single_nyudepth,4.162,45.3067,28.3295,17.9706,0.003,10.0024,3.6964,16.9772,1775774528227662825
nyudepth,single_nyudepth,4.2315,44.3294,27.6674,18.8189,0.0025,8.4798,3.9318,16.662,1775774528297423217
nyudepth,single_nyudepth,4.2759,50.1008,28.9077,19.4265,0.0027,7.8175,4.2388,21.1931,1775774528342078444
nyudepth,single_nyudepth,4.2759,83.1401,27.6187,15.799,0.0021,11.5259,38.7607,55.5215,1775774528376628154
nyudepth,single_nyudepth,4.3372,55.8486,28.2307,14.594,0.0021,13.3438,10.762,27.6179,1775774528409925638
nyudepth,single_nyudepth,4.3793,45.1932,27.6359,13.6421,0.0021,13.7302,3.4173,17.5573,1775774528444634141
nyudepth,single_nyudepth,4.4797,45.3253,27.4925,15.4828,0.0023,11.6857,3.582,17.8328,1775774528545234842
nyudepth,single_nyudepth,4.6143,49.3832,28.5915,16.6094,0.0023,11.6709,3.6478,20.7917,1775774528679896597
nyudepth,single_nyudepth,4.6362,81.8946,49.1851,18.6015,0.0026,15.1003,16.3682,32.7096,1775774528714507144
nyudepth,single_nyudepth,4.6403,87.4546,49.1851,18.6015,0.0026,15.1003,12.2752,38.2695,1775774528714507144
nyudepth,single_nyudepth,4.7019,53.7071,28.0008,13.9655,0.0022,13.7499,11.6889,25.7064,1775774528775540687
nyudepth,single_nyudepth,4.8719,45.9092,27.5679,16.6573,0.0024,10.6068,3.9041,18.3413,1775774528937776846
nyudepth,single_nyudepth,4.9281,45.9905,27.7354,16.749,0.0023,10.6785,3.7649,18.2551,1775774528993794151
nyudepth,single_nyudepth,5.0683,45.5496,27.6452,17.1317,0.0023,9.4648,3.6294,17.9044,1775774529133920084
nyudepth,single_nyudepth,5.1191,45.8069,27.5768,17.0267,0.0025,10.2356,3.7017,18.23,1775774529184776539
nyudepth,single_nyudepth,5.2062,48.3439,27.6832,17.878,0.0024,9.4596,3.6571,20.6606,1775774529271765792
nyudepth,single_nyudepth,5.2271,61.4707,27.9167,22.1446,0.0036,5.3668,16.0291,33.554,1775774529305101012
nyudepth,single_nyudepth,5.2343,170.0261,112.5114,35.4744,0.0025,19.1771,43.3943,57.5146,1775774529339633293
nyudepth,single_nyudepth,5.2545,160.4714,112.5114,35.4744,0.0025,19.1771,23.154,47.96,1775774529339633293
nyudepth,single_nyudepth,5.2546,178.8745,112.5114,35.4744,0.0025,19.1771,23.1192,66.3631,1775774529339633293
nyudepth,single_nyudepth,5.2604,173.0998,112.5114,35.4744,0.0025,19.1771,17.3204,60.5883,1775774529339633293
nyudepth,single_nyudepth,5.3698,85.9265,28.451,15.7614,0.0022,12.349,41.4517,57.4755,1775774529473196997
nyudepth,single_nyudepth,5.4046,108.0878,48.8249,13.1111,0.0019,17.7155,40.8993,59.2629,1775774529507418414
nyudepth,single_nyudepth,5.4335,88.6126,48.8249,13.1111,0.0019,17.7155,11.9917,39.7876,1775774529507418414
nyudepth,single_nyudepth,5.4879,61.59,28.084,14.6291,0.0025,13.1113,16.8581,33.506,1775774529566740222
nyudepth,single_nyudepth,5.5011,79.4008,27.5677,12.9021,0.0016,14.3903,37.2922,51.833,1775774529600360426
nyudepth,single_nyudepth,5.6287,45.512,27.4587,14.5886,0.0021,12.5777,3.8986,18.0532,1775774529694592065
nyudepth,single_nyudepth,5.7145,49.7999,27.5384,15.9563,0.0025,11.2435,3.5284,22.2615,1775774529779963459
nyudepth,single_nyudepth,5.7364,58.9914,27.6316,16.4114,0.0023,10.9024,14.6222,31.3599,1775774529812963235
nyudepth,single_nyudepth,5.7506,77.9145,27.4197,15.6289,0.002,11.5119,33.6738,50.4948,1775774529846203134
nyudepth,single_nyudepth,5.7954,87.6906,49.9502,14.5999,0.0021,17.5068,22.0129,37.7403,1775774529879369418
nyudepth,single_nyudepth,5.8054,87.9145,49.9502,14.5999,0.0021,17.5068,12.0642,37.9642,1775774529879369418
nyudepth,single_nyudepth,5.8109,134.3064,49.8114,13.8098,0.002,17.8178,70.1036,84.495,1775774529942926702
nyudepth,single_nyudepth,5.8447,109.4313,49.8114,13.8098,0.002,17.8178,36.2713,59.6199,1775774529942926702
nyudepth,single_nyudepth,5.9944,46.6611,27.5227,14.7606,0.0021,12.4643,5.0058,19.1384,1775774530061325518
nyudepth,single_nyudepth,6.0613,45.511,27.4848,14.9586,0.0021,12.2385,4.0262,18.0262,1775774530127231393
nyudepth,single_nyudepth,6.2671,46.2673,27.5923,16.6356,0.0025,10.6484,4.1091,18.675,1775774530333174989
nyudepth,single_nyudepth,6.4037,45.9373,27.5328,16.5998,0.0024,10.632,3.8581,18.4045,1775774530469475622
nyudepth,single_nyudepth,6.4778,45.687,27.5806,18.3593,0.0026,8.8757,3.84,18.1064,1775774530543623939
nyudepth,single_nyudepth,6.6018,45.6481,27.6367,18.3449,0.0024,8.9457,3.8545,18.0114,1775774530667580320
nyudepth,single_nyudepth,6.6496,46.6707,27.663,17.8921,0.0027,9.4374,3.7,19.0077,1775774530715291837
nyudepth,single_nyudepth,6.7215,53.3278,29.936,27.9764,0.004,1.4015,3.8939,23.3918,1775774530787381425
nyudepth,single_nyudepth,6.7465,60.6859,28.2353,26.1542,0.004,1.6174,15.3391,32.4506,1775774530823754998
nyudepth,single_nyudepth,6.7608,77.7943,27.8814,22.749,0.0033,4.6784,35.177,49.9129,1775774530857933589
nyudepth,single_nyudepth,6.9039,49.2082,27.646,21.2121,0.003,6.0305,4.1187,21.5622,1775774530969921171
nyudepth,single_nyudepth,6.913,95.36,49.3296,24.6889,0.0037,12.0768,29.573,46.0304,1775774531004554635
