task,condition,elapsed_sec,latency_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns
ecgclass,no_sharing,0.0001,389.9682,386.3414,347.9753,0.0035,36.9014,2.4354,3.6268,1776119134445522913
ecgclass,no_sharing,0.2409,194.0198,81.6414,78.3923,0.0032,2.3466,111.4657,112.3784,1776119134795307265
ecgclass,no_sharing,0.4757,59.2704,56.6604,51.9651,0.0029,4.0445,1.6994,2.61,1776119134920355787
ecgclass,no_sharing,0.7134,60.951,58.3361,53.5593,0.0018,4.0086,1.6348,2.6149,1776119135158057097
ecgclass,no_sharing,0.741,123.6768,93.8371,85.4784,0.0025,3.8145,28.7769,29.8397,1776119135212713000
ecgclass,no_sharing,0.7497,114.958,93.8371,85.4784,0.0025,3.8145,20.0365,21.121,1776119135212713000
ecgclass,no_sharing,0.8949,58.6517,56.1828,51.4188,0.0028,4.0179,1.5292,2.4689,1776119135339366189
ecgclass,no_sharing,1.0358,55.1729,52.8545,48.0751,0.0026,4.031,1.4291,2.3184,1776119135480172268
ecgclass,no_sharing,1.3482,72.7432,70.438,68.0177,0.0026,1.3649,1.4632,2.3052,1776119135792608523
ecgclass,no_sharing,1.3569,112.6816,49.7228,47.252,0.0027,1.6046,62.0117,62.9588,1776119135861860675
ecgclass,no_sharing,1.4611,54.6865,47.7313,45.4032,0.0017,1.4606,6.0782,6.9552,1776119135910164288
ecgclass,no_sharing,1.4678,106.0076,59.2462,54.54,0.0027,4.065,45.9092,46.7613,1776119135956704290
ecgclass,no_sharing,1.5767,65.9184,63.6576,58.9213,0.0025,4.0311,1.4281,2.2609,1776119136021107097
ecgclass,no_sharing,1.7516,60.3735,58.0606,53.3415,0.0025,4.0087,1.4343,2.3129,1776119136195995814
ecgclass,no_sharing,1.7896,85.5458,67.0864,62.2608,0.0023,4.0152,17.6258,18.4594,1776119136250246170
ecgclass,no_sharing,1.9121,45.0704,42.7178,40.914,0.0016,1.1193,1.482,2.3526,1776119136356575060
ecgclass,no_sharing,1.928,76.1948,47.6961,45.6249,0.0028,0.6998,27.4875,28.4986,1776119136398452732
ecgclass,no_sharing,1.9367,67.6794,47.6961,45.6249,0.0028,0.6998,18.7979,19.9833,1776119136398452732
ecgclass,no_sharing,1.9684,95.5606,60.9893,56.7116,0.0027,3.4092,33.757,34.5713,1776119136445120185
ecgclass,no_sharing,2.058,65.3772,62.3477,60.0683,0.0023,1.2439,2.146,3.0295,1776119136503089102
ecgclass,no_sharing,2.0999,79.6907,57.261,52.4423,0.0016,4.0255,21.5461,22.4297,1776119136564408785
ecgclass,no_sharing,2.2242,60.5681,58.1773,53.4703,0.0026,4.0713,1.4379,2.3908,1776119136668622327
ecgclass,no_sharing,2.2466,85.8598,51.465,46.7548,0.0026,3.974,33.4799,34.3948,1776119136723079982
ecgclass,no_sharing,2.4302,61.5273,59.3012,56.0852,0.0016,2.6176,1.5242,2.2261,1776119136874745209
